#{"t_start": 1614619328.3613884, "env_id": "Acrobot-v1"}
r,l,t
-500.0,500,4.621952
-312.0,313,10.395638
-210.0,211,12.058586
-162.0,163,13.346753
-169.0,170,15.614377
-229.0,230,17.426458
-137.0,138,18.512824
-102.0,103,19.332529
-101.0,102,20.791714
-97.0,98,21.560376
-110.0,111,22.322879
-91.0,92,22.959237
-106.0,107,23.754313
-95.0,96,24.509317
-97.0,98,25.983724
-77.0,78,26.594663
-84.0,85,27.263914
-106.0,107,28.111512
-90.0,91,28.828843
-154.0,155,30.056752
-109.0,110,31.624611
-94.0,95,32.369255
-88.0,89,33.06892
-98.0,99,33.848553
-112.0,113,34.734336
-75.0,76,35.329691
-113.0,114,36.226019
-73.0,74,37.51117
-98.0,99,38.290219
-112.0,113,39.175546
-160.0,161,40.446649
-87.0,88,41.130651
-83.0,84,41.795433
-76.0,77,43.122656
-63.0,64,43.626757
-84.0,85,44.29312
-73.0,74,44.879809
-86.0,87,45.563745
-90.0,91,46.288074
-91.0,92,47.012319
-223.0,224,49.38617
-90.0,91,50.01281
-106.0,107,50.766329
-76.0,77,51.377592
-71.0,72,51.936125
-65.0,66,52.44553
-86.0,87,53.854293
-152.0,153,55.061665
-86.0,87,55.756114
-107.0,108,56.605234
-107.0,108,57.462103
-82.0,83,58.120566
-76.0,77,59.411169
-100.0,101,60.20263
-87.0,88,60.895604
-92.0,93,61.619425
-91.0,92,62.344978
-85.0,86,63.018244
-91.0,92,63.735262
-94.0,95,65.155421
-93.0,94,65.900844
-88.0,89,66.60315
-73.0,74,67.187477
-76.0,77,67.791509
-85.0,86,68.468246
-77.0,78,69.083642
-87.0,88,70.606821
-74.0,75,71.19574
-161.0,162,72.458802
-94.0,95,73.204496
-80.0,81,73.835845
-90.0,91,74.551311
-70.0,71,75.118127
-94.0,95,76.510292
-75.0,76,77.029847
-75.0,76,77.550369
-77.0,78,78.126785
-83.0,84,78.781227
-85.0,86,79.460138
-79.0,80,80.091769
-78.0,79,80.70646
-177.0,178,82.817187
-86.0,87,83.50035
-93.0,94,84.238081
-90.0,91,84.951074
-77.0,78,85.567225
-96.0,97,86.329166
-78.0,79,87.655566
-71.0,72,88.222897
-95.0,96,88.971349
-78.0,79,89.595427
-114.0,115,90.49879
-115.0,116,91.404743
-75.0,76,91.998316
-75.0,76,93.296072
-94.0,95,94.04242
-79.0,80,94.673394
-72.0,73,95.245755
