#{"t_start": 1652871292.6414933, "env_id": "Ant-v3"}
r,l,t
-13.838156,11,1.16982
-44.006124,29,1.213573
-93.399391,71,1.327683
-73.147663,58,1.41805
-56.824022,35,1.473601
-105.307185,56,1.561111
-95.472115,50,1.637882
-20.557526,19,1.67277
-140.196226,103,1.82268
-1082.715131,1000,3.289444
-91.774642,101,3.437706
-45.074264,40,3.495948
-51.011488,38,3.551937
-104.282092,87,3.678876
-1077.98963,1000,5.167455
-94.896689,63,5.260681
-44.809882,36,5.313562
-199.875937,153,5.545903
-47.273763,51,5.626358
-103.394338,100,5.775164
-108.998536,129,5.960299
-56.49744,73,6.066574
-39.830112,43,6.130212
-88.854956,97,6.268871
-35.48483,13,6.290704
-7.223057,11,6.306102
-67.276659,42,6.367792
-20.937804,25,6.405504
-29.876304,37,6.460137
-12.588196,46,6.526516
-43.508065,24,6.561346
-68.203115,41,6.620131
-8.039534,21,6.649782
-103.215592,84,6.772547
-23.894627,22,6.804524
-22.981978,43,6.867289
-69.429306,66,6.962825
-38.574503,28,7.005865
-56.737556,30,7.048829
-1011.847518,1000,8.516793
-43.612239,29,8.556695
-69.719932,29,8.601297
-22.575195,31,8.646791
-102.500797,69,8.747872
-54.100578,51,8.822348
-68.297598,60,8.909727
-215.691477,154,9.132614
-25.96753,26,9.169177
-3.236543,11,9.186932
-47.717406,24,9.220173
-9.647385,29,9.262195
-14.633621,28,9.305424
-3.441295,59,9.392679
-30.385045,14,9.41246
-54.389296,84,9.53486
-19.594728,16,9.557708
-1102.096499,1000,11.026134
-38.126817,19,11.053974
-119.062785,86,11.176894
-49.040332,28,11.218133
-8.453733,10,11.233659
-34.540413,16,11.256104
-32.343081,21,11.285622
-72.4146,55,11.36632
-47.776553,43,11.430361
-23.383559,14,11.450879
-40.869564,50,11.525997
-24.183038,12,11.543134
-78.17143,44,11.606639
-114.556715,90,11.73773
-1111.231787,1000,13.20249
-19.954664,19,13.230559
-31.061384,24,13.26672
-102.775215,66,13.362496
-20.336426,21,13.391931
-29.472955,31,13.435712
-60.842574,76,13.547075
-21.307208,16,13.572166
-44.969824,21,13.601776
-31.780107,30,13.646153
-873.232775,788,14.80263
-44.607355,34,14.853178
-13.411682,11,14.868622
-18.984633,19,14.896271
-12.489857,26,14.937958
5.420192,24,14.976587
-55.657506,61,15.102301
-87.99873,57,15.193011
-32.285588,19,15.223761
-42.041208,33,15.271151
-15.817522,18,15.298349
-7.961654,21,15.328477
-16.997844,12,15.344903
-54.01964,90,15.477917
-26.356879,31,15.525361
-13.609516,21,15.556151
-26.328123,21,15.588043
-44.231097,69,15.689124
-135.73426,128,15.874334
-68.698288,46,15.945132
-1112.234481,1000,17.420602
-31.852454,15,17.442354
-1.925981,24,17.47634
-1162.868401,1000,18.941664
-60.458841,70,19.044611
-26.243936,14,19.065219
-28.926896,26,19.103647
-43.315076,26,19.142797
-129.917552,126,19.327094
-31.334917,24,19.362249
-12.378891,13,19.380498
-35.324486,24,19.415325
-42.930958,25,19.451072
-33.598822,46,19.517716
8.505552,46,19.585674
-43.688157,22,19.620643
-64.206083,35,19.671788
-11.756922,10,19.686283
-89.878179,44,19.749773
-24.198012,23,19.783205
-53.572482,32,19.830459
-35.545977,26,19.867672
-1140.200501,1000,21.335359
-21.381332,25,21.373073
-24.423841,46,21.438714
-19.023382,13,21.45836
-2.0458,23,21.492327
-22.231187,26,21.530856
-74.667392,61,21.625116
-25.42944,17,21.648891
10.449885,52,21.725108
-26.977605,22,21.758163
-1127.424279,1000,23.225263
-22.083071,26,23.262296
-30.705796,15,23.288044
-52.232858,40,23.345762
-36.313746,41,23.405936
-80.641455,51,23.480365
-36.75325,28,23.521524
-40.176312,82,23.639753
-1114.303341,914,24.980905
-89.992218,84,25.102856
-9.41787,12,25.119132
-12.262757,20,25.147794
-37.23485,20,25.178289
-4.563959,12,25.197026
-5.383238,30,25.24025
-30.508573,28,25.281034
-15.754486,11,25.298719
-21.301475,36,25.350232
-1111.142419,1000,26.818109
-64.526684,103,26.970209
-43.38584,39,27.026443
-244.790635,190,27.302112
-5.468818,12,27.320996
-14.12483,12,27.33759
-71.858878,60,27.424813
-33.10407,21,27.454149
-121.34312,177,27.715353
-11.026315,29,27.754783
-14.24638,10,27.769263
-75.642603,41,27.831466
-9.430781,8,27.84166
-3.740427,19,27.86937
-79.088325,60,27.956236
-7.147623,77,28.066629
-59.630675,65,28.161228
-21.149891,50,28.234476
-46.525154,38,28.290538
-74.718328,65,28.384104
-1113.073153,1000,29.848826
-3.961027,23,29.887439
-12.206117,27,29.925137
-114.009069,62,30.014615
-32.236725,34,30.063822
-85.148664,49,30.135146
-24.605133,32,30.179823
-13.769535,19,30.208419
-58.394463,67,30.306856
-34.665759,30,30.349951
-11.421351,13,30.367214
-29.171715,16,30.391887
-10.628931,12,30.410616
-16.832069,48,30.477696
-32.214102,32,30.52664
-31.675825,20,30.555141
-24.148679,24,30.591661
-72.973277,83,30.712122
-1058.247232,1000,32.165359
-27.932495,20,32.193641
-21.432662,19,32.223264
-153.429119,99,32.364089
-32.335104,20,32.392101
-10.449669,10,32.407683
-124.650823,72,32.509298
-164.528899,76,32.616605
