#{"t_start": 1614621275.033923, "env_id": "AntBulletEnv-v0"}
r,l,t
6.929721,20,0.613661
23.652577,63,1.363003
8.933973,41,1.852366
33.020328,66,2.637914
4.935892,20,2.880131
271.5183,550,9.580081
300.026642,1000,21.811819
462.369825,1000,46.691061
585.405505,1000,58.761359
544.648875,1000,70.93964
6.474793,20,71.181846
211.044121,375,76.197742
5.005754,20,76.429414
179.790125,313,80.260122
491.852658,1000,92.35574
589.065274,1000,104.46424
621.983094,1000,135.724731
6.764835,21,135.983729
568.361185,1000,148.180939
98.129505,192,150.524564
46.453624,106,151.805326
275.733598,516,177.148432
545.679482,1000,189.192792
301.003934,627,196.763802
77.596849,124,198.279442
9.422924,26,198.589558
65.768424,119,200.035987
6.284754,21,200.280676
3.862107,20,200.525562
78.805216,138,202.192465
72.748141,145,210.274019
218.835411,365,214.67374
139.187602,278,218.022693
401.5094,573,224.970347
81.512509,139,226.683459
90.113106,158,228.593263
379.391125,657,236.670953
515.887871,1000,258.929637
5.018885,20,259.167876
242.146191,492,265.117488
602.594062,1000,277.160081
630.961025,1000,308.287982
34.36327,57,308.974151
595.993744,1000,321.362774
295.329583,422,326.497135
7.020151,21,326.752248
749.25464,1000,339.489352
610.745568,1000,351.773638
447.617268,746,360.801143
679.417594,1000,391.903286
226.849271,323,395.795397
238.558286,397,400.606638
701.450344,1000,425.466861
599.426601,1000,437.602921
571.430062,1000,449.78073
642.357034,1000,480.926435
77.852164,100,482.128566
757.982115,1000,494.362314
672.732367,1000,525.377476
753.400153,1000,537.356803
284.112955,414,542.376007
637.696058,1000,567.044554
6.202555,23,567.306083
763.123345,1000,579.420917
5.643363,21,579.675948
633.999212,1000,591.872452
10.958182,23,592.15428
5.829992,20,592.385245
106.850892,154,594.257333
20.220284,37,594.700043
470.368064,644,621.150743
756.801066,1000,633.232966
261.724583,364,637.665891
315.228898,438,642.933125
73.65456,114,655.862989
472.177158,606,663.357596
341.110442,464,668.991097
56.038513,87,670.047544
82.350991,163,672.027873
621.12489,1000,684.199623
789.666729,1000,715.303618
9.371518,26,715.630238
127.193824,166,717.633525
819.247448,1000,729.778842
765.077832,1000,760.734196
756.005539,1000,772.836149
767.795894,1000,804.013907
738.064386,1000,816.06476
751.92918,1000,828.20898
228.550976,387,832.898993
544.864422,1000,863.620413
687.798814,1000,875.62101
656.452343,1000,906.402592
646.886728,1000,918.455789
607.596078,1000,930.524142
817.355341,1000,961.311269
706.441176,1000,973.470465
840.494157,1000,1004.414647
766.837642,1000,1016.71994
670.176425,1000,1028.878715
769.541353,1000,1059.680794
823.122136,1000,1071.773623
807.60923,1000,1102.644644
768.550502,1000,1114.661309
782.091597,1000,1126.748742
665.859474,1000,1157.862603
767.682523,1000,1170.077783
656.72354,1000,1201.394807
747.949537,1000,1213.639691
765.852967,1000,1225.711957
693.226107,1000,1257.011762
298.768526,413,1262.198735
660.005381,1000,1274.466478
785.750531,1000,1305.646214
868.646298,1000,1317.687874
784.528871,1000,1348.702549
825.198751,1000,1360.715776
778.511146,1000,1372.828129
848.32455,1000,1403.644479
782.08501,1000,1415.95047
657.700114,1000,1447.337228
700.30498,1000,1459.410609
776.275153,1000,1471.688638
783.344658,1000,1502.549656
829.390455,1000,1514.506841
849.025411,1000,1545.517097
758.909622,1000,1557.593919
446.166592,1000,1569.861352
127.754372,188,1576.781397
245.79298,341,1580.912541
782.668249,1000,1593.139858
771.144563,1000,1605.366211
125.373354,186,1614.156743
765.219224,1000,1626.488601
302.076019,393,1631.32842
745.304655,1000,1643.566945
777.185855,1000,1673.549257
756.685796,1000,1685.646812
805.862124,1000,1705.124745
303.287566,380,1709.72172
433.335639,589,1716.899946
539.674662,712,1725.580024
533.088548,689,1741.970928
851.092793,1000,1753.965011
286.53019,381,1758.533857
394.040232,510,1764.658932
253.934874,330,1776.908073
835.26088,1000,1788.855911
737.742579,1000,1800.935021
760.853888,1000,1820.934819
308.628623,450,1826.390634
211.858165,288,1829.952662
690.90249,1000,1842.273251
779.300049,1000,1869.30761
489.688393,1000,1881.752264
753.443119,1000,1913.031539
595.203023,1000,1925.211742
481.623723,1000,1937.343482
742.637439,1000,1967.933439
733.138515,1000,1979.995543
730.619017,1000,2010.721503
742.989726,1000,2022.732207
633.120472,1000,2034.814981
819.748308,1000,2065.56409
852.238375,1000,2077.570316
657.090079,1000,2107.910944
808.749079,1000,2119.861096
765.88809,1000,2131.926473
894.026359,1000,2162.300238
840.48956,1000,2174.319199
649.866018,1000,2204.958618
540.569554,1000,2216.864971
909.171438,1000,2228.753175
802.300197,1000,2259.493841
636.682572,1000,2271.502414
850.952245,1000,2302.208498
889.877957,1000,2314.168936
698.763373,1000,2326.203487
948.915024,1000,2356.783709
822.551115,1000,2368.782007
724.756108,1000,2399.399055
766.562386,1000,2411.451103
829.067196,1000,2423.464053
742.4665,1000,2454.130645
669.321604,1000,2466.120885
988.568603,1000,2496.658622
780.85512,1000,2508.620234
880.267679,1000,2520.622186
690.94159,1000,2551.093994
825.388228,1000,2563.00592
989.517893,1000,2593.425466
664.381875,1000,2605.389501
925.770647,1000,2617.351576
914.937638,1000,2647.916913
824.767707,1000,2659.831287
973.795969,1000,2690.189977
811.753812,1000,2702.175557
778.855592,1000,2714.101354
947.065848,1000,2743.615088
795.934789,1000,2755.626208
834.208739,1000,2786.080518
920.976066,1000,2798.007396
876.885455,1000,2809.94591
958.786294,1000,2840.237395
1063.468151,1000,2852.117646
748.693449,1000,2882.486304
798.970003,1000,2894.4462
811.370987,1000,2906.333868
806.038739,1000,2936.549689
973.826071,1000,2948.302009
900.051092,1000,2978.446776
956.44888,1000,2990.259086
1201.840729,1000,3001.966681
782.612243,1000,3032.120767
1023.372079,1000,3043.917923
1042.834676,1000,3073.969602
997.070435,1000,3085.761827
1039.021539,1000,3097.505982
1115.311264,1000,3127.650815
1215.101007,1000,3139.426264
831.515248,1000,3169.480778
1164.218086,1000,3181.210181
1105.993192,1000,3192.880155
1185.782849,1000,3222.823235
1225.346816,1000,3234.538543
1132.757672,1000,3264.483048
1062.934375,1000,3276.219273
1108.333927,1000,3287.925991
1145.515048,1000,3318.005289
1192.930339,1000,3329.71082
1271.606737,1000,3359.828306
1120.755208,1000,3371.60224
1273.62467,1000,3383.334361
972.921913,1000,3413.487013
940.163417,1000,3425.275322
1355.519675,1000,3455.539867
1165.529605,1000,3467.312699
1357.270941,1000,3479.118046
1163.094345,1000,3509.287291
1110.864864,1000,3521.130981
1053.862583,1000,3551.398653
1173.492513,1000,3563.244207
1174.55851,1000,3575.011926
1211.086209,1000,3605.123354
1332.869128,1000,3616.857582
1298.151719,1000,3646.899264
1252.813897,1000,3658.649597
1072.42993,1000,3670.398565
1298.491532,1000,3700.469134
1309.363002,1000,3712.208965
1077.894811,1000,3742.433271
1276.98008,1000,3754.177101
1086.353449,1000,3765.909743
1326.344818,1000,3795.975798
1373.659169,1000,3807.724096
1456.739064,1000,3837.815723
1451.917763,1000,3849.577828
1466.140822,1000,3861.339582
1343.946524,1000,3891.54164
1304.727879,1000,3903.287827
1559.072632,1000,3933.279185
1332.718787,1000,3944.99374
1124.388872,1000,3956.690661
1547.58243,1000,3986.634772
1319.867524,1000,3998.33227
1335.332334,1000,4028.415125
829.168124,1000,4040.20419
859.94412,1000,4052.08198
1018.543809,1000,4082.226822
1433.691044,1000,4093.947533
1459.429884,1000,4123.991697
1317.298296,1000,4135.693819
1332.230783,1000,4147.422599
1417.109197,1000,4177.464322
570.908343,1000,4189.18583
1248.669847,1000,4219.276991
1259.920895,1000,4231.035174
1153.600573,1000,4242.728116
1440.718852,1000,4272.713486
1361.727899,1000,4284.442209
1654.532307,1000,4314.431231
1652.327572,1000,4326.121876
1753.98491,1000,4337.792896
1728.279713,1000,4367.771208
1683.942383,1000,4379.464489
1489.890217,1000,4409.496941
1609.812662,1000,4421.185158
1543.56724,1000,4432.904538
1563.602884,1000,4462.842966
1570.479431,1000,4474.585612
1605.006279,1000,4504.575542
1543.211308,1000,4516.256217
1669.266087,1000,4527.966923
1568.531173,1000,4557.944211
1763.790587,1000,4569.595418
1597.846813,1000,4599.467195
1855.958804,1000,4611.099185
1923.234851,1000,4622.780842
1759.169266,1000,4652.764894
1759.340211,1000,4664.427563
1879.178059,1000,4694.279864
1264.872594,1000,4705.93027
1745.274065,1000,4717.596425
1750.307645,1000,4747.492483
1689.286269,1000,4759.151077
1577.995217,1000,4789.046186
1706.494195,1000,4800.713912
1842.798224,1000,4812.375494
1929.328766,1000,4842.268089
1511.149798,1000,4853.959727
1659.86053,1000,4883.908241
1522.034838,1000,4895.678402
1832.36572,1000,4907.538664
1758.844062,1000,4937.330546
1564.666656,1000,4949.124213
1724.199464,1000,4979.216201
1779.226629,1000,4990.985626
1770.407756,1000,5002.721001
1934.874188,1000,5032.662645
1843.607835,1000,5044.381457
1609.775379,1000,5074.429072
1596.28003,1000,5086.13651
1631.061579,1000,5097.849779
1740.774499,1000,5127.738933
1573.425992,1000,5139.403525
1561.863643,1000,5169.176121
1617.617747,1000,5180.784445
1803.930014,1000,5192.324727
1804.311974,1000,5221.796562
1697.655632,1000,5233.310488
1584.455207,1000,5262.628535
1623.413077,1000,5274.124322
1736.903087,1000,5285.62117
1686.935911,1000,5315.028884
1519.924604,1000,5326.52231
1794.416507,1000,5355.840155
1501.745476,1000,5367.29444
1468.323972,1000,5378.756016
1948.559903,1000,5408.006479
1770.393529,1000,5419.451828
1872.201011,1000,5448.886947
1542.104438,1000,5460.419757
1846.341358,1000,5471.936047
1887.08795,1000,5501.22807
2006.411061,1000,5512.655517
1788.434719,1000,5541.953339
1936.752149,1000,5553.455059
1787.985746,1000,5564.943667
1920.261114,1000,5594.247041
1897.466716,1000,5605.746065
1976.799698,1000,5635.100448
1989.299294,1000,5646.569451
1952.613396,1000,5658.085635
2050.497641,1000,5687.61301
1961.529525,1000,5699.115571
2053.868128,1000,5728.470604
1867.45342,1000,5739.988601
2084.114206,1000,5751.50634
1991.370305,1000,5780.857453
1876.968441,1000,5792.339706
1873.392169,1000,5821.766113
1974.093597,1000,5833.282597
2013.101739,1000,5844.82096
1971.398504,1000,5874.25461
1922.377941,1000,5885.771137
1928.839043,1000,5915.183291
2083.606636,1000,5926.632468
2018.097083,1000,5938.088057
1944.52715,1000,5967.506779
2048.089477,1000,5979.013713
1933.936092,1000,6008.959323
1958.6963,1000,6020.41242
1940.233512,1000,6031.884605
1948.110434,1000,6061.207005
1939.386702,1000,6072.701025
2087.565635,1000,6102.097394
1990.741922,1000,6113.537372
2029.916937,1000,6125.055465
1972.136845,1000,6154.459243
1985.800944,1000,6165.942872
1899.29007,1000,6195.304961
2070.402988,1000,6206.80223
1960.513467,1000,6218.292073
2078.982289,1000,6247.655683
