#{"t_start": 1615214889.538915, "env_id": "AsteroidsNoFrameskip-v4"}
r,l,t
310.0,2184,33.993693
1300.0,5992,87.77276
1180.0,4192,125.549976
680.0,4562,183.224529
1300.0,5932,236.882968
630.0,3414,288.944728
880.0,2566,311.913235
310.0,1470,324.845649
680.0,2246,344.645927
1510.0,8898,446.199878
1300.0,10916,561.230775
310.0,1176,571.517339
1030.0,2842,596.920184
480.0,1990,614.423444
580.0,1570,628.360892
930.0,2424,649.933304
1420.0,3900,702.194737
660.0,2064,720.640863
1380.0,2928,746.666582
880.0,2930,772.738003
1180.0,4308,827.214382
630.0,1834,843.328099
1880.0,3834,877.461518
1430.0,4668,919.635451
630.0,1630,954.02055
1460.0,4738,996.722823
860.0,2176,1016.074107
1080.0,3346,1046.202953
1420.0,5240,1111.047373
530.0,1814,1127.15572
880.0,1644,1141.749428
1440.0,3458,1172.660851
1080.0,1674,1203.228154
880.0,2296,1223.402734
930.0,2038,1241.220814
430.0,1286,1252.303073
1390.0,4654,1294.216969
1710.0,5040,1355.540595
930.0,2214,1375.305827
1850.0,3814,1409.764778
2000.0,4286,1466.495918
730.0,2190,1486.020491
1470.0,4644,1527.888052
1830.0,8050,1615.028595
1180.0,2192,1634.527643
1180.0,3026,1661.654178
930.0,1902,1678.303099
730.0,1648,1693.025854
1320.0,3730,1738.587632
730.0,2062,1756.939723
1300.0,5392,1805.27466
1710.0,5074,1866.202363
1350.0,2450,1888.113803
1180.0,4110,1925.196434
730.0,2020,1943.03834
1490.0,3994,1993.103351
1540.0,2796,2017.990632
1180.0,2154,2037.053375
580.0,1312,2048.530962
930.0,1664,2063.403926
610.0,1560,2077.032264
1280.0,3708,2127.478942
480.0,1638,2142.01529
1280.0,2936,2168.286377
1080.0,3158,2196.515787
1300.0,2090,2215.139494
1930.0,4812,2272.604892
1710.0,2598,2296.020772
1830.0,4922,2340.698391
980.0,2002,2373.067778
1730.0,6328,2430.187266
630.0,1526,2443.540769
1300.0,3864,2478.285208
1340.0,3036,2518.659297
1080.0,3258,2548.28946
1300.0,3964,2583.80579
