#{"t_start": 1614621955.1629307, "env_id": "BeamRiderNoFrameskip-v4"}
r,l,t
176.0,4409,97.350153
396.0,3571,228.511062
440.0,5933,386.608596
440.0,4534,530.272078
708.0,8783,776.461812
220.0,3711,914.651197
572.0,6001,1087.231004
352.0,4509,1225.664254
616.0,4499,1359.334214
132.0,3857,1453.383296
396.0,5955,1668.21129
660.0,7613,1897.805841
264.0,4123,1993.711965
396.0,5321,2148.560514
572.0,6037,2363.737463
308.0,4659,2517.318266
88.0,3821,2604.138922
484.0,5915,2772.666077
396.0,4815,2915.443819
352.0,4875,3058.356589
440.0,4826,3205.57387
528.0,7565,3430.269679
352.0,5106,3575.48021
396.0,4359,3722.046237
396.0,5167,3878.995845
352.0,4547,4023.743053
484.0,6583,4195.98301
440.0,6031,4399.169285
264.0,3664,4484.991211
396.0,3713,4621.364125
176.0,4242,4713.731646
176.0,3684,4845.578434
484.0,6020,4995.543114
88.0,3852,5129.07286
660.0,6555,5290.945908
308.0,4953,5436.003046
308.0,4319,5567.156487
660.0,7665,5783.164078
264.0,4159,5915.17746
264.0,3695,6003.232014
396.0,5003,6157.554811
1140.0,10035,6457.655493
308.0,6697,6676.292079
440.0,4831,6823.839535
440.0,5145,6972.802987
484.0,5099,7138.559079
1092.0,9925,7429.852642
308.0,4395,7574.693523
484.0,5619,7734.9564
440.0,6555,7902.017622
352.0,4915,8045.708108
220.0,3663,8187.867704
616.0,6271,8346.753082
352.0,5196,8497.804141
484.0,5393,8657.206804
264.0,4387,8801.727664
572.0,7433,9028.196651
396.0,3619,9171.649701
660.0,6880,9346.143035
396.0,4921,9491.906977
220.0,3565,9622.158508
660.0,7027,9783.935022
308.0,4577,9917.63111
396.0,4841,10068.215986
948.0,8992,10357.199739
308.0,3197,10433.984796
308.0,3467,10522.885745
484.0,8293,10795.596582
352.0,4968,10941.592439
660.0,7555,11160.608767
616.0,5699,11316.815283
616.0,7142,11535.266429
88.0,4099,11630.688829
308.0,3549,11753.924478
660.0,6271,11911.393458
484.0,5605,12127.466718
440.0,4751,12223.776044
484.0,6099,12419.561413
440.0,6540,12593.647336
264.0,4071,12728.906136
440.0,5493,12886.025942
660.0,7301,13104.368967
660.0,6545,13320.957431
708.0,7151,13538.028804
616.0,7258,13718.238407
352.0,6279,13917.077868
440.0,6063,14074.944265
352.0,6112,14278.127309
176.0,3422,14364.697319
396.0,4497,14507.044379
308.0,4517,14636.855677
440.0,5117,14781.992234
396.0,4117,14874.145443
484.0,4963,15026.028872
352.0,4385,15166.734063
852.0,7113,15371.995895
660.0,8111,15591.222173
352.0,4523,15734.704295
308.0,4441,15875.022457
220.0,5121,16013.950895
660.0,5481,16165.355904
308.0,4333,16296.432603
804.0,7113,16455.679852
616.0,6785,16664.486446
440.0,4561,16801.149171
484.0,3797,16886.167063
660.0,6767,17102.853813
352.0,4713,17245.551417
264.0,3935,17384.451458
484.0,6619,17555.907823
132.0,3697,17692.645353
572.0,6819,17862.970951
616.0,5913,18058.262711
308.0,3463,18138.22139
484.0,5269,18279.245985
440.0,5037,18422.481499
264.0,3691,18553.913889
572.0,4658,18651.001597
528.0,4227,18790.282774
176.0,4121,18923.383098
264.0,3809,19013.376008
396.0,4665,19159.335441
572.0,6443,19387.641463
484.0,4787,19540.983209
352.0,3864,19628.20173
220.0,4030,19766.942183
756.0,7399,19986.126612
616.0,4711,20129.208334
708.0,5441,20283.269435
572.0,5351,20437.852357
396.0,3825,20520.770392
852.0,7961,20743.566985
616.0,4977,20887.57449
708.0,6744,21096.010383
440.0,4325,21233.273612
660.0,6335,21415.768508
660.0,7353,21631.459398
852.0,5955,21823.382292
660.0,5059,21978.983889
440.0,3935,22070.804939
616.0,5780,22222.77198
352.0,3801,22349.112243
660.0,5691,22490.895952
396.0,5699,22639.624449
616.0,4659,22771.816283
616.0,5527,22970.513165
660.0,6183,23126.907593
660.0,6587,23342.900606
616.0,6707,23525.916574
616.0,5365,23678.561497
528.0,4940,23817.340914
572.0,6591,24026.739644
264.0,3243,24106.63186
660.0,6459,24304.28002
708.0,5311,24463.309952
440.0,4161,24605.889788
528.0,4639,24703.994365
708.0,6937,24926.065402
616.0,5241,25076.449439
756.0,6603,25286.20298
616.0,4517,25436.409012
440.0,5617,25595.315675
756.0,6945,25820.553606
396.0,3617,25910.401493
484.0,3603,26006.163769
660.0,7791,26291.867037
996.0,8917,26545.30357
756.0,7083,26775.921447
660.0,4965,26916.513546
900.0,5385,27075.600186
852.0,5639,27238.116585
1044.0,6111,27441.450788
1332.0,8385,27680.789446
996.0,7743,27914.440102
660.0,5483,28072.32632
1332.0,8385,28356.289027
1332.0,8241,28614.056963
352.0,3420,28697.820141
1236.0,8927,28999.347159
484.0,6733,29178.427041
1236.0,6475,29415.223351
1044.0,9131,29718.009079
1380.0,7083,29905.232819
660.0,8419,30214.892222
572.0,4799,30362.507355
660.0,6851,30538.431144
1380.0,7945,30854.300768
756.0,6363,31040.201469
996.0,5863,31201.275202
2384.0,12389,31615.863113
484.0,5139,31799.689789
572.0,4045,31949.387945
660.0,5681,32116.120283
660.0,6257,32356.445605
900.0,6439,32538.915059
2160.0,10596,32944.072282
804.0,7453,33182.081615
352.0,5217,33355.749175
1092.0,7039,33542.13115
804.0,6647,33775.524249
1332.0,8269,34053.980555
948.0,7049,34317.319065
804.0,5021,34474.441054
616.0,4897,34641.914128
660.0,4261,34799.673627
1332.0,8481,35069.004906
660.0,6857,35319.441557
1236.0,9021,35625.441495
1380.0,8954,35942.240515
1140.0,6881,36181.989653
1140.0,6581,36360.278598
708.0,6328,36601.390002
996.0,6543,36810.475738
616.0,5781,37064.178793
1188.0,5243,37251.109244
1140.0,5623,37442.569896
900.0,7391,37721.806092
996.0,6729,37988.967815
948.0,5261,38170.686073
1380.0,7247,38448.150858
1284.0,8199,38697.979629
528.0,4517,38886.681157
2160.0,10886,39277.635253
440.0,4497,39454.33488
1284.0,9783,39820.845681
616.0,6501,40048.096238
660.0,7021,40314.675686
1332.0,8729,40679.040868
660.0,6487,40863.29458
2160.0,10717,41270.918066
1188.0,7403,41590.40924
1284.0,7886,41891.052883
2160.0,11616,42393.141379
2608.0,14631,42969.543424
1484.0,10147,43366.551784
756.0,6124,43579.428246
996.0,9283,43951.430993
660.0,6049,44176.842676
1284.0,7833,44536.581652
1380.0,8767,44871.713966
1140.0,8843,45239.895037
1092.0,7885,45559.73258
572.0,4787,45717.545978
1332.0,8517,46026.290294
1188.0,6734,46316.136739
804.0,8193,46608.431141
996.0,5999,46835.330705
2108.0,10761,47290.101428
852.0,5115,47495.567886
852.0,4681,47688.022137
2160.0,10691,48140.193723
3028.0,12217,48702.553049
1848.0,9523,49083.887356
1796.0,10885,49626.552369
1284.0,8205,49952.408383
2160.0,11307,50461.726572
900.0,6313,50677.720469
2160.0,12135,51206.016145
1900.0,10105,51705.726663
3000.0,14464,52400.347477
1236.0,7563,52715.93547
2160.0,9907,53161.866433
660.0,5119,53413.951121
2440.0,10097,53860.436906
1380.0,8261,54197.149393
3840.0,12541,54762.498126
1284.0,6091,54999.29107
1380.0,8001,55410.175967
1044.0,7527,55723.653815
996.0,6023,55966.894078
1380.0,10055,56463.431184
2160.0,12244,57100.572658
1484.0,9323,57445.117702
3252.0,14667,58089.056523
1952.0,9657,58523.00166
852.0,5705,58772.732905
1044.0,6549,59077.318109
2056.0,9713,59521.963449
660.0,4517,59757.350491
1900.0,9151,60154.463823
900.0,5307,60393.773014
660.0,4352,60631.743449
1952.0,10499,61069.033032
1380.0,8599,61540.656691
3420.0,14485,62258.840089
1380.0,6438,62513.580649
3000.0,12935,63102.715677
2056.0,10261,63578.454855
3000.0,14989,64291.701327
996.0,5421,64547.532911
1588.0,10379,65092.969436
2160.0,10651,65652.77519
1188.0,7343,66031.403639
1796.0,9969,66512.275381
2160.0,11037,67026.264708
3660.0,14930,67695.183842
2160.0,11807,68224.561704
2972.0,12323,68781.026128
1380.0,9827,69265.864296
3690.0,14847,69970.271322
1380.0,6707,70235.292233
1848.0,9983,70647.900421
660.0,4382,70878.619657
1952.0,10605,71319.190306
4512.0,17623,72184.814771
1380.0,6115,72501.607374
1588.0,8607,72866.444003
2160.0,9669,73334.921292
4410.0,15353,74046.267165
1332.0,5814,74290.901891
1952.0,11327,74880.114108
2832.0,12827,75493.521616
1092.0,8945,75936.067132
1380.0,7019,76180.052828
2160.0,9521,76624.837718
660.0,4855,76843.925184
1332.0,6343,77166.783553
1380.0,7015,77426.154417
1952.0,10203,77893.274969
1332.0,7131,78255.228806
3900.0,15637,78964.95555
2496.0,11737,79584.737724
1848.0,10121,80087.245306
3000.0,12881,80697.826349
1484.0,7489,81056.702619
5918.0,19903,81973.026546
1380.0,6895,82281.255874
1380.0,6395,82524.561512
1588.0,7667,82899.959879
2056.0,10260,83372.719279
1380.0,6595,83614.725241
2056.0,9520,84034.866925
1484.0,8393,84413.579203
1380.0,7033,84784.965289
1380.0,7257,85113.46962
2608.0,13768,85761.05771
4020.0,12737,86345.088399
2776.0,11433,86816.81158
3420.0,13255,87455.942031
3028.0,12117,88051.765568
2944.0,12253,88673.849316
5346.0,16071,89595.818857
