#{"t_start": 1614852197.4930882, "env_id": "BipedalWalker-v3"}
r,l,t
-102.81926,117,2.65879
-104.813498,96,3.033799
-113.61292,145,3.571263
-108.510441,79,3.880371
-102.906891,77,4.182697
-115.233163,49,4.378496
-105.088234,82,6.40715
-111.893589,146,6.950749
-103.683997,89,7.291874
-116.986892,232,8.1368
-110.614176,82,8.444297
-104.697549,299,12.400713
-108.017755,293,13.413577
-121.805798,707,21.141487
-104.735853,124,27.465652
-152.836827,1123,50.635209
21.487972,1600,100.555275
-99.823855,1131,134.371271
-79.948101,1487,175.339777
-23.766901,648,181.668374
-37.456168,517,191.729495
-19.098683,655,194.645932
244.953825,1527,231.283414
245.68127,1396,268.047486
11.793687,649,284.78689
-113.003635,49,284.970744
261.386479,1263,317.58935
274.127263,1113,347.688294
4.811373,515,357.202189
164.654666,1016,375.002844
277.522008,1011,406.510079
-107.379643,112,406.976333
28.519686,539,419.590953
138.022755,896,437.008008
277.29616,947,466.612948
-16.239647,425,468.279634
277.341944,915,492.95497
270.84952,985,523.143831
270.545243,1042,540.964354
255.1653,1198,570.508245
266.209091,1093,602.562317
270.925204,1052,628.678
280.531356,963,645.947993
273.552877,1039,674.999327
277.847,1007,689.872297
282.770061,998,700.534496
-107.769562,37,700.679986
278.858678,997,725.448126
281.879908,897,738.855847
280.126494,919,760.783215
47.818834,529,762.68599
-119.100178,77,762.9598
284.994112,853,786.049306
-18.485402,357,787.328526
-108.571164,75,788.75819
-43.004033,354,790.066287
271.976091,1028,815.45078
274.469056,984,829.68484
76.713838,660,843.029501
267.710702,1023,860.33921
-105.379254,199,861.116704
270.597015,978,887.695261
267.174282,1009,915.44562
271.983767,968,931.567717
269.844108,1020,962.855698
263.934905,1063,979.796474
281.973616,880,1004.13192
285.559232,869,1017.32083
104.115268,699,1028.777344
288.094887,855,1051.94653
283.501779,896,1062.154291
285.089892,854,1075.114996
-8.459593,344,1086.206082
283.096438,869,1099.814466
76.834808,620,1112.257879
286.046229,848,1135.358357
17.535762,410,1136.873473
-118.971762,103,1142.863187
279.694055,922,1156.422786
284.928807,858,1169.036485
283.345716,846,1191.795027
285.817058,857,1204.398608
286.798441,841,1227.000772
288.313525,822,1239.390857
287.11899,854,1252.271155
287.166959,824,1274.858737
291.083329,798,1286.880072
283.347745,894,1299.231704
-105.995881,42,1299.377827
-116.240868,74,1299.659691
-106.044361,44,1299.828653
-107.13501,44,1300.76831
-113.98864,55,1301.013806
-110.771517,49,1301.214598
-119.529886,95,1301.589996
-119.641504,95,1301.95222
-121.455965,90,1302.28806
-120.336674,99,1302.651126
283.91679,876,1308.289224
-108.534529,48,1308.497607
-112.583119,62,1308.754874
-106.282055,49,1308.970946
-13.189184,310,1310.247274
0.024287,363,1318.553282
-5.038842,340,1330.474282
41.973788,441,1332.300981
286.609998,834,1357.904691
-113.26586,79,1358.261795
279.316019,916,1373.719152
280.967643,907,1400.145948
285.443327,864,1412.856863
289.664622,824,1426.667635
289.183782,816,1450.055199
288.103451,828,1462.960298
292.851132,758,1476.006935
292.566021,775,1489.494823
289.863086,793,1513.593971
289.090994,785,1527.933408
286.972286,812,1542.357614
289.956095,788,1566.737345
290.020189,804,1580.27511
283.085465,875,1592.134244
288.901835,846,1613.973115
-110.883181,93,1614.332101
291.900998,789,1627.524047
295.220394,756,1641.154826
290.797409,807,1655.000835
290.079959,804,1679.089602
295.977957,744,1692.484743
296.207805,742,1705.321753
289.443986,846,1727.521549
14.143982,399,1729.169661
295.870066,757,1741.232139
294.545418,791,1762.103898
299.244399,723,1775.143584
295.537183,773,1788.468533
-105.585547,47,1788.675987
100.482507,630,1801.538685
295.448784,767,1815.670365
297.3532,742,1839.397607
295.699114,766,1853.22954
-107.714297,77,1853.577295
296.22366,775,1867.024962
297.310928,767,1879.98374
296.790012,772,1900.92648
43.918662,436,1902.499187
293.714162,797,1924.00373
297.816568,782,1937.885407
104.444321,565,1949.897107
300.443787,750,1963.006885
297.816238,780,1975.998928
299.039462,775,1989.324796
296.773401,804,2012.593687
173.284311,786,2026.476643
141.361112,679,2039.887226
158.105485,689,2051.697436
292.830907,806,2063.576517
297.857612,750,2085.867826
291.702173,841,2099.466933
