#{"t_start": 1614946034.8324788, "env_id": "BipedalWalkerHardcore-v3"}
r,l,t
-117.37615,425,9.629195
-110.373927,44,10.285972
-103.484932,96,11.717779
-104.331857,95,13.092167
-110.548007,38,13.634832
-111.494191,46,14.286697
-136.214918,124,16.072303
-115.618161,151,18.279759
-115.826871,99,19.707748
-111.272979,64,20.627724
-112.225768,62,21.559997
-96.167611,95,22.944739
-98.370263,113,24.605015
-109.935991,38,25.169157
-119.466476,66,26.171936
-106.676962,69,28.787688
-104.548057,52,29.580103
-106.79462,59,30.449666
-104.18716,55,31.28292
-108.210139,76,32.410841
-121.261968,83,33.668683
-126.181406,120,35.454902
-128.600739,124,37.315434
-135.064897,190,40.181267
-123.141458,108,41.813358
-101.299801,120,43.597123
-130.247639,229,47.037631
-130.933399,236,50.545763
-135.810568,126,70.732916
-106.469744,2000,99.541816
-103.948218,46,100.221365
-98.112476,2000,133.011301
-100.373658,2000,193.154892
-123.611396,49,193.849176
-125.585373,326,223.896849
-118.322163,55,224.672965
-106.866366,143,226.685545
-122.600877,49,227.530893
-109.058974,81,228.69556
-106.923097,55,229.473586
-111.226235,49,230.169641
-61.215315,2000,289.679811
-43.996212,2000,350.530214
-38.030328,2000,411.23731
-112.264366,122,412.985803
-41.990652,2000,472.94819
-29.912443,2000,517.327165
-30.97216,2000,607.977415
-28.58516,2000,667.630759
-31.656686,2000,724.193867
-30.112684,2000,808.025336
-28.983311,2000,863.041598
-24.905944,2000,918.303204
-19.221974,2000,973.985341
-20.960092,2000,1057.564351
-16.767759,2000,1111.98908
-13.855695,2000,1165.669533
-124.204088,123,1167.212173
-22.800745,2000,1250.008945
-15.935358,2000,1305.212876
-14.751794,2000,1360.200292
-20.098502,2000,1415.494665
-9.208143,2000,1495.248678
-13.550074,2000,1550.307803
-11.441155,2000,1605.791739
-9.431644,2000,1689.526048
-113.000479,82,1690.62412
-8.608106,2000,1745.567943
-8.094055,2000,1802.449052
-13.217388,2000,1858.334911
-10.375071,2000,1942.465499
-12.26965,2000,2000.61592
-10.799255,2000,2058.678473
-10.560465,2000,2141.677478
-6.037895,2000,2197.240027
-12.481539,2000,2252.569616
-9.420157,2000,2307.377639
-25.793538,2000,2391.475837
-102.410673,74,2392.46033
-9.740575,2000,2447.439424
-5.33953,2000,2503.801768
-3.213997,2000,2586.780639
-6.353308,2000,2642.85139
-7.032807,2000,2697.665302
-4.69099,2000,2752.899492
-5.235522,2000,2836.806286
-5.000357,2000,2892.631668
-4.580237,2000,2947.467279
-8.884042,2000,3003.703003
-6.176663,2000,3032.549439
-17.885378,2000,3086.904225
-10.455881,2000,3142.205845
-7.92341,2000,3226.160549
-8.319109,2000,3281.743605
-5.29908,2000,3336.677263
-6.377412,2000,3391.166343
-91.833066,133,3395.050132
-11.412551,2000,3450.44214
-3.198112,2000,3506.460612
-3.440541,2000,3561.663923
-5.354131,2000,3646.377242
-4.443537,2000,3702.333239
-7.591537,2000,3757.726202
-3.983207,2000,3841.912467
-3.79098,2000,3897.965153
-9.189619,2000,3953.499098
-4.434461,2000,4008.918255
-5.3621,2000,4092.514268
-3.091991,2000,4147.541439
-125.382958,1418,4196.091699
-5.415394,2000,4252.037461
-2.116247,2000,4306.52317
-4.509797,2000,4389.283251
-2.702387,2000,4444.163565
-2.170621,2000,4499.414684
-4.175665,2000,4582.183809
-7.03779,2000,4637.121357
-2.407404,2000,4691.604949
-3.822171,2000,4747.272071
-3.290539,2000,4830.424823
-2.627544,2000,4888.070886
-2.885395,2000,4940.646432
-2.406208,2000,4995.663838
-137.702362,1886,5077.175113
-102.267881,99,5078.497933
-5.222389,2000,5132.810815
-6.245882,2000,5188.020788
-5.59206,2000,5270.48105
-2.953542,2000,5325.273771
-5.014481,2000,5379.676949
-4.88999,2000,5434.89471
-1.712896,2000,5520.087215
-110.825449,67,5521.070686
-1.967898,2000,5580.616339
-1.46449,2000,5635.83695
-0.90248,2000,5719.191631
-2.081817,2000,5773.60986
-1.963152,2000,5828.230038
-1.578241,2000,5877.168789
-4.646799,2000,5960.449637
0.244717,2000,6015.59301
-4.814639,2000,6070.709795
-5.984547,2000,6154.096119
-5.348367,2000,6207.818938
-2.50235,2000,6261.797881
-2.098984,2000,6316.83275
-2.264767,2000,6399.732384
-7.415808,2000,6454.857478
-5.2469,2000,6509.806195
-1.815822,2000,6592.748571
-0.27424,2000,6646.874397
-2.255773,2000,6701.576841
-2.505933,2000,6756.952786
-1.782759,2000,6813.095426
-2.713106,2000,6869.130741
