#{"t_start": 1614621949.9911726, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
2.0,914,15.265047
4.0,1147,28.308891
1.0,631,34.956847
1.0,709,48.811795
0.0,536,54.361281
1.0,700,61.994858
2.0,827,71.159517
1.0,627,83.519457
1.0,716,91.16528
3.0,935,101.567505
1.0,696,116.48384
4.0,1214,130.23388
1.0,649,137.110496
0.0,518,142.543516
2.0,904,158.176731
2.0,892,168.24754
2.0,842,177.422644
0.0,498,188.451895
7.0,1664,207.6082
0.0,517,212.882275
2.0,735,227.419442
3.0,1077,239.447875
0.0,499,244.806277
1.0,620,251.469318
2.0,759,266.141975
0.0,508,271.57337
2.0,831,280.653502
1.0,680,288.159266
2.0,814,303.109651
0.0,530,308.587079
1.0,705,316.262049
1.0,713,324.005228
3.0,1028,340.960958
1.0,724,348.745466
4.0,1132,365.871787
4.0,1214,379.820359
1.0,697,387.420009
2.0,811,402.200462
2.0,903,412.240514
1.0,705,419.975547
0.0,508,425.360242
2.0,829,440.417618
3.0,1101,452.765423
2.0,810,461.76543
2.0,817,476.273371
0.0,535,481.772631
0.0,533,487.278877
2.0,904,497.250331
1.0,711,510.450761
0.0,523,515.93558
0.0,512,521.207109
0.0,514,526.689495
3.0,951,537.296921
0.0,509,549.663144
1.0,639,556.409993
0.0,507,561.871673
0.0,521,567.387501
0.0,508,572.856183
0.0,527,585.463704
2.0,798,594.458005
0.0,516,600.110259
2.0,813,609.168109
2.0,894,624.952011
0.0,527,630.552341
9.0,1610,655.237786
4.0,1204,669.010631
0.0,516,674.543527
0.0,516,680.048766
6.0,1398,701.799004
0.0,521,707.346175
0.0,511,712.827098
1.0,701,720.471721
3.0,1108,738.074137
1.0,707,745.759526
1.0,632,752.616994
0.0,519,763.326782
2.0,806,772.305571
0.0,513,777.670221
2.0,928,787.963306
3.0,1006,805.617789
0.0,520,811.124161
0.0,529,816.709088
0.0,540,822.319935
1.0,730,835.717548
2.0,830,844.726365
1.0,712,852.406144
4.0,1138,870.47836
1.0,642,877.323621
2.0,829,886.535473
0.0,532,891.956912
1.0,701,905.54367
1.0,682,912.990952
1.0,633,919.769277
2.0,833,928.956355
1.0,631,940.515198
1.0,717,948.182962
0.0,535,953.684686
2.0,921,963.839469
1.0,696,977.201972
2.0,747,985.543496
3.0,1111,998.164185
8.0,1380,1019.88596
1.0,639,1026.736556
3.0,1015,1038.073101
1.0,638,1050.387754
0.0,518,1055.790105
1.0,696,1063.445809
2.0,901,1073.432435
0.0,535,1083.95653
0.0,512,1089.293857
6.0,1364,1104.821447
2.0,902,1121.723541
1.0,714,1129.356966
2.0,819,1138.373784
3.0,931,1148.925103
0.0,540,1161.04608
0.0,512,1166.503967
2.0,779,1174.897855
1.0,694,1182.406836
0.0,507,1193.710386
0.0,532,1199.171171
1.0,704,1206.911334
2.0,737,1215.176683
3.0,1009,1232.238623
1.0,630,1239.127029
0.0,519,1244.60273
0.0,521,1249.948275
0.0,535,1255.460722
1.0,705,1269.1366
2.0,808,1278.181829
0.0,509,1283.494073
3.0,930,1299.960718
5.0,1334,1314.97293
0.0,535,1320.401896
4.0,1204,1340.711981
1.0,628,1347.49553
0.0,528,1353.014826
0.0,507,1358.491335
0.0,509,1363.812028
1.0,637,1377.467993
5.0,1404,1393.348296
3.0,983,1409.843265
2.0,825,1418.911025
0.0,516,1424.452475
5.0,1410,1446.277306
0.0,513,1451.717681
0.0,514,1457.175849
3.0,1078,1469.338825
0.0,516,1480.808885
2.0,883,1490.649786
2.0,801,1499.571182
3.0,1025,1516.676331
0.0,541,1522.119781
3.0,1092,1534.468479
0.0,532,1539.998565
0.0,524,1545.632934
3.0,1109,1564.181215
1.0,717,1571.813642
3.0,1012,1588.933044
0.0,532,1594.40518
3.0,1032,1605.707022
4.0,1212,1624.986685
0.0,536,1630.604335
3.0,1115,1642.92611
1.0,705,1650.649268
0.0,505,1662.193853
0.0,524,1667.796631
0.0,515,1673.335767
9.0,1510,1695.616015
2.0,901,1705.619742
0.0,527,1710.8946
1.0,652,1717.751084
9.0,1702,1742.494538
0.0,505,1747.748678
2.0,914,1757.861619
5.0,1488,1782.206322
8.0,1520,1804.791421
1.0,685,1812.342703
0.0,523,1817.90152
4.0,1285,1832.364748
5.0,1430,1853.303665
2.0,813,1862.348361
3.0,939,1880.565237
2.0,808,1889.378519
0.0,543,1894.920295
1.0,639,1901.773309
1.0,622,1914.839945
0.0,499,1920.24291
1.0,719,1927.873153
0.0,531,1933.368314
3.0,939,1948.359605
2.0,914,1958.488542
0.0,525,1963.930821
0.0,507,1969.445297
1.0,643,1976.170112
0.0,527,1986.685119
2.0,813,1995.610554
0.0,519,2001.067337
0.0,524,2006.54257
10.0,1908,2033.617911
3.0,1010,2045.050756
0.0,520,2057.270186
1.0,656,2064.248417
0.0,525,2069.749518
0.0,529,2075.204708
5.0,1418,2097.891393
1.0,705,2105.485225
0.0,523,2111.034926
0.0,520,2116.473745
0.0,513,2126.426802
0.0,511,2131.822928
0.0,511,2137.28148
0.0,512,2142.727951
0.0,528,2148.077607
5.0,1422,2170.193948
2.0,826,2179.079518
2.0,822,2188.084449
5.0,1399,2213.384426
2.0,821,2222.414164
0.0,513,2227.824373
2.0,817,2242.099591
0.0,529,2247.498302
3.0,1004,2258.649837
0.0,517,2264.045751
0.0,528,2277.228248
0.0,512,2282.686092
6.0,1602,2300.88948
5.0,1410,2323.937053
0.0,516,2329.331845
0.0,515,2334.766171
7.0,1706,2361.420058
2.0,810,2370.375782
4.0,1198,2389.10534
9.0,1726,2408.566997
0.0,529,2420.865929
6.0,1526,2438.336861
2.0,804,2447.300724
0.0,512,2460.192974
4.0,1285,2474.69936
0.0,512,2480.047856
0.0,524,2491.538635
3.0,1022,2503.077024
2.0,841,2512.293596
0.0,508,2517.620914
4.0,1113,2536.444555
2.0,809,2545.481138
0.0,533,2551.039237
0.0,520,2556.547661
5.0,1411,2579.581569
0.0,520,2585.021343
11.0,2004,2614.79243
14.0,1946,2642.808102
0.0,511,2648.160869
0.0,532,2653.752192
0.0,537,2659.336248
0.0,524,2664.826232
3.0,1004,2682.113194
5.0,1498,2699.334165
9.0,1636,2724.099081
0.0,513,2729.554574
0.0,531,2735.040312
5.0,1434,2756.551574
0.0,512,2762.042932
9.0,1636,2786.057491
3.0,1093,2798.561491
0.0,517,2803.877239
0.0,535,2815.062995
2.0,817,2823.974842
9.0,1620,2842.814663
0.0,539,2854.928785
5.0,1346,2870.244459
1.0,712,2877.899153
12.0,1752,2904.397669
3.0,996,2915.674299
2.0,809,2929.980744
0.0,517,2935.514494
0.0,523,2940.908507
0.0,537,2946.386034
4.0,1208,2966.752585
4.0,1211,2980.414825
5.0,1418,3004.142406
5.0,1422,3020.220921
0.0,528,3025.618347
5.0,1414,3048.901033
0.0,519,3054.520023
0.0,529,3060.061506
0.0,521,3070.74326
5.0,1398,3086.855393
4.0,1177,3100.275319
0.0,511,3111.866583
6.0,1514,3129.260725
0.0,524,3134.853397
0.0,500,3146.351458
4.0,1216,3159.912046
1.0,693,3167.500269
0.0,517,3172.839551
0.0,527,3185.749674
2.0,813,3194.63329
4.0,1212,3208.187145
0.0,524,3220.332415
5.0,1422,3236.362043
0.0,533,3241.957631
2.0,821,3256.683415
10.0,1816,3278.137366
0.0,516,3290.11088
0.0,519,3295.510115
0.0,525,3301.025541
2.0,817,3310.023576
4.0,1177,3329.903505
12.0,2130,3354.643771
3.0,1008,3372.50847
2.0,832,3381.49799
0.0,524,3387.054247
2.0,833,3401.622201
0.0,523,3407.098729
0.0,519,3412.642812
0.0,525,3418.249095
4.0,1200,3438.815561
4.0,1208,3452.504372
0.0,508,3457.836983
2.0,806,3472.415989
2.0,812,3481.437046
0.0,520,3486.849196
0.0,511,3492.331769
0.0,536,3497.843928
1.0,697,3510.513628
5.0,1402,3526.720642
1.0,644,3533.540341
0.0,528,3545.611151
0.0,517,3551.093079
0.0,541,3556.63358
2.0,901,3566.790425
1.0,700,3580.257394
0.0,516,3585.702629
11.0,1952,3608.370731
2.0,809,3624.121271
0.0,508,3629.575585
5.0,1406,3645.675884
0.0,531,3659.739632
9.0,1624,3678.453721
0.0,523,3683.825584
0.0,523,3697.002993
1.0,700,3704.567279
0.0,515,3710.196135
0.0,516,3715.555809
0.0,532,3721.026334
1.0,700,3736.465385
0.0,541,3742.000227
9.0,1644,3766.257741
2.0,826,3775.18368
0.0,517,3780.708881
0.0,520,3786.217086
0.0,519,3791.755234
3.0,993,3808.787534
5.0,1414,3824.989405
0.0,507,3830.438714
2.0,817,3845.547
0.0,533,3851.067328
2.0,829,3860.125658
0.0,523,3865.663324
0.0,532,3878.813306
0.0,525,3884.270936
2.0,829,3893.296976
0.0,533,3898.701132
0.0,540,3904.288732
2.0,816,3919.283714
9.0,1622,3938.046906
1.0,717,3952.116544
0.0,512,3957.562395
0.0,517,3962.897766
2.0,818,3972.046403
2.0,817,3985.70074
9.0,1612,4004.363936
0.0,528,4009.866379
5.0,1398,4031.775943
9.0,1726,4059.59894
0.0,520,4065.069053
0.0,523,4070.632037
0.0,525,4076.091285
0.0,527,4081.602679
0.0,519,4086.96526
0.0,536,4100.170766
4.0,1121,4112.926662
0.0,535,4118.407037
0.0,509,4123.784536
2.0,813,4139.432811
2.0,817,4148.610587
0.0,500,4153.95634
0.0,508,4159.444806
5.0,1410,4180.96581
0.0,525,4186.456414
2.0,814,4195.416394
0.0,525,4206.775189
2.0,906,4216.566977
5.0,1502,4239.577459
0.0,527,4245.033343
0.0,521,4250.416004
0.0,515,4255.928475
3.0,992,4267.273857
2.0,825,4282.289867
0.0,532,4287.848731
1.0,631,4294.670843
2.0,809,4303.729323
9.0,1636,4329.730851
0.0,515,4335.04045
0.0,532,4340.659936
0.0,543,4352.158086
0.0,528,4357.835801
1.0,700,4365.44714
0.0,527,4370.961052
4.0,1308,4390.85998
9.0,1610,4409.328969
0.0,507,4422.602847
0.0,515,4427.984162
0.0,497,4433.239338
0.0,515,4438.695377
0.0,528,4444.13025
0.0,531,4449.528325
4.0,1122,4468.229571
1.0,695,4475.882003
0.0,525,4481.234568
5.0,1421,4504.879838
10.0,1752,4532.443342
0.0,503,4537.739073
11.0,1958,4560.143355
0.0,525,4571.112122
0.0,505,4576.402193
0.0,535,4582.021076
2.0,794,4590.939131
9.0,1632,4616.513477
0.0,541,4621.976053
6.0,1529,4646.177796
4.0,1189,4659.644891
1.0,712,4667.141107
1.0,636,4679.247442
0.0,535,4684.736867
9.0,1620,4703.24726
0.0,525,4716.120773
5.0,1414,4732.212802
0.0,508,4737.632817
0.0,531,4743.178602
0.0,516,4752.98972
0.0,525,4758.496666
0.0,539,4763.975757
0.0,541,4769.426757
4.0,1201,4789.48394
5.0,1321,4804.492099
2.0,801,4813.342661
0.0,527,4825.292186
0.0,508,4830.664474
0.0,500,4836.029306
1.0,643,4842.83584
10.0,1742,4869.183419
0.0,508,4874.682877
6.0,1622,4901.097238
2.0,809,4909.93971
1.0,700,4917.551135
5.0,1414,4941.421113
2.0,894,4951.251271
0.0,512,4956.483021
2.0,809,4972.055876
0.0,517,4977.452382
0.0,517,4982.92571
3.0,932,4993.136771
0.0,533,4998.629146
1.0,628,5011.926106
4.0,1306,5026.4531
0.0,500,5031.630693
6.0,1592,5057.724903
0.0,531,5063.158772
3.0,1000,5079.838628
1.0,615,5086.629018
0.0,507,5092.138406
1.0,704,5099.8213
0.0,528,5105.198237
0.0,517,5118.092041
0.0,508,5123.474839
0.0,528,5128.975502
3.0,1009,5140.071573
