#{"t_start": 1614619328.3333006, "env_id": "CartPole-v1"}
r,l,t
23.0,23,0.796425
39.0,39,0.8613
12.0,12,0.879132
14.0,14,0.902861
49.0,49,0.983622
25.0,25,1.024204
13.0,13,1.042947
13.0,13,1.065871
62.0,62,1.165046
35.0,35,1.221915
50.0,50,1.303434
16.0,16,1.332686
29.0,29,1.376619
12.0,12,1.398654
41.0,41,1.465005
17.0,17,1.491138
37.0,37,1.554154
37.0,37,1.619738
48.0,48,1.699783
67.0,67,1.807847
27.0,27,1.854186
46.0,46,1.927796
55.0,55,2.017249
115.0,115,2.204879
86.0,86,2.343921
190.0,190,2.652589
202.0,202,5.539953
218.0,218,5.907099
153.0,153,6.171761
155.0,155,6.429154
292.0,292,6.913837
104.0,104,7.093626
245.0,245,8.62363
163.0,163,8.907631
254.0,254,9.355634
141.0,141,9.602069
254.0,254,10.049798
280.0,280,10.543561
262.0,262,12.995394
297.0,297,13.527781
500.0,500,14.431319
399.0,399,17.395329
276.0,276,17.880192
500.0,500,18.747733
385.0,385,19.415244
115.0,115,20.377885
87.0,87,20.528851
148.0,148,20.791076
158.0,158,21.070071
266.0,266,21.536039
364.0,364,22.175113
259.0,259,25.284949
500.0,500,26.15704
500.0,500,27.005881
500.0,500,30.505959
402.0,402,31.169027
199.0,199,31.518407
201.0,201,31.870868
245.0,245,33.53032
500.0,500,34.391554
500.0,500,35.289526
417.0,417,38.517839
287.0,287,38.994315
317.0,317,39.523137
187.0,187,39.832681
91.0,91,39.993215
56.0,56,40.58339
55.0,55,40.680142
68.0,68,40.796685
68.0,68,40.917859
71.0,71,41.043835
53.0,53,41.138983
46.0,46,41.219043
76.0,76,41.351985
44.0,44,41.431364
65.0,65,41.545903
62.0,62,41.653318
47.0,47,41.738831
57.0,57,41.837441
64.0,64,41.950897
59.0,59,42.055753
65.0,65,42.170431
72.0,72,42.295715
44.0,44,42.371552
48.0,48,42.45426
42.0,42,42.522336
49.0,49,42.605109
55.0,55,42.695755
63.0,63,43.102038
90.0,90,43.255289
85.0,85,43.402039
48.0,48,43.48856
56.0,56,43.586734
73.0,73,43.717093
133.0,133,43.94813
208.0,208,44.314872
180.0,180,44.630619
123.0,123,44.849088
161.0,161,45.130042
313.0,313,48.225514
500.0,500,49.10469
500.0,500,52.501335
500.0,500,53.345682
500.0,500,54.194962
500.0,500,57.650101
500.0,500,58.512943
500.0,500,62.033219
500.0,500,62.905675
500.0,500,63.774315
500.0,500,67.171664
500.0,500,67.995976
500.0,500,71.42135
500.0,500,72.261312
500.0,500,73.093997
500.0,500,76.577528
500.0,500,77.436372
500.0,500,80.930988
500.0,500,81.767376
500.0,500,82.591511
500.0,500,85.95705
500.0,500,86.769806
500.0,500,90.152476
500.0,500,91.009037
500.0,500,91.873054
500.0,500,95.357299
500.0,500,96.21815
500.0,500,99.741203
500.0,500,100.608999
500.0,500,101.456528
500.0,500,104.877956
500.0,500,105.708818
500.0,500,109.083956
500.0,500,109.895299
500.0,500,110.727672
500.0,500,114.096097
500.0,500,114.939732
500.0,500,118.367714
500.0,500,119.190717
500.0,500,120.019547
500.0,500,123.553885
500.0,500,124.40752
500.0,500,127.943071
500.0,500,128.805259
500.0,500,129.624689
500.0,500,132.988841
500.0,500,133.821166
500.0,500,137.18506
500.0,500,137.990047
500.0,500,138.815745
500.0,500,142.178591
500.0,500,143.00395
500.0,500,146.48122
500.0,500,147.328819
500.0,500,148.147048
500.0,500,151.542072
500.0,500,152.397575
500.0,500,155.897354
500.0,500,156.747734
500.0,500,157.586795
500.0,500,161.064572
500.0,500,161.890229
500.0,500,165.280933
500.0,500,166.089895
500.0,500,166.906246
500.0,500,170.278296
500.0,500,171.095535
500.0,500,174.459668
500.0,500,175.288057
500.0,500,176.12479
500.0,500,179.500964
500.0,500,180.343526
500.0,500,183.837252
500.0,500,184.683672
500.0,500,185.51832
500.0,500,188.996342
500.0,500,189.822496
500.0,500,193.169888
500.0,500,193.955466
500.0,500,194.748211
500.0,500,198.000379
500.0,500,198.775586
500.0,500,201.986509
500.0,500,202.771496
500.0,500,203.543839
500.0,500,206.741357
500.0,500,207.514189
500.0,500,210.699491
500.0,500,211.461103
500.0,500,212.232253
500.0,500,215.414141
500.0,500,216.189878
500.0,500,219.345534
500.0,500,220.11792
500.0,500,220.888845
