#{"t_start": 1614621950.5218625, "env_id": "EnduroNoFrameskip-v4"}
r,l,t
0.0,13312,744.729254
0.0,13312,1480.026584
0.0,13312,2215.92629
0.0,13312,3069.587931
0.0,13312,3804.731217
0.0,13312,4534.105597
0.0,13312,5374.558754
0.0,13312,6099.342202
0.0,13312,6831.926705
0.0,13312,7680.117192
0.0,13312,8412.089003
0.0,13312,9143.471159
0.0,13312,9991.76988
0.0,13312,10725.50305
0.0,13312,11459.789364
0.0,13312,12300.845745
0.0,13312,13026.471557
0.0,13312,13752.184218
0.0,13312,14593.20612
0.0,13312,15318.96633
0.0,13312,16045.502269
0.0,13312,16771.80546
0.0,13312,17617.100644
0.0,13312,18347.177448
0.0,13312,19078.729284
0.0,13312,19927.730124
0.0,13312,20660.335091
0.0,13312,21391.646505
0.0,13312,22240.277948
0.0,13312,22973.085866
0.0,13312,23705.284445
0.0,13312,24560.539065
0.0,13312,25327.323751
0.0,13312,26092.300868
0.0,13312,26979.574556
0.0,13312,27745.059637
0.0,13312,28510.286111
0.0,13312,29397.839609
0.0,13312,30162.32633
0.0,13312,30927.7062
0.0,13312,31692.455872
0.0,13312,32579.63697
0.0,13312,33345.38965
0.0,13312,34110.659072
0.0,13312,34998.003736
0.0,13312,35762.267205
0.0,13312,36525.006694
0.0,13312,37410.770697
0.0,13312,38174.784227
0.0,13312,38939.89145
0.0,13312,39825.532682
0.0,13312,40589.823992
0.0,13312,41355.028507
0.0,13312,42242.718168
0.0,13312,43007.097065
0.0,13312,43771.770899
0.0,13312,44657.522784
0.0,13312,45421.523424
0.0,13312,46186.54034
0.0,13312,46950.370999
0.0,13312,47837.06866
0.0,13312,48591.14097
0.0,13312,49333.163633
0.0,13312,50194.26236
0.0,13312,50937.095678
0.0,13312,51679.453106
0.0,13312,52540.438399
0.0,13312,53281.972886
0.0,13312,54024.354428
0.0,13312,54884.562857
0.0,13312,55626.62997
0.0,13312,56370.802565
0.0,13312,57232.134355
0.0,13312,57974.886032
0.0,13312,58718.642025
0.0,13312,59580.53694
0.0,13312,60324.923589
0.0,13312,61068.429073
0.0,13312,61812.215772
0.0,13312,62673.42593
0.0,13312,63416.24426
0.0,13312,64157.98077
0.0,13312,65019.488209
0.0,13312,65763.423897
0.0,13312,66505.917814
0.0,13312,67365.571842
0.0,13312,68108.110638
0.0,13312,68851.918026
0.0,13312,69711.69411
0.0,13312,70455.756617
0.0,13312,71196.497249
0.0,13312,72056.744693
0.0,13312,72800.307556
0.0,13312,73543.315364
0.0,13312,74285.664737
0.0,13312,75145.621146
0.0,13312,75887.229091
0.0,13312,76629.418943
0.0,13312,77490.751245
0.0,13312,78233.483665
0.0,13312,78976.351717
0.0,13312,79836.930827
0.0,13312,80581.580684
0.0,13312,81336.235607
0.0,13312,82209.219957
0.0,13312,82962.047403
0.0,13312,83715.010772
0.0,13312,84587.199376
0.0,13312,85339.125786
0.0,13312,86091.891248
0.0,13312,86967.939294
0.0,13312,87724.145425
0.0,13312,88477.548882
0.0,13312,89231.190353
0.0,13312,90104.640344
0.0,13312,90857.019612
0.0,13312,91608.199113
0.0,13312,92479.535123
0.0,13312,93233.019135
0.0,13312,93992.419622
0.0,13312,94866.113633
0.0,13312,95619.432865
0.0,13312,96371.498646
0.0,13312,97242.981452
0.0,13312,97994.152743
0.0,13312,98745.598941
0.0,13312,99617.393211
0.0,13312,100374.079053
0.0,13312,101126.661366
0.0,13312,101997.85321
0.0,13312,102749.405555
0.0,13312,103500.931365
0.0,13312,104253.253972
0.0,13312,105125.572318
0.0,13312,105878.152498
0.0,13312,106630.246728
0.0,13312,107505.884195
0.0,13312,108252.304388
0.0,13312,108999.065922
0.0,13312,109864.356415
0.0,13312,110612.429363
0.0,13312,111359.944485
0.0,13312,112226.305102
0.0,13312,112975.116244
0.0,13312,113727.371051
0.0,13312,114593.014607
0.0,13312,115339.445907
0.0,13312,116086.558797
0.0,13312,116952.499898
0.0,13312,117699.354449
0.0,13312,118446.930624
0.0,13312,119194.895589
0.0,13312,120063.219454
0.0,13312,120814.897603
0.0,13312,121561.593144
0.0,13312,122428.366469
0.0,13312,123176.369461
0.0,13312,123921.108796
0.0,13312,124784.628311
0.0,13312,125530.007184
0.0,13312,126274.267226
0.0,13312,127143.104797
0.0,13312,127887.695263
0.0,13312,128631.795558
0.0,13312,129495.215147
0.0,13312,130240.233321
0.0,13312,130984.497201
0.0,13312,131844.029319
0.0,13312,132585.379193
0.0,13312,133327.956344
0.0,13312,134071.931823
0.0,13312,134930.636951
0.0,13312,135671.481862
0.0,13312,136412.587394
0.0,13312,137270.07248
0.0,13312,138010.447547
0.0,13312,138751.33311
0.0,13312,139610.020212
0.0,13312,140355.720209
0.0,13312,141096.13966
0.0,13312,141953.591782
0.0,13312,142694.043234
0.0,13312,143434.166572
0.0,13312,144292.592456
0.0,13312,145034.790529
0.0,13312,145776.743235
0.0,13312,146637.010775
0.0,13312,147379.935796
