#{"t_start": 1637080618.5424986, "env_id": "HalfCheetah-v3"}
r,l,t
-284.287657,1000,4.021801
-324.031099,1000,5.610459
-209.557447,1000,7.199252
-487.988043,1000,8.785733
-405.621252,1000,10.386728
-508.869745,1000,11.974177
-393.29498,1000,13.558726
-338.541191,1000,15.143852
-278.966639,1000,16.728267
-398.776018,1000,18.311317
-460.247753,1000,19.895449
-818.388531,1000,21.480506
-350.826623,1000,23.065321
-465.704633,1000,24.650749
-500.457788,1000,26.237318
-468.990911,1000,27.826755
-482.887874,1000,29.413344
-302.695566,1000,31.001624
-236.760091,1000,32.589691
-145.356237,1000,34.176793
-194.531,1000,35.765023
-185.920927,1000,37.352756
-337.724639,1000,38.918138
-400.533244,1000,40.462858
-303.271543,1000,42.003107
-310.00182,1000,47.1985
-358.918611,1000,48.746049
-223.730624,1000,50.288207
-458.990697,1000,51.830208
-365.743393,1000,53.368354
-392.586193,1000,54.907357
-391.249231,1000,56.450627
-255.585898,1000,57.99227
-466.48225,1000,59.534514
-354.587256,1000,61.074434
-171.558043,1000,62.64364
-92.522208,1000,64.252625
-55.141075,1000,65.985702
62.707961,1000,68.36934
140.453412,1000,71.024681
66.842474,1000,73.676371
-122.93118,1000,76.335158
110.852547,1000,78.985972
-142.448049,1000,81.640074
103.964859,1000,84.277474
140.882254,1000,86.707084
227.611453,1000,89.076059
-19.196094,1000,91.419669
-50.300903,1000,94.036138
196.657883,1000,96.669814
114.153417,1000,104.854589
279.821102,1000,107.492694
-504.363882,1000,109.909681
181.041311,1000,112.238217
139.389925,1000,114.564295
51.126271,1000,117.160887
91.1369,1000,119.804811
193.624481,1000,122.448549
205.298778,1000,125.092752
211.043543,1000,127.740932
310.973256,1000,130.38397
410.893052,1000,133.009506
96.7309,1000,135.315791
446.344263,1000,137.630475
491.103435,1000,139.990247
648.155739,1000,142.618807
40.327467,1000,145.250561
384.106046,1000,147.8694
326.100332,1000,150.497822
565.695683,1000,153.116656
428.535414,1000,155.745773
591.550847,1000,158.28028
665.193221,1000,160.59466
441.175438,1000,162.90629
514.251462,1000,165.352353
412.019038,1000,173.470746
472.191915,1000,176.097492
190.787216,1000,178.726071
225.598635,1000,181.283568
325.480269,1000,183.597752
30.077539,1000,185.905375
206.600373,1000,188.32501
611.028576,1000,190.939134
688.809508,1000,193.56611
242.831327,1000,196.192576
582.355502,1000,198.818779
178.438547,1000,201.439364
-424.865656,1000,204.067742
-131.235187,1000,206.535146
-30.871756,1000,208.844299
-89.687847,1000,211.156348
120.127033,1000,213.667209
83.548673,1000,216.299152
42.994877,1000,218.925927
198.13864,1000,221.556686
186.387462,1000,224.190334
58.068236,1000,226.818715
-151.432421,1000,229.445025
4.823773,1000,231.801246
39.987391,1000,234.097599
35.101048,1000,242.398192
56.067001,1000,245.029323
145.117892,1000,247.662528
299.526184,1000,250.294281
286.725644,1000,252.929534
128.754753,1000,255.291769
248.383532,1000,257.607791
-166.974374,1000,259.921218
39.630353,1000,262.548011
293.99011,1000,265.183488
335.893413,1000,267.815878
-217.101283,1000,270.440082
42.277713,1000,273.062506
371.354522,1000,275.685201
278.763253,1000,278.276541
-138.562529,1000,280.576303
439.307936,1000,282.870257
657.89939,1000,285.277841
820.515987,1000,287.978375
946.011693,1000,290.67864
1112.353851,1000,293.386451
1051.198451,1000,296.096018
1122.102391,1000,298.791047
955.678453,1000,301.498198
1064.165617,1000,303.944968
1244.733759,1000,312.572746
1159.495772,1000,315.24752
1095.863093,1000,317.961577
1258.473972,1000,320.638189
1123.222025,1000,323.312266
1216.441365,1000,325.985518
1426.610805,1000,328.327522
1468.810262,1000,330.63444
1700.73312,1000,332.958523
1348.134567,1000,335.653816
1547.660785,1000,338.358365
1867.351837,1000,341.043711
1785.934487,1000,343.741239
1691.609005,1000,346.401737
1775.14274,1000,349.082086
1594.254443,1000,351.631127
1470.763787,1000,353.925932
1700.378593,1000,356.231024
1620.768915,1000,358.741532
1238.130427,1000,361.447982
1017.502998,1000,364.138765
1670.338235,1000,366.824494
1697.865392,1000,369.505025
1000.366261,1000,372.195601
1088.869744,1000,374.897081
1142.171322,1000,383.60951
-39.692966,1000,386.299352
1218.177309,1000,388.990599
1597.36484,1000,391.675542
1799.189571,1000,394.361842
-5.207184,1000,397.056631
1430.308399,1000,399.679276
1333.349889,1000,401.979872
642.047354,1000,404.28301
967.198429,1000,406.71931
1405.112928,1000,409.406522
1442.61592,1000,412.087048
1429.151478,1000,414.778868
1014.317325,1000,417.452904
997.724615,1000,420.145965
1493.966253,1000,422.857119
1427.857069,1000,425.294621
1520.319213,1000,427.591698
1895.194916,1000,429.885988
1446.326629,1000,432.501271
1881.88134,1000,435.293413
1489.509596,1000,438.515774
1668.569965,1000,442.25897
1608.060634,1000,446.007012
2147.293509,1000,449.75632
1863.189452,1000,460.444824
1534.239032,1000,463.859568
1499.16546,1000,467.268402
-665.194879,1000,470.882488
1843.904096,1000,474.637074
207.446596,1000,478.410899
2075.472563,1000,482.164168
1377.032298,1000,485.646486
-804.181705,1000,489.115307
906.697679,1000,492.814786
-412.270515,1000,496.246665
156.88424,1000,499.677462
-41.288989,1000,503.33375
809.32171,1000,507.087606
2288.003384,1000,510.82254
2476.807699,1000,514.422337
-714.545533,1000,517.886484
-70.933832,1000,521.465701
-8.808071,1000,525.209908
-502.264801,1000,528.598452
-449.743594,1000,531.993997
876.331854,1000,535.618329
-45.357316,1000,539.356781
-842.347618,1000,543.10705
403.363901,1000,546.561767
1586.483582,1000,557.476398
-960.911693,1000,560.859247
1540.027392,1000,564.26503
1764.218031,1000,568.019456
2131.780231,1000,571.770457
467.711551,1000,575.335009
-340.483789,1000,578.785744
732.588265,1000,582.372852
1332.125502,1000,586.129069
1284.544353,1000,589.78881
1205.612967,1000,593.181079
70.494538,1000,596.578794
722.099728,1000,600.272039
1192.722902,1000,603.990165
1459.161814,1000,607.465359
1880.684544,1000,610.918549
-343.004655,1000,614.66258
-166.848417,1000,618.429815
511.381385,1000,622.112649
-374.760867,1000,625.495121
435.00979,1000,628.8967
38.725629,1000,632.56938
562.768335,1000,636.132625
1089.895157,1000,639.582547
1103.477653,1000,643.169517
502.392749,1000,654.164364
1575.086627,1000,657.569544
1863.33721,1000,660.981441
1804.214524,1000,664.586804
-681.642243,1000,668.032894
2050.971382,1000,671.533505
1812.503278,1000,675.290451
1139.086168,1000,679.040353
419.080758,1000,682.789481
1616.140831,1000,686.46507
1007.501415,1000,689.879054
1406.196678,1000,693.291267
2034.989558,1000,696.71764
2241.720157,1000,700.166328
2030.770959,1000,703.801425
2133.497151,1000,707.559292
1992.999504,1000,711.305565
2380.758974,1000,715.055227
-70.428945,1000,718.777833
2525.823555,1000,722.214103
1855.9443,1000,725.505027
2157.294516,1000,728.779037
2442.513358,1000,732.231551
1676.380864,1000,735.970519
1765.28596,1000,739.709603
980.514676,1000,750.745258
1943.648144,1000,754.149418
1962.441251,1000,757.182598
2050.328011,1000,760.483968
1524.13362,1000,764.084783
1443.721617,1000,767.842697
2170.373177,1000,771.60587
1166.262334,1000,775.370418
-419.970151,1000,779.133989
-377.23273,1000,782.871616
1832.002642,1000,786.200908
2740.317894,1000,789.127685
2688.377904,1000,792.311677
576.596973,1000,795.992313
1044.650503,1000,799.780823
-497.041831,1000,803.582371
-61.391501,1000,807.378797
-753.048577,1000,811.177232
-361.966962,1000,814.970814
-337.218964,1000,818.256832
306.767811,1000,821.277181
210.95927,1000,824.553873
225.202861,1000,828.335699
229.61515,1000,832.140453
199.983572,1000,835.926158
266.573443,1000,846.978693
304.251376,1000,850.0123
901.512569,1000,853.024418
1445.109798,1000,856.560061
1690.150082,1000,860.344194
1309.66383,1000,864.148067
1829.241712,1000,867.940907
1846.443069,1000,871.733474
1311.23396,1000,875.513901
