#{"t_start": 1614621243.0076036, "env_id": "HalfCheetahBulletEnv-v0"}
r,l,t
-878.590623,1000,11.970615
-437.040074,1000,22.969512
-161.14117,1000,51.833963
-73.947066,1000,61.777163
162.654185,1000,73.52923
195.620127,1000,102.655731
374.594768,1000,113.431156
-330.580087,1000,142.46647
487.708201,1000,153.418494
450.530554,1000,164.639006
528.860927,1000,194.117162
483.38413,1000,204.883881
391.223959,1000,233.795995
659.326291,1000,244.841594
664.900642,1000,255.954064
-82.915647,1000,284.63278
593.325259,1000,295.454016
680.246611,1000,324.538894
652.57764,1000,335.51332
317.611614,1000,346.559875
691.260872,1000,373.846423
610.208803,1000,385.109314
763.664099,1000,413.2135
711.119224,1000,424.456097
668.02678,1000,435.658244
697.608713,1000,464.135796
653.814326,1000,475.208346
597.576232,1000,504.221049
722.290148,1000,515.131277
743.904282,1000,526.084384
684.066812,1000,554.771057
708.273172,1000,565.623272
748.154493,1000,594.737563
784.67765,1000,605.910635
761.059289,1000,617.153776
542.442066,1000,646.285718
713.319861,1000,655.84355
707.099799,1000,683.009821
811.646328,1000,693.756391
802.610164,1000,704.194456
975.459123,1000,732.670481
952.543529,1000,743.79711
903.404936,1000,773.07998
1018.960799,1000,783.850396
1039.04808,1000,794.951308
1104.699173,1000,823.617608
974.033751,1000,834.453666
1263.831316,1000,863.572453
1284.431036,1000,874.680935
1185.00504,1000,885.809355
1317.888762,1000,914.829572
1357.344526,1000,925.64725
1284.918442,1000,953.995977
1328.490986,1000,964.538572
1315.661622,1000,976.088414
1308.687833,1000,1004.829226
1327.826935,1000,1015.395834
1336.520646,1000,1044.112767
1055.371153,1000,1054.903485
1316.569021,1000,1066.00162
1224.500034,1000,1094.955881
1206.498541,1000,1105.738265
1165.930029,1000,1134.814684
1010.250592,1000,1145.886865
1020.266409,1000,1156.965626
1334.213809,1000,1185.825342
1460.686635,1000,1196.644558
1421.106546,1000,1225.707955
1316.510732,1000,1236.824039
1370.262091,1000,1247.855556
1327.254434,1000,1275.233904
1441.499597,1000,1286.521275
1401.263692,1000,1315.053361
1446.991165,1000,1326.403047
-586.753973,1000,1337.515019
1525.512755,1000,1365.99474
1286.722616,1000,1376.759677
1506.471174,1000,1405.802245
1527.449359,1000,1416.911335
1485.219664,1000,1428.035326
1521.835061,1000,1457.141572
1450.193547,1000,1467.930078
1473.743406,1000,1496.786691
1439.148422,1000,1507.988071
1477.997925,1000,1519.217213
1483.798837,1000,1548.376729
487.025635,1000,1557.944483
1470.3744,1000,1586.318144
1481.396086,1000,1597.122691
1520.985717,1000,1607.437181
1539.508982,1000,1635.527036
1560.009045,1000,1646.251807
1666.14101,1000,1675.338846
1602.95446,1000,1686.167339
1603.300405,1000,1697.240431
1527.437081,1000,1726.173421
1594.077443,1000,1736.980601
1331.838423,1000,1765.945424
1655.507426,1000,1776.899939
1458.309903,1000,1787.988136
1537.660152,1000,1816.869318
1565.687895,1000,1827.632445
1594.36912,1000,1855.90158
1428.948134,1000,1866.557591
1399.968868,1000,1877.272449
1524.188988,1000,1905.775681
1294.7341,1000,1916.376219
1635.115754,1000,1945.100876
1632.600602,1000,1955.795393
1532.734647,1000,1966.708199
1522.598711,1000,1994.942639
1629.632721,1000,2005.642294
1502.971681,1000,2034.39122
1596.91406,1000,2045.391341
1702.185027,1000,2056.439451
1687.683621,1000,2085.383695
1492.246391,1000,2096.199156
1574.59512,1000,2125.084109
1543.316823,1000,2136.204141
1621.227629,1000,2147.250875
1716.871776,1000,2174.809028
1696.390112,1000,2186.0571
1679.217612,1000,2214.320115
1666.668713,1000,2225.029658
1771.121763,1000,2235.828489
1733.508992,1000,2264.489803
1832.498128,1000,2275.442256
1752.23244,1000,2304.405588
1825.662059,1000,2315.390875
1757.367737,1000,2326.469159
1715.340573,1000,2355.241187
1523.901136,1000,2365.937881
1705.765871,1000,2394.557729
1755.325946,1000,2405.536542
1747.169418,1000,2416.60405
1740.639257,1000,2445.192631
1766.752529,1000,2455.065852
1742.218012,1000,2482.522985
1747.307518,1000,2493.679882
1639.047764,1000,2504.38151
1838.617374,1000,2532.181289
1842.228618,1000,2542.77727
1962.541461,1000,2571.199488
1812.663454,1000,2581.890892
1937.532564,1000,2592.827535
1883.653812,1000,2621.368325
1913.271117,1000,2632.481575
1939.42475,1000,2661.222806
1996.381054,1000,2671.86783
1899.280507,1000,2682.841372
1905.805135,1000,2711.614
1794.428508,1000,2722.344139
1779.052048,1000,2750.961263
1739.936048,1000,2760.336923
1809.686214,1000,2771.217742
1930.271621,1000,2799.336652
1884.012667,1000,2809.713817
1762.559373,1000,2838.371652
1859.348424,1000,2848.978528
1922.652862,1000,2859.992207
1729.550701,1000,2888.777869
1787.958874,1000,2899.72698
1800.90099,1000,2928.348729
1890.155887,1000,2939.131729
1821.149488,1000,2950.192224
1885.903495,1000,2978.973715
1808.712474,1000,2990.114764
1880.483551,1000,3018.880647
1983.647006,1000,3029.581425
1923.119592,1000,3040.580255
1837.08398,1000,3067.405955
1858.988604,1000,3078.048082
1839.774212,1000,3106.189734
1920.58713,1000,3116.866027
1905.077954,1000,3127.650305
1850.209135,1000,3155.756835
1705.102982,1000,3166.757087
1832.13051,1000,3195.451005
1700.729805,1000,3206.074836
1773.80144,1000,3217.050572
1880.698607,1000,3245.796823
1826.858052,1000,3256.877446
1972.512744,1000,3285.443871
1904.718288,1000,3296.158973
1984.264495,1000,3307.056825
1928.13209,1000,3335.845428
1788.361227,1000,3346.755775
1781.189278,1000,3373.025161
1860.155499,1000,3384.221444
1887.444183,1000,3395.374379
1799.132423,1000,3423.488122
1920.823028,1000,3434.723732
1867.426837,1000,3463.340018
1830.744053,1000,3474.413036
1751.278114,1000,3485.166624
1778.258773,1000,3513.545552
1852.070051,1000,3524.551523
1734.72741,1000,3553.274886
1754.601322,1000,3563.984535
1899.37642,1000,3574.931834
1607.142886,1000,3603.578345
1794.117747,1000,3614.692745
1867.977523,1000,3643.444093
1967.966976,1000,3653.717257
1822.474567,1000,3663.513214
1907.252884,1000,3691.404424
105.083911,1000,3701.991696
1905.426794,1000,3729.771069
1947.198374,1000,3740.881918
1916.871658,1000,3751.656253
1984.742181,1000,3780.364838
1839.2574,1000,3791.371666
1747.981448,1000,3819.979806
2040.796246,1000,3830.97575
2077.764954,1000,3841.665151
1968.301798,1000,3870.324296
1958.20702,1000,3881.387748
1808.867302,1000,3910.149312
1708.384072,1000,3920.948915
1873.073975,1000,3931.936274
1871.676414,1000,3959.188517
-275.845546,1000,3969.543471
1810.295809,1000,3997.702116
1803.409451,1000,4008.154434
1921.964116,1000,4018.732556
1971.937083,1000,4046.953047
1943.916707,1000,4057.973412
1851.503374,1000,4086.589666
1960.508418,1000,4097.68351
1738.12444,1000,4108.55155
1649.536442,1000,4137.634547
1725.641299,1000,4148.848111
1711.17289,1000,4177.893612
1699.081803,1000,4188.924048
1580.662186,1000,4199.69874
1761.413891,1000,4228.449664
1838.229287,1000,4239.522559
1742.12559,1000,4266.254109
1770.003606,1000,4276.644058
1762.955944,1000,4287.287699
1555.331681,1000,4315.054716
1568.821311,1000,4325.680445
1485.472518,1000,4353.951621
1697.0149,1000,4365.02815
1523.889557,1000,4375.865182
1652.559177,1000,4404.791004
1198.947984,1000,4415.633953
1716.711601,1000,4444.186167
1670.46775,1000,4455.257723
1421.920434,1000,4466.005865
1561.064878,1000,4494.882567
1626.384978,1000,4505.909513
1637.077251,1000,4534.617343
1706.35247,1000,4545.550608
1625.196359,1000,4555.297543
1579.911704,1000,4579.677948
1522.203115,1000,4588.893279
1625.630022,1000,4613.247749
1663.272321,1000,4622.467518
1455.668963,1000,4631.649923
1601.100639,1000,4655.960178
1695.462696,1000,4665.099676
1582.383834,1000,4689.484729
1639.50716,1000,4698.787295
1400.879563,1000,4709.762136
1546.327347,1000,4738.1105
1529.773587,1000,4749.427585
1525.987829,1000,4777.829508
1353.548414,1000,4788.819021
1540.086718,1000,4799.830721
1609.837688,1000,4828.588627
1403.06886,1000,4839.399249
1600.771931,1000,4868.438287
1575.878785,1000,4880.034273
1398.344944,1000,4891.592068
1577.982139,1000,4921.293171
1651.383286,1000,4932.728911
1644.532315,1000,4962.703871
1628.564042,1000,4974.013583
1622.820305,1000,4985.376647
1567.320073,1000,5015.277892
1445.010919,1000,5026.577876
1170.536019,1000,5056.538593
1397.913884,1000,5067.801299
1469.274508,1000,5078.979359
1381.897842,1000,5108.260457
1516.778213,1000,5118.992026
1521.253367,1000,5147.777711
1540.57317,1000,5158.685698
1488.3674,1000,5168.716467
1550.2794,1000,5197.712974
1538.887971,1000,5208.406474
1496.422941,1000,5237.616953
1535.104561,1000,5249.039209
1661.81855,1000,5260.365506
1562.626012,1000,5290.079491
1575.770689,1000,5301.427001
1679.395693,1000,5330.906543
1665.185443,1000,5341.863389
1711.474954,1000,5352.624366
1688.320936,1000,5381.317503
1296.484404,1000,5392.264974
1624.330583,1000,5420.85056
1685.806157,1000,5431.609118
1710.643855,1000,5442.663007
1687.010459,1000,5471.573905
1622.74497,1000,5482.462386
1697.27526,1000,5511.734611
1740.00105,1000,5523.109263
1708.939644,1000,5534.491954
964.68867,1000,5564.302314
1720.570462,1000,5575.625236
1610.542471,1000,5604.86631
1726.409754,1000,5615.659923
1595.675464,1000,5626.64461
1663.206749,1000,5655.182206
1735.906689,1000,5666.22358
1692.926668,1000,5694.72283
1794.388239,1000,5705.438863
1791.687609,1000,5716.480264
1753.994284,1000,5745.272208
1781.866788,1000,5756.214337
1833.593827,1000,5784.343464
1682.600447,1000,5795.70605
1686.111421,1000,5807.010973
1717.980974,1000,5836.038841
1697.498309,1000,5847.348001
1816.09424,1000,5875.480138
1755.489295,1000,5886.502589
1695.484858,1000,5897.51686
1763.799057,1000,5926.032698
1797.840502,1000,5936.697377
1817.165239,1000,5965.3101
1789.151571,1000,5976.262957
1616.316922,1000,5987.230035
1748.2931,1000,6015.692306
1802.670382,1000,6026.335274
1682.042157,1000,6054.947495
1805.986616,1000,6065.090172
1812.314587,1000,6075.669779
1728.540583,1000,6105.052122
1728.981863,1000,6116.028676
1761.888669,1000,6143.962442
1683.380692,1000,6155.218422
1800.487705,1000,6166.388013
1702.773284,1000,6194.79363
1772.571658,1000,6205.477918
1736.461806,1000,6234.114666
1777.84361,1000,6245.035002
1787.698326,1000,6255.757157
1722.199287,1000,6284.399951
1882.427253,1000,6295.356502
1792.214699,1000,6324.170835
1861.553175,1000,6335.130902
1771.266895,1000,6345.720273
1918.062291,1000,6375.004446
1856.080257,1000,6386.034366
1890.937856,1000,6414.031075
1941.323739,1000,6425.004894
1851.240577,1000,6435.909258
1908.547137,1000,6464.438428
1920.025407,1000,6475.129858
1883.914399,1000,6503.641539
1876.008582,1000,6514.608878
1836.704709,1000,6525.584337
1875.170788,1000,6554.151773
1788.085726,1000,6564.826862
1888.453834,1000,6593.381352
1853.737302,1000,6604.398159
1839.553805,1000,6615.350043
1862.030028,1000,6643.856873
1872.303831,1000,6653.160303
1850.835506,1000,6679.856899
1884.58469,1000,6690.574067
1845.591918,1000,6701.271311
1820.681486,1000,6729.445883
1869.690537,1000,6740.619783
1899.540954,1000,6769.196828
2000.940881,1000,6779.900002
1924.621598,1000,6790.873453
1892.093129,1000,6819.156341
1905.000194,1000,6830.097589
1913.473583,1000,6858.549836
1809.614595,1000,6869.236626
1681.924995,1000,6880.22146
1831.414707,1000,6909.066192
1738.252259,1000,6919.94329
1733.715339,1000,6948.743889
1789.621129,1000,6958.060441
1920.7011,1000,6968.342592
1766.53873,1000,6996.345265
1822.831564,1000,7006.573865
1865.360483,1000,7034.850807
1838.523367,1000,7045.593168
1868.577794,1000,7056.354893
1922.870332,1000,7084.963792
1931.124386,1000,7096.017797
1847.576885,1000,7124.790396
1908.944473,1000,7135.51668
1840.051848,1000,7146.506427
1896.400799,1000,7175.213032
1838.329499,1000,7186.109082
1588.447317,1000,7214.729218
1807.146142,1000,7225.465141
1860.483114,1000,7236.445527
1868.881144,1000,7263.662403
1925.497768,1000,7274.185138
1876.000523,1000,7302.140463
1890.768447,1000,7312.641025
1968.436511,1000,7323.156832
1957.045629,1000,7351.120925
1904.217949,1000,7362.08298
1923.327401,1000,7390.815153
1968.06452,1000,7401.792073
1850.841536,1000,7412.480519
1951.671051,1000,7440.925268
1917.513843,1000,7451.872756
1946.233647,1000,7480.220003
1978.298465,1000,7491.067048
1955.668626,1000,7501.747329
1976.084919,1000,7530.317228
1982.775612,1000,7541.308869
1985.67597,1000,7567.858397
1964.215754,1000,7578.492291
1991.561343,1000,7589.182399
1339.760803,1000,7616.821136
1932.273751,1000,7627.882881
1857.988702,1000,7656.303171
1876.832019,1000,7667.32644
1874.334584,1000,7678.062901
1895.543086,1000,7706.726047
1870.764026,1000,7717.645778
1895.084536,1000,7746.215356
1927.284398,1000,7757.199088
1918.509408,1000,7767.895725
1920.258898,1000,7796.482971
1833.277097,1000,7807.461387
1907.085281,1000,7835.925972
1956.923299,1000,7847.0215
1966.560254,1000,7856.428414
1976.912088,1000,7884.493673
1945.143519,1000,7895.801221
1974.740824,1000,7923.605461
1974.812088,1000,7934.303273
1875.270181,1000,7944.821739
1987.284473,1000,7973.529889
2013.976523,1000,7984.524502
1981.070204,1000,8013.113998
1975.35944,1000,8024.102234
1948.753791,1000,8034.766418
1960.996132,1000,8063.339833
1956.409794,1000,8074.359043
1969.341226,1000,8103.023869
1983.614544,1000,8114.013874
1916.154118,1000,8124.696572
1991.04911,1000,8152.450439
1999.933048,1000,8161.929899
2010.038445,1000,8189.943124
1991.530215,1000,8200.78683
2023.090081,1000,8211.262862
2054.41857,1000,8239.710116
2027.183517,1000,8250.422743
2034.791929,1000,8278.984612
2009.702627,1000,8289.915158
1872.271138,1000,8300.582677
2066.57223,1000,8329.179192
2001.997285,1000,8339.885303
2022.31668,1000,8368.32427
2043.408239,1000,8379.222516
2009.676016,1000,8389.844355
2062.856991,1000,8418.618522
2025.112721,1000,8429.578203
1920.981048,1000,8456.331518
1980.164506,1000,8466.519243
2099.604864,1000,8477.141606
2047.678592,1000,8504.98875
2050.685837,1000,8515.554342
2030.489179,1000,8543.426628
1981.438355,1000,8554.366004
2000.093009,1000,8565.343537
2039.822583,1000,8593.990817
1998.666915,1000,8604.701342
1988.530271,1000,8633.332239
2053.091089,1000,8644.277515
1938.823108,1000,8655.245628
2023.703482,1000,8684.002005
1982.410914,1000,8694.676642
2032.55373,1000,8723.344814
2049.478112,1000,8734.294421
2097.029302,1000,8745.234752
1986.605628,1000,8771.401363
2008.929862,1000,8782.044956
1949.090778,1000,8810.108751
2048.32114,1000,8821.48467
1968.491075,1000,8832.630219
1959.503654,1000,8860.937223
2014.525512,1000,8871.53189
2048.233539,1000,8900.072631
2075.495897,1000,8910.96753
2032.016139,1000,8921.99427
