#{"t_start": 1614621275.0320861, "env_id": "HopperBulletEnv-v0"}
r,l,t
23.781194,9,0.467842
23.578673,11,0.550312
18.328584,5,0.593501
16.474158,5,0.628442
16.778443,5,0.671287
19.061154,6,0.719389
24.350284,12,0.808326
17.036798,7,0.861819
19.23309,12,0.956446
21.775447,9,1.031029
31.625194,20,1.183017
30.085568,19,1.333894
37.999872,28,1.558536
40.1431,27,1.76749
23.060497,15,1.887798
47.967345,36,2.170684
46.992941,66,2.691357
18.485807,7,2.746222
19.972465,7,2.800629
61.843087,56,3.237955
103.830444,93,3.957713
19.991799,9,4.030502
62.108987,57,4.487132
109.736924,75,5.065765
70.428435,92,5.778563
128.604001,118,6.709808
160.431704,190,8.195043
22.167737,16,8.320371
144.382773,137,9.396514
124.711643,102,10.194887
176.785774,117,11.097394
212.734517,152,12.266877
159.206391,115,13.195188
106.592445,140,14.278456
93.600802,59,14.744684
88.524859,73,15.307365
190.132446,154,16.495074
126.141202,82,17.126679
114.357037,75,17.71834
442.78367,342,27.606529
238.238016,224,29.341148
426.083931,314,31.77823
141.636094,104,32.57637
412.563851,272,34.664849
715.554767,438,38.009295
36.009602,25,38.202234
75.290721,60,38.657979
475.8214,305,40.990542
378.567106,300,43.302044
389.179772,343,45.954976
411.511341,396,62.935279
149.764587,120,63.866772
588.385198,690,69.238448
851.802852,1000,77.050322
812.256864,1000,98.8519
868.80887,1000,106.659063
861.425158,1000,128.317198
861.986147,1000,136.161972
535.415188,613,140.989606
24.378522,22,141.159213
860.363882,1000,162.970899
832.99094,1000,170.821697
875.202472,1000,178.669371
862.853034,1000,200.259857
879.809259,1000,208.114867
111.852665,114,208.998583
869.426608,1000,230.708351
537.132622,651,235.780562
161.114545,147,236.925751
95.141549,86,237.596093
1023.145388,1000,245.342176
341.741733,386,262.088502
1150.7657,1000,269.83788
720.520222,641,274.783936
76.592877,120,275.717432
847.650802,696,294.249805
1017.036115,1000,301.960115
247.39707,260,303.975474
967.871679,1000,311.697459
1068.684329,1000,333.060067
1040.685576,1000,340.748633
987.313164,892,355.730591
372.733983,339,358.341808
258.014822,245,360.255402
235.364739,209,361.872824
135.82187,122,362.812819
155.191894,119,363.731004
159.12976,134,364.769667
130.207667,121,365.705407
142.867033,143,366.810264
134.912472,118,367.714702
224.51659,176,369.063654
393.678704,278,371.191789
404.440428,425,386.785784
974.943237,1000,394.561302
1007.48893,1000,402.207351
477.523555,539,410.051564
17.843449,19,410.194096
190.964801,201,411.728803
73.070249,83,412.372211
14.924145,13,412.465265
259.720723,277,414.578317
18.02599,17,414.70848
1002.431043,1000,422.374832
426.071757,443,425.790595
1035.902554,1000,441.692843
933.405484,1000,449.417344
18.803491,13,449.534295
914.16191,1000,470.945145
25.746612,32,471.186913
995.009021,1000,478.926035
910.200774,1000,486.655011
931.189703,853,506.69624
865.160179,1000,514.356225
882.715424,1000,535.675423
862.380056,1000,543.431045
21.97248,34,543.694809
10.157109,33,543.947819
12.191321,29,544.175717
468.048559,524,548.219383
856.159481,1000,567.195281
796.595995,1000,574.92555
798.373679,1000,582.741495
824.827817,1000,603.211832
243.020859,272,605.319614
122.975543,153,606.507088
173.477687,175,607.860281
62.756685,70,608.404681
50.752026,73,608.972306
871.29697,1000,625.307969
880.272024,1000,633.150208
852.486966,1000,640.976714
905.97685,1000,662.514996
880.6804,1000,670.340531
754.173062,817,676.694158
959.275596,1000,697.964776
908.669228,1000,705.721544
886.036042,1000,727.185529
714.416726,771,733.157911
931.136434,1000,740.865573
573.613765,614,759.124905
509.092949,535,763.259668
48.552162,39,763.57303
197.090688,159,764.80308
18.880731,39,765.111935
274.771377,215,766.776614
215.955985,229,768.562611
221.070128,193,770.069913
90.266116,73,770.638334
595.089985,751,776.485125
862.379323,1000,785.614867
1006.028854,1000,793.240725
429.733686,389,796.217884
26.169345,19,796.35656
482.869564,424,813.12923
19.294188,27,813.342187
462.892686,408,816.485389
315.003024,297,818.785028
893.885837,1000,826.517688
906.902953,1000,839.58143
851.531684,1000,847.293509
68.030928,71,847.844826
23.261198,21,848.000229
198.539862,223,849.725094
16.53639,7,849.77936
883.943788,1000,871.417151
923.157722,1000,879.113071
142.210266,134,880.149327
171.910715,167,881.436895
133.348208,187,882.876787
576.353698,566,887.220505
901.6034,1000,908.4541
885.966132,1000,916.19798
262.307457,308,918.604399
860.653786,1000,940.262422
49.249657,42,940.591795
118.983444,106,941.413028
145.580562,177,942.776036
875.589066,1000,950.507466
262.616384,257,952.491524
191.732345,191,958.650494
277.896286,299,960.969744
63.728427,76,961.570972
64.264778,48,961.93738
171.848918,154,963.131888
152.730812,136,964.193831
871.299791,1000,972.077831
890.129119,1000,992.705997
830.293565,1000,1000.554726
864.076601,1000,1008.412063
884.046161,1000,1030.115807
20.628445,13,1030.223769
871.970643,1000,1038.066606
349.081533,358,1040.85393
918.55863,1000,1062.415188
467.520143,552,1066.694085
943.545647,1000,1074.373433
956.752664,1000,1095.581526
129.46651,127,1096.548368
344.242292,313,1098.962677
945.868167,1000,1106.660542
476.854184,454,1123.798525
529.040891,464,1127.366876
124.415418,106,1128.182661
74.477014,63,1128.656117
1005.598154,787,1134.681512
1292.956023,1000,1142.345813
685.779632,592,1160.483576
17.570176,6,1160.531177
108.704641,87,1161.185333
1141.2475,1000,1168.842635
921.228454,823,1175.159882
1290.5014,1000,1196.344241
70.956487,53,1196.75518
1163.621143,1000,1204.421053
299.290509,243,1206.283604
1176.221327,929,1226.931277
180.743611,126,1227.893042
398.138102,284,1230.065852
249.258922,186,1231.4816
430.966616,300,1233.76641
256.130475,179,1235.138391
780.376882,520,1239.109477
915.47926,706,1258.011999
340.613796,228,1259.764753
504.938773,365,1262.575661
56.982378,41,1262.894545
191.68253,137,1263.949938
117.279631,87,1264.628333
136.534193,97,1265.385442
195.691865,160,1266.618983
358.546142,295,1268.901905
264.926591,186,1270.348002
151.333246,106,1271.15947
173.361151,164,1272.41648
63.461534,48,1272.786006
391.753967,279,1287.152767
143.79309,116,1288.051245
177.733242,119,1288.971343
191.755876,139,1290.034557
383.344881,281,1292.20089
1193.377316,1000,1299.927697
668.087523,500,1303.793306
386.190247,330,1320.099267
171.079819,129,1321.098466
292.766659,209,1322.716168
340.34155,253,1324.648657
55.643972,107,1325.471802
143.084964,113,1326.339977
338.65777,271,1328.423366
751.872089,527,1332.484389
73.901986,53,1332.89616
217.372583,155,1334.089141
692.125561,498,1337.916347
169.138836,128,1352.519223
107.056362,89,1353.21107
1078.884078,704,1358.620117
132.021841,91,1359.329899
55.970852,42,1359.647508
359.916637,246,1361.552263
636.861784,480,1365.269164
464.048253,314,1367.685611
279.143369,202,1369.227736
729.672602,523,1386.738158
235.080189,163,1387.97426
525.415796,353,1390.666211
1293.68088,937,1397.828979
26.878269,18,1397.963057
1157.005707,741,1417.013657
78.46279,61,1417.487734
572.922502,392,1420.494531
1173.285453,749,1426.244145
410.661845,265,1428.266326
362.467094,243,1430.126415
151.985514,105,1430.940356
313.282852,218,1432.612557
1555.383645,1000,1453.808368
1421.084061,1000,1461.534126
1499.155979,1000,1481.54225
268.031141,172,1482.923241
204.704149,144,1484.058106
777.473637,559,1488.293178
577.961902,343,1491.012195
1034.529245,638,1495.920838
867.218409,530,1500.015422
482.908122,309,1516.017571
189.296585,136,1517.071904
400.287783,240,1518.926819
1522.951194,893,1525.819508
392.553052,238,1527.656503
1551.928329,868,1548.014055
565.00204,315,1550.452251
1806.245805,1000,1558.152405
1789.599674,1000,1565.848881
1666.448982,1000,1587.148051
589.437585,317,1589.588968
1982.519747,1000,1597.324476
1456.230181,851,1617.448547
1752.72785,1000,1625.174203
418.376807,290,1627.428922
637.677981,405,1630.554569
348.179067,217,1645.826881
484.608845,344,1648.488984
743.831014,441,1651.906389
749.212184,492,1655.72681
349.26102,242,1657.588361
1600.687793,1000,1678.832466
1526.035172,995,1686.524431
393.810419,233,1688.331479
551.791492,318,1690.795111
240.931993,144,1691.91064
699.73181,402,1695.008405
765.590812,474,1708.290321
956.375533,517,1712.28366
1098.172372,675,1717.498748
759.560186,415,1720.702581
959.439099,536,1724.828192
934.987598,524,1741.718202
745.544316,419,1744.938106
802.645818,456,1748.460242
718.828644,415,1751.659413
513.835596,283,1753.833918
168.29429,111,1754.695063
161.408556,108,1755.528878
86.015945,62,1756.01564
205.354586,125,1756.977428
1241.636397,698,1773.25667
160.873823,108,1774.080693
875.209159,470,1777.696885
1650.674087,1000,1785.384573
912.510199,540,1803.04221
1628.594941,1000,1810.721343
424.799557,292,1812.963171
939.323423,579,1817.424507
1004.714758,717,1836.463758
1802.214974,1000,1844.15444
458.210843,259,1846.156014
327.258592,184,1847.567261
1850.005507,1000,1868.719803
1000.964693,541,1872.890795
748.124145,390,1875.897661
463.949491,259,1877.883196
1733.322069,1000,1885.552634
328.926324,208,1887.19791
357.524182,200,1902.20502
1743.622935,1000,1909.850561
1821.961648,1000,1917.535647
1686.485195,886,1937.920675
1807.72002,1000,1945.588334
1645.169067,842,1952.08343
1821.115268,1000,1973.360592
2026.832942,1000,1981.072989
86.747373,123,1982.02862
1992.985106,1000,2002.06823
1203.458863,606,2006.758404
1764.405277,872,2013.483092
351.594105,184,2014.90866
766.851907,414,2031.68278
1872.096437,1000,2039.380339
1883.367879,1000,2047.061285
1065.865617,569,2065.003278
1951.908426,1000,2072.712704
1215.908846,634,2077.582865
913.12221,478,2081.274001
701.811293,362,2091.512554
580.328154,304,2093.856725
496.66795,295,2096.130605
235.651674,137,2097.198591
83.161953,60,2097.659286
101.321084,63,2098.152762
103.425777,65,2098.661633
157.453801,115,2099.554001
298.468467,184,2100.98509
