#{"t_start": 1652872865.6912324, "env_id": "Humanoid-v3"}
r,l,t
81.238795,17,1.178163
79.633571,17,1.203356
90.818691,19,1.236168
85.790234,20,1.268223
246.844996,50,1.350477
76.699443,16,1.375626
114.037951,24,1.414272
157.399759,33,1.468582
91.4402,19,1.496088
80.827522,17,1.52583
85.379232,18,1.552856
75.128259,16,1.580229
85.665476,18,1.6072
90.441123,19,1.643102
89.261887,19,1.671762
97.747428,20,1.701812
87.474667,19,1.731535
100.441912,22,1.76327
148.10739,33,1.813738
114.930201,26,1.853236
81.291098,17,1.877232
107.54843,25,1.915106
83.740225,18,1.944252
81.033493,17,1.971597
125.410565,31,2.020097
157.796273,34,2.076357
145.803687,35,2.133226
80.949222,17,2.161242
77.860817,17,2.186581
111.646493,26,2.228232
120.028993,26,2.268532
81.509867,17,2.295432
80.250084,17,2.31967
114.623808,25,2.35754
110.112039,23,2.39288
120.926435,25,2.430988
103.936194,25,2.468169
89.23111,19,2.497963
91.191996,20,2.528229
81.216305,17,2.551997
111.127052,24,2.587555
143.59984,30,2.633576
102.721326,24,2.670166
94.409011,20,2.699914
76.76589,16,2.725269
94.029026,23,2.759513
79.018515,17,2.78599
99.922318,23,2.818889
124.540329,26,2.860422
95.868019,21,2.891943
109.204722,24,2.928891
120.632414,27,2.968442
94.099443,20,2.998441
74.089251,16,3.021489
118.166646,26,3.061317
89.149456,20,3.09122
84.800722,19,3.119897
119.100091,28,3.16398
105.895687,22,3.195357
80.457593,17,3.221765
86.430671,18,3.24753
86.113599,18,3.275294
90.69347,19,3.303696
99.57978,22,3.336344
127.55314,29,3.380333
116.630927,26,3.418053
90.632651,19,3.448249
92.004278,20,3.478
89.185677,19,3.508731
73.955633,16,3.532233
80.428257,17,3.556222
89.60287,20,3.586024
93.071139,20,3.615349
104.990694,23,3.651449
101.387812,22,3.683252
144.803731,32,3.734407
140.890023,32,3.781603
101.936227,23,3.817407
120.634976,28,3.859962
81.065854,17,3.886307
95.10229,20,3.915672
137.126868,31,3.961961
80.793436,18,3.987204
95.241933,21,4.020471
191.715164,47,4.092595
114.426136,25,4.129807
75.801786,16,4.153859
82.523991,18,4.181697
79.602712,17,4.205736
139.549338,30,4.254665
149.576189,34,4.306632
83.155214,18,4.335489
158.072722,36,4.389286
171.365227,40,4.450502
200.572353,47,4.521069
210.766944,42,4.586644
89.27308,20,4.616432
237.789917,52,4.695995
165.795602,36,4.750365
181.649308,39,4.809412
94.330735,20,4.84026
101.18074,22,4.871696
155.729461,36,4.927557
127.823388,30,4.974754
263.914606,56,5.06384
89.069248,19,5.092267
171.986108,39,5.150676
149.916648,32,5.200719
79.894974,17,5.224759
96.068622,20,5.255743
107.162201,22,5.289907
180.832886,40,5.351518
183.218692,38,5.407809
138.225313,29,5.452994
107.163692,22,5.485316
206.923838,43,5.552298
198.798698,42,5.614681
115.738706,27,5.658653
210.145432,43,5.722221
332.751356,67,5.830734
102.451122,23,5.864437
101.038505,22,5.899903
129.192462,29,5.945748
93.445567,20,5.976189
249.016891,53,6.058308
159.606463,34,6.110892
123.099347,27,6.151232
292.773213,60,6.245352
152.411491,32,6.295853
319.128942,59,6.38904
142.650025,31,6.435919
263.584426,53,6.518956
260.876997,54,6.607575
262.869089,54,6.691695
116.052343,27,6.730841
179.541822,41,6.796627
188.52892,39,6.854028
173.854961,38,6.91348
84.558335,18,6.942647
88.792974,19,6.968594
98.950261,24,7.005114
241.12225,51,7.08429
192.534783,46,7.159883
282.943338,56,7.247283
253.173182,58,7.338529
284.269933,64,7.44012
247.403721,53,7.52457
93.821111,20,7.555125
241.838851,51,7.633054
200.160683,41,7.696715
301.556854,65,7.801257
221.383975,46,7.874184
312.32156,63,7.979106
233.749283,53,8.06547
328.05158,65,8.171098
286.903911,62,8.270791
317.778391,63,8.392808
280.657571,55,8.487579
174.783967,35,8.547536
286.853892,58,8.64484
265.759071,52,8.733475
308.090722,69,8.852542
279.491871,60,8.952108
196.136137,46,9.031266
267.780506,55,9.121576
337.724286,73,9.243118
220.972791,43,9.314384
209.265356,42,9.38324
263.929481,52,9.473027
320.289288,64,9.576092
403.597212,81,9.713546
286.055365,57,9.812701
270.745488,54,9.905423
162.560088,36,9.9627
269.269229,58,10.057562
416.833089,86,10.198391
318.602832,60,10.299089
289.765557,57,10.395176
456.434411,90,10.548185
269.089794,62,10.655168
263.749627,58,10.749767
218.085451,46,10.823194
170.764869,36,10.883869
113.812893,25,10.923289
308.593491,60,11.020651
302.302311,70,11.135765
310.21717,62,11.238781
315.734326,68,11.352343
280.003533,66,11.4596
178.343684,43,11.531086
185.54811,39,11.593975
349.796842,70,11.711873
316.199555,60,11.808037
69.989984,16,11.831613
209.512897,48,11.910131
357.121405,71,12.026268
220.918908,48,12.105329
71.308396,16,12.12892
125.656567,26,12.169805
256.492407,53,12.257228
238.308679,56,12.349094
256.868554,54,12.438867
251.486068,60,12.539309
95.208853,21,12.572405
273.60173,57,12.665483
263.180618,55,12.759575
248.359878,55,12.852321
216.927518,49,12.936165
269.531652,53,13.027674
67.810797,15,13.050671
276.667886,55,13.147788
84.463407,19,13.179148
264.085332,56,13.275698
243.479245,53,13.361965
231.883129,55,13.453958
249.397931,52,13.543081
336.129269,73,13.665389
261.931076,61,13.770387
265.431581,53,13.861715
267.496177,54,13.953185
319.839259,63,14.062082
266.267821,52,14.150177
238.41884,49,14.233697
91.018081,20,14.264291
292.920728,58,14.360451
236.292026,48,14.446774
281.678644,58,14.548262
242.382681,50,14.631932
320.243499,65,14.741685
217.317578,46,14.81989
216.411028,45,14.898211
261.065531,55,14.990965
237.29516,46,15.066453
250.236795,48,15.149604
283.759452,55,15.242527
272.880132,56,15.337797
228.747908,50,15.422258
248.033375,50,15.507448
253.313712,51,15.591628
183.857819,40,15.657613
297.376069,59,15.758101
248.121776,53,15.845683
198.360855,44,15.920249
320.000689,63,16.023957
234.232016,47,16.099185
247.866636,51,16.185399
338.548316,69,16.30265
297.103214,63,16.410602
243.481454,52,16.49451
379.75899,77,16.624293
223.284413,50,16.708256
265.497586,52,16.793558
144.554845,32,16.845089
316.124427,64,16.950771
137.891349,29,16.995963
238.880381,46,17.070643
253.286752,52,17.159745
285.107818,56,17.253015
256.047511,51,17.340678
225.516177,48,17.421753
347.73039,67,17.532751
228.742607,51,17.617604
118.755362,26,17.657374
224.311242,49,17.739101
352.952577,76,17.866834
227.260593,46,17.946274
245.923554,51,18.032148
299.459523,58,18.127846
152.703596,34,18.184193
364.561234,74,18.309125
250.120033,55,18.402038
277.484749,57,18.496338
217.645022,46,18.574295
268.776574,59,18.668729
281.62369,59,18.769224
234.39325,52,18.856731
