#{"t_start": 1614710446.7902718, "env_id": "LunarLander-v2"}
r,l,t
-82.2554,101,0.556968
-139.661276,82,0.749545
-277.003914,116,1.049268
-243.325017,130,1.37368
-140.408404,136,1.73136
-497.558118,154,2.147765
-194.126671,218,2.949698
-153.131078,173,3.642558
-121.991325,147,17.177349
-147.667915,179,18.353402
-246.088553,414,21.001364
-245.106613,173,21.729192
-204.171748,230,22.699275
-98.860649,232,23.61428
145.25313,1000,36.93658
-240.272049,338,53.243662
-235.384372,258,54.258098
-230.394501,316,55.553278
-187.130172,212,56.415481
-168.992042,137,56.985974
-25.641359,175,57.843615
-64.542234,161,74.089649
-181.781164,207,75.167343
42.55597,178,75.955723
-24.584101,151,76.558158
-99.398206,147,77.291428
-85.055251,409,79.668846
-159.930433,198,91.204009
-153.698914,139,91.861589
8.068719,204,92.817436
66.891831,119,93.285178
33.488711,214,93.980454
-2.382896,151,94.547761
-16.014943,155,95.134939
8.997762,289,111.023722
174.846639,1000,117.200658
-38.768074,243,129.486536
-30.259605,111,129.914723
33.736082,118,130.409373
-64.626455,202,131.346346
-3.302188,204,132.327567
54.132656,154,132.923585
28.673528,161,133.551999
266.61012,615,149.588118
249.445144,286,150.659604
239.966971,448,152.726509
15.895494,154,162.390053
-19.121662,106,162.775066
36.717434,149,163.373462
44.293029,149,163.959682
252.205897,929,175.73039
17.948951,101,176.081611
63.38306,142,176.542551
51.634137,146,177.039501
-1.649018,186,177.687395
-205.629381,136,178.116985
-160.789646,145,178.646503
0.246336,145,179.151277
216.962031,467,191.113257
7.78577,286,192.067157
30.253636,97,192.363162
-165.062241,189,192.981023
5.601055,226,193.824675
246.445192,291,203.523049
-14.834929,228,204.371209
-1.80394,118,204.922024
-10.094003,186,205.657187
7.406102,110,206.022045
-1.473389,180,206.567112
89.35721,156,207.130699
33.74531,220,214.112568
-169.460361,150,214.722785
0.816176,202,215.384365
252.787278,315,216.441179
-24.237372,143,216.934996
30.159315,136,217.468977
-65.507548,97,217.753913
65.433104,151,228.24764
8.063557,187,229.05099
-0.694092,208,229.740324
280.951346,268,230.608945
34.847318,132,231.002634
243.544315,546,236.530164
277.162137,243,237.362465
233.469697,507,239.497015
79.32542,129,240.008437
-8.845696,86,240.353609
-40.572001,91,248.644291
59.880248,216,249.32968
47.997708,132,249.875048
36.614815,168,250.407789
6.948339,117,250.806897
264.66285,260,251.716466
-6.962647,201,252.439221
-59.05401,124,252.941579
40.069145,110,258.437714
64.854729,160,258.957671
26.148294,173,259.51081
-10.999111,271,260.508397
7.671336,143,260.952739
58.899227,151,261.509005
-149.885421,142,261.97298
269.333845,251,266.652328
285.411001,196,267.542756
13.323156,219,268.466941
69.992053,1000,279.211857
-1.250062,195,279.877378
284.179317,565,282.094767
