#{"t_start": 1614710446.7767987, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-119.935235,92,0.522169
-237.215207,101,0.779835
-114.845702,81,0.973727
-10.346307,92,1.187697
-104.684055,73,1.369698
-119.063541,87,1.585547
-381.183437,86,1.823175
-300.866791,105,2.156651
-273.071066,173,2.751047
-125.663167,89,3.061504
-494.575188,419,5.643415
-337.34738,112,6.144403
-222.183758,136,6.763422
-197.236211,129,7.200704
-52.439646,132,7.694732
-125.423601,839,53.125722
262.405236,294,55.51593
202.106008,820,64.533705
-127.690216,785,73.466149
150.839967,591,95.051396
220.296048,473,100.601074
150.640051,498,106.134414
246.553316,329,109.429021
213.663283,519,113.828603
145.663663,561,129.728186
254.534466,465,134.010497
223.867334,379,137.396429
249.795905,390,140.099507
-37.781898,342,142.577415
172.238255,398,145.03864
-68.854526,196,146.222833
58.526406,758,169.692209
-31.744113,522,174.690074
101.758784,825,184.030931
141.498854,719,235.463368
-88.744114,1000,245.487423
37.08084,976,255.173066
-55.206117,304,258.63609
170.163014,773,281.765798
66.050942,846,292.181753
157.612426,627,296.857441
171.171038,538,308.593892
158.738694,626,313.986231
-113.796264,138,315.089236
202.059993,845,322.86157
91.039236,762,356.90831
-182.310883,721,367.173806
-169.195726,395,371.477763
-112.978368,1000,385.903338
-101.814117,240,387.495074
-93.910594,1000,408.730788
-70.337278,1000,419.006866
-129.811802,162,420.326967
-120.655197,172,421.553313
-171.53739,525,447.926174
-114.86839,224,449.194226
-99.812315,177,450.588043
-97.65682,1000,460.246568
-112.400366,156,461.199373
-117.372682,288,462.836193
-96.327101,1000,488.869857
-113.337798,214,490.403868
-84.021332,141,491.236103
-45.432734,1000,504.371536
-153.426081,346,506.94821
-120.446062,1000,532.473747
-93.071498,366,535.781544
-97.642572,212,537.767576
-85.682904,256,540.208482
-145.833131,829,555.243121
-85.905031,355,571.447473
-199.460938,958,582.639518
-86.012611,216,585.227076
-49.972272,1000,596.291078
-107.282354,149,614.228493
-151.017354,365,617.925815
-143.725402,434,621.131589
-173.214628,416,624.751525
-60.364867,1000,634.820745
-183.476285,287,646.662138
-161.328703,187,647.777146
-114.482625,279,649.248996
-88.974019,157,650.566529
-175.623777,341,654.677304
138.329369,577,660.086192
150.214591,623,664.700573
-89.979289,132,665.470731
175.251637,976,680.233447
-168.671049,178,681.117051
-110.114996,564,685.314778
-168.734391,142,686.283809
-107.5623,244,687.772192
-185.305703,146,688.766922
-103.807204,1000,707.139753
-108.423078,636,711.347339
-187.775913,389,714.773164
-108.796957,399,717.625648
88.380486,665,729.552835
-140.262179,268,731.762389
-77.408754,171,732.866895
-90.858341,155,734.132791
-97.096625,219,735.872134
-69.194549,1000,746.123101
108.969986,676,767.556992
-149.312303,194,769.593711
