#{"t_start": 1614619328.3575108, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,1.284642
-200.0,200,1.839067
-192.0,192,2.374032
-199.0,199,3.899666
-153.0,153,4.60192
-160.0,160,5.403323
-158.0,158,7.082493
-157.0,157,7.553459
-123.0,123,7.918157
-124.0,124,8.283081
-178.0,178,8.8163
-133.0,133,10.488781
-127.0,127,10.873015
-165.0,165,11.370517
-122.0,122,11.73924
-123.0,123,13.107374
-124.0,124,13.491516
-164.0,164,13.998618
-124.0,124,14.383037
-195.0,195,14.985138
-161.0,161,16.620578
-113.0,113,16.941919
-90.0,90,17.203126
-109.0,109,17.530031
-89.0,89,17.79892
-175.0,175,19.434764
-160.0,160,19.908079
-183.0,183,20.440316
-97.0,97,20.729796
-158.0,158,22.520774
-120.0,120,22.880462
-90.0,90,23.148239
-87.0,87,23.406119
-152.0,152,23.861373
-161.0,161,25.523375
-96.0,96,25.814381
-156.0,156,26.264505
-155.0,155,26.710003
-88.0,88,26.971024
-155.0,155,28.534223
-153.0,153,28.977152
-98.0,98,29.262936
-170.0,170,29.75804
-151.0,151,31.302595
-126.0,126,31.680179
-166.0,166,32.17778
-157.0,157,32.639535
-108.0,108,32.952518
-158.0,158,34.599056
-166.0,166,35.110102
-164.0,164,35.617623
-169.0,169,37.302349
-127.0,127,37.662075
-111.0,111,37.97583
-156.0,156,38.431333
-163.0,163,38.899161
-170.0,170,40.706635
-170.0,170,41.216938
-91.0,91,41.48969
-88.0,88,41.755316
-158.0,158,42.229981
-158.0,158,43.785445
-89.0,89,44.052784
-165.0,165,44.548114
-88.0,88,44.813621
-162.0,162,46.363943
-157.0,157,46.832554
-161.0,161,47.318287
-151.0,151,47.767517
-102.0,102,48.075077
-86.0,86,49.54849
-156.0,156,49.999276
-165.0,165,50.468316
-157.0,157,50.907308
-148.0,148,52.248013
-156.0,156,52.695523
-152.0,152,53.137852
-152.0,152,53.587781
-90.0,90,53.855983
-151.0,151,55.385826
-92.0,92,55.652689
-87.0,87,55.908774
-88.0,88,56.159469
-150.0,150,56.580903
-154.0,154,58.249861
-160.0,160,58.730399
-91.0,91,59.00617
-155.0,155,59.470083
-91.0,91,59.73525
-161.0,161,61.366253
-92.0,92,61.6419
-155.0,155,62.107928
-152.0,152,62.569538
-86.0,86,62.835136
-155.0,155,64.457336
-86.0,86,64.703512
-162.0,162,65.15449
-155.0,155,65.59145
-98.0,98,66.959352
-159.0,159,67.420486
-164.0,164,67.887584
-152.0,152,68.32777
-174.0,174,69.953414
-89.0,89,70.209094
-101.0,101,70.508061
-99.0,99,70.795124
-152.0,152,71.241759
-91.0,91,71.511164
-169.0,169,73.018918
-154.0,154,73.463437
-88.0,88,73.715788
-87.0,87,73.96242
-155.0,155,74.395088
-89.0,89,75.737321
-87.0,87,76.001841
-86.0,86,76.259384
-87.0,87,76.518908
-92.0,92,76.797962
-88.0,88,77.057729
-92.0,92,77.335376
-153.0,153,78.825807
-158.0,158,79.291812
-101.0,101,79.590664
-88.0,88,79.85344
-93.0,93,80.123684
-154.0,154,81.691187
-92.0,92,81.957268
-156.0,156,82.405452
-87.0,87,82.65272
-88.0,88,82.904431
-89.0,89,83.159853
-161.0,161,84.664316
-157.0,157,85.098386
-88.0,88,85.348362
-171.0,171,85.836992
-151.0,151,87.21684
-88.0,88,87.473889
-85.0,85,87.717921
-88.0,88,87.961045
-156.0,156,88.401738
-86.0,86,88.640921
-97.0,97,89.866613
-107.0,107,90.188961
-167.0,167,90.687362
-154.0,154,91.150023
-159.0,159,92.735562
-103.0,103,93.032231
-157.0,157,93.484337
-113.0,113,93.81222
-155.0,155,94.27973
