#{"t_start": 1614619328.3310304, "env_id": "MountainCarContinuous-v0"}
r,l,t
28.609651,938,2.017798
79.095979,243,2.343244
38.640705,760,3.368995
88.942018,128,3.539445
88.955166,129,3.711409
89.252785,120,3.878932
85.712934,150,4.077457
85.109537,162,6.225
84.805649,180,6.468594
88.53244,149,6.665737
68.211622,381,7.179071
90.478371,109,7.324942
90.750131,98,7.456851
81.317147,214,7.743577
87.123976,153,7.953777
84.317623,164,8.171006
83.048961,194,8.433518
82.642218,209,8.715669
80.593215,217,9.007997
89.406495,156,9.221623
82.456243,204,10.321738
72.663498,335,10.772493
89.449298,125,10.946296
93.262696,70,11.035674
88.224981,125,11.209509
90.942435,110,11.356861
85.42376,180,11.600782
80.978519,194,11.85496
89.003736,117,12.018367
89.132455,112,12.168233
80.595002,234,12.480603
93.784206,69,12.575748
92.362611,90,12.697912
87.618191,130,12.870852
87.748423,142,13.058758
86.996876,167,13.286174
90.581113,104,13.426165
92.720222,75,13.528989
92.486889,79,14.40013
89.36268,121,14.563201
91.769285,94,14.690706
89.20238,114,14.843887
92.448174,81,14.954927
93.886914,79,15.063298
89.192113,145,15.255775
90.141389,112,15.405678
93.847818,73,15.506278
61.237949,478,16.151103
90.469313,110,16.298935
90.1204,109,16.445104
83.105369,179,16.68786
88.167859,134,16.866208
77.905632,269,17.230986
92.831713,72,17.323003
85.003147,194,17.584959
90.446626,100,17.719559
91.459969,103,18.543312
93.767221,74,18.64497
92.823514,76,18.749751
92.140114,83,18.86311
93.097008,78,18.96281
88.493395,135,19.150241
92.475522,77,19.256295
92.497198,88,19.369076
90.41043,111,19.525648
84.108029,176,19.758015
77.540689,254,20.104753
91.143937,91,20.228255
90.29628,106,20.370972
89.839205,103,20.509991
83.177284,189,20.765534
85.369099,174,20.994999
91.245696,91,21.118536
78.670726,234,21.439275
91.353474,89,21.560256
87.752712,146,21.754363
91.134138,90,22.633644
91.621141,90,22.755869
89.426066,128,22.927014
92.281127,83,23.040215
87.584644,157,23.255341
92.442711,81,23.359029
80.118979,218,23.660528
90.802462,102,23.798304
94.331502,74,23.89331
85.292873,157,24.108848
87.400898,130,24.28227
82.874294,183,24.530881
82.970713,207,24.810356
85.171411,163,25.033486
91.36202,88,25.152999
91.883379,89,25.267026
84.021612,165,25.49211
93.969895,66,25.58395
91.122391,96,25.713723
90.082993,100,25.848796
91.58873,89,26.683489
92.95527,84,26.791318
93.024127,77,26.896919
82.195541,185,27.148126
74.073542,299,27.552469
91.1,89,27.673571
91.650247,85,27.78986
91.619481,88,27.90981
93.66529,69,27.998023
93.167506,80,28.108224
92.493713,77,28.213867
88.122842,143,28.404316
92.255537,86,28.521853
91.369402,88,28.641999
86.483094,151,28.849874
85.144034,150,29.049609
92.500377,77,29.155419
93.007199,83,29.268839
93.062395,77,29.374568
90.759422,100,29.510312
92.292744,80,29.612937
92.043466,83,29.726569
85.015786,166,29.953552
91.892586,84,30.734895
91.997704,84,30.842733
89.400315,113,31.001489
93.363806,79,31.102774
90.867992,129,31.282524
89.648728,108,31.427962
85.857708,151,31.628224
92.079322,82,31.740384
85.437232,167,31.968467
91.738373,84,32.082815
90.34947,110,32.230798
87.561411,142,32.419629
86.035218,171,32.652959
91.686199,87,32.771206
92.371488,79,32.879277
91.774027,84,32.986748
82.97383,214,33.273798
85.244218,177,33.513512
85.732396,153,33.723118
93.107722,73,33.823694
92.027556,82,33.928843
79.715733,246,34.926241
93.369118,81,35.036834
92.476128,85,35.145476
91.957554,82,35.257449
76.441784,242,35.587343
93.467709,69,35.675372
91.651169,93,35.801049
92.391127,78,35.907474
92.285641,95,36.035647
92.45567,81,36.146258
92.062387,83,36.259424
92.714891,84,36.373533
91.935142,82,36.478338
92.453612,78,36.584803
91.814984,95,36.713055
91.976626,83,36.82622
89.222323,126,36.994199
93.034781,71,37.091776
92.718558,78,37.198122
90.980034,93,37.324553
91.9839,87,37.435616
93.925696,66,37.526902
92.858816,73,37.627206
91.215591,90,37.748896
91.629536,87,37.866965
91.567608,86,37.976602
93.380102,76,38.08055
91.409945,95,38.922446
90.956329,92,39.047058
85.947566,164,39.270964
90.60327,116,39.426738
91.593917,88,39.54678
85.229282,177,39.787654
91.04327,91,39.904114
92.924381,76,40.008464
92.773526,77,40.114383
91.595993,85,40.230495
90.488238,97,40.361643
91.290596,90,40.483946
91.782701,85,40.59977
85.357527,157,40.807592
91.49917,86,40.925005
86.714412,160,41.144413
90.872085,121,41.30638
82.818308,198,41.574143
84.484724,163,41.790351
91.385796,88,41.910548
89.933751,106,42.053861
91.391757,90,42.176426
