#{"t_start": 1652821616.4525626, "env_id": "MsPacmanNoFrameskip-v4"}
r,l,t
280.0,2034,13.986289
180.0,1474,18.575356
250.0,1922,24.565463
280.0,1906,34.792091
270.0,2098,41.522648
230.0,1882,47.623401
190.0,2010,57.989924
570.0,2586,66.260001
370.0,1714,71.686537
300.0,2546,84.821571
140.0,1722,89.987816
150.0,1962,95.956892
410.0,3314,111.879076
510.0,2482,119.350821
480.0,2914,132.84173
550.0,2786,141.449642
330.0,2394,148.842768
120.0,1762,158.342153
1140.0,2602,166.518415
500.0,2250,178.115123
410.0,2554,186.162389
520.0,2402,193.67979
810.0,2802,206.318295
780.0,3434,217.288563
410.0,2314,229.795092
470.0,2218,236.882725
700.0,3386,253.197589
410.0,2394,260.793429
800.0,2554,268.866212
1090.0,2818,283.013233
550.0,3122,292.9757
540.0,2426,306.593384
400.0,1658,311.622969
450.0,2562,319.369757
470.0,2762,333.746959
680.0,2586,341.968381
640.0,2714,355.135886
1350.0,3410,365.858827
770.0,2242,378.943142
550.0,2658,387.332308
270.0,1746,392.751205
650.0,2162,404.768607
430.0,2562,412.642749
250.0,2258,419.48741
480.0,2514,431.621277
850.0,2610,439.727483
780.0,3610,456.278991
580.0,2642,464.597947
460.0,3258,479.766347
1200.0,3394,490.489484
260.0,1690,495.855888
260.0,2626,509.3284
370.0,3002,518.772649
110.0,1682,530.150524
290.0,3066,539.842559
630.0,2058,546.363346
690.0,2178,558.336272
580.0,3482,569.271593
1720.0,2714,581.925767
1300.0,4138,594.844185
680.0,2706,608.042232
590.0,2930,617.210155
950.0,2794,631.653394
630.0,3082,641.383344
1080.0,2218,654.000202
840.0,2642,662.283119
470.0,2842,671.196521
520.0,2866,685.403463
610.0,2618,693.71797
560.0,1938,704.930995
300.0,1730,710.357775
250.0,1522,715.081153
350.0,2314,727.278908
800.0,3122,737.132053
320.0,1554,741.987406
300.0,2058,753.070047
630.0,2626,761.235948
860.0,2874,770.206879
320.0,1810,780.95363
280.0,2458,788.740492
1110.0,2978,803.305039
660.0,2866,812.327621
3910.0,3994,829.856165
470.0,2090,836.40038
590.0,2530,844.318721
320.0,2042,855.39256
520.0,2226,862.446581
590.0,2642,875.606077
320.0,2066,882.104643
710.0,3130,892.042425
460.0,2810,905.014922
840.0,2522,913.052981
730.0,2698,925.658345
300.0,2122,932.378088
670.0,3314,946.926644
630.0,2034,953.083765
1040.0,3458,963.759531
500.0,2370,976.03087
440.0,2082,982.536708
760.0,3002,997.225721
340.0,1490,1001.872206
420.0,1994,1008.21137
1320.0,3026,1022.511332
690.0,2306,1029.76961
390.0,1690,1035.078785
580.0,2002,1045.376014
640.0,2178,1052.147214
470.0,1642,1057.276103
720.0,2626,1070.424519
450.0,1690,1075.779141
580.0,2090,1082.360556
830.0,2330,1095.038753
520.0,2242,1102.110579
920.0,3706,1113.851481
1060.0,3322,1129.265441
640.0,2674,1137.714101
740.0,2786,1151.368613
520.0,2362,1158.827933
1530.0,3546,1175.435186
940.0,2850,1184.358681
890.0,3186,1198.790817
1330.0,3442,1209.687929
380.0,1538,1219.558109
740.0,2306,1226.750774
840.0,2530,1234.688238
720.0,3162,1248.903787
370.0,1938,1254.969455
1140.0,3218,1270.162965
1010.0,2938,1279.519435
2480.0,3738,1297.156865
410.0,2074,1303.678712
1240.0,2666,1312.058891
580.0,1954,1322.347467
1070.0,2386,1329.86736
1630.0,3562,1346.013385
260.0,1666,1351.278846
450.0,2106,1357.953982
330.0,1834,1369.865319
940.0,4154,1383.026038
1290.0,4466,1401.933562
450.0,1962,1408.18067
1260.0,3370,1423.515367
440.0,2026,1429.912198
480.0,2098,1436.511488
600.0,2122,1447.659466
640.0,2306,1454.975152
1030.0,3778,1470.884742
450.0,1874,1476.826744
910.0,2562,1485.005911
1150.0,3578,1501.902416
540.0,2082,1508.542783
960.0,2946,1523.562986
470.0,1770,1529.148786
370.0,1810,1534.914075
650.0,1954,1544.559824
490.0,2042,1550.995509
1060.0,2298,1558.253321
550.0,2010,1569.40606
860.0,2370,1576.895531
