#{"t_start": 1614619328.3308868, "env_id": "Pendulum-v0"}
r,l,t
-1565.265981,200,1.245551
-1049.056433,200,1.736299
-1603.038663,200,2.23245
-1648.065379,200,2.720248
-1472.050567,200,3.209135
-1622.306458,200,3.698167
-1631.819404,200,5.871006
-1430.292658,200,6.357701
-1440.489107,200,6.845627
-1410.535359,200,7.332045
-1541.460675,200,7.820381
-1516.868925,200,8.310337
-1448.823281,200,10.47455
-1556.895265,200,10.964275
-1404.026048,200,11.454586
-1559.429331,200,11.942915
-1470.95436,200,12.432751
-1516.614699,200,12.922409
-1570.976493,200,15.078162
-1608.785101,200,15.566187
-1591.719773,200,16.053849
-1566.315158,200,16.542348
-1404.849772,200,17.033498
-1621.811331,200,17.521834
-1492.986686,200,18.010796
-1522.525563,200,20.189862
-1516.1678,200,20.678764
-1407.220736,200,21.167701
-1410.838841,200,21.658504
-1490.756333,200,22.147673
-1384.125526,200,22.638368
-1350.326754,200,24.809479
-1189.494707,200,25.29857
-946.555285,200,25.786399
-1378.562023,200,26.275371
-1357.329669,200,26.770504
-1209.444728,200,27.259373
-1167.003208,200,29.427704
-1435.522291,200,29.91836
-1235.251406,200,30.409202
-1391.040745,200,30.899284
-1154.308985,200,31.390319
-1381.680347,200,31.880924
-1458.307648,200,34.043472
-1557.265151,200,34.534299
-1365.161065,200,35.022178
-1176.19553,200,35.507665
-1405.639493,200,35.993563
-1061.390061,200,36.480262
-1073.058292,200,36.967071
-937.298127,200,39.129497
-1408.524717,200,39.619004
-1211.081162,200,40.108493
-1120.991622,200,40.599261
-1241.897119,200,41.08861
-1210.565284,200,41.578926
-1396.969328,200,43.869104
-1510.97487,200,44.357383
-1249.335894,200,44.844716
-932.573406,200,45.332438
-1095.620565,200,45.819836
-1217.302526,200,46.30728
-1417.879665,200,48.461953
-1162.739439,200,48.953363
-1387.973153,200,49.443297
-1443.750171,200,49.934479
-1291.223521,200,50.424088
-1441.664677,200,50.914853
-1213.392597,200,53.05979
-1320.831092,200,53.54878
-1354.661589,200,54.039322
-1506.769701,200,54.52856
-1431.348749,200,55.018748
-1123.14007,200,55.507802
-1442.222336,200,55.995692
-1209.32423,200,58.150197
-1362.834016,200,58.640844
-1208.111036,200,59.131065
-1441.506159,200,59.619518
-1341.867921,200,60.108425
-1350.082495,200,60.598425
-1318.950966,200,62.746363
-1260.960582,200,63.235595
-1194.561367,200,63.725173
-1261.587727,200,64.214246
-1581.254578,200,64.704541
-1028.767229,200,65.19334
-1244.406433,200,67.341004
-903.821335,200,67.829941
-1251.647491,200,68.318379
-1143.853541,200,68.807855
-922.006452,200,69.296943
-890.842188,200,69.785288
-1069.906053,200,71.935874
-1455.798327,200,72.425161
-1179.396152,200,72.91366
-1252.657233,200,73.402885
-1085.88409,200,73.891377
-905.495543,200,74.379166
-1295.727047,200,74.868627
-1087.939234,200,77.042308
-1098.214079,200,77.531368
-1237.055513,200,78.020207
-912.997812,200,78.509206
-881.196074,200,78.996957
-1265.11353,200,79.48623
-1066.457759,200,81.642427
-1392.521406,200,82.130614
-1507.716458,200,82.621232
-1086.161451,200,83.10992
-1100.103041,200,83.598701
-1034.076762,200,84.088664
-1122.095689,200,86.242082
-1168.696717,200,86.735858
-1054.583248,200,87.225506
-1201.579535,200,87.715074
-1184.812603,200,88.203945
-1061.395077,200,88.694412
-884.224542,200,90.860414
-1041.540846,200,91.350215
-1126.187231,200,91.83832
-1018.503118,200,92.325671
-1023.815151,200,92.814112
-1375.0561,200,93.299868
-1462.237626,200,93.785944
-1198.359347,200,95.932648
-873.894354,200,96.419246
-903.92145,200,96.906287
-839.401952,200,97.3926
-788.182442,200,97.879446
-1093.238634,200,98.36925
-979.539678,200,100.524309
-1157.346586,200,101.011216
-1280.79995,200,101.496629
-999.864269,200,101.981187
-1014.724036,200,102.467636
-995.309313,200,102.953055
-983.305173,200,105.104138
-992.300205,200,105.593923
-1097.634785,200,106.080528
-1033.520605,200,106.575529
-881.561272,200,107.0648
-1006.125803,200,107.55065
-864.878183,200,109.688882
-981.118333,200,110.175036
-1060.765383,200,110.662902
-1001.934911,200,111.150664
-939.773573,200,111.638311
-969.439163,200,112.124521
-1042.828129,200,112.610934
-983.871287,200,114.755221
-983.564374,200,115.24376
-996.221229,200,115.73115
-972.906913,200,116.218172
-984.522371,200,116.711106
-1234.076885,200,117.198735
-974.047083,200,119.343542
-1102.762529,200,119.831749
-919.492531,200,120.318331
-862.630028,200,120.804672
-981.996522,200,121.291778
-885.531178,200,121.779743
-1026.022104,200,123.918348
-885.605922,200,124.405503
-898.455539,200,124.892628
-879.123079,200,125.378945
-970.070439,200,125.864665
-1004.214592,200,126.350892
-870.013039,200,128.511737
-979.467133,200,128.994088
-900.86894,200,129.476813
-851.499,200,129.959425
-975.825547,200,130.446052
-860.52225,200,130.930089
-1096.685125,200,131.412952
-883.542965,200,133.548191
-852.846066,200,134.034048
-872.881269,200,134.517453
-860.587234,200,135.001526
-852.507514,200,135.485197
-944.372377,200,135.969239
-829.949657,200,138.101494
-861.698087,200,138.584349
-835.243112,200,139.06662
-853.175878,200,139.54917
-740.4112,200,140.032143
-849.34229,200,140.516537
-972.021315,200,142.663566
-814.570093,200,143.153227
-427.656039,200,143.641938
-831.789582,200,144.130501
-878.822019,200,144.619071
-840.325433,200,145.108521
-751.089587,200,147.248685
-756.372822,200,147.732947
-873.689419,200,148.216285
-767.465436,200,148.699665
-622.506956,200,149.1814
-862.257184,200,149.662549
-634.554615,200,150.14578
-505.46458,200,152.277977
-640.306685,200,152.757985
-769.770147,200,153.239981
-766.260708,200,153.724494
-510.479427,200,154.209103
-635.466316,200,154.694031
-625.640372,200,156.82292
-631.708906,200,157.30465
-432.880642,200,157.787791
-513.291297,200,158.273728
-594.537395,200,158.753164
-480.379396,200,159.233541
-131.727143,200,161.352681
-890.871431,200,161.833541
-453.987788,200,162.312646
-1004.957015,200,162.791475
-606.007879,200,163.270013
-787.704785,200,163.748784
-259.617507,200,165.86879
-244.750481,200,166.350641
