#{"t_start": 1614870054.612348, "env_id": "PongNoFrameskip-v4"}
r,l,t
-21.0,3654,9.980872
-21.0,3168,16.28702
-20.0,3599,23.594261
-20.0,3787,47.129122
-20.0,4110,55.455195
-21.0,3890,63.399498
-19.0,3860,87.865593
-21.0,3168,94.271691
-20.0,3556,101.472513
-21.0,3595,108.760955
-20.0,3348,131.192921
-20.0,3348,137.950951
-20.0,4149,146.461993
-21.0,3240,168.955765
-20.0,3373,175.778394
-20.0,3596,183.017296
-20.0,3591,190.228092
-21.0,3304,212.229195
-20.0,3367,219.121363
-21.0,3408,225.990788
-20.0,3367,232.873788
-21.0,3680,256.322292
-21.0,3536,263.532832
-21.0,3243,270.131022
-21.0,3536,291.566167
-21.0,3552,299.24223
-19.0,4261,308.40809
-20.0,3485,316.069956
-21.0,3304,339.850371
-21.0,3563,347.032991
-21.0,3168,353.339586
-20.0,4201,377.240315
-21.0,3467,384.205655
-20.0,3719,391.77276
-19.0,3956,399.671172
-21.0,3056,421.918106
-19.0,3892,429.752178
-19.0,4338,438.400096
-21.0,3963,462.352718
-20.0,3864,470.089245
-21.0,4114,478.41674
-21.0,3168,501.893917
-20.0,3702,509.316745
-18.0,4897,519.192219
-21.0,3168,525.640131
-21.0,3132,549.673464
-18.0,4903,559.564997
-21.0,3560,566.642997
-20.0,4439,592.066059
-21.0,3621,599.508965
-21.0,3780,607.016283
-19.0,3731,629.958539
-20.0,4713,639.458332
-20.0,3787,647.134201
-21.0,3296,670.222191
-19.0,4183,678.886413
-18.0,4307,687.687646
-21.0,3725,711.547661
-20.0,3367,718.344147
-19.0,3812,726.014908
-20.0,3460,733.077827
-20.0,3719,757.350337
-21.0,3613,764.654211
-21.0,3377,771.574898
-19.0,3826,796.194868
-19.0,4141,804.503283
-20.0,3797,812.153831
-21.0,3128,818.517552
-21.0,3892,842.611223
-21.0,3536,849.831234
-21.0,3955,857.80343
-21.0,3280,881.62102
-21.0,4248,890.251024
-20.0,4012,898.476662
-20.0,4092,923.733456
-19.0,4708,933.168874
-20.0,3367,939.960053
-19.0,3729,964.24857
-20.0,3479,971.229427
-21.0,3296,977.743814
-21.0,4131,986.099778
-21.0,3408,1010.004791
-20.0,3839,1017.654504
-19.0,4794,1027.27534
-21.0,3408,1051.559931
-21.0,3768,1059.129427
-20.0,4102,1067.552272
-21.0,3131,1073.849243
-21.0,3548,1097.079865
-21.0,3416,1103.998958
-21.0,3296,1110.571048
-21.0,3520,1134.854524
-20.0,3797,1142.385073
-20.0,3800,1149.973952
-21.0,4282,1176.924755
-19.0,4661,1186.495978
-21.0,3528,1193.695584
-21.0,3485,1200.873979
-20.0,3348,1224.722917
-20.0,3963,1232.747133
-21.0,4130,1241.079806
-21.0,3056,1263.755902
-21.0,3408,1270.68785
-21.0,3652,1278.15661
-20.0,4271,1304.493288
-21.0,3371,1311.31795
-21.0,3056,1317.486932
-21.0,3603,1324.822434
-21.0,3544,1349.107882
-18.0,4769,1358.659945
-20.0,3847,1366.574457
-20.0,3719,1391.16944
-21.0,3304,1397.82447
-21.0,3613,1405.226109
-21.0,3484,1412.260814
-21.0,3131,1435.002431
-21.0,3880,1442.731726
-21.0,3652,1450.175521
-20.0,4439,1474.866707
-21.0,4192,1483.298783
-21.0,4136,1491.599019
-20.0,3787,1516.38835
-19.0,4445,1525.280974
-20.0,3607,1532.561634
-21.0,3240,1539.194274
-20.0,4280,1565.376549
-21.0,3408,1572.259424
-20.0,3685,1579.611042
-21.0,3371,1603.807717
-21.0,3371,1610.608238
-21.0,3788,1618.521057
-21.0,3483,1625.47113
-21.0,3412,1648.78045
-19.0,4276,1657.372319
-21.0,3652,1664.907565
-20.0,3793,1688.746917
-21.0,3528,1695.854142
-21.0,3408,1702.755524
-21.0,3294,1728.193906
-18.0,4269,1736.719643
-20.0,3971,1744.765858
-18.0,3978,1752.661414
-20.0,3855,1776.98171
-21.0,3392,1783.729086
-19.0,4479,1792.818338
-18.0,4787,1820.136339
-18.0,5084,1830.420598
-20.0,3944,1855.175683
-21.0,3408,1862.016222
-19.0,4249,1870.459766
-21.0,3587,1877.777934
-20.0,3833,1902.444362
-18.0,4682,1912.071829
-20.0,4503,1921.223902
-20.0,4507,1948.297623
-19.0,3903,1956.194389
-19.0,3864,1963.960713
-21.0,3918,1989.958296
-20.0,4343,1999.658762
-21.0,3888,2007.536872
-19.0,3971,2033.312584
-18.0,4239,2042.0204
-20.0,4134,2050.390227
-21.0,3243,2073.883465
-19.0,4723,2083.548047
-21.0,3648,2090.866233
-19.0,4462,2118.114118
-20.0,4090,2126.469083
-21.0,4392,2135.4069
-21.0,3851,2163.062606
-19.0,4629,2172.566667
-20.0,4857,2182.527198
-21.0,3835,2209.849214
-19.0,4286,2218.593865
-19.0,3963,2226.725442
-20.0,4028,2252.462794
-18.0,4360,2261.792569
-21.0,3888,2269.647371
-20.0,4251,2295.920512
-21.0,3168,2302.488318
-19.0,3904,2310.292759
-17.0,5239,2340.835937
-17.0,4764,2350.356623
-20.0,4717,2359.969383
-21.0,3652,2387.396496
-20.0,4529,2396.705493
-20.0,3899,2404.599758
-19.0,4585,2433.259486
-17.0,5018,2443.381684
-21.0,3408,2450.272722
-21.0,3412,2474.902445
-17.0,5242,2485.458997
-20.0,4266,2493.978645
-18.0,4957,2522.800021
-21.0,4210,2531.238155
-21.0,3599,2538.50828
-19.0,4660,2568.671679
-17.0,5489,2579.776757
-20.0,5067,2612.359987
-20.0,5129,2622.733004
-19.0,4837,2632.524833
-17.0,5253,2664.202092
-21.0,4163,2672.800596
-19.0,5733,2706.733417
-16.0,6327,2719.562327
-20.0,4999,2756.501701
-17.0,6485,2769.606048
-21.0,4826,2779.594278
-20.0,6896,2818.516835
-19.0,5538,2829.885739
-20.0,5569,2869.719201
-21.0,4936,2879.534033
-19.0,6352,2920.417044
-17.0,6650,2933.812176
-16.0,7010,2975.674425
-19.0,6858,2989.469947
-21.0,6688,3031.358481
-16.0,7211,3080.452504
-18.0,6753,3093.87898
-21.0,6212,3139.672538
-20.0,6100,3151.940021
-18.0,7554,3198.236638
-21.0,6643,3211.564728
-17.0,8088,3265.572618
-19.0,6671,3279.137717
-12.0,8536,3327.798051
-15.0,7700,3379.235989
-20.0,7676,3394.599905
-14.0,7586,3443.414285
-15.0,9080,3489.835508
-15.0,7459,3504.741057
-12.0,9419,3557.828974
-19.0,7764,3610.990752
-13.0,8796,3628.674849
-17.0,7872,3679.969606
-17.0,7551,3695.049356
-19.0,8334,3748.429522
-17.0,8910,3803.511621
-18.0,7121,3817.822247
-12.0,9804,3877.299276
-18.0,7007,3924.727264
-19.0,7934,3941.201308
-19.0,8084,3993.788532
-11.0,9167,4051.42906
-10.0,10990,4109.352863
-17.0,8166,4125.703545
-12.0,9993,4189.640662
-7.0,10588,4249.551492
-14.0,8340,4307.554108
-13.0,9070,4325.606459
-17.0,8086,4384.289964
-5.0,11546,4449.729441
-9.0,11989,4520.131782
-12.0,11028,4588.632169
-10.0,10585,4654.752721
-3.0,13186,4730.258087
-3.0,14159,4808.770218
-9.0,12514,4880.577319
-12.0,11051,4957.737673
-1.0,12593,5030.438338
-3.0,12351,5111.719924
-6.0,12410,5184.942572
5.0,11815,5264.380499
-9.0,9800,5284.341075
1.0,14436,5428.232365
-6.0,11527,5451.827773
-2.0,12928,5531.103816
-3.0,12992,5669.16067
-1.0,12952,5754.776066
1.0,13724,5838.570786
6.0,12803,5925.41527
2.0,14590,6010.919868
-2.0,13512,6095.050729
4.0,13909,6185.320852
5.0,14158,6275.896718
12.0,11413,6362.018003
4.0,16077,6460.492123
3.0,15628,6602.61342
2.0,15050,6689.787236
11.0,10800,6749.87586
16.0,9507,6769.45036
19.0,7178,6822.567673
17.0,7252,6869.751314
9.0,11937,6936.756374
14.0,8098,6953.290247
17.0,7948,7005.402445
19.0,8377,7022.206988
21.0,7977,7076.619939
20.0,6720,7128.370127
19.0,8353,7145.030131
19.0,8438,7196.208749
19.0,8575,7252.437504
19.0,8743,7270.142813
7.0,13505,7338.915522
19.0,6782,7387.942077
19.0,6898,7437.043858
21.0,7975,7453.134224
19.0,8195,7502.202676
20.0,6474,7515.246898
20.0,6698,7564.504066
20.0,8049,7616.488978
20.0,6474,7629.74472
17.0,7932,7687.064736
18.0,8032,7703.440309
20.0,6470,7753.349782
18.0,7212,7767.765788
14.0,7922,7818.393665
20.0,7988,7869.870446
20.0,6550,7883.145785
20.0,6522,7936.566927
21.0,7975,7952.782104
17.0,9140,8013.768855
12.0,9614,8072.322028
19.0,7000,8086.458938
20.0,6470,8135.419402
20.0,8262,8188.995278
20.0,8142,8205.192018
18.0,8728,8262.305657
20.0,6268,8274.914856
17.0,9072,8334.112493
16.0,7916,8387.443885
19.0,7246,8402.472178
20.0,6268,8452.926363
20.0,8478,8508.009722
17.0,9175,8526.459385
20.0,6268,8575.296033
