#{"t_start": 1614621951.6505744, "env_id": "QbertNoFrameskip-v4"}
r,l,t
150.0,1439,22.879694
175.0,1573,51.139719
175.0,1172,64.285867
225.0,1388,89.556834
550.0,1555,106.827798
150.0,1314,130.979126
250.0,1730,149.946508
50.0,1204,173.63164
150.0,1204,186.803175
250.0,1305,211.804572
275.0,1504,228.199369
150.0,1372,254.82302
200.0,1513,281.602887
225.0,1319,295.638376
100.0,1408,320.764271
100.0,1282,334.471956
125.0,1359,362.103309
100.0,1314,376.496108
75.0,1298,401.394869
25.0,1214,414.401877
175.0,1229,427.95198
125.0,1374,453.978015
200.0,1305,479.502634
75.0,1319,494.09652
175.0,1293,520.28641
125.0,1168,533.255193
175.0,1377,548.79858
50.0,1268,574.02572
500.0,1729,605.767753
75.0,1259,619.233935
300.0,1564,646.964165
250.0,1419,662.406152
125.0,1352,687.789249
700.0,1629,705.136072
75.0,1109,726.827257
625.0,1768,758.912829
100.0,1104,770.519586
100.0,1293,784.42901
125.0,1444,811.387721
175.0,1374,837.405447
325.0,1353,852.023241
250.0,1449,878.566916
150.0,1432,894.559632
100.0,1404,921.721165
175.0,1344,936.267262
0.0,1174,960.245454
150.0,1308,974.712198
75.0,1098,997.323895
100.0,1309,1011.562342
125.0,1244,1035.483987
150.0,1320,1049.647485
175.0,1180,1062.211689
0.0,1159,1086.008698
175.0,1467,1101.921587
150.0,1169,1125.806448
200.0,1709,1156.591701
675.0,1763,1175.862274
325.0,1415,1202.955658
175.0,1567,1220.10218
300.0,1405,1247.109062
825.0,2005,1279.765778
175.0,1278,1293.525311
100.0,1184,1318.491996
125.0,1049,1329.721307
250.0,1505,1356.893601
250.0,1544,1373.693033
300.0,1525,1402.857782
100.0,1232,1416.196635
250.0,1290,1441.512953
400.0,1670,1459.57698
175.0,1465,1488.020976
375.0,1764,1518.718806
175.0,1410,1533.840399
275.0,1320,1560.182333
250.0,1402,1575.685681
325.0,1475,1603.337285
225.0,1529,1619.670197
250.0,1235,1645.562805
400.0,1822,1677.429737
200.0,1650,1695.408564
325.0,1805,1726.661384
250.0,1159,1738.998045
200.0,1237,1764.558266
300.0,1677,1783.618626
350.0,1617,1813.772541
200.0,1222,1837.984713
250.0,1453,1853.551468
125.0,1039,1875.932854
100.0,1119,1888.011266
675.0,1624,1917.435277
250.0,1144,1929.628305
450.0,1940,1961.660398
425.0,1400,1976.607682
350.0,1555,2004.98734
350.0,1534,2021.617579
300.0,1654,2050.998058
200.0,1149,2075.012117
300.0,1299,2088.703329
200.0,1153,2101.308883
250.0,1285,2127.124136
225.0,1393,2153.653567
275.0,1300,2167.53297
375.0,1620,2196.541396
375.0,1607,2214.086004
250.0,1437,2243.488614
200.0,1294,2257.382433
300.0,1570,2284.899426
300.0,1310,2299.215271
275.0,1542,2328.332964
325.0,1564,2356.716818
200.0,1449,2372.536269
350.0,2013,2407.438162
600.0,1543,2436.099406
250.0,1172,2448.837003
200.0,1235,2462.179263
150.0,1133,2486.266055
200.0,1323,2500.394795
350.0,1959,2533.812057
350.0,1685,2563.640382
275.0,1597,2581.020098
275.0,1230,2606.339448
150.0,1119,2618.392267
200.0,1354,2646.390595
200.0,1550,2663.430854
300.0,1287,2690.004115
300.0,1567,2718.688438
250.0,1323,2733.377821
275.0,1269,2759.919611
300.0,1445,2775.274912
325.0,1435,2802.42902
125.0,1180,2814.886411
250.0,1174,2839.408591
225.0,1200,2852.39425
150.0,1319,2866.733181
275.0,1187,2891.696416
250.0,1350,2906.622372
350.0,1812,2938.375463
600.0,1714,2969.435139
250.0,1335,2983.768043
325.0,1454,3012.776335
325.0,1853,3044.968441
300.0,1642,3063.075689
175.0,1447,3090.519207
300.0,1507,3106.848618
525.0,1559,3136.674638
175.0,1604,3166.601048
275.0,1429,3182.304559
400.0,1675,3213.504448
475.0,1887,3245.912259
250.0,1305,3259.953838
275.0,1583,3290.396962
925.0,2124,3313.58471
250.0,1143,3338.269764
275.0,1449,3354.004635
200.0,1230,3379.922034
925.0,2380,3418.801103
300.0,1410,3434.220877
450.0,1721,3463.870957
300.0,1172,3476.437745
300.0,1158,3500.734957
300.0,1290,3514.442358
250.0,1404,3542.650007
325.0,1417,3570.468653
300.0,1602,3587.943908
300.0,1795,3620.909012
300.0,1590,3638.036902
325.0,1472,3665.853911
250.0,1175,3678.447453
225.0,1148,3703.826605
225.0,1245,3717.372233
400.0,1625,3747.986331
375.0,1700,3779.090695
200.0,1153,3791.83661
225.0,1250,3817.383075
325.0,1264,3830.870483
350.0,1370,3857.911345
275.0,1827,3878.209173
350.0,1517,3907.759324
275.0,1453,3923.460631
200.0,1379,3949.822129
200.0,1282,3963.424872
300.0,1168,3990.023655
250.0,1159,4002.545289
225.0,1295,4029.573762
425.0,2052,4064.732808
225.0,1189,4077.519835
350.0,1604,4107.001934
250.0,1335,4121.372722
325.0,1853,4152.257613
700.0,1867,4185.816689
350.0,1522,4202.404711
225.0,1215,4227.318777
325.0,1510,4243.424272
300.0,1588,4274.013943
350.0,1654,4292.16755
300.0,1567,4322.014113
225.0,1352,4348.251872
275.0,1769,4367.175035
300.0,1694,4398.433808
675.0,1479,4426.769082
225.0,1274,4440.279722
175.0,1200,4453.182548
350.0,1667,4485.326528
300.0,1208,4511.33159
325.0,1659,4529.256868
325.0,1432,4556.314156
150.0,1200,4568.944743
325.0,1555,4597.665126
275.0,1625,4615.095633
275.0,2135,4651.805983
200.0,1209,4677.246608
300.0,1398,4692.253683
325.0,1953,4725.546148
200.0,1290,4751.646327
175.0,1562,4768.348839
325.0,1485,4796.272035
600.0,1868,4816.442302
225.0,1307,4843.339838
300.0,1960,4877.04395
225.0,1457,4892.346006
275.0,1865,4924.370439
425.0,1804,4957.652633
375.0,1557,4975.026518
250.0,1277,5003.553952
375.0,1768,5022.533363
225.0,1222,5046.93398
225.0,1489,5063.068568
400.0,1627,5093.223186
525.0,1744,5125.660144
350.0,1470,5142.07856
350.0,1800,5173.618385
300.0,1562,5202.729617
400.0,1764,5221.53374
400.0,1987,5254.638401
875.0,2004,5289.322412
250.0,1504,5305.532923
600.0,2255,5342.788876
525.0,1608,5372.366143
300.0,1794,5403.942433
325.0,1960,5425.015528
650.0,1894,5459.458471
375.0,1597,5492.208328
675.0,1725,5510.602656
275.0,1462,5540.11504
600.0,1974,5575.330382
350.0,1400,5590.518979
275.0,1870,5624.405852
925.0,2325,5663.306211
300.0,1770,5696.44581
175.0,1185,5708.859641
325.0,1754,5740.448767
225.0,1447,5755.827844
250.0,1149,5781.686391
350.0,1620,5799.334
200.0,1448,5827.957125
275.0,1415,5843.15186
325.0,1697,5874.799279
225.0,1358,5902.408958
350.0,1669,5920.208435
675.0,2034,5955.063428
700.0,1672,5986.976725
225.0,1255,6000.506083
500.0,1897,6034.044654
575.0,1554,6063.949212
250.0,1434,6079.234496
375.0,1569,6109.580659
375.0,2010,6131.155517
325.0,1619,6160.813758
300.0,1272,6189.359538
325.0,1798,6208.713113
400.0,1635,6239.423496
675.0,1892,6271.842803
325.0,1482,6287.817719
350.0,1514,6318.735716
275.0,1638,6336.115038
325.0,1310,6364.05842
350.0,1532,6380.386024
325.0,1617,6411.663753
225.0,1375,6439.632108
325.0,1542,6456.102908
175.0,1348,6484.005319
325.0,1557,6500.826185
350.0,2218,6537.574556
375.0,1480,6565.805079
400.0,1935,6600.109091
225.0,1557,6616.714713
375.0,1782,6649.403877
325.0,1563,6666.177164
275.0,1425,6694.444463
175.0,1482,6725.001033
350.0,1672,6742.924143
325.0,1547,6771.734707
375.0,1490,6787.718711
275.0,1875,6821.04187
700.0,1700,6852.689948
400.0,1657,6870.32278
1000.0,2765,6913.793936
350.0,1480,6942.827444
650.0,1990,6978.504203
275.0,1692,6996.610944
300.0,1714,7029.867126
900.0,1834,7063.871319
300.0,1278,7077.299973
275.0,1580,7110.60762
350.0,1635,7142.1997
400.0,1952,7163.328909
250.0,2009,7198.772032
550.0,2584,7240.667849
325.0,1407,7270.553378
700.0,2082,7293.080861
400.0,1748,7325.487776
300.0,1524,7357.175851
425.0,1867,7377.158784
650.0,2079,7413.809385
675.0,1774,7446.982823
300.0,1625,7477.136525
950.0,1870,7497.273499
350.0,1710,7530.619308
725.0,2024,7567.79559
350.0,1320,7581.601418
325.0,1588,7612.921087
300.0,1532,7629.268383
700.0,2182,7668.41367
300.0,1905,7701.80578
350.0,1753,7735.697752
325.0,1272,7749.164887
525.0,1935,7783.416219
650.0,1730,7816.763022
500.0,2444,7855.338128
350.0,1225,7868.273357
925.0,2137,7904.912264
350.0,2309,7945.80023
275.0,1504,7961.997113
325.0,1599,7993.485118
650.0,2354,8034.469126
700.0,1725,8067.123513
675.0,1860,8087.174327
375.0,1537,8118.329485
225.0,1317,8132.278395
275.0,1479,8161.608607
325.0,1585,8193.170555
675.0,1539,8209.540461
475.0,2190,8248.757424
350.0,1350,8263.212553
700.0,1994,8299.248445
400.0,1875,8333.458173
425.0,1750,8365.766118
200.0,1324,8379.823487
475.0,2050,8416.778233
350.0,1415,8444.033581
375.0,1627,8461.369809
325.0,1720,8495.379086
750.0,2455,8538.02073
775.0,2027,8573.453638
400.0,1579,8590.435012
500.0,2070,8627.91033
250.0,1420,8657.747917
1300.0,3004,8707.754592
725.0,1644,8725.296483
275.0,1378,8755.335546
325.0,1639,8772.66877
650.0,1942,8810.921001
675.0,1923,8848.084492
775.0,2162,8886.022192
425.0,2107,8924.616258
475.0,2147,8964.988969
475.0,2049,8987.085924
325.0,1645,9020.855
650.0,1958,9058.343756
725.0,1769,9077.274994
825.0,2785,9123.63257
450.0,1975,9160.079873
450.0,1729,9193.910612
575.0,2647,9239.377476
450.0,2142,9280.957911
450.0,2027,9321.001252
825.0,3180,9373.705049
775.0,2587,9418.734238
1275.0,2743,9463.738876
425.0,2034,9504.726988
775.0,2392,9545.457058
725.0,1965,9566.529241
475.0,2137,9607.482634
425.0,2028,9649.799105
825.0,2675,9694.403341
450.0,1740,9728.52664
1200.0,2214,9769.149056
700.0,1692,9787.29552
650.0,2057,9827.724996
450.0,2072,9868.151726
400.0,1943,9907.375155
500.0,2755,9955.525177
775.0,2661,10004.240974
500.0,1654,10021.753659
475.0,2015,10060.167813
775.0,2560,10106.958764
575.0,2515,10150.530634
900.0,3214,10202.358845
1000.0,2687,10250.636379
775.0,2062,10291.780895
700.0,1705,10326.257766
775.0,2932,10376.406906
800.0,2447,10418.989503
825.0,2362,10463.040943
450.0,2422,10504.986854
1075.0,3414,10559.577804
800.0,2830,10605.767407
600.0,3002,10656.846791
375.0,1671,10690.930589
500.0,2610,10738.870714
350.0,1512,10772.836061
450.0,2270,10818.570207
500.0,2857,10868.964087
425.0,1952,10889.811779
375.0,2230,10929.763513
500.0,2594,10979.916473
575.0,2683,11027.562351
475.0,2606,11076.684012
750.0,2260,11119.95578
525.0,3387,11193.394754
1025.0,3671,11252.573678
475.0,1752,11289.082555
525.0,2415,11336.370462
325.0,1661,11354.050469
225.0,1423,11390.492425
300.0,1388,11405.021781
375.0,2157,11447.238046
375.0,1517,11483.118909
425.0,2787,11535.787096
475.0,2203,11581.877787
525.0,2615,11628.547931
500.0,2491,11675.672372
1075.0,2874,11725.85709
500.0,2657,11775.179252
500.0,2544,11819.993854
500.0,2772,11867.227194
475.0,2536,11916.521934
950.0,2780,11966.171969
675.0,1932,12005.094118
450.0,1812,12045.732782
1275.0,3257,12098.384693
675.0,1628,12115.814196
500.0,2472,12160.316807
750.0,2304,12204.378892
425.0,2037,12245.517213
275.0,1298,12276.723106
775.0,2434,12322.102359
625.0,2643,12366.716086
775.0,2314,12410.536871
450.0,2282,12434.967464
475.0,2747,12486.450935
250.0,1380,12522.463453
800.0,3075,12575.033753
1375.0,3465,12654.81574
525.0,2750,12704.491136
825.0,2437,12751.649707
1275.0,2538,12799.006979
375.0,1506,12815.033822
400.0,1814,12854.211786
525.0,3098,12906.474323
525.0,2797,12954.826816
800.0,1855,12997.052198
400.0,1790,13033.927599
800.0,3207,13093.041997
800.0,2590,13140.653966
500.0,2319,13185.581067
800.0,2397,13231.140214
525.0,2335,13275.164935
775.0,2199,13298.595602
775.0,1909,13337.668313
700.0,1674,13373.298808
475.0,2022,13414.682421
775.0,2100,13437.020052
750.0,2378,13481.088202
800.0,2560,13527.528864
800.0,3045,13599.539372
475.0,2240,13623.501616
1000.0,2807,13694.523901
400.0,2329,13719.411534
725.0,1757,13757.4973
1325.0,2870,13810.892981
500.0,2534,13858.018226
775.0,2272,13904.575886
475.0,2755,13950.852831
800.0,2165,13995.279834
900.0,3397,14050.899344
475.0,2163,14091.989019
1300.0,2797,14139.194937
775.0,2237,14182.557661
475.0,2107,14225.233035
4150.0,3885,14304.873489
725.0,1537,14321.286768
450.0,2012,14362.302917
1000.0,3090,14414.984543
800.0,2791,14464.408321
525.0,3117,14516.241671
450.0,2305,14560.711182
500.0,2320,14605.212263
850.0,2515,14652.171091
800.0,2437,14696.339559
750.0,1547,14731.505322
1025.0,2769,14780.970666
775.0,2367,14823.714947
775.0,2994,14876.53757
825.0,2179,14919.191136
750.0,1859,14954.422987
