#{"t_start": 1614940784.1648219, "env_id": "ReacherBulletEnv-v0"}
r,l,t
-41.733306,150,4.206299
-13.879843,150,4.908452
-44.50257,150,5.592906
-90.204622,150,6.275079
-7.87942,150,6.970718
7.760063,150,7.673848
-88.129066,150,8.357349
-55.866081,150,9.009665
-37.881109,150,9.644041
-4.552175,150,10.263162
-14.860762,150,10.919371
4.778111,150,11.616647
-26.308946,150,12.32721
-36.479439,150,13.033787
5.850639,150,13.725651
-18.772336,150,14.419204
7.012777,150,17.122044
5.810356,150,17.830817
-37.771585,150,18.536311
-4.15088,150,19.224509
7.524509,150,19.926057
-3.559734,150,20.639504
-18.136085,150,21.391439
-14.286348,150,22.066775
14.602004,150,22.770829
-15.579845,150,23.462595
5.309945,150,24.147184
-11.568063,150,24.781685
-13.187893,150,25.473142
12.365696,150,26.164474
15.466842,150,26.862184
-19.176136,150,27.549854
-12.420343,150,28.248104
-6.202309,150,30.948243
-25.30835,150,31.647583
-0.3811,150,32.339211
1.317678,150,33.049873
-16.696733,150,33.754501
10.245787,150,34.440665
-23.418959,150,35.124514
4.310311,150,35.804353
-7.143064,150,36.506757
-14.636832,150,37.194985
-4.004078,150,37.886491
-21.958915,150,38.575279
-1.19314,150,39.255898
-8.459008,150,39.918183
8.756087,150,40.585166
-21.988823,150,41.232027
-6.518359,150,41.888444
-8.256478,150,44.557363
-13.399675,150,45.237193
-29.360034,150,45.931011
-6.824697,150,46.625008
-9.674208,150,47.319602
-14.629602,150,48.044515
-13.704163,150,48.755505
13.170861,150,49.462888
-14.96629,150,50.179682
9.041022,150,50.896945
9.752356,150,51.602483
-9.917871,150,52.3041
-14.905405,150,53.035391
-20.180134,150,53.710831
-24.576093,150,54.400191
-2.299466,150,55.179286
-19.529969,150,57.998195
-4.664842,150,58.704742
0.380441,150,59.433435
12.31654,150,60.16328
-22.836282,150,60.902074
-19.4176,150,61.673602
2.552456,150,62.445716
-2.221331,150,63.234197
1.242693,150,64.022843
-28.843304,150,64.827802
0.657389,150,65.633064
-6.972792,150,66.446083
0.535496,150,67.255596
-11.249002,150,68.05909
-17.545241,150,68.861669
-21.726066,150,69.677478
4.891103,150,70.481831
-10.791777,150,73.55419
-5.871982,150,74.325707
-5.664203,150,75.098153
-63.342956,150,75.889286
-19.132826,150,76.635307
4.811311,150,77.372486
-11.055376,150,78.148366
2.385271,150,78.95953
-10.786517,150,79.747813
-5.440741,150,80.549798
1.448581,150,81.335995
12.435836,150,82.132237
-7.948354,150,82.904804
-5.720812,150,83.643991
-13.737477,150,84.387749
-10.068328,150,85.145817
-15.493887,150,85.911159
1.559384,150,88.97756
-5.4583,150,89.782167
-7.388379,150,90.583684
3.363374,150,91.374463
-4.050676,150,92.165919
-14.515582,150,92.948457
-12.014328,150,93.705081
5.087936,150,94.454116
-3.450851,150,95.228815
10.911872,150,96.027204
-18.638886,150,96.823087
2.094505,150,97.615607
-2.228871,150,98.398131
-2.805581,150,99.195306
-31.960579,150,99.995098
-11.423803,150,100.79941
-0.147383,150,103.858773
-10.698612,150,104.666511
6.490975,150,105.480716
-3.966139,150,106.282462
8.760465,150,107.099104
-12.54987,150,107.908316
-1.638199,150,108.732086
7.254189,150,109.531197
-23.582522,150,110.343238
-12.131147,150,111.098878
-20.97134,150,111.871269
8.489764,150,112.628906
-17.178844,150,113.410284
10.303058,150,114.201628
-3.823892,150,114.979416
-14.221498,150,115.752091
12.501151,150,116.542932
7.339855,150,119.627939
0.200602,150,120.426191
7.885073,150,121.214182
3.754615,150,122.00891
-5.692586,150,122.8106
13.578972,150,123.606667
9.739253,150,124.398903
-10.818257,150,125.197104
-22.943744,150,125.970737
-5.421271,150,126.752825
-18.217666,150,127.55248
12.647897,150,128.389845
-1.539714,150,129.161783
-34.724845,150,129.9503
-23.965269,150,130.721848
-13.650758,150,131.520269
-8.290989,150,132.301104
11.676566,150,135.472709
-28.868547,150,136.290681
-14.583447,150,137.109557
-13.185096,150,137.942592
-19.589764,150,138.77051
-19.033275,150,139.595363
-18.943961,150,140.415946
7.365816,150,141.243212
4.009775,150,142.071345
-35.511408,150,142.857605
9.767756,150,143.663288
0.453904,150,144.457371
-4.937476,150,145.272468
-6.289914,150,146.053617
-5.063811,150,146.85379
-9.268966,150,147.650294
-13.749241,150,150.618822
0.78372,150,151.420905
-0.920303,150,152.205949
-24.590183,150,153.006093
16.993165,150,153.783349
-3.43942,150,154.552626
0.94118,150,155.334022
-6.608542,150,156.118763
-9.167841,150,156.895885
5.410626,150,157.665796
-9.157884,150,158.438049
0.895264,150,159.199898
-11.566146,150,159.973113
-23.697896,150,160.725409
-4.402359,150,161.476209
-3.868051,150,162.206599
-14.535317,150,162.964622
-23.37781,150,165.97557
-10.38094,150,166.740177
-6.818829,150,167.520959
8.559374,150,168.2856
-8.117586,150,169.061114
8.263241,150,169.82342
7.672452,150,170.621675
-3.595454,150,171.419904
11.06714,150,172.217615
-28.272556,150,172.984326
2.491782,150,173.759194
18.187057,150,174.517963
1.491357,150,175.320168
13.142012,150,176.112878
-2.640752,150,176.925697
-15.307757,150,177.732941
18.186574,150,178.545364
-5.258864,150,181.539089
12.305699,150,182.281441
7.808979,150,183.073292
-11.982585,150,183.835398
-11.767861,150,184.622412
-1.005018,150,185.377548
7.527815,150,186.133904
-3.027096,150,186.877048
2.858718,150,187.6624
-26.285466,150,188.444336
2.416794,150,189.234201
-10.851552,150,190.009571
-25.329335,150,190.795703
-5.413787,150,191.6058
-2.67268,150,192.422355
-24.519453,150,193.202904
-29.581739,150,196.25652
-25.934376,150,197.050475
9.669626,150,197.846363
9.784102,150,198.626323
6.991669,150,199.419881
1.119172,150,200.205364
4.196389,150,200.999397
-13.469242,150,201.792348
-20.454164,150,202.582293
-2.954318,150,203.348746
-15.220531,150,204.092339
10.651093,150,204.845722
12.21998,150,205.61214
-7.124017,150,206.372759
-5.865242,150,207.125607
13.967373,150,207.899504
10.858977,150,208.690509
4.868771,150,211.73691
-13.052372,150,212.529523
-23.609088,150,213.309614
-7.457883,150,214.097736
1.205487,150,214.887895
-18.500826,150,215.654556
12.98784,150,216.456234
9.796521,150,217.25093
-16.757334,150,218.037801
-7.346296,150,218.818014
-9.196046,150,219.598073
5.216055,150,220.377188
13.06015,150,221.168906
-19.166289,150,221.944139
-7.298108,150,222.703641
-23.003455,150,223.452468
-20.168298,150,224.208514
0.579045,150,227.25659
-10.529259,150,228.033418
-8.610074,150,228.825129
1.837061,150,229.609389
-5.30206,150,230.396714
3.492563,150,231.178894
-5.664329,150,231.980556
-10.716188,150,232.758675
-1.466422,150,233.57247
9.458277,150,234.360933
-23.236018,150,235.16833
-9.962278,150,235.961361
-16.505689,150,236.780782
9.919523,150,237.578241
-18.317289,150,238.322868
9.204218,150,239.085845
-20.899546,150,242.033423
-7.501672,150,242.825925
-2.886778,150,243.64415
10.891616,150,244.453247
-12.762667,150,245.283666
0.406394,150,246.07924
-14.807258,150,246.897865
-22.087324,150,247.711513
-19.452004,150,248.527323
-6.084689,150,249.31117
8.976871,150,250.128742
-16.452918,150,250.931796
14.207346,150,251.747286
9.386951,150,252.540036
1.558932,150,253.358031
-13.136659,150,254.174151
14.554128,150,254.98228
-29.858974,150,257.979051
0.255749,150,258.744409
1.494804,150,259.522799
1.252252,150,260.286699
-0.861471,150,261.029287
-2.523256,150,261.78452
-2.575242,150,262.59479
-16.355312,150,263.387161
-2.97327,150,264.191063
-14.355091,150,264.986166
7.610143,150,265.796609
4.882074,150,266.583354
-4.468717,150,267.382144
-16.396509,150,268.17904
7.218397,150,268.996262
-5.814157,150,269.794889
-10.051058,150,270.578566
-5.436766,150,273.628825
10.681216,150,274.412213
-17.66123,150,275.217383
-7.570071,150,275.992667
-13.306532,150,276.808246
-9.235704,150,277.586893
2.431117,150,278.333643
-7.45649,150,279.06879
-5.22325,150,279.840449
-8.268027,150,280.663804
5.28371,150,281.460165
-6.080535,150,282.258753
1.433973,150,283.052293
-17.466609,150,283.858524
-11.256536,150,284.630657
9.625622,150,285.397903
-37.912706,150,288.337778
4.696983,150,289.140655
-7.816492,150,289.927635
-25.435175,150,290.710627
-11.190321,150,291.507049
13.46181,150,292.321911
0.571545,150,293.13008
-8.334681,150,293.923067
4.968736,150,294.716009
8.334601,150,295.496995
-14.729307,150,296.23519
8.774337,150,296.974698
-21.020118,150,297.715201
-4.470237,150,298.459288
4.58492,150,299.19085
-5.079123,150,299.949054
-6.421024,150,300.699243
-20.830223,150,303.717546
5.112437,150,304.504922
10.734063,150,305.273045
-25.102396,150,306.046531
6.699224,150,306.793911
7.301545,150,307.574087
-5.759025,150,308.328587
12.051807,150,309.111153
-13.599036,150,309.871194
-13.506857,150,310.645024
-8.20599,150,311.406456
7.791255,150,312.196649
-1.258862,150,312.972107
9.099669,150,313.695975
-0.736168,150,314.415256
1.647664,150,315.136681
3.144368,150,315.876451
-3.021622,150,318.843779
2.226549,150,319.59649
-15.42883,150,320.354456
-17.039623,150,321.097871
2.20013,150,321.862792
-11.781198,150,322.602727
-3.283712,150,323.364567
9.033416,150,324.126893
-25.561457,150,324.912671
-9.378888,150,325.68539
9.729947,150,326.468829
4.238698,150,327.239394
-5.979636,150,328.013505
-11.940878,150,328.773495
3.466661,150,329.546497
5.890776,150,330.30556
-18.678869,150,333.267982
-0.6754,150,333.994429
5.195179,150,334.732084
-14.599368,150,335.515818
-7.969838,150,336.284511
7.175425,150,337.053606
-4.07674,150,337.819995
12.137362,150,338.608005
2.416121,150,339.384385
-8.532423,150,340.145774
16.194677,150,340.910234
-1.663847,150,341.690907
18.178336,150,342.471481
-13.579789,150,343.225373
-4.008727,150,343.988205
-5.886032,150,344.744882
-5.511261,150,345.514499
17.783663,150,348.485598
-14.874567,150,349.247657
-15.83677,150,350.002621
4.582117,150,350.752396
6.200166,150,351.488514
-23.471833,150,352.223309
-9.809865,150,352.968544
-16.725238,150,353.690406
15.524297,150,354.434786
-28.145511,150,355.198975
-7.4342,150,355.971746
-17.602493,150,356.731344
15.077156,150,357.48497
-13.496506,150,358.236443
-4.231869,150,359.012327
-19.795781,150,359.771111
14.864052,150,360.519948
8.453732,150,363.501923
-3.555674,150,364.258813
-5.871518,150,365.034325
5.001507,150,365.794333
-6.50105,150,366.576436
-12.991223,150,367.352841
-1.500377,150,368.149072
1.215121,150,368.909137
-8.165202,150,369.677665
15.91845,150,370.40897
-17.936168,150,371.153878
-11.456756,150,371.91867
14.801468,150,372.687848
-1.11707,150,373.470038
-9.932649,150,374.223865
13.832945,150,374.986465
-1.082414,150,378.008047
-16.403502,150,378.784559
-15.791271,150,379.573649
-5.160107,150,380.339761
8.551134,150,381.118046
12.242643,150,381.900634
-1.973188,150,382.690967
-3.511784,150,383.44925
-9.36577,150,384.233197
-16.544116,150,385.009122
-1.459945,150,385.802824
-10.896087,150,386.575956
0.055884,150,387.361437
-3.716346,150,388.109202
7.598949,150,388.879886
-12.049217,150,389.631855
-7.102186,150,390.417321
1.952428,150,393.370511
5.532536,150,394.120965
1.938909,150,394.855366
5.987727,150,395.607068
-0.242168,150,396.310786
16.584596,150,397.017793
4.459507,150,397.75081
2.115572,150,398.531342
1.832704,150,399.300789
9.141328,150,400.077371
-9.522669,150,400.821656
17.805442,150,401.589926
-6.552065,150,402.350702
-5.646139,150,403.13228
16.457471,150,403.882901
-0.83209,150,404.652071
8.068816,150,405.417581
-5.853452,150,408.365323
7.043113,150,409.104567
12.9322,150,409.889099
1.14432,150,410.662227
9.279192,150,411.438311
-7.003761,150,412.205432
4.523673,150,412.988668
-4.568806,150,413.765567
-5.882497,150,414.548328
13.773686,150,415.304281
-2.474281,150,416.089148
0.716513,150,416.861438
14.8996,150,417.633878
-24.329892,150,418.391947
-11.875127,150,419.166059
11.416518,150,419.945328
16.56706,150,422.974055
-7.274834,150,423.743468
-9.883499,150,424.52009
-23.017152,150,425.296536
-6.446855,150,426.038206
-4.411383,150,426.780269
10.64343,150,427.537308
-39.680346,150,428.326901
-13.763872,150,429.102622
7.689166,150,429.86384
-15.479443,150,430.640447
-3.071064,150,431.418705
-2.949415,150,432.18943
11.009967,150,432.939848
-22.301656,150,433.70127
12.07073,150,434.47753
-7.372635,150,435.242901
10.156299,150,438.237412
-2.454502,150,439.029797
-0.682516,150,439.81078
-19.207777,150,440.602317
18.769975,150,441.361789
-6.992186,150,442.150414
-21.286344,150,442.917933
-10.859341,150,443.694128
-18.40523,150,444.439323
-5.464722,150,445.201345
3.076822,150,445.942976
4.907337,150,446.684744
-7.877431,150,447.430892
-16.817102,150,448.216105
-12.489513,150,448.988899
-11.746792,150,449.778882
4.177131,150,450.537836
14.999733,150,453.582792
-6.272977,150,454.366307
-19.014414,150,455.13933
10.615414,150,455.91085
2.516232,150,456.687733
-5.724331,150,457.472981
-4.293309,150,458.238935
-9.094192,150,459.018304
-2.543275,150,459.797489
-13.471448,150,460.571724
13.714105,150,461.339881
-6.48698,150,462.104872
-4.060141,150,462.882751
9.868245,150,463.618883
-13.301453,150,464.366988
-6.948376,150,465.097874
2.887094,150,468.134538
-12.287186,150,468.885947
3.312294,150,469.631155
-15.677506,150,470.412684
15.458727,150,471.187505
16.992427,150,471.976737
-8.010149,150,472.757661
12.997775,150,473.537006
-4.868323,150,474.303693
2.234906,150,475.107133
-18.10605,150,475.875856
15.489582,150,476.645069
-17.82472,150,477.443227
-0.375975,150,478.234506
