#{"t_start": 1615214893.1171205, "env_id": "RoadRunnerNoFrameskip-v4"}
r,l,t
0.0,1007,22.775607
0.0,461,27.288657
100.0,1647,44.62212
0.0,625,50.744502
100.0,1128,62.559848
0.0,653,69.148794
0.0,850,77.765249
0.0,336,80.861947
0.0,513,85.88939
0.0,763,93.48258
0.0,577,99.370937
0.0,443,103.800204
0.0,521,108.809031
0.0,588,114.879611
0.0,477,119.712255
0.0,531,124.900807
0.0,321,128.055654
0.0,977,138.057564
0.0,469,142.723873
0.0,368,146.256569
200.0,2160,172.951744
0.0,1084,184.213406
100.0,1236,197.113384
0.0,348,200.315355
0.0,491,205.252348
0.0,531,210.501186
0.0,577,216.189975
0.0,637,222.455761
0.0,879,231.49609
0.0,579,237.455257
0.0,463,241.998115
0.0,372,245.38493
0.0,1073,256.378725
0.0,706,263.435325
0.0,432,267.719923
0.0,607,273.837532
0.0,738,281.421389
0.0,322,284.451904
0.0,436,292.554988
0.0,312,295.424186
0.0,624,301.936873
0.0,1011,312.354002
0.0,900,321.775879
0.0,553,327.258268
0.0,898,336.561535
100.0,1209,349.177303
0.0,622,355.348887
0.0,357,358.834807
300.0,2465,385.020028
0.0,420,389.018778
0.0,540,394.269578
0.0,1116,405.72553
0.0,345,408.86304
0.0,661,415.534385
0.0,552,421.182568
0.0,543,426.500041
0.0,516,434.690505
0.0,812,442.975199
0.0,359,446.417795
0.0,564,451.99958
0.0,517,457.195918
0.0,757,464.941427
0.0,954,474.975163
0.0,468,479.683503
0.0,707,486.963317
0.0,451,491.473273
0.0,913,500.853344
0.0,682,507.879381
0.0,608,513.830749
300.0,1000,524.291543
100.0,1608,541.280871
0.0,426,545.375474
0.0,788,553.291379
0.0,569,559.004637
0.0,513,564.2305
0.0,735,576.866634
0.0,853,585.545145
0.0,627,591.807251
100.0,1024,602.535234
0.0,558,608.033381
0.0,926,617.401541
0.0,872,626.309935
300.0,978,636.468192
100.0,1313,650.18367
0.0,323,653.383531
0.0,500,658.218681
0.0,582,663.891104
0.0,746,671.405206
0.0,1118,682.954983
0.0,472,687.40496
0.0,1313,700.90419
0.0,520,705.970105
0.0,431,715.355343
0.0,468,720.049047
0.0,531,725.354435
0.0,741,732.684943
0.0,1283,745.934813
0.0,573,751.760592
100.0,1201,764.018327
0.0,351,767.43771
0.0,908,776.620914
0.0,793,784.695052
0.0,610,790.619972
0.0,527,795.758175
0.0,436,799.936407
0.0,1186,812.095886
0.0,695,819.052795
0.0,1013,829.484156
200.0,1781,855.762374
0.0,1027,866.337592
0.0,789,874.294008
0.0,734,881.638651
100.0,1795,900.196759
0.0,565,905.694562
0.0,510,910.677961
0.0,447,915.118225
100.0,1133,926.590593
100.0,1533,942.551597
0.0,634,948.67973
0.0,386,952.206345
200.0,1904,972.07398
100.0,1499,993.331205
0.0,926,1002.798184
0.0,852,1011.451153
0.0,753,1018.988379
0.0,369,1022.333555
200.0,1729,1040.293017
0.0,555,1045.784606
100.0,3088,1078.28606
0.0,673,1085.102314
300.0,1819,1104.069918
0.0,846,1112.5478
0.0,1000,1122.587378
1300.0,2329,1152.795797
0.0,432,1156.807626
0.0,449,1161.04088
0.0,649,1167.615712
0.0,588,1173.453353
0.0,896,1182.419596
100.0,1161,1194.367376
1200.0,2244,1217.683432
0.0,982,1227.481678
0.0,956,1237.189965
100.0,1458,1252.363948
0.0,962,1262.257015
0.0,636,1277.20738
200.0,1381,1291.318955
0.0,677,1297.990468
0.0,1353,1311.736696
0.0,1698,1329.116132
0.0,852,1337.557874
1100.0,1829,1356.460215
100.0,757,1363.958438
0.0,312,1366.913477
0.0,685,1373.822825
400.0,2032,1394.998501
0.0,955,1404.443109
200.0,1525,1430.017087
0.0,1505,1445.281225
100.0,1228,1457.742162
100.0,2857,1487.640765
0.0,1720,1505.307049
300.0,1819,1524.247536
600.0,3056,1563.761113
1200.0,3356,1598.840921
200.0,1828,1617.821434
300.0,1293,1630.833601
1300.0,3758,1669.903491
0.0,369,1673.399647
1400.0,4147,1729.075773
100.0,1521,1744.458119
200.0,1853,1763.691562
200.0,2807,1792.622419
100.0,1492,1807.729065
1200.0,1926,1827.495448
200.0,1967,1858.704643
200.0,1677,1875.843726
800.0,4278,1920.686958
0.0,816,1928.678724
1100.0,1816,1947.403098
0.0,1188,1959.630605
1100.0,1982,1988.861381
2100.0,2514,2014.974559
0.0,477,2019.598528
1200.0,1846,2038.714438
0.0,813,2046.88955
0.0,1347,2060.650489
200.0,2362,2085.068668
100.0,873,2093.963254
0.0,998,2104.125259
200.0,2896,2140.928079
2300.0,1416,2155.321445
1200.0,2256,2178.527534
1800.0,3360,2213.245647
1200.0,1557,2229.047321
2200.0,2390,2253.687406
3400.0,2625,2294.809573
1400.0,3008,2326.084661
1400.0,2510,2352.309833
200.0,2685,2380.091933
500.0,2283,2416.11214
2800.0,3397,2451.29567
3500.0,5140,2504.685308
300.0,3575,2541.829274
400.0,2288,2578.530782
1300.0,2618,2605.482265
0.0,856,2614.134179
0.0,1262,2626.839565
2300.0,2063,2647.910925
1600.0,1792,2666.260581
2400.0,4447,2722.542215
100.0,3031,2753.774896
2200.0,2244,2776.870968
2500.0,2374,2801.345675
600.0,2804,2847.504648
2500.0,2770,2876.341241
0.0,688,2883.021172
100.0,1777,2901.361603
600.0,3395,2936.535116
400.0,3331,2971.117311
200.0,1841,3003.466814
3400.0,3133,3035.805387
3500.0,4646,3084.09473
1400.0,4205,3144.482317
200.0,2231,3167.550706
400.0,2390,3192.18924
400.0,2622,3219.471395
0.0,1525,3235.109974
100.0,949,3244.63675
100.0,2624,3285.166018
1100.0,2232,3308.148247
0.0,940,3317.482791
100.0,1439,3332.062892
2500.0,4540,3379.422189
1700.0,5888,3451.664438
500.0,3059,3483.445619
400.0,2564,3509.874403
300.0,1689,3527.252084
200.0,1471,3542.12314
200.0,1396,3556.469963
100.0,1067,3582.891231
2200.0,2743,3611.092584
1200.0,2501,3636.95963
400.0,1944,3656.825905
1400.0,2448,3682.061805
0.0,740,3689.461492
100.0,1081,3700.479316
2200.0,2813,3738.560655
300.0,2413,3763.528138
400.0,1952,3783.543433
4400.0,3091,3815.59201
2300.0,1801,3834.244278
0.0,702,3841.056145
100.0,1463,3867.260489
1400.0,1822,3885.969062
500.0,3907,3926.42803
200.0,2989,3957.395276
300.0,2034,3978.141112
600.0,4473,4040.040561
0.0,388,4043.605643
1200.0,2747,4071.802532
0.0,657,4078.204875
0.0,436,4082.371774
1200.0,2690,4110.457196
400.0,2097,4132.041162
100.0,1272,4153.733599
0.0,792,4161.682554
1800.0,5407,4218.168718
500.0,4320,4262.895628
200.0,2388,4304.875222
1000.0,1561,4320.797064
2000.0,4703,4369.684559
200.0,2784,4398.646046
1700.0,5006,4466.628835
600.0,3001,4497.427735
500.0,4138,4540.221278
4300.0,2625,4567.31068
1300.0,1777,4596.489032
3600.0,2411,4621.24692
1400.0,3670,4659.207791
1200.0,2615,4686.320683
100.0,1891,4705.599071
1200.0,1937,4741.975121
1200.0,1757,4760.120308
3300.0,3968,4801.242601
3700.0,4719,4850.488319
