#{"t_start": 1615214901.0233848, "env_id": "SeaquestNoFrameskip-v4"}
r,l,t
140.0,2633,41.623286
140.0,2749,69.296779
100.0,1833,87.506696
160.0,3153,119.129403
120.0,2486,155.448512
80.0,2186,177.286911
160.0,3301,210.599202
40.0,1582,226.082913
140.0,2213,248.000683
120.0,2329,271.159189
180.0,2481,310.357276
260.0,4233,352.980746
160.0,2181,374.701047
340.0,4081,415.866467
120.0,2293,457.897845
260.0,3682,495.00187
120.0,2686,521.854872
160.0,2754,549.468114
200.0,2566,591.605271
180.0,2542,617.007927
320.0,3830,655.544343
340.0,3782,693.448208
220.0,2866,745.202731
440.0,5218,797.830071
340.0,4082,838.869581
540.0,6318,920.982175
320.0,4221,963.27742
460.0,5886,1054.082509
420.0,4718,1101.454915
560.0,6913,1196.914357
280.0,3702,1233.962295
480.0,6010,1294.3902
540.0,6490,1388.848942
500.0,5582,1444.846094
600.0,7385,1551.57258
420.0,5082,1602.53357
560.0,6538,1701.167129
400.0,4878,1750.165997
500.0,6318,1845.160595
460.0,5798,1903.328526
480.0,5238,1956.05783
500.0,5985,2056.328007
460.0,6038,2116.987983
520.0,5561,2205.725776
560.0,6210,2268.165972
460.0,5794,2365.548058
620.0,7450,2440.488914
600.0,6882,2546.820266
700.0,8097,2670.650845
680.0,7905,2750.245561
520.0,6202,2852.130577
720.0,8026,2933.008061
620.0,7226,3040.316278
680.0,7802,3160.00087
660.0,7578,3236.33368
660.0,7374,3352.943525
580.0,7022,3423.576529
720.0,9050,3560.145737
440.0,5242,3612.651278
540.0,6102,3711.514989
460.0,5438,3766.210696
680.0,7770,3882.29531
760.0,9081,4012.989504
720.0,8250,4096.199693
380.0,5145,4186.550942
460.0,5722,4243.828336
720.0,8409,4364.95247
460.0,5518,4420.39777
680.0,7834,4535.158221
700.0,8158,4662.270728
800.0,8602,4748.956285
660.0,7609,4865.603341
700.0,7961,4993.296214
500.0,5870,5052.305444
580.0,6598,5157.585812
660.0,7354,5231.719479
800.0,9082,5369.421285
820.0,9082,5507.141577
820.0,9081,5598.760624
620.0,7194,5703.210948
780.0,8602,5827.604614
700.0,7673,5904.890567
600.0,7354,6023.436784
700.0,8346,6107.633173
540.0,6582,6217.004829
860.0,9065,6351.665069
500.0,5934,6411.292453
660.0,7546,6527.653081
800.0,8910,6617.567713
840.0,9081,6750.600894
560.0,6373,6856.454079
700.0,7834,6935.395294
820.0,8378,7061.339519
620.0,7177,7133.686915
760.0,8153,7249.835247
600.0,6906,7359.522305
720.0,7674,7436.696106
800.0,9082,7572.148171
820.0,8857,7708.549954
880.0,9081,7800.159716
800.0,9082,7936.409871
700.0,7898,8061.146725
600.0,6302,8124.455423
820.0,9017,8260.143797
820.0,9082,8399.119156
760.0,8538,8485.052856
380.0,4694,8579.589056
860.0,9081,8670.945119
800.0,9081,8811.361779
840.0,9082,8949.461116
820.0,9081,9086.032303
840.0,9081,9177.450645
660.0,7546,9298.82784
820.0,8762,9434.51696
860.0,9082,9525.972726
640.0,7546,9645.924214
840.0,9081,9775.108964
580.0,6650,9842.003588
840.0,9082,9976.488876
640.0,6937,10046.177299
640.0,7322,10165.916342
460.0,5882,10270.718159
620.0,6838,10339.577944
860.0,9081,10481.080927
820.0,8773,10611.601552
820.0,9114,10703.496394
700.0,7193,10822.345818
760.0,8026,10903.290203
760.0,8150,11030.092364
800.0,8073,11157.811579
700.0,8129,11239.69045
820.0,9081,11379.906869
860.0,9082,11521.165921
680.0,7161,11593.232792
760.0,8026,11721.618795
840.0,9081,11854.628099
780.0,8490,11940.17107
680.0,7354,12059.745363
860.0,9081,12199.777893
820.0,9081,12291.143584
860.0,9082,12431.704108
880.0,9082,12570.802194
840.0,9082,12710.195543
820.0,8397,12794.575669
880.0,9081,12934.214012
900.0,8954,13073.291883
860.0,9081,13164.665548
820.0,8633,13295.720315
840.0,8694,13429.447643
860.0,8730,13563.635688
880.0,9114,13655.487585
860.0,9082,13794.664065
760.0,7770,13920.465298
860.0,9082,14011.899399
900.0,9081,14150.528696
860.0,8697,14285.642148
860.0,9114,14377.529747
800.0,8181,14506.523011
760.0,7994,14634.480577
860.0,9081,14725.958758
900.0,9082,14867.142163
800.0,8142,14997.828075
860.0,9082,15136.304717
880.0,9082,15227.651378
860.0,9081,15366.035639
860.0,9082,15505.475769
860.0,9081,15596.921906
740.0,7674,15723.26717
700.0,7642,15847.242565
860.0,9082,15938.743597
860.0,9081,16079.021292
860.0,9082,16218.372601
760.0,8026,16299.248226
880.0,9081,16438.179699
900.0,9082,16574.729779
880.0,9082,16716.204286
900.0,9082,16807.493956
860.0,9082,16946.201598
