#{"t_start": 1614621957.7653544, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
210.0,2767,51.22712
215.0,2911,96.288278
130.0,2159,134.784206
285.0,2707,180.68427
120.0,2065,202.670967
45.0,1611,238.893713
210.0,2473,282.986789
125.0,1665,318.257541
165.0,3027,365.488897
45.0,1737,400.681336
30.0,1635,417.78342
80.0,1381,448.693336
135.0,1907,468.534882
155.0,2405,512.396544
120.0,2047,549.740971
30.0,1085,576.061033
120.0,1835,595.270116
180.0,2019,630.481758
110.0,1961,666.785559
80.0,1525,697.15802
145.0,1969,717.605406
50.0,1123,745.587956
200.0,2119,782.798821
50.0,1101,794.044919
115.0,1549,824.370401
145.0,2397,863.772106
105.0,1587,880.144399
185.0,1899,917.963912
50.0,1509,933.667113
80.0,1653,965.547879
105.0,1805,998.067137
80.0,1431,1012.791901
120.0,1561,1043.607676
100.0,1431,1073.376014
80.0,2057,1094.901592
180.0,1795,1128.393333
120.0,1897,1162.846334
210.0,2773,1209.605509
120.0,1853,1246.433176
200.0,2387,1288.878829
135.0,2091,1310.620408
210.0,2539,1354.029478
475.0,3013,1422.743212
180.0,2479,1448.576097
210.0,2551,1494.185557
155.0,2531,1543.039949
180.0,2493,1589.14053
745.0,4315,1674.100589
110.0,2339,1721.244807
210.0,2581,1769.095353
210.0,2489,1817.874985
355.0,2429,1862.702123
210.0,2625,1909.560338
185.0,2391,1955.263526
210.0,2499,2001.848916
210.0,2575,2050.603022
260.0,2959,2104.201662
240.0,2921,2157.422694
210.0,2563,2206.396564
210.0,2583,2257.031457
180.0,2445,2302.944698
265.0,2917,2355.38914
260.0,3007,2431.486956
290.0,2933,2482.949632
260.0,2995,2536.26251
210.0,2557,2584.9477
210.0,2551,2633.770527
275.0,3075,2688.183188
180.0,2657,2738.321472
210.0,2505,2786.777037
180.0,2637,2836.521197
290.0,2941,2889.017711
265.0,2955,2964.495375
240.0,2949,3017.753049
240.0,2921,3070.586094
270.0,2955,3123.318635
180.0,2637,3173.078847
270.0,2959,3225.415164
180.0,2643,3275.683547
270.0,2959,3328.806429
260.0,2921,3403.880999
260.0,2903,3456.359742
260.0,3029,3510.351872
210.0,2565,3559.290877
210.0,2579,3609.123256
490.0,3267,3667.112627
270.0,2959,3722.552988
270.0,2955,3799.382296
210.0,2565,3849.504922
260.0,3045,3906.954942
180.0,2665,3957.900814
240.0,3027,4012.945111
180.0,2533,4062.881631
210.0,2551,4112.397226
290.0,2913,4164.581931
180.0,2555,4213.655809
240.0,2921,4266.617321
260.0,2923,4318.840746
260.0,2991,4394.021906
180.0,2533,4442.917418
410.0,2459,4491.58476
180.0,2533,4540.409855
260.0,2969,4593.145123
210.0,2569,4642.300082
210.0,2611,4691.91531
210.0,2551,4741.99099
290.0,2915,4795.938993
240.0,3275,4853.631918
300.0,3227,4933.639702
180.0,2643,4985.586573
265.0,2953,5037.569738
270.0,2959,5092.050013
265.0,3033,5146.576027
180.0,2643,5195.975761
180.0,2657,5245.851926
285.0,2913,5300.157064
210.0,2537,5348.81414
135.0,2353,5396.966428
210.0,2533,5447.132008
180.0,2579,5497.880483
260.0,2951,5549.476563
260.0,2969,5620.940485
185.0,2419,5671.298909
270.0,2915,5722.661523
260.0,2969,5776.174568
270.0,2921,5828.126176
180.0,2417,5872.623383
210.0,2463,5919.699056
155.0,2425,5967.20321
410.0,2569,6015.776623
180.0,2663,6064.354248
210.0,2495,6113.770182
460.0,2927,6167.443656
285.0,2953,6219.463829
550.0,4227,6306.306551
210.0,2563,6353.33094
210.0,2537,6404.530385
180.0,2625,6457.002922
180.0,2453,6503.439637
730.0,4291,6589.572862
180.0,2673,6638.575069
210.0,2455,6686.6079
155.0,2401,6734.06606
270.0,2959,6784.309411
210.0,2513,6832.257855
270.0,2965,6885.147681
410.0,2601,6934.284158
180.0,2457,6981.188519
485.0,3087,7034.576038
380.0,2577,7080.26567
275.0,3039,7132.404602
180.0,2653,7179.473638
210.0,2499,7225.500767
275.0,4349,7312.520663
210.0,2527,7358.919887
315.0,3879,7439.691491
180.0,2485,7486.294894
155.0,2359,7510.721388
105.0,1223,7542.876704
165.0,2483,7590.246518
265.0,3045,7643.033331
465.0,2889,7693.913323
155.0,2529,7739.256502
240.0,2987,7794.58865
210.0,2513,7840.470162
155.0,2377,7885.465949
210.0,2549,7930.512302
270.0,2889,7980.784717
345.0,3235,8059.69816
795.0,4433,8126.617879
230.0,3265,8198.486776
105.0,1949,8241.130123
460.0,2973,8292.113077
210.0,2547,8339.63888
105.0,1901,8359.400185
210.0,2465,8405.607543
210.0,2595,8453.467556
455.0,2865,8525.036056
210.0,2537,8573.946484
210.0,2537,8620.708929
210.0,2593,8666.110319
210.0,2495,8713.927155
365.0,2405,8738.696611
280.0,3005,8811.191311
210.0,2545,8860.461531
460.0,2885,8909.472582
410.0,2553,8957.167059
210.0,2421,9003.590004
180.0,2441,9049.938299
265.0,2929,9098.285146
210.0,2613,9146.308813
180.0,2531,9193.289826
410.0,2605,9244.641449
380.0,2575,9290.139769
155.0,2425,9335.005405
210.0,2619,9387.171042
105.0,1469,9402.104794
80.0,1127,9435.437051
410.0,2545,9479.489995
155.0,2375,9523.438719
105.0,1939,9563.903666
210.0,2533,9609.026566
110.0,1555,9624.995635
180.0,2481,9668.884607
260.0,3013,9720.249598
210.0,2561,9762.720182
140.0,1923,9804.836025
275.0,3059,9860.194124
210.0,2655,9904.993315
210.0,2437,9948.489879
140.0,1391,9979.007234
240.0,2913,10026.992907
135.0,2369,10067.530644
135.0,2093,10103.590507
50.0,1815,10122.225619
95.0,1639,10155.106987
95.0,2351,10195.553367
325.0,2785,10242.766886
210.0,2431,10286.127121
415.0,3029,10336.093478
285.0,2913,10387.648694
155.0,2443,10431.407378
185.0,2665,10480.277023
210.0,2515,10527.100615
105.0,1767,10563.75788
210.0,2547,10606.522706
215.0,2463,10651.805828
285.0,3855,10725.547252
65.0,1769,10743.973286
215.0,2401,10783.573385
245.0,2851,10833.836298
110.0,1215,10865.591702
285.0,4137,10929.384926
120.0,1615,10967.757426
180.0,2417,11007.109565
110.0,1867,11047.182042
185.0,2469,11092.697184
180.0,2463,11138.875611
290.0,3249,11192.540271
180.0,2035,11232.855251
380.0,2457,11279.146036
105.0,1553,11295.285452
155.0,2447,11337.634561
85.0,1247,11368.780057
135.0,1823,11404.294754
470.0,3187,11454.168308
210.0,2087,11490.70925
180.0,2449,11530.868181
180.0,2493,11573.333275
80.0,1699,11590.729012
210.0,2839,11639.165919
215.0,2413,11683.791704
135.0,2067,11721.023628
55.0,1597,11754.687222
340.0,3825,11811.861334
150.0,2133,11854.24244
210.0,2415,11896.307351
285.0,2339,11938.325582
95.0,1187,11950.662803
225.0,2189,11988.571023
210.0,2163,12030.34712
105.0,1683,12065.511571
345.0,2973,12117.819252
500.0,3825,12177.5669
315.0,2513,12219.764847
75.0,1251,12248.590538
115.0,1965,12289.826977
310.0,2797,12335.318482
320.0,3201,12387.536781
260.0,2859,12435.001027
240.0,2545,12481.170119
285.0,3479,12535.176091
105.0,1613,12569.902643
155.0,1965,12605.737399
225.0,2423,12651.105531
210.0,3115,12700.164555
160.0,1915,12741.168805
270.0,2383,12783.221123
305.0,3399,12836.312591
325.0,2445,12878.806642
105.0,1553,12913.623787
190.0,1997,12935.204131
135.0,1919,12970.554648
135.0,1521,13005.439138
305.0,2989,13055.621145
70.0,1475,13070.744266
485.0,2865,13134.578245
70.0,1041,13145.570317
60.0,1515,13180.349564
215.0,2643,13229.257838
125.0,1665,13246.774576
115.0,1939,13285.54101
315.0,2897,13337.094259
570.0,3343,13391.708302
235.0,2753,13460.872414
35.0,1467,13476.381866
95.0,1815,13516.752229
320.0,3461,13572.868958
285.0,2871,13619.835731
160.0,1977,13658.486596
325.0,2873,13709.758165
235.0,2051,13754.071659
160.0,2325,13798.069993
355.0,3059,13849.318235
190.0,1597,13885.273974
380.0,3555,13941.053377
235.0,2467,13988.300121
285.0,2679,14037.493425
490.0,3101,14088.986575
215.0,2939,14156.625035
120.0,2063,14178.731722
215.0,2839,14250.356609
120.0,1717,14268.826691
35.0,1703,14305.281374
190.0,1519,14321.202631
190.0,2807,14393.524421
415.0,3035,14443.914469
125.0,2251,14488.58941
205.0,2159,14511.267701
335.0,2761,14580.523555
230.0,2093,14602.911554
165.0,1919,14643.545804
515.0,2871,14693.001054
650.0,3704,14768.774486
70.0,1147,14780.776609
585.0,4717,14870.381666
300.0,2859,14920.478391
575.0,3421,14977.331
420.0,2719,15047.505454
215.0,1941,15068.346322
185.0,2255,15112.574888
120.0,1853,15154.176337
265.0,2749,15204.392933
200.0,2025,15246.804126
575.0,4311,15334.549843
85.0,1533,15350.457272
560.0,3873,15430.86949
165.0,1607,15447.942922
105.0,1267,15482.328671
75.0,1975,15524.800938
185.0,1869,15544.724385
65.0,1291,15577.89555
315.0,3135,15630.950374
275.0,2925,15682.188383
270.0,3037,15732.449676
220.0,2003,15777.889613
125.0,1967,15818.386437
290.0,3067,15868.786447
905.0,3835,15949.656292
420.0,3835,16011.263771
20.0,1173,16040.914091
215.0,2075,16063.126165
180.0,1835,16104.334934
425.0,3115,16156.317907
395.0,2819,16207.587242
675.0,3951,16296.041313
360.0,3096,16349.797953
250.0,3035,16404.870965
35.0,1625,16441.870164
140.0,1837,16480.901409
325.0,2207,16526.316388
240.0,2155,16549.013685
595.0,3583,16627.2475
635.0,3117,16679.282029
140.0,2235,16725.121138
335.0,3111,16777.214888
270.0,3047,16829.030015
760.0,3637,16912.131749
600.0,3755,16971.900587
255.0,2445,17016.49449
190.0,2001,17057.994815
465.0,4535,17150.812659
295.0,2695,17203.35905
435.0,3269,17265.55907
325.0,2455,17311.603504
750.0,3648,17389.826003
205.0,1837,17409.405583
220.0,3253,17484.625923
130.0,1791,17503.279277
135.0,2043,17539.905752
705.0,3336,17596.858094
215.0,2415,17641.986925
285.0,2629,17690.311651
305.0,2253,17732.379382
150.0,2093,17774.715578
325.0,3097,17827.812534
225.0,1645,17866.665222
550.0,2817,17913.996189
150.0,1733,17954.249988
390.0,2497,18003.915408
110.0,1455,18019.076876
785.0,4265,18105.499046
265.0,2641,18155.314913
285.0,2341,18201.014655
465.0,3375,18260.346825
140.0,1879,18298.87152
275.0,2589,18347.637188
110.0,1363,18381.358841
375.0,2861,18432.365981
305.0,2783,18486.489003
295.0,2989,18538.899552
260.0,2181,18585.03816
230.0,2023,18629.489814
675.0,3271,18686.499789
135.0,1205,18698.950064
520.0,4042,18785.713688
560.0,3107,18839.619466
155.0,1723,18878.426031
335.0,2540,18926.30756
375.0,2295,18970.913289
200.0,1941,19011.183947
360.0,2915,19064.78477
395.0,3077,19119.360691
265.0,2617,19169.068084
535.0,3067,19223.269006
365.0,2455,19269.169858
425.0,2810,19319.08964
320.0,2775,19372.33741
315.0,2325,19418.956222
215.0,2001,19459.60362
175.0,1649,19498.785524
240.0,2397,19545.79607
340.0,2681,19595.281856
335.0,2717,19649.841549
260.0,2211,19695.364099
320.0,3111,19751.745245
530.0,2731,19800.747054
360.0,2751,19853.004648
310.0,2647,19902.653822
260.0,2765,19953.733838
485.0,2803,20003.066941
975.0,3966,20085.464282
230.0,2115,20132.078308
340.0,3303,20191.050493
385.0,3975,20258.037689
425.0,3573,20343.725002
420.0,2899,20401.13551
490.0,3673,20462.868325
370.0,2674,20539.142511
575.0,3781,20604.019914
455.0,3373,20664.710906
545.0,3431,20752.281148
555.0,3301,20811.309395
525.0,3839,20900.570878
190.0,2093,20922.587688
305.0,2867,20979.826839
250.0,2845,21060.508636
275.0,2427,21111.820561
770.0,4703,21186.96524
375.0,3053,21268.663834
495.0,3385,21328.302949
525.0,4387,21431.616181
590.0,2540,21487.189533
460.0,3233,21551.118963
290.0,2917,21612.784162
450.0,3515,21676.905434
155.0,2155,21725.055065
300.0,2733,21775.11495
75.0,1083,21809.121201
315.0,2697,21862.426798
350.0,2583,21907.338316
355.0,2874,21961.211009
135.0,2339,22009.150107
350.0,3131,22072.030546
575.0,3651,22160.801386
420.0,3047,22220.868235
435.0,3623,22282.719156
375.0,3025,22337.200807
305.0,2217,22386.946467
385.0,3547,22478.374959
360.0,2695,22531.675316
390.0,2983,22586.705492
240.0,1879,22631.705113
600.0,4375,22702.35244
255.0,2381,22752.820879
685.0,4121,22840.066133
145.0,1645,22885.402657
320.0,2649,22938.869106
380.0,3569,23002.008501
445.0,4026,23092.857091
680.0,3629,23158.925616
415.0,3641,23240.963864
260.0,2207,23264.266671
530.0,3559,23351.644332
440.0,3407,23418.193669
190.0,1959,23467.471652
740.0,4269,23568.739743
495.0,3457,23629.005022
525.0,3375,23692.959265
390.0,3167,23781.991534
550.0,3233,23846.331595
405.0,2965,23904.784471
495.0,3671,23971.364378
545.0,3727,24061.180429
140.0,1853,24099.921064
600.0,4353,24177.555142
455.0,3651,24271.458069
170.0,2357,24320.80685
495.0,3449,24384.382088
800.0,4121,24484.28158
600.0,3615,24547.928019
710.0,3739,24637.298974
405.0,3405,24701.850562
1100.0,6345,24853.541825
945.0,3731,24922.878915
600.0,4291,25025.958075
585.0,4049,25095.906581
575.0,2943,25154.612381
610.0,4077,25252.563268
335.0,2455,25304.03374
475.0,3313,25368.680295
600.0,3865,25466.618371
530.0,2775,25518.77226
330.0,2673,25576.102056
500.0,4191,25674.793204
950.0,5037,25790.915709
345.0,3323,25854.060362
960.0,6955,26010.745013
600.0,4061,26076.841826
755.0,3965,26173.767682
325.0,2287,26229.078011
495.0,3735,26292.48826
665.0,4113,26389.014522
835.0,4483,26488.641805
660.0,4861,26595.987546
915.0,6451,26716.18293
725.0,4089,26815.535823
555.0,3385,26882.929623
340.0,3077,26942.805819
430.0,3095,27030.576767
1280.0,7337,27164.395122
470.0,3685,27257.773161
950.0,6061,27388.676333
485.0,3957,27487.589173
575.0,4407,27592.306237
555.0,2974,27649.959677
375.0,2394,27704.21407
440.0,2525,27758.167046
550.0,4271,27830.338278
450.0,3361,27918.678539
525.0,3202,27976.219211
500.0,3113,28035.801713
170.0,1865,28078.858681
575.0,3173,28139.552229
575.0,3905,28237.598234
315.0,2209,28292.535589
575.0,4759,28409.109834
555.0,4428,28489.358055
575.0,3580,28583.195329
325.0,2487,28639.722305
555.0,3779,28713.892587
1780.0,7359,28877.247122
575.0,3775,28976.509392
625.0,3051,29038.115574
545.0,3579,29105.162629
465.0,3533,29205.358473
525.0,3601,29271.327397
790.0,5407,29387.243464
600.0,4293,29490.87407
800.0,4359,29597.329969
525.0,3395,29664.228115
245.0,2227,29715.597651
575.0,3619,29789.262928
585.0,3729,29889.242672
540.0,4279,29966.172431
600.0,3965,30071.548851
575.0,4065,30175.333949
775.0,4047,30251.499683
505.0,3513,30359.113415
490.0,3897,30428.097384
325.0,2834,30483.92086
520.0,3334,30580.185764
800.0,4671,30657.756055
745.0,3545,30754.210557
710.0,2881,30814.128109
1180.0,5504,30926.219794
800.0,3603,31026.356091
