#{"t_start": 1637082255.1665256, "env_id": "Swimmer-v3"}
r,l,t
22.748854,1000,6.566337
29.85608,1000,10.251469
28.182834,1000,13.834041
29.336996,1000,17.542981
27.533987,1000,21.390707
27.32624,1000,25.225118
21.616639,1000,29.058444
31.635525,1000,32.907458
14.582982,1000,36.769729
24.713234,1000,40.654558
25.332362,1000,44.230513
34.198761,1000,47.817455
27.523927,1000,51.642828
34.512142,1000,55.403735
36.94296,1000,58.883399
32.908619,1000,62.444579
28.820706,1000,66.283872
33.217335,1000,70.120897
30.741384,1000,73.855313
25.536505,1000,77.427529
21.544141,1000,81.071984
13.518086,1000,84.932771
15.489229,1000,88.815411
14.882888,1000,92.673033
17.887801,1000,96.528685
5.968485,1000,108.089154
-0.912729,1000,111.665735
4.037645,1000,115.519452
-1.738048,1000,119.391035
-6.390329,1000,123.227198
-0.440004,1000,127.082123
-3.375066,1000,130.968005
-5.371055,1000,134.840874
5.680116,1000,138.541293
5.391923,1000,142.120141
3.780641,1000,145.818802
1.45224,1000,149.679206
-1.357354,1000,153.552245
19.955342,1000,157.255351
2.564969,1000,160.744245
18.550626,1000,164.364242
22.825549,1000,168.226717
26.836921,1000,171.811489
29.032381,1000,175.390681
20.917523,1000,179.239336
32.832192,1000,183.130509
30.378306,1000,187.01896
29.916025,1000,190.922647
35.608106,1000,194.823215
37.099511,1000,198.716092
34.18726,1000,210.491755
35.178729,1000,214.394537
35.173889,1000,218.295859
31.05235,1000,222.198843
31.601396,1000,226.098059
30.17796,1000,229.993665
30.033175,1000,233.712772
28.246666,1000,237.28953
22.695136,1000,240.963399
19.069157,1000,244.862412
14.058352,1000,248.756552
17.597355,1000,252.652498
21.860807,1000,256.551183
12.339141,1000,260.078385
15.358276,1000,263.543774
16.878087,1000,266.995007
18.28607,1000,270.586542
18.603574,1000,274.450063
19.172634,1000,278.351256
11.279479,1000,282.248592
14.26793,1000,286.141798
-1.886626,1000,290.034456
-10.709978,1000,293.929115
-20.513271,1000,297.621586
-15.583636,1000,301.210469
-14.930358,1000,313.128022
-24.511705,1000,317.114954
-21.1989,1000,321.094688
-14.646377,1000,325.046617
-17.034291,1000,328.813239
-20.298716,1000,332.450688
-21.834955,1000,336.224205
-21.967439,1000,340.179434
-18.802782,1000,344.146795
-23.131114,1000,348.12054
-47.082067,1000,352.071121
-68.056264,1000,356.014493
-63.476022,1000,359.631808
10.437704,1000,362.575415
