#{"t_start": 1614621243.0051033, "env_id": "Walker2DBulletEnv-v0"}
r,l,t
24.832038,21,0.53548
13.613483,8,0.616772
10.443617,8,0.698869
12.445437,6,0.762927
10.568055,11,0.870685
11.396366,12,0.997791
11.23349,11,1.105407
14.237467,15,1.259449
12.703464,13,1.394949
14.730577,20,1.594945
8.281783,15,1.744522
17.975314,28,2.033672
10.431413,12,2.16708
10.75893,9,2.263932
12.559681,9,2.362845
10.300612,12,2.502955
19.972512,27,2.774845
14.633755,16,2.952142
20.792522,20,3.17292
14.718387,16,3.35574
12.879386,10,3.463439
24.199222,24,3.706875
11.058774,14,3.85676
20.763429,51,4.373728
45.470294,72,5.107957
21.06606,32,5.434144
17.591377,48,5.92809
11.290498,56,6.509862
27.142883,63,7.242637
25.520507,63,7.979657
52.679606,59,8.651604
58.54593,63,9.326403
64.869651,74,10.103796
31.652058,63,10.761426
19.448154,39,11.163758
40.400154,32,11.514423
20.294915,46,12.010403
69.750888,79,12.852444
37.950252,50,13.377137
39.530924,127,14.718414
12.538785,45,15.189912
15.908836,52,15.732043
26.057767,50,16.248478
9.109313,60,16.887063
35.459317,67,17.601592
45.898268,67,18.309905
12.646987,18,18.513049
13.405665,48,19.020254
48.717576,72,19.825536
20.702492,42,20.278053
41.146014,62,20.962521
39.565472,58,21.591758
69.594413,90,22.586691
102.122605,136,24.077853
42.337897,41,24.538763
46.425316,68,25.28657
15.299674,14,25.440565
22.1529,25,25.725362
26.590706,28,26.029706
42.089079,41,26.475978
45.165103,43,26.957331
53.676514,63,28.831089
53.002009,62,29.525414
44.740357,43,30.006024
79.819835,82,30.909548
13.420017,12,31.044346
30.915122,59,31.702369
56.41625,47,32.226591
33.285955,49,32.770233
81.737926,86,33.709439
68.289652,59,34.365489
79.474198,98,35.427749
53.197128,53,36.006024
67.076807,68,36.720845
69.090078,72,37.463783
61.927366,58,38.072874
15.62803,16,38.2438
82.428134,82,39.112798
20.070914,35,39.476919
36.327663,50,40.009001
84.218616,118,41.241782
82.88481,95,42.238064
50.344921,56,42.807121
95.51415,115,44.03486
96.582068,127,45.394842
67.422006,58,46.024642
74.026593,69,46.760401
56.221163,59,47.392294
57.315327,59,48.032179
115.346338,140,49.533154
32.60056,66,50.245254
69.49531,68,50.983915
152.5391,260,53.806356
89.583061,87,54.737782
538.486942,999,79.670616
636.290632,1000,90.750604
27.943737,39,91.188782
47.972893,55,91.806723
554.003668,1000,106.391203
530.396125,1000,117.38983
62.21282,63,118.07042
24.351888,80,118.92382
38.412427,73,119.712967
89.440499,117,120.945652
298.205856,532,126.534741
647.041518,1000,145.920024
475.473694,696,153.722469
689.30062,1000,174.622062
59.02496,69,175.413019
489.058268,707,183.434934
55.705283,62,184.132794
24.814321,25,184.412795
43.008438,35,184.799862
663.704817,941,195.388257
129.758828,111,196.629101
39.720873,56,197.250575
23.842688,57,197.878129
396.845645,497,220.803089
99.197921,103,221.835021
82.121665,85,222.731192
725.921703,1000,233.439818
84.715372,88,234.397629
92.485124,99,235.468576
96.172535,92,236.462967
67.809966,68,237.207649
119.613692,120,238.510489
762.716067,1000,263.814664
784.905117,1000,274.782925
815.65057,1000,285.64893
67.026024,57,286.252771
91.509922,80,287.098409
792.630375,1000,308.249873
20.782593,25,308.515766
721.31864,1000,319.167723
886.406054,1000,343.887337
719.50437,855,352.683722
95.881779,98,353.673534
77.381821,76,354.486566
332.062733,400,358.569389
21.09487,64,359.218491
26.951904,61,359.83675
50.264718,95,360.798806
25.92641,54,361.365487
28.339752,53,361.935934
79.636032,87,362.86058
105.626151,122,364.115708
70.897543,73,367.91747
92.234059,91,368.87952
25.149921,63,369.550457
74.48323,87,370.494306
17.947388,61,371.145985
84.270935,91,372.08852
29.660368,52,372.632714
62.99791,65,373.305039
84.450672,79,374.122351
29.906786,36,374.486485
82.160814,83,375.346168
66.057342,66,376.030667
37.621052,58,376.631895
80.649908,71,377.371741
100.600176,93,378.345261
864.285702,1000,388.567573
91.241557,87,389.426631
94.438297,90,390.337228
78.922901,69,391.033144
35.88837,71,391.788807
872.476614,1000,410.002153
811.133684,1000,420.808641
918.214216,1000,434.934711
135.15311,130,436.323505
84.223242,63,436.964996
423.780277,562,442.92313
18.742543,52,443.49634
39.998699,83,444.374237
42.370886,41,444.819932
146.276019,143,446.342921
839.889398,1000,457.092363
191.208254,222,471.722489
788.575762,1000,482.537854
850.425687,1000,493.039105
79.569229,110,494.149698
78.16398,125,495.411511
82.155816,81,496.225139
593.923024,1000,510.5248
684.52106,972,520.964761
231.804998,302,524.243763
46.194388,70,525.005193
90.556443,94,526.042536
125.483631,126,529.36744
48.922354,74,530.12724
37.76456,55,530.695076
392.538102,490,535.766519
31.806256,30,536.059682
110.177105,107,537.151278
108.685728,111,538.274593
116.561725,117,539.462738
865.693446,1000,549.906128
879.684855,1000,570.807764
839.046487,971,580.597911
26.22619,36,580.96133
888.414668,1000,599.310619
129.166463,125,600.688824
93.89242,78,601.538957
910.098844,1000,612.447194
37.803229,45,612.904662
858.776309,1000,623.138591
132.479749,148,624.645764
485.609069,718,644.170281
684.255099,1000,654.223096
884.002004,1000,675.329342
852.481968,1000,685.566255
762.430099,814,693.834935
252.608245,344,697.3072
40.668215,87,698.182852
73.151508,73,698.917883
102.828403,104,713.724221
941.67159,1000,723.842715
945.307951,1000,734.099597
54.42209,49,734.61072
963.904994,1000,759.125419
