#{"t_start": 1652869967.7942731, "env_id": "Walker2d-v3"}
r,l,t
-4.714848,11,1.188278
2.351129,16,1.209517
2.408622,21,1.241701
6.512303,19,1.265475
-1.830505,17,1.285651
-3.80332,14,1.303515
-1.542623,24,1.33303
1.61001,12,1.346865
1.282728,11,1.359984
15.327724,40,1.408617
0.538118,16,1.429997
-6.939031,21,1.455225
-2.238308,16,1.474329
2.13437,30,1.51069
-4.889701,13,1.527493
4.81121,17,1.547222
4.477919,35,1.589765
13.567326,38,1.636545
1.52236,19,1.657821
16.152724,36,1.704759
0.981271,15,1.723
6.142218,24,1.750313
1.196193,27,1.785368
-3.778746,19,1.808986
4.617533,34,1.853903
8.081393,21,1.88128
-28.147117,71,1.966337
10.207933,28,1.999314
-2.667861,74,2.089319
18.328757,52,2.153372
80.439211,118,2.294003
1.49802,38,2.345316
1.446319,70,2.436553
-0.821515,78,2.529233
5.47149,17,2.55132
6.587423,96,2.666752
35.005809,102,2.794934
43.572668,124,2.954365
22.288562,72,3.049189
13.863699,63,3.124908
75.305675,93,3.238039
30.01296,94,3.351752
247.006048,136,3.516157
270.733095,165,3.725458
268.655012,151,3.908536
67.52776,127,4.062094
91.886586,146,4.244953
79.154477,144,4.423252
113.813893,185,4.651143
95.254736,175,4.878415
93.656031,164,5.106591
111.946685,177,5.362203
95.483364,168,5.594314
72.110188,117,5.747111
90.800536,146,5.93061
80.310642,119,6.076521
68.264523,129,6.242213
307.116341,251,6.55438
157.909524,190,6.796174
183.847615,132,7.16724
319.159489,187,7.417071
128.379152,186,7.670528
122.550073,165,7.898368
87.47923,143,8.117727
-1.324982,21,8.143057
81.602729,106,8.290184
291.160779,226,8.585984
1.811153,21,8.612642
20.934699,41,8.661772
250.937085,138,8.846483
34.190713,75,8.948422
234.48511,288,9.378417
317.669332,209,9.654199
-0.90519,21,9.679799
92.343461,134,9.863646
313.316244,187,10.115603
99.193999,141,10.299071
108.940814,143,10.486343
286.337516,210,10.828779
92.092339,132,11.01281
555.732306,471,11.631908
112.421155,166,11.858339
298.452704,229,12.14884
114.123571,158,12.351126
92.490174,138,12.541446
89.228556,139,12.71142
78.923714,134,12.876695
