#{"t_start": 1642496170.8535368, "env_id": "CartPole-v1"}
r,l,t
87.0,87,0.017532
9.0,9,0.018965
10.0,10,0.020483
99.0,99,0.033264
229.0,229,0.064026
9.0,9,0.065419
9.0,9,0.066807
40.0,40,0.072169
249.0,249,0.105505
33.0,33,0.109936
30.0,30,0.113986
183.0,183,0.137344
500.0,500,0.202041
314.0,314,0.242084
8.0,8,0.243343
225.0,225,0.272023
500.0,500,0.336803
500.0,500,0.400184
500.0,500,0.463964
381.0,381,0.512347
500.0,500,0.577511
500.0,500,0.641474
500.0,500,0.705397
500.0,500,0.769023
500.0,500,0.834054
500.0,500,0.897729
500.0,500,0.961308
500.0,500,1.024904
500.0,500,1.090017
500.0,500,1.154663
500.0,500,1.217821
500.0,500,1.280801
500.0,500,1.345593
500.0,500,1.408955
500.0,500,1.472373
500.0,500,1.53583
500.0,500,1.600595
500.0,500,1.664043
500.0,500,1.727351
500.0,500,1.79076
500.0,500,1.855696
448.0,448,1.912866
500.0,500,1.976587
500.0,500,2.040448
500.0,500,2.105861
281.0,281,2.142032
449.0,449,2.199621
500.0,500,2.263797
500.0,500,2.329485
500.0,500,2.393835
500.0,500,2.457847
500.0,500,2.521921
500.0,500,2.58693
500.0,500,2.650559
500.0,500,2.714321
500.0,500,2.777677
500.0,500,2.842536
500.0,500,2.905971
500.0,500,2.969442
500.0,500,3.036268
367.0,367,3.084474
500.0,500,3.148086
500.0,500,3.211483
500.0,500,3.666046
500.0,500,3.731364
500.0,500,3.795066
500.0,500,3.859108
500.0,500,3.923244
500.0,500,3.98825
500.0,500,4.052188
500.0,500,4.116022
381.0,381,4.16476
500.0,500,4.230167
500.0,500,4.29397
500.0,500,4.357751
500.0,500,4.421857
500.0,500,4.487516
500.0,500,4.551551
500.0,500,4.615565
500.0,500,4.679531
500.0,500,4.745138
500.0,500,4.809307
500.0,500,4.873562
500.0,500,4.93768
500.0,500,5.002562
500.0,500,5.066315
500.0,500,5.129891
500.0,500,5.193534
500.0,500,5.258553
500.0,500,5.322089
500.0,500,5.385659
500.0,500,5.449235
500.0,500,5.51415
500.0,500,5.577603
500.0,500,5.641131
500.0,500,5.70442
500.0,500,5.769688
500.0,500,5.833605
322.0,322,5.87476
500.0,500,5.938528
500.0,500,6.003567
500.0,500,6.067293
500.0,500,6.13103
500.0,500,6.194685
500.0,500,6.259342
487.0,487,6.321527
500.0,500,6.384606
500.0,500,6.447664
500.0,500,6.512091
500.0,500,6.575183
500.0,500,6.638361
500.0,500,6.701547
500.0,500,6.766218
500.0,500,7.186785
500.0,500,7.250786
500.0,500,7.314785
