#{"t_start": 1614621510.17076, "env_id": "AntBulletEnv-v0"}
r,l,t
58.576824,132,3.632073
447.374666,1000,5.230361
524.532289,1000,6.826081
28.555292,75,6.945615
489.946926,1000,8.547575
517.815451,1000,10.152105
84.200574,177,10.432694
509.783091,945,11.926792
467.245645,1000,13.515294
459.098989,1000,15.113358
487.855177,1000,16.711725
505.485311,1000,18.304551
489.616021,1000,20.831984
222.243779,1000,30.075524
95.295095,1000,40.010477
235.038141,1000,50.604633
194.495404,1000,61.188499
328.068332,1000,71.716365
253.975412,1000,82.549175
-29.866696,141,92.092716
334.304106,1000,95.59879
327.113271,1000,106.672344
215.3316,1000,117.289742
387.374266,1000,150.525376
352.231266,1000,161.685887
206.568258,1000,172.562727
326.132841,1000,183.155019
347.795266,1000,193.956042
377.118141,1000,205.553952
190.486997,1000,216.017308
325.625322,1000,225.752043
82.101612,1000,235.57746
314.957372,1000,245.469703
299.187439,1000,274.505654
163.679835,1000,283.809641
429.720262,1000,293.051692
358.023083,1000,302.542482
313.029475,1000,311.866263
207.594613,1000,321.27282
239.404011,1000,330.573877
215.577251,1000,340.011921
332.854458,1000,349.534695
321.858181,1000,359.200066
247.277055,1000,388.06933
386.344389,1000,398.785077
486.431226,1000,410.2173
336.180102,1000,421.486511
45.998398,171,430.607434
-1.33697,36,432.402571
18.707151,70,432.921444
67.005497,205,434.083575
128.646744,1000,438.252123
141.643105,1000,449.411715
226.829013,1000,460.060182
229.541485,1000,469.560503
343.202914,1000,479.131441
368.539049,1000,488.798154
-1.197691,20,496.25546
-0.453036,20,496.46256
-0.957109,20,497.049583
-0.623091,20,497.257686
-1.566048,20,497.465495
369.90621,1000,499.731284
333.609653,1000,509.425605
247.247598,1000,518.927657
343.60598,1000,529.112473
333.199401,1000,540.853717
247.959046,1000,552.460843
480.358969,1000,563.945927
284.140407,1000,575.32681
3.685608,74,584.416688
594.831698,1000,587.313352
170.168983,1000,620.096567
443.013606,1000,630.643764
358.777376,1000,642.065208
380.928209,1000,651.953894
503.296903,915,661.746389
322.944054,1000,670.543874
253.958445,1000,680.627317
317.266372,1000,690.05727
357.972417,1000,699.833117
363.120201,1000,710.785473
98.582147,326,720.806971
402.827198,1000,744.752463
351.721155,1000,756.193031
304.052166,1000,767.229787
259.861899,1000,776.802376
53.303969,106,784.782006
227.48545,1000,787.905263
211.780762,901,797.533969
48.904228,87,804.533255
212.417636,1000,807.419608
295.178547,1000,817.135268
197.516114,1000,827.010205
363.15638,1000,836.970479
-31.344544,157,845.05657
302.091494,1000,866.453202
579.981529,1000,876.321272
344.457551,1000,885.522353
229.13164,1000,894.949308
97.219879,232,902.756056
348.465293,1000,906.783969
324.77248,1000,916.208944
412.583681,1000,925.415245
310.170693,1000,935.408529
91.251976,220,944.840837
403.111873,1000,948.706625
366.821424,1000,975.704089
342.438142,1000,985.431453
355.124572,1000,995.059929
231.787505,1000,1004.813
330.265614,1000,1014.055954
185.622323,1000,1023.344954
244.355592,1000,1032.976017
196.761053,1000,1042.892007
449.135932,1000,1053.412102
289.392653,1000,1062.808621
113.690836,1000,1093.124314
166.58161,1000,1102.868108
78.591565,250,1111.955504
371.873171,1000,1116.49841
283.208828,1000,1127.696497
206.351728,1000,1138.697376
149.352504,559,1148.876241
304.225507,1000,1156.118956
337.800437,1000,1167.425086
287.333707,1000,1178.314531
337.693788,1000,1189.177795
244.861466,1000,1198.982445
23.407266,158,1214.782384
17.767669,132,1216.307584
238.039414,1000,1219.510558
244.616317,1000,1228.902304
319.779157,1000,1238.510372
303.0776,1000,1249.129595
266.46645,1000,1259.892884
315.357253,1000,1269.936535
329.413568,1000,1279.578277
271.170363,1000,1288.919595
362.200927,1000,1298.469373
110.865367,1000,1327.990618
237.848248,1000,1337.887996
317.151162,1000,1347.095515
203.329431,1000,1356.431476
322.61729,1000,1366.053135
279.716938,1000,1376.493093
12.796319,81,1385.225113
21.667975,94,1386.160773
11.378043,85,1387.13305
13.206895,81,1388.022013
8.411679,81,1388.876047
6.249416,81,1389.738788
4.88128,86,1390.619546
9.188023,91,1391.557126
6.708102,90,1392.517293
-0.338438,67,1393.414775
9.953419,101,1394.204682
5.760958,72,1395.205257
3.293908,74,1395.970556
284.633054,1000,1398.917811
332.459746,1000,1409.6805
356.148819,1000,1420.724073
16.294011,196,1429.869567
439.159851,1000,1456.109211
376.012676,1000,1465.757338
373.88548,1000,1475.560096
257.635844,1000,1484.851188
102.118057,243,1494.012387
200.687186,1000,1498.786974
377.369974,1000,1510.179919
50.682142,144,1518.569379
158.25011,1000,1521.873346
296.7941,1000,1531.328682
321.310766,1000,1540.860794
303.965633,1000,1550.480737
248.982936,1000,1580.06128
314.077766,1000,1589.706227
188.576227,1000,1600.035779
356.255521,1000,1610.774218
321.532309,1000,1621.511101
249.024425,1000,1631.92326
166.133378,1000,1641.476137
97.396661,222,1649.516079
280.324395,1000,1653.284361
289.658972,1000,1662.90739
391.756676,1000,1692.172594
532.538091,1000,1702.19867
364.37593,1000,1713.111521
408.311924,1000,1724.427903
300.308185,1000,1735.597503
398.538511,1000,1746.749922
25.327225,104,1755.5746
116.386106,355,1757.448386
46.432383,133,1761.334232
512.973133,1000,1764.962069
78.512454,288,1774.631604
-1.312163,21,1777.543994
130.35467,335,1778.515138
43.561245,158,1781.363097
84.69362,348,1783.403286
320.86088,1000,1788.201684
410.770349,1000,1797.59871
275.265804,1000,1826.924186
136.182034,646,1835.613488
290.186011,1000,1842.358878
416.151533,1000,1851.797929
333.652385,1000,1861.370886
187.595828,1000,1871.143114
145.854964,559,1879.595915
292.766015,1000,1885.799638
240.212297,1000,1895.796468
38.607363,103,1903.178206
321.755511,1000,1906.10435
65.202052,102,1913.513859
58.473489,99,1914.551149
299.055313,1000,1926.769405
227.113271,1000,1936.694265
188.382303,1000,1945.994978
43.337068,322,1953.889406
211.951945,1000,1958.317292
287.973639,1000,1968.201654
212.570727,1000,1977.656602
324.346064,1000,1987.361779
10.787087,79,1995.505437
255.455097,1000,1998.292374
275.63836,1000,2007.647739
307.06904,1000,2017.239593
134.152369,254,2025.162874
332.32307,1000,2046.754335
169.000129,1000,2057.124235
320.618941,1000,2068.644435
207.041423,1000,2079.980888
107.327503,1000,2091.24182
-27.359759,139,2098.830116
196.606849,1000,2102.065384
272.039953,1000,2111.36061
304.160386,1000,2120.907175
318.403703,1000,2130.521777
506.431383,1000,2158.405219
147.101385,620,2167.103457
274.953308,1000,2173.752722
209.595306,1000,2183.63507
316.537663,1000,2193.478779
218.722347,444,2202.822601
181.899063,1000,2208.895776
171.668877,603,2219.00995
276.541102,1000,2226.723463
127.760061,171,2236.236018
107.724642,204,2238.399507
308.414088,1000,2242.716941
78.424428,182,2250.319686
173.71422,626,2253.124907
301.191003,1000,2260.202677
400.922554,1000,2290.078094
125.414056,1000,2299.60877
302.002419,1000,2309.115806
330.544402,1000,2319.794002
297.430889,1000,2330.898034
56.570555,131,2338.512215
355.901099,1000,2341.66869
258.187127,1000,2351.0972
238.533277,1000,2361.584136
369.992384,1000,2372.868769
148.051694,330,2382.285841
293.730442,1000,2400.495995
312.883859,986,2411.514011
94.741801,154,2420.828838
257.778874,1000,2424.697678
298.898161,1000,2435.628396
460.756384,1000,2446.010932
385.63638,1000,2456.915793
256.098647,1000,2468.59644
255.539345,1000,2480.0205
79.11401,187,2489.49602
229.316411,1000,2493.667905
268.566311,1000,2505.359117
108.382786,393,2535.515974
50.913308,120,2539.530921
312.100069,998,2543.034708
265.219369,1000,2554.567464
268.115467,1000,2565.511106
110.710795,308,2574.64616
388.956038,1000,2579.984774
404.993476,1000,2591.630533
424.518213,1000,2602.978461
307.644668,1000,2612.319806
326.706769,1000,2621.982646
179.18466,1000,2631.307242
379.287543,1000,2655.82595
72.899533,105,2663.252384
56.509545,82,2664.257139
397.703761,1000,2666.913174
51.595765,84,2674.886628
224.432788,1000,2677.662054
265.849542,1000,2687.486379
61.282064,100,2695.437818
127.200826,300,2696.879322
363.606167,1000,2701.214686
93.625154,173,2708.986489
91.139862,156,2710.713997
346.000726,625,2713.276166
