#{"t_start": 1614710406.9786875, "env_id": "BipedalWalker-v3"}
r,l,t
-119.591556,101,0.196477
-80.018344,1600,1.231815
-102.175201,107,1.301057
-113.435925,63,1.343362
-100.724502,53,1.378788
-98.507526,113,1.451416
-85.486336,1600,2.452826
-80.851775,1600,3.450973
-114.304357,61,3.491949
-100.865099,73,3.540358
-111.487056,63,3.581382
-105.421763,44,3.610324
-121.241366,127,3.689915
-113.117925,62,3.731131
-80.03653,1600,4.734385
-99.595419,74,4.783729
-83.112649,1600,5.780265
-113.421955,58,5.818325
-60.810381,1600,8.615204
-125.427283,48,34.347391
-107.735672,62,35.239753
-145.838662,158,36.5083
-125.374175,47,39.181609
-126.516339,47,40.030212
-149.773563,1600,43.321129
-109.034693,53,69.666371
-109.669866,52,70.623543
-108.50941,57,71.572845
-103.626807,97,72.663609
-118.953571,45,74.339002
-112.176037,40,75.146177
-111.229637,40,75.872618
-113.040386,40,76.598454
-119.714012,235,77.609764
-105.405478,45,81.535424
-103.143653,38,82.338676
-110.631189,56,83.059668
-124.677649,1600,86.50249
-104.325804,83,112.831327
-125.058449,103,114.36279
-133.68582,1600,118.500499
-99.18034,138,145.042952
-113.86488,113,147.497626
-119.755214,82,149.499088
-101.856491,64,150.960661
-98.559289,84,152.157463
-96.045493,96,153.70476
-114.976966,1600,157.86201
-126.607704,247,184.657381
-157.906451,1600,212.936178
-108.847728,71,239.394131
-111.213906,79,240.719628
-107.644539,70,242.140394
-107.212588,65,243.404348
-113.366003,100,244.635794
-106.992893,109,246.45958
-101.867741,85,248.401415
-120.927442,56,249.896405
-104.220145,50,250.901233
-91.716154,135,251.937294
-108.227368,47,254.240706
-105.418573,67,255.12484
-106.620478,67,256.337186
-102.790093,55,257.528555
-104.218511,80,258.570146
-175.565496,621,260.833466
-179.412538,636,272.053776
-112.567128,94,282.712179
-120.794371,101,284.428095
-106.104068,45,286.175758
-142.776163,211,287.249868
-110.252416,105,290.909762
-114.111434,35,292.708666
-127.31977,128,293.498571
-115.685122,39,295.692927
-121.932854,79,296.468941
-117.198958,49,297.857751
-120.294343,73,298.793746
-122.565483,63,300.107211
-119.901449,52,301.238725
-118.131271,48,302.181544
-104.183353,59,303.075982
-105.252534,55,304.146943
-103.204865,52,305.143705
-108.736176,84,306.141093
-120.618725,57,307.62784
-112.769561,103,308.743535
-117.634306,84,310.578735
-115.980357,79,312.093596
-109.290978,72,313.520881
-101.527494,104,314.880394
-116.537737,78,316.725197
-123.709803,130,318.220177
-103.186307,87,320.506136
-108.807479,100,322.105025
-120.730819,80,323.887755
-111.677676,73,325.327648
-104.228319,59,326.632718
-121.786702,84,327.740123
-105.975052,79,329.258386
-131.22167,90,330.71192
-105.867741,62,332.292705
-105.262062,69,333.430169
-107.565472,56,334.656874
-108.206826,121,335.772333
-102.948408,111,337.941219
-100.104818,79,339.899965
-105.33374,84,341.337329
-100.516731,76,342.845776
-105.826123,125,344.304199
-113.177667,120,346.552863
-103.129342,76,348.652673
-132.664878,87,350.045779
-102.231963,68,351.591632
-170.336363,1600,355.246684
-115.488387,52,381.64712
-94.714736,1600,401.303994
-112.689612,1600,430.272109
-123.81787,1600,459.189719
-121.846192,1600,488.017763
-114.571637,80,514.483831
-129.447915,1600,518.295869
-117.40797,101,544.929965
-125.606659,112,546.781778
-68.77019,1600,551.201871
-98.730263,1600,603.031498
-140.740434,1600,631.921963
-116.557345,46,658.520661
-108.982722,31,659.346217
-117.976492,54,659.95276
-113.805207,45,660.928897
-110.791103,36,661.743268
-120.888194,74,662.464951
-49.80253,1600,666.27874
-149.400704,1322,694.998351
-123.913459,429,717.727086
-144.883628,1084,726.578638
-134.880531,1600,747.307994
-121.833843,59,774.450548
-117.198768,55,775.544162
-123.894764,67,776.588946
-136.380801,1600,780.346503
-110.511704,72,807.848511
-134.650057,111,810.165577
-146.308534,1600,814.618005
-137.095914,103,842.446345
-153.432915,1600,846.728672
-106.282387,78,874.791058
-104.452031,84,876.300451
-106.297781,83,877.919112
-106.908903,71,879.497088
-134.216721,1600,883.281981
-107.422692,89,911.762352
-133.546214,173,913.625566
-134.277452,1600,919.271415
-153.373987,1600,950.392493
-107.659973,80,979.347276
-110.690848,65,980.901078
-113.088961,62,982.179741
-107.761843,56,983.396324
-103.523538,57,984.509919
-149.936142,393,986.171665
-112.52884,84,993.434618
-104.655919,56,995.059409
-95.585443,1600,1004.337516
-111.654374,119,1033.904394
-133.463049,1600,1038.67056
-107.670189,44,1068.622483
-129.428802,1600,1071.944353
-138.071025,1600,1104.763421
-124.612356,88,1135.88178
-111.832681,505,1138.40334
-145.812779,273,1148.798111
-103.126146,1600,1156.717856
-146.106859,1600,1214.259417
-156.099821,1600,1250.1637
-191.388834,780,1286.286345
-139.707911,1600,1306.423048
-112.555065,1600,1345.876554
-139.586632,932,1385.917661
-85.639654,1600,1411.710871
-113.67512,93,1452.614007
-104.721014,89,1455.148594
-113.162412,106,1457.605367
-114.916423,78,1460.466881
-113.759297,104,1462.643945
-112.420177,106,1465.502988
-131.33512,138,1468.462043
-111.993499,104,1472.203751
-152.856947,351,1475.465463
-156.038288,1600,1497.278977
-118.195855,1600,1542.198127
-135.237796,1600,1587.867712
-188.907696,766,1632.859117
-124.421111,372,1654.809678
-203.428701,899,1666.679246
-192.48233,1209,1693.936899
-263.262908,1471,1730.26275
-217.353832,966,1773.540536
-131.47264,1600,1826.431325
-85.625958,228,1872.609018
-120.23291,76,1879.284324
-110.784053,52,1881.566935
39.240465,1600,1885.543777
-136.631646,1600,1934.512421
-108.338511,72,1981.170149
-101.343018,58,1983.369183
-122.940611,95,1985.214678
-115.173819,176,1988.262608
-117.570701,96,1993.55502
-104.826466,94,1996.514163
-111.836978,416,1999.923511
-141.596646,797,2013.397301
-131.315288,131,2037.090913
-117.273901,79,2041.089832
-121.675515,259,2043.828304
-133.06304,110,2051.659612
-128.923921,124,2055.109035
-117.749379,879,2060.138239
-107.894008,103,2086.15858
-128.079823,218,2089.52305
-108.841074,1600,2106.719377
-126.875865,97,2154.15551
-140.977081,358,2157.596774
-114.653625,207,2168.567955
-198.460031,919,2176.130504
-124.156178,1600,2205.941462
-127.703249,1600,2255.929256
-95.205483,261,2304.085464
-142.64006,763,2313.101453
-193.093639,786,2337.232377
-99.654947,83,2360.936505
-152.735124,1600,2365.849764
-114.009017,1600,2437.222549
-117.567951,1600,2487.958234
-125.510301,1600,2538.684136
-128.37566,1600,2589.829545
-104.630528,1600,2640.884138
-132.74375,443,2690.521758
-99.978056,71,2704.198644
-121.274841,1600,2708.857182
-180.29932,1237,2779.088314
-106.847022,1600,2819.71939
-101.493831,360,2869.452562
-102.777054,677,2881.58376
-93.024787,184,2902.717929
-109.922289,80,2908.546425
-69.585765,596,2911.954096
-90.710617,1600,2932.910601
-102.03563,252,2982.874885
-129.904176,258,2991.062299
-112.614314,536,2999.871067
-131.982595,145,3016.675361
-108.724776,195,3021.463075
-21.337892,1600,3029.953601
-118.591497,101,3079.95231
-119.852826,90,3083.25363
-132.060542,175,3086.339391
-167.972526,1013,3093.359722
-105.238552,295,3125.245035
-128.113199,1600,3142.704918
-122.214887,196,3192.995516
-142.656239,233,3199.50506
-143.94057,207,3207.136181
-144.978351,1600,3216.119963
-121.618177,170,3266.320914
-198.233436,1208,3273.479739
-171.34149,1600,3313.875926
-136.916111,525,3364.971601
-115.270117,262,3381.817234
-130.096612,385,3390.618407
-100.085523,241,3403.053758
-95.799968,1600,3413.108516
-152.787031,1600,3488.804744
-100.76428,105,3539.240981
-100.37962,105,3542.713631
-105.871599,75,3546.149851
-131.041223,1600,3551.08848
-109.34071,96,3601.936206
-110.999854,96,3605.130441
-108.031219,121,3608.369354
-112.484569,84,3612.323865
-138.79321,1600,3617.499857
-104.393654,93,3668.078735
-100.174651,85,3671.161554
-120.918201,1600,3676.397222
12.764523,1600,3729.826704
-110.104761,278,3780.91103
-102.843065,102,3789.884875
-88.858874,169,3793.390863
-101.753446,137,3798.979872
-110.227437,139,3803.571084
-100.597138,104,3808.173671
-103.961446,89,3811.638101
-103.614137,98,3814.639246
-100.229823,100,3817.9294
-102.952281,97,3821.280926
-107.041363,107,3824.55154
-100.564748,147,3829.71118
-102.033589,85,3834.54593
-109.421112,107,3837.436554
-101.554256,91,3841.003194
-103.852014,148,3844.143398
-86.689798,135,3849.089347
-107.921349,124,3853.605393
-74.251393,1600,3860.105495
-110.940581,124,3911.213014
-109.32347,801,3916.399604
-118.916047,111,3942.203644
-121.31157,183,3946.060422
-117.604955,211,3952.262601
-116.074042,143,3959.264118
-13.358773,1600,3966.310651
-91.593865,297,4017.975763
-105.523698,189,4027.765262
-8.814986,769,4034.993897
6.274374,1600,4062.187139
-93.457014,426,4114.388827
-82.404011,823,4129.322239
209.60798,1600,4165.498373
-7.724821,1600,4219.672774
-57.844704,748,4272.497396
116.067671,1600,4299.134642
-98.277221,753,4352.279778
-95.59143,600,4377.605078
-74.748766,398,4397.635994
85.591108,1600,4412.986021
-94.38789,1215,4467.050407
-151.271617,943,4521.310799
-140.673067,558,4552.85484
-46.761616,1468,4573.398695
-112.486276,203,4621.75308
-73.047096,1600,4630.823718
-65.758308,450,4683.760319
-77.200591,692,4699.620067
-73.158796,310,4722.808009
-112.26607,223,4733.33147
-112.090888,136,4740.868506
-113.084855,122,4745.50067
-101.452568,199,4749.791747
-115.189666,173,4756.560136
-119.215736,143,4762.436813
-43.301662,1303,4769.08716
-90.53268,134,4811.987332
-15.950544,1600,4837.432696
-102.764879,85,4890.043335
-105.075839,98,4892.990838
-102.745847,64,4896.306817
-106.82316,129,4898.620558
-104.364977,90,4902.99564
-106.983974,105,4906.11825
-102.121152,66,4909.672076
-19.217558,998,4913.374151
-101.457046,73,4946.360555
-101.52041,102,4948.939758
-130.641596,627,4953.280566
-91.187185,255,4974.362109
-102.027066,187,4983.07485
-101.633341,261,4989.61904
-114.631088,593,4999.093691
-72.302288,395,5019.168231
-81.816596,567,5033.000308
-96.138214,335,5052.209685
-72.39295,594,5064.203179
-122.037223,430,5084.503901
-106.93943,85,5098.857127
-100.186278,157,5101.917456
-169.398616,1600,5109.533291
-132.148974,1600,5164.598217
198.764973,1600,5228.648053
-15.008867,1600,5283.853247
-125.711847,92,5336.987611
-86.410078,1600,5342.501103
-85.555273,146,5395.749021
222.244357,1551,5402.945904
-110.725338,68,5454.549564
47.549599,1600,5459.294366
189.967868,1600,5514.907588
199.076204,1600,5585.794197
-45.028753,751,5640.243503
-136.366705,1600,5667.694089
212.159384,1591,5723.579474
-105.184039,110,5776.760663
-25.401818,636,5781.397304
-106.826963,104,5802.713492
211.456256,1600,5808.645789
142.303687,1600,5864.735412
-113.995741,77,5918.166388
41.501093,958,5934.909857
-14.655621,702,5968.104418
32.261365,920,5993.111793
-120.530069,74,6023.999804
-116.760065,97,6026.625994
-119.698756,73,6029.985452
-121.094524,78,6032.549173
-119.952689,75,6035.276902
-118.500287,101,6037.945586
81.814083,1306,6043.3042
-109.111018,489,6087.920453
-72.184561,451,6105.042101
-103.473902,139,6120.411347
-78.764528,304,6125.521382
56.909373,1005,6137.214283
-85.477706,158,6171.04767
-75.131504,214,6176.665175
-109.13456,79,6183.946319
-107.767911,219,6186.926239
-122.468996,104,6194.439944
83.510375,1354,6200.007932
-117.083699,70,6245.726371
-35.575247,810,6249.321873
-88.109022,273,6276.907531
-136.573603,214,6286.391954
-125.830477,479,6294.301375
-129.131837,244,6322.017164
-69.442705,483,6331.003133
-77.252392,401,6347.931311
-111.844327,89,6361.615261
168.226002,1600,6367.070154
-98.049066,233,6421.167202
-113.121507,76,6429.122984
-30.460414,600,6432.589467
-62.940804,331,6453.336094
-58.178235,394,6465.135793
-85.994905,212,6478.800553
-83.775173,230,6486.32577
-98.562982,165,6494.360467
-53.462024,323,6500.433175
244.70424,1263,6513.219957
-94.085616,127,6555.838711
101.066904,1433,6562.310247
-37.541333,1600,6613.203691
-81.359464,163,6667.391478
-83.29589,166,6673.126289
8.994407,624,6687.637016
-17.579686,498,6709.441543
-23.905023,429,6726.987032
-87.932821,195,6741.834708
-102.456239,105,6748.623005
-50.360113,336,6752.70234
-20.389017,607,6765.046922
-90.190986,171,6785.795357
99.275922,945,6793.002259
-16.416343,485,6825.609874
-15.192941,651,6843.020403
48.714607,1086,6866.80802
-88.19213,190,6903.997138
15.730389,626,6911.374808
-75.196586,176,6932.794912
-94.769246,108,6938.917782
-86.470914,118,6942.753753
-74.126958,175,6947.014181
-85.108257,195,6953.233737
-80.554594,199,6960.144816
-80.62049,139,6967.142524
-24.675691,494,6972.633726
217.983042,1478,6991.722271
-94.308297,244,7044.738555
221.742546,1447,7055.200869
-82.091756,179,7104.71303
-99.415924,139,7111.037211
-100.001604,194,7116.079463
-103.508347,206,7123.02049
-57.684459,352,7130.597827
-102.543349,141,7142.806039
-82.226491,281,7148.018945
-85.902083,207,7157.867232
8.220198,870,7166.224652
-117.217649,100,7195.927746
-87.690839,266,7199.758632
-103.147618,432,7209.528055
-110.144,373,7224.884075
-55.571142,361,7238.199949
-46.519473,381,7251.135694
-106.384535,131,7264.348138
-24.692613,563,7269.665127
-63.121993,585,7289.689117
-12.106409,1012,7311.121423
-93.003898,232,7346.03075
-79.99805,198,7354.290233
-91.597654,192,7361.377544
-97.918715,154,7368.205764
-105.786606,66,7373.595444
-75.206091,277,7376.291138
3.191718,790,7392.668048
-75.450151,720,7420.69034
-117.896861,145,7445.445597
-61.924248,432,7451.097646
-97.317116,69,7466.046677
-112.232839,76,7468.543843
-106.73938,87,7471.296106
-101.169645,67,7474.39542
20.012264,1600,7479.215899
-106.20276,68,7534.147125
-110.982809,72,7536.585816
-110.803706,83,7539.17547
-100.609238,71,7542.128472
-100.077548,61,7544.655664
-109.674074,90,7546.884912
-105.134835,104,7550.127121
-105.949525,111,7553.855506
-110.405344,81,7557.776463
-99.849246,74,7560.665904
-105.185143,97,7563.343667
-112.904307,85,7566.79615
-3.284458,670,7570.745135
-99.665171,67,7593.893544
-100.558804,82,7596.338441
-91.470713,178,7599.436702
-99.214351,76,7605.687708
-99.63429,101,7608.470007
-100.638614,71,7612.065224
-99.673262,72,7614.628585
-99.934963,75,7617.233427
-166.367108,1600,7622.408805
11.024169,588,7678.069654
227.617,1483,7700.559275
-46.969237,309,7752.103376
240.172556,1290,7782.814464
-72.849094,210,7827.490572
-81.786118,218,7835.06736
-87.115933,131,7842.790911
9.344611,536,7848.132801
-49.692862,334,7867.105888
253.496397,1229,7880.405754
-65.118747,348,7923.028197
-65.863277,396,7935.635548
-91.543296,163,7949.536781
-34.30332,505,7955.933777
-84.234684,291,7973.788439
-28.260665,700,7984.891366
-72.117817,176,8009.140044
-75.198854,216,8015.50656
4.909864,468,8023.615147
271.625155,1068,8041.31752
262.758604,1190,8079.974479
-105.368118,60,8121.015205
-111.405087,64,8123.174426
-109.906286,63,8125.470446
-113.046322,44,8127.706897
-114.396472,50,8129.300702
-10.05838,566,8134.351629
47.76987,650,8154.823579
-101.412455,243,8177.665144
-69.876932,242,8186.440876
-70.779611,290,8195.254285
-14.215371,504,8206.048395
-83.025923,261,8223.782
46.611878,1055,8234.340031
-37.999644,469,8271.265901
-7.964813,584,8288.368939
-110.651234,92,8308.70583
257.829289,1239,8313.78115
-114.804571,99,8356.658404
261.849521,1168,8361.846202
-53.925397,368,8402.642364
-44.422875,351,8415.90717
-108.226131,78,8428.172341
80.048243,785,8432.063883
-115.992335,103,8459.312761
-115.764437,155,8463.099031
58.920701,722,8469.515216
-88.75985,146,8494.535075
-55.637958,282,8519.052396
-68.994072,236,8529.17732
-18.93548,475,8538.074817
-99.568072,119,8554.702869
-65.579685,201,8559.131208
-33.842978,340,8566.610654
-48.698017,286,8578.768007
-53.271494,291,8589.069093
-30.117818,348,8599.616768
-97.578481,83,8611.724347
-62.023174,210,8614.904433
255.98421,1300,8624.110281
-1.616446,512,8669.952067
36.907764,516,8688.493778
-64.706585,180,8706.549993
-38.481077,290,8713.191618
-55.418947,241,8723.549961
-19.511807,404,8732.469813
-45.727363,304,8746.939688
-15.983996,371,8758.046041
-65.401805,208,8771.234702
-48.556752,346,8778.983585
-98.030751,151,8791.219594
-74.064394,175,8796.733146
-4.546517,402,8803.38242
-0.258691,429,8817.90537
-54.080229,300,8833.152687
-23.170575,391,8844.095905
-49.226131,268,8858.067827
-88.511847,138,8867.596165
-20.224073,373,8872.962741
-73.602209,152,8889.336891
-77.72574,179,8894.89731
-51.539121,278,8901.55195
-83.991518,190,8911.512374
38.940668,665,8919.09973
-58.584671,351,8942.600392
-71.824313,264,8955.135691
-95.859352,118,8964.446219
-42.848957,354,8969.098831
-68.662984,201,8981.724586
-56.169036,293,8989.173927
-66.004793,278,8999.804543
103.337116,1009,9011.033699
-87.314442,210,9046.377776
7.743813,553,9054.499837
-54.185225,346,9074.173454
-96.506902,183,9086.487876
-277.435016,1518,9095.282122
8.94834,560,9149.006982
-95.191963,132,9168.603239
-110.116636,61,9173.276086
-109.147125,73,9175.50704
-113.827634,108,9178.210537
-47.546359,383,9182.54444
-107.502993,47,9195.916236
-113.282731,78,9197.683834
-0.69206,559,9201.256074
-80.86549,191,9221.053839
-107.244542,71,9227.833553
1.623042,577,9231.186901
-53.659205,298,9253.105807
-41.870559,372,9264.025988
-68.375932,201,9277.229044
-81.100594,231,9284.555716
-113.720429,110,9292.737337
-115.686818,77,9296.683039
-60.70917,410,9299.98594
-167.40624,1600,9316.644744
-142.387129,1600,9374.944356
-105.435619,154,9430.800239
-20.568445,395,9436.747011
-159.451231,1600,9453.031602
-122.533549,221,9509.328176
-82.42039,145,9517.253178
-70.71746,313,9522.77688
-54.271301,310,9534.135768
-85.944167,171,9545.187401
-113.758272,90,9551.281936
-113.170513,65,9554.521003
-77.404688,177,9557.061669
-112.665288,79,9563.351146
-69.872547,215,9566.432845
-50.57599,307,9574.428208
-44.95343,294,9585.644341
-84.135149,163,9596.208524
-60.942347,311,9602.413101
-81.072268,210,9616.210292
-80.532863,176,9623.854923
-109.6079,52,9630.120796
-99.756781,120,9632.137852
-80.82369,237,9636.698703
159.322682,983,9646.461088
-124.240166,78,9680.853122
-121.582638,118,9683.763994
-112.817442,73,9687.992481
-108.324378,84,9690.668625
-82.19092,187,9693.887653
