#{"t_start": 1614621489.3940954, "env_id": "HalfCheetahBulletEnv-v0"}
r,l,t
-1210.150627,1000,6.287388
-1348.515471,1000,7.639827
-1313.298534,1000,8.96166
-1406.504391,1000,10.293273
-1401.348804,1000,11.623057
-1118.942471,1000,12.968491
-1134.991373,1000,14.325064
-1325.243023,1000,15.655002
-1319.894395,1000,16.993307
-1175.037593,1000,18.388872
-1444.300192,1000,38.540465
-1472.780094,1000,47.519175
-1457.2529,1000,57.038026
-1054.459386,1000,65.911874
118.612534,1000,74.956082
-1425.377977,1000,84.149059
-827.921808,1000,93.621845
-1139.603797,1000,102.634256
-804.678116,1000,111.811827
-718.462531,1000,121.097658
-1529.479062,1000,148.111764
-1348.442743,1000,157.317414
-791.840944,1000,166.811392
-464.969263,1000,176.131784
-1513.540608,1000,185.605013
-743.416501,1000,194.647002
-400.637648,1000,203.695048
-136.044864,1000,212.997717
-1276.055525,1000,222.102497
-443.148426,1000,231.721209
-1304.255183,1000,257.92618
-44.629445,1000,267.948878
80.021153,1000,277.714276
-70.339516,1000,287.213473
-365.579932,1000,296.123106
35.371609,1000,305.299436
-922.256082,1000,315.34631
-416.016391,1000,324.264551
-347.505244,1000,333.143202
-1589.341409,1000,342.034488
0.18276,1000,367.930327
345.745795,1000,376.98568
-1197.224439,1000,386.311424
69.285025,1000,395.760421
-4.407348,1000,405.313359
272.335755,1000,414.996833
417.047867,1000,424.059746
-1758.18213,1000,433.231703
-243.055177,1000,442.110321
-113.647302,1000,451.889293
-7.749924,1000,477.732339
-1259.460099,1000,487.36048
481.402154,1000,496.877876
352.358733,1000,506.010166
498.681388,1000,515.324622
-98.217127,1000,525.50491
209.473544,1000,534.616281
179.381008,1000,543.674907
-1678.060901,1000,552.953868
-1484.40059,1000,562.046795
-176.654987,1000,588.558964
-389.7304,1000,598.008256
-1622.736232,1000,607.100825
-1650.985124,1000,616.58298
-1569.7058,1000,626.210205
-174.495249,1000,635.892004
-129.21807,1000,644.951972
-709.359711,1000,654.250505
-783.896267,1000,663.698367
110.012544,1000,673.275034
434.332525,1000,699.388861
-216.581753,1000,708.800619
517.892035,1000,718.415967
603.205907,1000,728.064977
308.372098,1000,737.692139
403.876435,1000,747.864568
488.563604,1000,757.070278
416.653013,1000,766.122219
419.422037,1000,775.668423
468.987192,1000,785.376778
462.414959,1000,811.168414
559.139794,1000,820.501218
589.344673,1000,829.434498
600.444756,1000,838.518474
341.735782,1000,847.799301
476.107957,1000,857.213317
311.675738,1000,866.351442
276.211495,1000,875.390454
146.090326,1000,884.655931
443.286389,1000,894.081075
514.661227,1000,919.832976
225.068983,1000,929.125193
477.532452,1000,938.095089
485.972778,1000,947.691803
393.963378,1000,956.701019
520.05239,1000,965.93418
461.865625,1000,974.935701
475.57784,1000,983.973462
420.873224,1000,992.903797
175.676532,1000,1002.200531
631.289819,1000,1027.917083
583.06307,1000,1037.044128
549.823324,1000,1045.970816
505.341534,1000,1055.611408
539.64222,1000,1064.639423
494.924739,1000,1073.808127
593.2834,1000,1083.144271
421.937372,1000,1092.366316
141.258356,1000,1102.044302
512.251517,1000,1111.137622
604.274311,1000,1136.977803
723.637796,1000,1146.675982
681.640612,1000,1155.736253
685.478775,1000,1164.959169
615.669151,1000,1173.911306
588.191681,1000,1183.567975
616.426624,1000,1192.652291
588.047718,1000,1201.576368
540.601895,1000,1210.970394
658.252381,1000,1220.561432
828.84288,1000,1246.696558
844.147329,1000,1255.615978
785.637195,1000,1265.22649
541.908792,1000,1274.595834
760.800864,1000,1283.716257
602.754377,1000,1293.02862
756.858805,1000,1302.237289
424.741633,1000,1312.302862
643.596985,1000,1321.29283
610.041409,1000,1330.195233
594.045821,1000,1356.003007
702.437152,1000,1364.949706
623.628677,1000,1374.256959
556.588846,1000,1384.308037
824.958512,1000,1393.879453
905.452708,1000,1402.85812
832.925694,1000,1411.976751
577.599112,1000,1421.123428
739.085629,1000,1430.632213
673.505198,1000,1439.617878
775.997114,1000,1465.463917
834.728525,1000,1475.535645
820.839351,1000,1484.947958
-268.273964,1000,1494.049462
861.31395,1000,1502.949405
748.787608,1000,1511.882867
901.093354,1000,1520.802241
945.288154,1000,1529.923419
962.509249,1000,1539.50417
834.371908,1000,1548.520074
734.593579,1000,1574.116622
865.636934,1000,1583.405352
829.337686,1000,1592.386001
773.855664,1000,1601.499404
852.449961,1000,1611.481811
862.028299,1000,1620.762715
940.480384,1000,1630.240665
987.843127,1000,1639.887204
941.630128,1000,1648.943505
1001.566736,1000,1658.143157
1001.835775,1000,1683.857014
1094.089665,1000,1693.015387
867.270008,1000,1702.402989
1170.628875,1000,1711.806199
1056.455756,1000,1720.720815
566.312685,1000,1729.661736
965.105236,1000,1738.969132
937.999867,1000,1748.391644
1001.127853,1000,1757.95611
818.862452,1000,1767.711624
933.713581,1000,1793.268079
1096.729265,1000,1802.837352
1153.153041,1000,1811.873603
1152.723934,1000,1821.82274
938.721907,1000,1831.103
1208.168113,1000,1840.508716
671.62344,1000,1850.1202
951.092282,1000,1859.166826
1318.090623,1000,1868.378295
1076.56509,1000,1878.385094
898.251607,1000,1903.903613
1114.139158,1000,1913.11849
1149.585484,1000,1921.969677
1041.929499,1000,1930.835935
1202.456671,1000,1939.791988
1270.495092,1000,1949.119086
1271.114732,1000,1958.590667
1311.334477,1000,1968.167607
1374.036232,1000,1977.106659
1191.258048,1000,1986.273337
1091.848301,1000,2011.696461
1154.934037,1000,2020.811275
1187.090329,1000,2030.084077
1383.103556,1000,2039.003179
1327.485547,1000,2048.770318
1338.113161,1000,2057.921627
1117.073029,1000,2066.773179
1216.003029,1000,2075.685863
