#{"t_start": 1614622271.6308794, "env_id": "HopperBulletEnv-v0"}
r,l,t
23.20089,12,6.643707
30.688001,21,6.66261
18.168489,8,6.670167
17.035936,12,6.681036
19.433942,16,6.695702
20.320216,8,6.703186
16.691123,9,6.711441
20.20922,12,6.722713
17.459456,10,6.7321
19.616622,9,6.740329
17.172876,17,6.755732
19.139526,8,6.763254
18.778468,9,6.771782
20.831749,13,6.783523
17.58032,9,6.791802
16.296436,17,6.807088
19.89533,8,6.814735
18.68871,9,6.823022
20.456493,10,6.832255
17.263976,10,6.841346
26.649171,18,6.858057
18.998468,11,6.86803
26.296606,16,6.882804
17.80881,7,6.889507
17.797184,8,6.897143
18.820001,10,6.90631
23.400964,16,6.92076
19.953155,13,6.932582
19.257312,9,6.941041
15.491638,10,6.950178
19.96464,11,6.960324
19.106031,8,6.96779
22.194904,10,6.977128
22.404847,10,6.986388
21.347735,18,7.00265
21.073292,8,7.010111
17.021317,6,7.016039
20.060522,10,7.025389
17.801856,14,7.038007
17.609716,7,7.044685
19.727724,10,7.054183
17.049204,12,7.064987
25.825623,30,7.091585
17.525988,7,7.098223
38.891492,28,7.123364
20.597825,8,7.130843
23.553461,11,7.140834
19.400087,14,7.153431
22.676361,18,7.169905
19.697907,15,7.183648
22.574598,14,7.196388
18.899523,14,7.209049
20.305641,9,7.217538
12.036368,11,7.227493
20.477191,8,7.23507
24.594579,17,7.250429
25.105672,13,7.262568
19.977947,6,7.268381
24.285859,19,7.285698
21.754841,14,7.298341
20.3759,11,7.308977
20.782113,14,7.321547
21.676236,18,7.33764
18.642241,10,7.347671
25.414982,17,7.363314
16.15466,10,7.372439
21.220765,12,7.383405
23.362708,15,7.396945
27.557315,15,7.410559
18.625939,8,7.418049
23.997051,12,7.429124
20.422922,9,7.437511
20.187311,11,7.447886
14.072543,10,7.45702
20.120501,17,7.472428
22.834332,11,7.482399
22.072123,17,7.497617
20.622434,9,7.506015
19.329419,23,7.526769
26.741231,16,7.541369
20.743896,18,7.557509
23.188945,22,7.577017
19.214237,21,7.596207
22.97036,15,7.609513
16.041107,8,7.617117
18.571225,15,7.630609
18.312423,8,7.638186
22.015319,16,7.652782
20.530189,9,7.661231
17.440745,8,7.668758
20.529965,8,7.676198
23.775559,23,7.696902
20.418895,9,7.705418
16.499806,8,7.712919
17.201557,7,7.719601
16.513148,7,7.726182
21.840123,17,7.741757
25.67454,21,7.76041
19.099689,14,7.773176
19.4039,9,7.781533
16.529802,8,7.789177
17.874509,10,7.798407
23.335387,15,7.811922
15.662384,5,7.816844
15.769154,6,7.822799
21.993455,12,7.833704
16.947659,10,7.843001
18.870669,8,7.850526
20.877372,12,7.861828
17.679418,7,7.868515
17.303742,9,7.876957
18.888799,20,7.89488
18.277214,12,7.906051
20.434496,14,7.918749
18.36875,11,7.929085
21.714713,13,7.941154
18.659539,9,7.949591
20.762812,8,7.957148
16.696147,18,7.973489
20.664472,12,7.984603
20.71717,10,7.99416
18.520252,9,8.002568
21.264094,8,8.010073
20.60144,20,8.028008
17.712725,11,8.038255
19.924698,10,8.047595
20.648626,9,8.055888
25.70991,17,8.07116
13.262753,17,8.086579
24.498289,20,8.104563
15.348107,6,8.11033
26.891824,18,8.126801
20.837564,19,8.143959
21.614179,14,8.156626
18.491199,10,8.166096
18.072168,8,8.173648
24.154629,17,8.18911
20.324735,10,8.198476
23.1328,15,8.211873
22.645428,15,8.225531
17.829755,8,8.23325
21.232937,11,8.243407
17.698379,7,8.250034
24.417759,18,8.266329
19.598542,12,8.277584
20.000544,8,8.285188
22.164384,15,8.298925
21.034119,14,8.311576
25.955436,22,8.331453
17.185734,10,8.340797
20.124226,10,8.350008
24.897879,19,8.367507
19.493999,14,8.380281
25.852162,32,8.40878
23.827355,14,8.421492
23.390193,14,8.434186
18.417452,7,8.441003
21.43928,14,8.453634
19.670273,13,8.465685
19.630127,12,8.476621
20.404385,13,8.488682
20.832746,19,8.505809
23.961552,14,8.518759
17.302574,8,8.526275
18.074825,8,8.533952
21.2301,7,8.540615
19.375368,9,8.549126
20.669029,12,8.560044
19.866185,10,8.5694
21.622487,14,8.582175
16.712313,7,8.588897
17.706477,12,8.599862
19.465819,10,8.609165
18.809046,8,8.616708
17.667607,14,8.629472
20.420713,8,8.637106
20.748597,9,8.645647
24.462808,20,8.663708
17.421201,13,8.675459
19.247972,12,8.68654
20.354566,11,8.696918
18.265652,16,8.711463
16.619089,14,8.724108
17.700366,11,8.734176
17.996678,15,8.747916
12.618355,6,8.753667
15.665866,6,8.759408
20.005491,8,8.766956
14.421121,8,8.774532
20.772091,12,8.785573
14.509767,12,8.796631
13.881431,10,8.805804
16.45018,7,8.812686
23.146662,13,8.824706
19.781482,17,8.840173
15.502397,8,8.847598
21.806584,12,8.858818
19.649053,8,8.866277
19.631862,12,8.877393
21.9921,13,8.889237
19.36024,16,8.903815
19.361885,9,8.91225
17.531962,8,8.919763
19.622417,8,8.927264
15.89651,7,8.934079
25.721377,21,8.952693
18.124192,8,8.960077
18.477743,15,8.973676
19.534433,7,8.980506
19.971194,7,8.987195
13.245721,18,9.003444
19.800968,10,9.012748
18.774745,10,9.02222
18.392578,10,9.031615
22.288606,9,9.039967
20.3189,13,9.051936
20.67764,9,9.060541
17.062394,7,9.067198
18.315106,7,9.073766
27.610272,26,9.096795
22.015077,9,9.105363
16.46192,11,9.115502
21.071382,13,9.127613
31.974566,24,9.149056
17.994105,12,9.16022
19.673833,11,9.170426
16.95654,9,9.178754
19.783839,24,9.200349
17.893427,8,9.207933
18.204057,13,9.219906
20.014923,16,9.234347
21.720218,12,9.245272
20.246277,6,9.251264
19.075093,7,9.257861
16.446259,9,9.26626
16.682372,12,9.277292
19.450053,12,9.288489
17.834758,7,9.295171
16.283521,17,9.310266
21.799158,15,9.323917
23.432188,12,9.335072
21.131682,14,9.347876
18.918321,12,9.358706
23.966215,16,9.373053
22.885351,19,9.390351
20.63757,8,9.397911
