#{"t_start": 1614710446.7649217, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-247.491133,93,0.36478
-412.466224,88,0.435693
-376.661411,94,0.489912
-179.80367,87,0.53801
-388.403051,87,0.587237
-281.608589,66,0.622993
-225.775429,83,0.667565
-150.261617,129,0.742535
-149.606798,86,0.790357
-396.251383,85,0.837055
-387.771121,204,0.987093
-346.657627,138,1.06952
-240.432039,94,1.12237
-441.165443,128,1.199534
-171.618187,63,1.232984
-379.386863,91,1.280664
-60.153143,88,1.330978
-148.492964,102,1.389603
-219.301139,96,1.443444
-282.024857,156,1.543048
-52.492363,78,1.589061
-56.151628,80,1.632762
-144.758917,87,1.681159
-21.266465,80,1.727027
-90.6495,79,1.772532
-108.766818,145,1.859769
-139.422482,137,1.940915
-122.981323,124,2.020031
-342.376783,143,2.110257
-232.285196,105,2.167135
-158.563203,122,2.240149
-29.740329,86,2.289291
-286.440465,96,2.34411
-114.189362,98,2.399372
-105.913343,115,2.464457
-263.781173,88,2.515178
-266.538824,110,2.576574
-118.736828,110,2.639808
-504.536579,98,2.695617
-115.59012,99,2.749852
-106.120016,133,2.828957
-390.023969,91,2.880004
-300.557953,113,2.94559
-63.698765,102,3.002058
-241.263361,161,3.106173
-97.046925,77,3.151038
-162.600042,149,3.245953
-416.678659,125,3.319097
-76.155734,74,3.359892
-193.687455,103,3.416929
-315.224864,80,3.462508
-57.964277,101,3.519917
-31.396359,151,3.614521
-308.030126,84,3.661262
-83.739759,106,3.726986
-207.603162,89,3.777993
-149.291547,74,3.820124
-275.938424,93,3.870092
-187.065342,137,3.955912
-81.139536,67,3.992914
-498.839644,110,4.057179
-101.993294,89,4.106632
-257.681589,118,4.177616
-286.329858,69,4.218208
-318.111481,131,4.298536
-155.590966,103,4.357316
-205.696232,136,4.440583
-105.339977,191,4.568374
-259.937248,100,4.623077
-43.774245,97,4.681001
-34.6723,94,4.735543
-368.648026,91,4.784807
-394.715032,88,4.833096
-108.870881,111,4.893981
-247.20945,85,4.94094
