#{"t_start": 1614621347.8745735, "env_id": "MountainCarContinuous-v0"}
r,l,t
-20.848125,999,0.460454
-49.478341,999,14.280981
-23.570349,999,28.530639
-50.973175,999,42.888595
-27.501042,999,57.320295
-53.813252,999,71.797307
-50.884637,999,86.312138
-24.041417,999,100.871125
-28.073556,999,115.436681
-73.62164,999,130.012357
73.593848,876,148.590946
-46.180746,999,160.916289
-30.068416,999,175.204763
-66.949085,999,189.513101
67.48906,781,203.698847
-55.414597,999,215.000139
58.152095,766,229.198546
-8.494722,999,240.300361
61.787497,961,254.605004
-75.707839,999,268.399162
91.36949,334,282.350117
92.157011,447,290.324106
88.098693,184,296.578212
93.329324,189,299.217834
92.897866,166,301.912412
93.630483,158,304.282196
94.579587,115,306.520971
94.452948,168,308.195463
89.791244,160,310.601035
89.733814,186,312.910541
91.498748,125,315.543435
94.088198,88,317.312321
95.018144,116,318.587996
93.734771,120,320.251534
92.453328,117,321.97044
94.471406,110,323.641657
95.369271,115,325.218868
95.619686,112,326.869055
94.475957,130,328.484709
91.443977,121,330.342141
95.277749,114,332.075671
92.159341,122,333.713974
91.418534,125,335.465347
92.311587,111,337.248801
93.282776,110,338.838828
-97.351382,999,340.914214
93.560291,127,354.750566
69.863251,976,357.049461
61.667959,445,370.73479
94.210815,117,376.930859
85.379183,262,378.688506
92.296269,205,382.413133
95.131682,190,385.341716
95.587903,199,388.072329
88.022146,255,390.958952
93.68417,198,394.579493
18.366769,958,397.846489
95.85486,86,411.087472
94.591116,78,412.315446
94.614749,71,413.429646
94.649477,70,414.448754
94.676347,78,415.456481
94.478323,72,416.573425
94.267106,72,417.605834
93.917799,80,418.642573
94.525689,70,419.786271
95.414653,78,420.796241
94.301315,74,421.911397
95.34155,92,422.983532
84.486166,337,424.438618
93.383697,77,429.121834
92.510984,81,430.226019
93.670739,76,431.38888
93.786193,72,432.474003
93.277712,80,433.51119
93.872797,75,434.655301
92.839163,77,435.733795
94.67162,73,437.220946
93.807303,71,438.266044
94.616697,85,439.293663
94.528667,88,440.51489
93.800668,73,441.770354
92.725144,78,442.818729
93.812671,73,443.933776
93.750751,73,444.980181
93.222123,75,446.03092
94.559138,82,447.109838
92.86385,74,448.280314
93.856317,71,449.340748
93.785121,76,450.361643
94.364378,71,451.453502
94.146244,71,452.470401
93.270037,78,453.494264
93.498887,71,454.608875
93.606914,72,455.629737
94.545116,78,456.665879
94.773247,79,457.783856
94.771643,78,458.914427
94.48106,69,460.027365
93.192224,73,461.021878
93.676502,70,462.069933
94.546539,69,463.073754
93.941378,69,464.062525
93.965591,81,465.058718
93.565439,72,466.220305
93.319318,72,467.253332
93.474533,74,468.287547
93.580209,72,469.350148
93.67242,76,470.388324
94.473219,82,471.491555
92.466534,153,472.70625
94.336956,76,474.853184
94.290248,75,475.946194
93.814644,73,477.019891
93.601669,76,478.068467
94.031001,76,479.159861
93.497362,72,480.247792
93.046042,71,481.281817
93.125131,72,482.300892
93.665707,71,483.332249
93.664427,81,484.356751
94.57166,74,485.515258
94.145454,72,486.577513
94.062394,72,487.611
93.005189,74,488.643882
93.356904,79,489.708228
93.962622,72,490.84192
94.068407,79,491.881226
95.089362,88,493.020186
94.107036,80,494.279844
93.781226,72,495.424031
93.014188,75,496.460618
92.89284,75,497.535928
92.901895,74,498.611563
93.078526,73,499.672436
93.95661,79,500.725146
94.459536,83,501.861966
95.257393,79,503.048709
92.800844,76,504.180118
92.758088,80,505.272048
92.865043,76,506.422029
93.390781,80,507.513474
93.69463,79,508.660136
93.821284,73,509.790121
93.420893,75,510.84119
93.847876,74,511.917209
93.933942,80,512.981904
92.569039,78,514.129185
93.200684,83,515.254358
93.302756,76,516.444775
94.345822,73,517.53437
93.212795,80,518.586418
93.749218,83,519.737872
92.701173,80,520.929522
94.914418,79,522.080432
92.842969,77,523.212988
93.594886,79,524.321463
93.314159,82,525.456982
93.715927,83,526.639601
93.53188,81,527.828934
93.198712,80,528.992434
92.843509,77,530.138492
92.791311,83,531.24997
93.916456,91,532.445282
93.662535,93,533.752841
94.111369,83,535.080394
93.811245,75,536.270355
94.340008,72,537.345401
94.245302,79,538.384068
94.284673,75,539.51628
94.253199,74,540.592683
93.475834,73,541.657328
93.099137,75,542.706475
93.707109,76,543.783627
93.905055,73,544.87439
93.830957,71,545.924768
93.05046,82,546.951295
94.33614,94,548.13613
93.953549,92,549.486146
93.579554,75,550.799526
92.936538,87,551.886022
94.184667,71,553.126113
92.508722,80,554.154177
93.539863,71,555.297484
94.013768,81,556.326906
94.021432,72,557.486148
93.532891,74,558.520936
94.115151,79,559.588372
92.92183,79,560.726242
93.274267,78,561.859474
92.285696,81,562.982569
94.023814,71,564.139875
94.265823,70,565.158977
92.886563,75,566.170383
93.280281,78,567.248101
93.45724,77,568.369303
92.759526,81,569.477743
92.952445,76,570.639955
88.590113,150,571.774431
93.058786,74,573.886192
92.490648,84,574.955374
94.427442,72,576.158591
94.343888,72,577.192171
92.003908,102,578.242766
93.669783,75,579.692775
93.943932,69,581.09267
93.144167,76,582.10499
93.418465,70,583.218502
93.624822,72,584.234496
93.043278,78,585.280142
94.213715,81,586.409466
88.27555,218,587.654981
94.258498,70,590.766011
93.360781,75,591.805347
93.606196,69,592.899753
92.957656,78,593.909023
91.232383,105,595.062351
94.716535,89,596.586562
94.192576,81,597.8733
93.727025,103,599.071136
93.107756,74,600.55857
91.443222,100,601.639507
93.123769,74,603.062943
87.462344,145,604.167185
91.422618,155,606.349399
89.564218,151,608.723202
88.718463,143,611.003206
93.343844,113,613.130402
90.140423,133,614.882219
-60.824611,999,617.38966
92.442742,142,632.03599
60.300424,612,634.483696
88.774246,141,643.466023
88.803501,139,645.634501
89.593964,138,647.736781
78.490648,280,649.902929
92.412349,97,654.067822
90.33066,139,655.55148
92.143978,101,657.6759
92.126565,107,659.21405
88.154654,190,660.864225
-55.299944,999,664.144103
89.898205,121,678.803487
-99.639089,999,681.128912
89.921602,126,695.93552
77.000715,284,697.960707
95.339031,119,702.237024
91.070914,211,704.11706
92.512155,106,707.298287
89.855375,125,708.965538
87.218428,144,710.876125
92.764666,102,713.06699
89.546608,126,714.674651
89.37492,134,716.60969
88.887284,201,718.701043
92.446416,104,721.785328
90.553683,128,723.381308
91.488913,107,725.366611
90.80701,125,727.07781
90.728641,112,729.000267
91.421564,126,730.725408
92.848724,109,733.109025
91.369027,103,734.763592
93.497185,121,736.341769
93.040738,116,738.180813
90.403,134,739.95779
92.223373,114,741.984748
91.970327,107,743.764272
92.203784,93,745.448345
92.514716,102,746.899479
90.789525,186,748.51756
85.764769,328,751.558242
90.602926,104,756.556324
91.575779,137,758.224178
92.576761,105,760.32326
91.51374,139,762.006241
90.779085,149,764.223933
92.613001,131,766.528974
91.698614,133,768.617407
89.412811,198,770.760254
89.14506,140,773.842329
82.383332,443,776.270744
91.072373,125,783.106813
89.399764,164,785.091757
91.877908,125,787.720883
74.130557,901,790.133375
83.938605,438,804.246763
85.318384,289,811.077898
-34.259204,999,816.170449
-15.194384,999,832.415192
94.328333,83,848.210552
94.401784,90,849.598997
83.946201,760,851.478777
-28.026316,999,864.210999
-35.354383,999,884.823052
94.59955,102,901.109836
94.399962,105,902.805876
-72.463111,999,905.115148
94.189909,200,921.583907
