#{"t_start": 1614621347.8744166, "env_id": "Pendulum-v0"}
r,l,t
-1408.265561,200,0.094893
-991.208857,200,0.142492
-1609.588846,200,0.190116
-1442.255466,200,0.237192
-1076.396718,200,0.273636
-1673.057034,200,0.309571
-947.253506,200,0.34543
-1308.867849,200,0.381366
-1104.92532,200,0.417485
-1681.216242,200,0.453512
-1553.841092,200,0.489679
-1574.902427,200,0.525961
-1688.164539,200,0.562376
-1728.449575,200,0.598735
-1058.063498,200,0.635126
-755.114871,200,0.671372
-1176.262279,200,0.70782
-1071.85832,200,0.744106
-1084.189387,200,0.780405
-855.329695,200,0.816838
-876.99005,200,0.853229
-1504.421095,200,0.889516
-1306.652986,200,0.92582
-1187.115371,200,0.962161
-1542.374559,200,0.998743
-1179.084985,200,1.035031
-887.00163,200,1.071332
-897.323451,200,1.107741
-1323.669892,200,1.144256
-1075.988267,200,1.180397
-1628.66127,200,1.216623
-1070.691586,200,1.252984
-1631.813876,200,1.2893
-1206.726225,200,1.325654
-1070.364516,200,1.362153
-1289.323388,200,1.398356
-1281.51782,200,1.434998
-892.386861,200,1.471337
-1639.578137,200,1.50767
-1004.204882,200,1.544002
-1637.353357,200,1.580471
-1254.854873,200,1.616826
-1277.977252,200,1.653098
-1234.728129,200,1.689365
-1378.326995,200,1.726002
-1603.763028,200,1.762233
-1168.919491,200,1.798522
-1307.58844,200,1.834869
-1535.870592,200,1.871305
-1511.763911,200,1.907645
-1674.927629,200,2.860642
-1753.695008,200,5.455206
-1531.082118,200,8.045288
-1406.449018,200,10.632881
-1503.75154,200,13.36875
-1512.835536,200,16.142603
-1269.110095,200,18.913423
-1513.877077,200,21.680733
-1517.136243,200,24.447769
-879.555821,200,27.212757
-933.067214,200,29.959681
-996.241652,200,32.73476
-931.062212,200,35.508443
-582.85058,200,38.279982
-756.050471,200,41.052885
-521.927469,200,43.806258
-324.860712,200,46.584535
-135.279346,200,49.363323
-255.147528,200,52.143574
-129.182188,200,54.929262
-243.199389,200,57.6954
-125.664967,200,60.480385
-248.551908,200,63.262958
-2.839781,200,66.048794
-235.817593,200,68.830464
-1.373551,200,71.606751
-242.251208,200,74.382368
-127.6579,200,77.167544
-242.707783,200,79.951328
-125.136109,200,82.73502
-119.457018,200,85.518225
-125.861566,200,88.287241
-235.481504,200,91.072535
-119.80866,200,93.855773
-280.424182,200,96.646425
-232.320367,200,99.439295
-127.008263,200,102.207791
-374.493872,200,104.992186
-119.277435,200,107.779006
-122.490959,200,110.564513
-0.721151,200,113.347709
-237.553851,200,116.117622
-0.38635,200,118.900469
-231.291648,200,121.686903
-126.484224,200,124.46927
-127.418451,200,127.256148
-119.277212,200,130.02739
-123.507652,200,132.816919
-233.230249,200,135.604921
-350.33817,200,138.386506
