#{"t_start": 1614940838.5917294, "env_id": "ReacherBulletEnv-v0"}
r,l,t
-2.442995,150,3.520714
-13.720809,150,3.566384
5.129096,150,3.611958
-20.784539,150,3.657312
5.33221,150,3.70293
-4.289132,150,3.748669
11.072884,150,3.79402
-1.811204,150,3.839498
-32.903322,150,3.885181
-18.395321,150,3.930924
-19.301926,150,3.975886
-32.330241,150,4.021343
-8.591838,150,4.067236
12.38639,150,4.11288
-11.958855,150,4.15857
6.813501,150,4.203857
-30.788781,150,4.249693
-11.042661,150,4.295473
-15.300331,150,4.341152
-8.10828,150,4.386923
-5.615219,150,4.433091
-13.365844,150,4.478902
-10.179419,150,4.524779
0.784118,150,4.570448
-12.591054,150,4.616114
-7.698288,150,4.661767
10.941795,150,4.707716
-18.063234,150,4.753436
-7.075603,150,4.799207
-0.43217,150,4.845596
-31.862561,150,4.892194
-19.249446,150,4.937984
-0.798938,150,4.984579
6.338359,150,5.030087
-14.310359,150,5.075688
-3.991511,150,5.121199
-2.596515,150,5.16727
-10.224298,150,5.213133
-1.460395,150,5.258681
-5.54827,150,5.30414
1.140123,150,5.349767
-9.257482,150,5.395594
-20.238731,150,5.44154
9.864421,150,5.487438
-21.345676,150,5.53351
-23.046343,150,5.579178
11.070133,150,5.624949
0.125978,150,5.670389
-14.561826,150,5.7159
-33.580108,150,5.761248
-20.977311,150,5.807197
-7.935546,150,5.853104
-17.791509,150,5.898962
-3.172584,150,5.944636
-14.859622,150,5.99023
-16.758972,150,6.035895
-14.69566,150,6.081784
-10.462074,150,6.12772
-18.316438,150,6.173505
9.622789,150,6.219266
-30.5373,150,6.264772
-28.448398,150,6.309916
7.865827,150,6.355356
17.428567,150,6.400483
-6.506813,150,6.44641
-20.591042,150,6.492532
-29.196233,150,9.421609
-38.072771,150,11.117552
-50.623885,150,12.734392
-10.795366,150,14.357455
-40.716164,150,15.980632
-24.947676,150,17.613629
-11.94287,150,19.309318
-0.721367,150,20.987686
-3.318072,150,22.549232
-0.778368,150,24.11556
-10.291938,150,25.799888
-7.717781,150,27.466114
1.542626,150,29.071408
-5.770695,150,30.637377
-0.213486,150,32.28243
-15.178154,150,33.924142
-4.077681,150,35.587016
-5.857138,150,37.298226
-19.054466,150,38.89472
-14.405513,150,40.45437
-23.431172,150,42.079205
3.095989,150,43.687788
-19.984044,150,45.324911
-11.036412,150,46.976117
-28.550475,150,48.626447
10.319448,150,50.28995
1.417424,150,51.945403
13.190781,150,53.601343
-6.188737,150,55.258194
-4.747821,150,56.909221
-2.371209,150,58.539174
-16.077104,150,60.178373
-9.308708,150,61.779906
-20.126073,150,63.449131
-2.448821,150,65.100239
-31.656945,150,66.732245
26.521209,150,68.3823
-7.756575,150,70.025247
-18.232182,150,71.68033
-24.401105,150,73.359141
2.035948,150,74.975221
10.324155,150,76.582626
2.422372,150,78.153453
-10.780083,150,79.782099
-24.161443,150,81.407999
1.893099,150,83.042018
-2.473683,150,84.663927
-4.920037,150,86.295831
3.760978,150,87.939914
-0.519393,150,89.576369
-5.021002,150,91.213613
-25.064198,150,92.870376
10.086524,150,94.464035
1.468518,150,96.078187
-12.131515,150,97.721262
-5.135073,150,99.37148
-13.77136,150,101.03311
-39.933125,150,102.696341
-3.176655,150,104.37287
-21.520396,150,106.058553
5.730087,150,107.624115
-22.370335,150,109.270433
-0.920851,150,110.944866
-9.337995,150,112.551198
-48.976122,150,114.162169
-12.355857,150,115.766952
-17.800064,150,117.397205
0.870097,150,121.04403
7.516881,150,122.690321
-28.362332,150,124.309886
2.821571,150,126.003768
4.579699,150,127.668246
8.413948,150,129.379493
-14.194948,150,131.049234
7.231985,150,132.650486
-41.756625,150,134.294842
-2.406697,150,135.9315
-26.767667,150,137.544194
14.197177,150,139.193134
15.234549,150,140.834659
7.583978,150,142.486306
-3.742498,150,144.148497
0.784367,150,145.813423
-3.652513,150,147.490909
4.961847,150,149.133077
11.281512,150,150.742923
-6.040748,150,152.383152
7.094371,150,154.023436
-8.152009,150,155.720206
13.792394,150,157.375767
-0.774591,150,159.0427
-13.910923,150,160.704394
3.940764,150,162.361286
-17.490766,150,164.094182
-0.328341,150,165.793578
-5.330467,150,167.514499
4.442319,150,169.158039
4.136689,150,170.79952
-0.004749,150,172.437208
13.406725,150,174.079396
18.416482,150,175.703885
-8.413877,150,177.344756
-6.385279,150,178.969896
-4.673626,150,180.636515
8.477893,150,182.298373
13.955495,150,183.902755
13.996526,150,185.473534
29.395741,150,187.073649
-5.519001,150,188.725641
4.740946,150,190.365557
0.900722,150,191.997892
25.466643,150,193.668981
-11.930637,150,195.375863
-3.586222,150,197.04732
3.809746,150,198.704992
-23.849742,150,200.364226
-0.58194,150,202.024547
6.738326,150,203.643781
-3.17161,150,205.260666
13.676721,150,206.8714
9.160794,150,208.506564
4.986227,150,210.143516
18.493389,150,211.795387
0.868979,150,213.410415
-5.788809,150,215.036285
6.570334,150,216.669187
-11.447828,150,218.312242
-19.632537,150,219.935587
7.829679,150,221.56086
-5.295231,150,223.174886
2.20992,150,224.738982
10.435925,150,226.35661
24.702939,150,227.98406
5.973954,150,229.612665
21.240652,150,233.237834
-3.395124,150,234.859034
-0.02129,150,236.47026
14.926151,150,238.086226
12.263492,150,239.720211
-2.086759,150,241.339497
-3.373201,150,242.928943
14.709878,150,244.533823
-2.231919,150,246.169297
-8.095873,150,247.828533
-1.143954,150,249.504502
33.434352,150,251.163064
-8.444919,150,252.828179
6.086625,150,254.489143
15.244205,150,256.139019
2.239716,150,257.76618
32.478058,150,259.432616
28.644413,150,261.056371
10.577463,150,262.666821
-8.339054,150,264.387347
2.300985,150,266.058922
-5.335194,150,267.687944
16.930197,150,269.317964
20.589833,150,270.98655
-2.03849,150,272.653808
16.407398,150,274.32464
0.401478,150,275.973204
10.971061,150,277.625722
8.428991,150,279.239315
-17.55926,150,280.884001
22.242169,150,282.576094
5.741407,150,284.276039
-0.123968,150,285.976151
-8.886424,150,287.650184
16.136186,150,289.29866
0.912194,150,290.949656
