#{"t_start": 1614628004.8751829, "env_id": "Walker2DBulletEnv-v0"}
r,l,t
14.592596,11,3.809734
13.936643,9,3.821888
21.215544,21,3.848878
15.130972,11,3.863622
25.443156,31,3.903882
11.232779,8,3.914595
15.741983,15,3.933926
11.827813,9,3.945808
14.259271,10,3.959051
12.787198,9,3.970982
14.795202,12,3.986999
13.592354,10,4.000578
14.490231,9,4.01275
12.847363,7,4.022218
16.07118,14,4.040639
15.992875,16,4.061373
19.072498,19,4.086773
16.012138,11,4.101336
17.591067,14,4.119604
19.473503,21,4.146252
14.063528,10,4.160032
12.98986,7,4.169454
16.097389,13,4.186694
17.656342,14,4.205027
12.899082,8,4.215959
17.954155,18,4.238969
17.274167,14,4.257234
14.766888,11,4.271927
24.682729,26,4.306747
12.615768,8,4.317596
16.96966,15,4.337001
23.686041,23,4.367443
16.686542,16,4.38802
15.61937,12,4.4038
15.374949,11,4.4184
15.58887,12,4.434208
16.951784,13,4.451563
16.22604,11,4.465746
17.984739,19,4.490444
31.167574,29,4.527299
13.434844,9,4.53969
16.602597,12,4.555686
13.993837,11,4.56986
17.925669,21,4.596799
19.484403,25,4.629705
18.227437,18,4.652795
26.617726,26,4.68669
18.08298,17,4.708544
17.605307,14,4.72701
14.981149,11,4.741604
25.066447,24,4.772952
13.434068,10,4.786319
13.417679,9,4.798844
20.847551,19,4.823147
21.656473,19,4.847549
12.734119,8,4.858383
13.11358,10,4.8719
27.257298,28,4.908281
12.391695,8,4.919136
15.873419,11,4.933571
17.377919,15,4.953212
17.89395,15,4.972891
12.943779,10,4.986094
16.982596,15,5.005823
17.461353,15,5.02595
19.003822,20,5.052011
15.364453,12,5.068079
20.864003,20,5.094707
19.726281,20,5.120726
22.670781,24,5.15158
12.933511,9,5.163887
16.401641,14,5.182658
20.701583,23,5.213073
12.832996,8,5.223909
19.472966,19,5.247941
17.236896,14,5.266395
15.136343,12,5.282693
17.975182,14,5.301036
14.259854,9,5.31307
20.538158,19,5.337425
16.15957,18,5.360868
34.202859,31,5.401377
20.233796,18,5.424993
17.632208,19,5.449963
11.597343,8,5.46113
14.933797,12,5.476721
15.071925,11,5.491627
17.034749,15,5.511357
13.75256,10,5.524965
16.823731,13,5.542092
15.13677,14,5.5607
16.366776,12,5.576334
19.183552,23,5.606025
22.841528,21,5.633368
19.50771,20,5.659713
15.546379,14,5.677942
15.823806,13,5.695184
14.902792,11,5.710059
16.462582,12,5.726274
16.451928,13,5.743258
16.212072,12,5.759207
25.272242,28,5.796167
14.003578,10,5.80964
15.729165,14,5.828292
15.135367,13,5.845828
14.610858,13,5.863152
15.139639,11,5.877802
20.3981,18,5.901304
13.248598,9,5.913867
21.371189,21,5.94066
13.34237,8,5.951389
25.101444,27,5.986762
16.53403,15,6.006361
18.257348,20,6.032387
15.25241,14,6.050355
16.3295,15,6.069707
15.59639,14,6.088208
17.233178,14,6.107029
15.400909,11,6.121683
20.590471,19,6.146215
13.767646,10,6.159694
11.772156,7,6.169224
17.19796,15,6.1892
16.429955,12,6.205107
13.93319,11,6.220348
13.910063,9,6.232251
13.317374,8,6.243161
19.319259,17,6.265269
14.284856,9,6.277991
15.520888,10,6.291277
18.633052,16,6.312631
21.241777,26,6.346852
15.815089,12,6.363058
16.227473,15,6.382696
18.927036,16,6.403732
16.474256,13,6.420809
14.410289,11,6.435872
14.690245,11,6.450292
13.126987,9,6.462538
14.389719,10,6.475616
16.324978,15,6.495013
17.511694,16,6.516
17.098761,12,6.532105
19.19043,15,6.551779
14.948295,14,6.570598
11.77974,8,6.581425
17.231823,14,6.59992
12.548207,12,6.615948
12.936134,8,6.626959
15.03398,12,6.642807
19.650977,19,6.667143
12.23697,7,6.676772
15.379119,13,6.694595
19.807775,18,6.717921
27.232641,28,6.754825
20.734162,20,6.780144
14.386401,16,6.801254
21.759717,18,6.824848
22.77689,20,6.850575
12.099837,8,6.861467
23.460862,21,6.888891
21.100108,23,6.919492
16.928547,14,6.938372
13.890348,11,6.953096
14.248682,15,6.973091
14.038613,12,6.989036
18.098827,16,7.009742
23.08407,21,7.036948
19.458903,18,7.060496
12.946752,10,7.074042
16.162718,14,7.09248
14.963753,9,7.104557
14.818533,12,7.120732
21.014428,19,7.14549
12.963934,7,7.155145
11.835801,7,7.164645
17.971298,13,7.182246
19.374204,19,7.20691
16.909196,13,7.223907
18.56025,14,7.24213
17.220244,12,7.258219
15.095412,10,7.271536
21.090613,20,7.297814
16.88624,14,7.315876
23.891422,24,7.348546
19.373208,16,7.369324
15.49611,13,7.38618
14.744843,15,7.405778
13.851368,9,7.418311
19.20784,19,7.443019
12.434039,8,7.454105
16.273134,11,7.468704
15.597946,11,7.483794
17.543947,16,7.504557
16.639634,15,7.524457
16.285529,11,7.539186
14.930141,10,7.552798
17.585781,22,7.581056
19.4653,17,7.603453
15.904739,14,7.62183
13.777077,10,7.635371
11.027573,6,7.643816
