#{"t_start": 1614621432.8528545, "env_id": "Acrobot-v1"}
r,l,t
-500.0,500,1.81755
-500.0,500,3.677803
-347.0,348,5.012792
-500.0,500,6.91203
-500.0,500,8.809865
-500.0,500,10.7057
-229.0,230,11.588464
-495.0,496,13.500252
-438.0,439,15.192334
-414.0,415,16.778051
-400.0,401,18.297677
-390.0,391,19.786353
-350.0,351,21.14512
-204.0,205,21.93143
-209.0,210,22.75018
-290.0,291,23.875825
-229.0,230,24.762052
-226.0,227,25.646747
-171.0,172,26.322336
-223.0,224,27.194584
-205.0,206,27.993081
-153.0,154,28.601376
-302.0,303,29.805668
-307.0,308,31.019386
-406.0,407,32.605122
-316.0,317,33.858836
-222.0,223,34.726003
-263.0,264,35.761821
-223.0,224,36.648855
-262.0,263,37.690433
-220.0,221,41.225209
-186.0,187,41.963021
-157.0,158,42.594146
-414.0,415,44.233628
-153.0,154,44.850389
-500.0,500,46.841747
-125.0,126,47.33677
-124.0,125,47.844033
-228.0,229,48.755027
-139.0,140,49.314473
-137.0,138,49.859631
-171.0,172,50.551284
-133.0,134,51.097276
-123.0,124,51.592623
-130.0,131,52.117789
-139.0,140,52.675128
-136.0,137,53.218395
-102.0,103,53.631672
-214.0,215,54.479682
-121.0,122,54.971583
-145.0,146,55.548186
-99.0,100,55.945862
-158.0,159,56.585635
-205.0,206,57.412532
-247.0,248,58.407186
-208.0,209,59.246109
-155.0,156,59.874802
-95.0,96,60.261666
-102.0,103,60.680754
-93.0,94,61.055447
-182.0,183,61.794229
-190.0,191,62.560769
-149.0,150,63.156144
-110.0,111,63.603374
-104.0,105,64.020712
-75.0,76,64.327204
-117.0,118,64.808918
-102.0,103,65.215344
-94.0,95,65.607661
-100.0,101,66.013858
-94.0,95,66.400074
-76.0,77,66.705953
-90.0,91,67.074503
-120.0,121,67.557656
-121.0,122,68.053406
-109.0,110,68.491505
-87.0,88,68.845648
-138.0,139,69.413054
-87.0,88,69.768313
-77.0,78,70.088609
-108.0,109,70.527035
-93.0,94,70.896636
-108.0,109,71.347746
-76.0,77,71.652868
-127.0,128,72.163045
-65.0,66,72.422134
-97.0,98,72.820598
-88.0,89,73.172687
-100.0,101,73.576326
-105.0,106,74.007124
-95.0,96,74.39118
-94.0,95,74.774345
-103.0,104,75.190376
-86.0,87,75.528902
-78.0,79,75.849094
-91.0,92,76.216686
-99.0,100,76.614621
