#{"t_start": 1615214853.988788, "env_id": "AsteroidsNoFrameskip-v4"}
r,l,t
880.0,3108,3.190787
460.0,2842,4.295092
430.0,2012,5.07153
430.0,2152,5.906468
730.0,2210,6.76554
1370.0,6190,9.117743
1440.0,3872,10.605818
530.0,2656,11.639784
1320.0,6040,13.970392
830.0,4388,15.664113
430.0,3182,16.89889
880.0,4088,18.466554
160.0,1246,18.952492
780.0,3752,20.397047
1300.0,5346,22.422051
430.0,2418,23.352186
530.0,2840,24.448791
680.0,3088,25.644073
980.0,3772,27.091091
880.0,3844,28.569152
330.0,1836,29.28548
530.0,2114,30.109351
930.0,2226,30.967894
230.0,1258,31.458625
530.0,2336,32.360039
730.0,3788,33.815803
980.0,4564,35.559836
530.0,3122,36.768259
1710.0,6196,39.157839
1420.0,5586,41.320614
980.0,5264,43.324222
360.0,2458,44.32015
330.0,1722,45.015695
630.0,2638,46.074312
1470.0,4598,47.942974
1320.0,7794,51.017935
980.0,4230,52.720003
880.0,3134,54.005472
830.0,3710,55.525997
310.0,1170,56.013879
1180.0,6842,58.795603
1370.0,7320,61.779015
1300.0,7450,64.796705
380.0,2184,65.700201
430.0,2024,66.533888
730.0,3114,67.827705
630.0,3000,69.065095
980.0,4506,70.922597
530.0,2260,71.855375
430.0,2414,72.858404
880.0,4622,74.749413
130.0,2044,75.596552
680.0,4936,77.636835
210.0,1764,78.383517
530.0,2926,79.587341
780.0,2446,80.594347
330.0,2148,81.488002
1340.0,6434,101.746638
1280.0,6554,104.529521
980.0,4476,106.443711
260.0,2114,107.364601
510.0,3262,108.779281
1300.0,6008,111.333759
480.0,2140,112.26409
330.0,2074,113.16178
380.0,1784,113.937
730.0,3180,115.303092
360.0,1380,115.909258
1300.0,11012,120.555073
1080.0,3454,122.040853
1180.0,8332,125.594985
380.0,1954,126.446537
680.0,2736,127.631091
480.0,1564,128.31846
1770.0,12026,133.427647
190.0,2136,134.360635
730.0,2252,135.341141
530.0,3504,136.865041
410.0,2258,137.84921
1540.0,8858,141.64434
430.0,1706,142.396098
1300.0,9442,146.41024
1080.0,5816,148.917608
1180.0,4840,151.008652
1320.0,5382,153.278158
230.0,2118,154.197741
980.0,4400,156.088829
1470.0,6948,159.049208
1420.0,8368,162.589502
1320.0,6438,165.317352
430.0,2768,166.517861
980.0,4154,168.297465
380.0,1480,168.944266
1470.0,7038,171.93223
880.0,5996,174.503402
1280.0,5306,176.770252
380.0,1940,177.616352
260.0,2012,178.493758
1340.0,7990,181.907284
1390.0,6416,184.658915
730.0,3494,186.176795
680.0,2276,208.833637
130.0,2030,210.529128
530.0,1626,211.862432
1080.0,3312,214.606146
480.0,2298,216.5119
140.0,1400,217.648422
880.0,3524,220.536613
430.0,2076,222.254413
580.0,1866,223.801467
310.0,1926,225.391775
1080.0,5658,230.042556
1590.0,5258,234.342303
680.0,2746,236.604836
530.0,2258,238.498349
1560.0,6440,243.850278
1300.0,9614,251.805934
580.0,2420,253.819637
580.0,1976,255.463747
980.0,2384,257.422209
1400.0,6374,262.675981
2110.0,8538,269.77846
1550.0,7770,276.198559
1080.0,5270,280.54326
1280.0,5766,285.308673
1280.0,3806,288.421235
730.0,3430,291.285571
1080.0,3662,294.349691
530.0,2270,296.247717
1340.0,4542,299.986728
1280.0,9446,307.792567
830.0,2720,310.092657
830.0,3212,312.751715
780.0,2442,314.791939
730.0,3162,317.423641
380.0,1726,318.866282
1130.0,4970,323.044209
480.0,2266,324.937585
630.0,2408,326.956445
360.0,2044,328.654352
980.0,3782,331.817937
430.0,2440,333.864168
2250.0,7050,339.809077
830.0,3380,342.638213
1350.0,6588,348.152304
1490.0,5478,352.746857
1280.0,8252,359.620329
980.0,3020,362.148964
630.0,3386,364.994374
380.0,1700,366.407266
730.0,3128,369.039473
980.0,4428,372.789031
1300.0,7512,397.330893
330.0,1666,398.730674
1370.0,6012,403.796423
280.0,2112,405.557389
410.0,2004,407.255674
680.0,2438,409.293782
1080.0,4054,412.692236
630.0,2360,414.672474
1080.0,4326,418.360505
630.0,2444,420.420027
580.0,2110,422.177622
930.0,3740,425.332274
530.0,3262,428.091801
1180.0,5954,433.113765
1180.0,3810,436.277537
1370.0,6848,441.948044
480.0,2666,444.153642
630.0,2442,446.154693
480.0,3172,448.7853
680.0,3874,452.010273
2950.0,8618,459.321477
1300.0,4684,463.278238
380.0,2136,465.095707
280.0,2116,466.874595
1320.0,8222,473.818749
530.0,2266,475.716525
1590.0,5922,480.473264
1300.0,2734,482.726468
980.0,3802,485.907925
1180.0,6722,491.469513
1300.0,11732,501.251503
180.0,1434,502.46062
1390.0,7714,508.930396
1300.0,8992,516.489046
510.0,1964,518.154287
830.0,3158,520.829012
1710.0,8004,527.619219
380.0,1492,528.880023
530.0,2164,530.699022
880.0,3128,533.353814
1300.0,4594,537.257356
680.0,2760,539.575146
580.0,3070,542.176675
830.0,4160,545.704279
1080.0,5088,550.033619
1420.0,12050,560.220508
480.0,2376,562.25791
1300.0,3784,585.919364
1320.0,6926,591.791551
380.0,1834,593.319673
310.0,1290,594.398332
580.0,2256,596.32982
1320.0,7298,602.444384
380.0,2096,604.228776
230.0,2086,606.001307
1410.0,4280,609.614009
830.0,3148,612.275688
830.0,2394,614.299109
680.0,2716,616.594938
430.0,3202,619.316278
1750.0,7130,625.391587
530.0,1718,626.843637
260.0,1434,628.063804
680.0,2144,629.875165
680.0,1694,631.294938
110.0,822,631.975382
1080.0,7046,637.980024
780.0,3246,640.749974
710.0,1818,642.308053
580.0,1838,643.86389
880.0,2500,645.986044
1500.0,6274,651.311131
1390.0,7750,657.883415
880.0,3566,660.886188
580.0,1876,662.472346
280.0,1164,663.447134
980.0,5402,668.028268
1180.0,5268,672.464313
160.0,1190,673.466702
530.0,1238,674.498403
1080.0,3318,677.304057
1320.0,7070,683.358851
1300.0,4722,687.377233
1350.0,6940,693.255067
1080.0,5406,697.843667
730.0,1790,699.330337
530.0,2892,701.763643
1850.0,9572,709.799535
480.0,2156,711.632256
1080.0,4160,715.206909
430.0,2448,717.301279
1300.0,5420,721.960388
1560.0,7108,728.066034
1480.0,6188,733.359407
1370.0,6032,738.583797
1080.0,3948,741.958559
830.0,3694,745.124657
1180.0,4482,748.995195
630.0,2318,750.994076
130.0,1140,751.967654
360.0,2128,753.805373
1030.0,4378,757.55876
580.0,1844,776.697669
530.0,2272,778.672616
1460.0,9852,787.073977
1440.0,8988,794.708462
580.0,2132,796.506331
930.0,3374,799.365497
530.0,2122,801.203563
2010.0,7368,807.564355
360.0,2192,809.444944
780.0,2510,811.60469
980.0,4032,815.092909
430.0,2234,817.027024
2400.0,6890,823.004697
580.0,2238,824.929584
1080.0,5028,829.27719
380.0,2384,831.345468
280.0,1200,832.370089
1390.0,6098,837.597285
1280.0,4650,841.573385
1320.0,6892,847.5177
460.0,1336,848.666482
410.0,2644,850.978338
1560.0,7556,857.471373
1280.0,7496,863.931654
830.0,2744,866.286685
1180.0,3686,869.458663
1560.0,5330,874.071697
730.0,2368,876.10321
680.0,4620,880.115853
1080.0,4344,883.881174
210.0,1398,885.090603
330.0,2044,886.866209
1980.0,9262,894.831775
230.0,1484,896.094665
410.0,1528,897.390267
530.0,1602,898.74262
530.0,1374,899.885118
930.0,3348,902.71791
330.0,1686,904.167516
1280.0,4984,908.354007
560.0,2232,910.272942
380.0,2248,912.211248
1080.0,3756,915.457228
530.0,1928,917.11506
580.0,2598,919.364109
460.0,2128,921.182859
1030.0,2794,923.574602
1180.0,5572,928.367882
410.0,2438,930.460195
830.0,2440,932.576277
230.0,2820,934.891272
260.0,1466,936.065037
630.0,3200,938.671643
780.0,3402,941.478436
580.0,2238,943.328769
580.0,2152,945.106312
1030.0,2378,947.141205
1080.0,3358,950.021048
680.0,2210,965.935414
580.0,1768,967.47028
1080.0,3204,970.240521
980.0,3262,973.02269
980.0,2862,975.483151
830.0,4584,979.462611
1370.0,8490,986.839851
1080.0,4576,990.738572
330.0,1476,991.998765
330.0,2082,993.802443
1610.0,8366,1001.032526
1180.0,4346,1004.815788
730.0,2206,1006.734573
280.0,1616,1008.142592
1510.0,6124,1013.491822
830.0,3392,1016.450138
1340.0,7356,1022.834979
1320.0,7746,1029.580467
1320.0,8978,1037.427251
1320.0,5296,1042.019479
280.0,2210,1043.928633
1080.0,3720,1047.180997
560.0,1578,1048.555054
1430.0,5104,1053.031228
1130.0,4622,1057.084067
330.0,1842,1058.666714
1180.0,5410,1063.357988
1280.0,6904,1069.382107
580.0,2274,1071.354865
1680.0,8116,1078.507792
1960.0,10236,1087.469805
1300.0,4598,1091.423538
830.0,3158,1094.178425
1300.0,7280,1100.480872
580.0,2626,1102.770163
580.0,3444,1105.817807
380.0,1910,1107.474705
1780.0,5938,1112.685835
630.0,2748,1115.081773
1130.0,6952,1121.18105
630.0,2242,1123.136791
930.0,3476,1126.191826
1430.0,11630,1136.351806
1930.0,8058,1161.0616
630.0,3248,1163.904224
930.0,3744,1167.164842
1300.0,4030,1170.647476
830.0,4410,1174.487483
1180.0,5094,1178.960657
180.0,1268,1180.077144
530.0,1436,1181.336832
360.0,2120,1183.212631
380.0,1536,1184.550528
290.0,1342,1185.726927
830.0,1844,1187.335593
780.0,3434,1190.303388
610.0,1694,1191.745874
1320.0,6322,1197.197386
880.0,2078,1199.021278
1130.0,5588,1203.92006
2250.0,10668,1213.321672
580.0,2648,1215.667604
1300.0,3954,1219.156894
1080.0,3090,1221.900874
430.0,2122,1223.801276
1390.0,7420,1230.373519
730.0,2142,1232.250283
1340.0,5764,1237.354272
630.0,3234,1240.181274
360.0,1938,1241.890884
1360.0,5840,1247.043143
830.0,2282,1249.066246
1300.0,5974,1254.303104
260.0,1644,1255.749801
1180.0,6850,1261.789194
780.0,3282,1264.70317
630.0,1870,1266.368592
1030.0,3234,1269.218374
830.0,4160,1272.890954
330.0,2022,1274.677413
1340.0,5020,1279.130279
530.0,2124,1280.998978
1080.0,4186,1284.684419
130.0,1488,1285.974361
1350.0,5262,1290.547762
930.0,2968,1293.1558
330.0,3080,1295.885379
1830.0,8770,1303.658142
480.0,2026,1305.432999
830.0,2648,1307.762276
580.0,2074,1309.601479
780.0,2994,1312.282892
430.0,2074,1314.118107
1530.0,11362,1324.241863
930.0,4212,1327.990203
1320.0,4426,1331.920527
480.0,2256,1333.903859
630.0,2676,1336.225467
1530.0,5782,1357.02517
680.0,1802,1358.624084
730.0,3038,1361.324143
430.0,2114,1363.192251
430.0,2254,1365.205561
1320.0,8100,1372.399168
730.0,2602,1374.702195
380.0,1536,1376.057111
830.0,2370,1378.16768
680.0,1476,1379.457549
1180.0,6548,1385.230092
780.0,2682,1387.54899
430.0,3142,1390.304144
480.0,3822,1393.695074
1300.0,6778,1399.550971
1630.0,4636,1403.478286
1850.0,7976,1410.402356
1030.0,2994,1413.05418
280.0,1256,1414.15899
530.0,2188,1416.092112
1320.0,7854,1423.088936
1280.0,4474,1427.058743
1300.0,6470,1432.807451
1030.0,2432,1434.924386
930.0,3070,1437.633334
980.0,3022,1440.321518
730.0,2632,1442.649318
430.0,2532,1444.919167
260.0,1380,1446.128874
1520.0,7386,1452.631374
510.0,1382,1453.839256
730.0,2454,1455.979977
1370.0,3756,1459.272341
880.0,2408,1461.433188
930.0,2420,1463.571299
1280.0,6772,1469.558616
1370.0,6410,1475.369865
930.0,2528,1477.663853
830.0,4570,1481.795719
430.0,1802,1483.387742
880.0,2858,1485.9307
1320.0,5002,1490.399743
830.0,2428,1492.553462
140.0,1464,1493.833936
380.0,2212,1495.824298
830.0,1680,1497.311926
780.0,3388,1500.346378
410.0,2048,1502.167897
880.0,3138,1505.015731
430.0,1784,1506.610966
630.0,1962,1508.369405
1180.0,4182,1512.10392
630.0,2444,1514.28809
980.0,3468,1517.388084
380.0,2592,1519.728792
480.0,1872,1521.405254
410.0,1852,1523.042213
830.0,2448,1525.205155
1180.0,3534,1528.381111
1180.0,5528,1551.453746
1280.0,6024,1556.876372
630.0,3364,1559.930085
1300.0,8242,1567.385698
1300.0,7370,1574.049939
1280.0,7898,1581.093688
1320.0,6638,1587.002579
360.0,1156,1588.041988
430.0,1734,1589.579322
460.0,2532,1591.880291
630.0,2238,1593.886147
980.0,3566,1597.109521
480.0,1858,1598.7916
510.0,2652,1601.180473
630.0,2374,1603.311248
1130.0,3750,1606.685325
680.0,2740,1609.145086
730.0,3154,1611.972266
1710.0,4082,1615.687071
630.0,2090,1617.580975
1080.0,4532,1621.695493
580.0,1866,1623.382911
480.0,2210,1625.396579
930.0,3796,1628.795683
1370.0,6778,1634.885695
380.0,2582,1637.229225
730.0,4396,1641.212607
1180.0,3910,1644.742723
630.0,2262,1646.74867
1320.0,8900,1654.697589
1340.0,4992,1659.19964
1440.0,4248,1663.024973
1030.0,4074,1666.675764
530.0,2282,1668.735596
1410.0,10272,1677.925463
240.0,1208,1679.001881
230.0,1538,1680.347782
580.0,1542,1681.697145
580.0,2654,1684.030857
780.0,2574,1686.330346
580.0,3188,1689.18257
1080.0,5662,1694.294427
1280.0,5606,1699.377856
530.0,3026,1702.13661
1360.0,5530,1707.128972
1280.0,6580,1713.070109
730.0,2782,1715.551902
380.0,1476,1716.874099
660.0,1538,1718.26564
480.0,2384,1720.379957
680.0,3122,1723.204149
1180.0,2902,1725.796199
1350.0,5420,1730.644804
780.0,2378,1732.765027
330.0,1484,1755.349669
580.0,3274,1758.317418
310.0,2590,1760.677911
380.0,2284,1762.759198
110.0,1272,1763.890525
1280.0,4580,1768.026517
530.0,2898,1770.677071
560.0,2384,1772.84096
380.0,1716,1774.385949
1300.0,5420,1779.317972
430.0,2104,1781.219955
480.0,2390,1783.340811
430.0,1708,1784.861224
760.0,3076,1787.654116
1460.0,7616,1794.596634
1280.0,4478,1798.683632
430.0,1646,1800.181206
830.0,1542,1801.583056
1180.0,5768,1806.829906
980.0,3120,1809.681889
1080.0,4998,1814.232483
510.0,1732,1815.806387
780.0,2320,1817.886982
1180.0,4436,1821.937711
1130.0,4054,1825.610017
310.0,1696,1827.168802
230.0,1576,1828.581585
1180.0,3158,1831.457511
530.0,1904,1833.148565
880.0,3230,1836.023961
930.0,3264,1838.992013
280.0,1494,1840.365033
1510.0,10794,1850.163822
830.0,2762,1852.660089
730.0,2172,1854.631366
280.0,2260,1856.672639
630.0,2388,1858.833603
1320.0,8982,1867.039253
630.0,2662,1869.476075
880.0,2686,1871.915755
1180.0,2976,1874.610761
360.0,2286,1876.697642
680.0,2376,1878.858593
880.0,5468,1883.818747
1880.0,8600,1891.601152
1080.0,4238,1895.467125
830.0,3078,1898.294172
1180.0,7574,1905.229758
730.0,2454,1907.47656
1300.0,5728,1912.756444
980.0,4392,1916.797077
330.0,1580,1918.225442
1030.0,2270,1920.2551
480.0,2132,1922.165547
980.0,3278,1925.12488
980.0,2228,1927.134551
880.0,3696,1930.454929
830.0,3138,1933.252082
1340.0,5896,1938.557165
210.0,1242,1958.235506
1180.0,5396,1963.089369
980.0,3628,1966.399823
630.0,3404,1969.527469
1410.0,8284,1977.058793
530.0,2352,1979.181958
1080.0,4752,1983.489823
110.0,2046,1985.358852
210.0,2268,1987.420408
430.0,1444,1988.741585
930.0,2840,1991.347535
680.0,2744,1993.896717
1320.0,12046,2004.955379
330.0,1910,2006.710334
630.0,2416,2008.94045
1600.0,7512,2015.903421
380.0,2200,2017.943842
780.0,2358,2020.100649
580.0,2368,2022.280804
380.0,1954,2024.095325
1030.0,2216,2026.140622
380.0,2274,2028.230914
1080.0,3420,2031.357494
430.0,2404,2033.529337
1350.0,4938,2038.059794
480.0,1652,2039.543075
580.0,2806,2042.154576
1390.0,7036,2048.602331
280.0,1344,2049.81886
330.0,1336,2051.031036
310.0,2030,2052.913182
310.0,1120,2053.928325
1030.0,3260,2056.926957
240.0,952,2057.788117
680.0,2610,2060.19619
530.0,1904,2061.960839
730.0,3388,2065.089747
1080.0,3504,2068.33496
680.0,1934,2070.099474
1390.0,3958,2073.763497
730.0,1988,2075.609248
430.0,1736,2077.215664
1280.0,6894,2083.466098
1300.0,6774,2089.688555
430.0,2530,2092.021614
930.0,2534,2094.328152
1300.0,7276,2100.981918
1180.0,4026,2104.693413
1080.0,5630,2109.906801
680.0,2178,2111.913448
780.0,2460,2114.182335
580.0,2060,2116.096286
1300.0,5524,2121.246897
1300.0,7124,2127.862674
730.0,2740,2130.366832
1340.0,5574,2135.503699
510.0,2144,2137.488559
780.0,2344,2139.679835
930.0,3726,2143.128169
530.0,2214,2163.864462
1280.0,4722,2168.206118
380.0,2202,2170.257138
480.0,1880,2171.992316
630.0,2494,2174.322096
510.0,2796,2176.932539
610.0,1970,2178.689868
880.0,3462,2181.828931
780.0,3492,2185.036735
530.0,2930,2187.727717
1340.0,4686,2191.995775
480.0,2504,2194.282382
630.0,2928,2196.947965
680.0,3482,2200.155153
430.0,2120,2202.08298
730.0,3156,2204.983871
1080.0,5846,2210.401502
430.0,2180,2212.436939
580.0,2196,2214.486386
1280.0,5720,2219.764854
