#{"t_start": 1614641509.5321796, "env_id": "BeamRiderNoFrameskip-v4"}
r,l,t
352.0,4781,5.330906
708.0,8069,8.950051
220.0,4379,10.944266
616.0,7991,14.530467
396.0,4965,16.805004
132.0,3659,18.404633
308.0,4457,20.364323
484.0,8321,47.080518
352.0,4685,49.143258
308.0,5611,51.688755
396.0,6701,54.666248
220.0,3807,56.397747
176.0,3425,57.925487
308.0,4820,60.05351
352.0,5994,85.829981
264.0,5136,88.131035
484.0,5529,90.611641
352.0,6073,93.331863
660.0,7459,96.621662
352.0,4232,98.48419
352.0,3841,100.169394
440.0,6390,102.987506
440.0,6123,129.417132
264.0,4229,131.261805
484.0,5891,134.058963
220.0,4249,135.930018
616.0,7363,139.351847
352.0,4689,141.420257
484.0,6601,144.511009
572.0,5256,170.419334
396.0,6149,173.134302
396.0,6418,176.07565
484.0,6645,179.007479
528.0,7361,182.263166
396.0,5325,184.605584
220.0,4745,186.696565
440.0,5675,212.666947
528.0,6809,215.769149
572.0,6309,218.575659
264.0,3873,220.336872
220.0,3655,221.961181
176.0,3731,223.614142
352.0,3692,225.287248
352.0,4801,227.410291
572.0,5155,252.410335
484.0,6321,255.198937
660.0,5267,257.51434
220.0,4386,259.433614
220.0,4311,261.324628
440.0,6237,264.071881
176.0,4261,265.938346
352.0,6815,292.592382
308.0,5131,294.912686
660.0,7829,298.426916
308.0,5265,300.762235
616.0,9123,304.877028
660.0,7589,308.262584
396.0,6705,331.86658
440.0,5199,334.149768
352.0,4331,336.04936
572.0,6565,338.936714
132.0,4247,340.803056
308.0,5881,343.394462
264.0,5231,345.74394
484.0,6199,348.508171
352.0,5015,374.772667
132.0,3555,376.380537
352.0,5135,378.640937
220.0,3895,380.393322
572.0,6039,383.097924
176.0,3311,384.611182
440.0,6597,387.585836
220.0,3733,389.26394
264.0,3687,390.894629
572.0,7140,423.04654
308.0,4159,427.224892
660.0,7491,434.705703
352.0,5419,440.09881
176.0,3697,443.780671
440.0,6029,449.736134
528.0,5665,455.410628
396.0,7225,492.555043
484.0,5757,498.32766
440.0,6340,504.691971
528.0,5423,510.106497
308.0,4229,514.287354
308.0,6157,520.442531
308.0,5223,525.617678
484.0,5863,556.936088
220.0,4329,561.16904
660.0,8881,569.935834
352.0,4153,574.046653
132.0,4465,578.480089
440.0,6103,584.589097
264.0,5017,589.597985
616.0,6778,624.518608
352.0,5524,630.054696
528.0,5661,635.695608
176.0,4149,639.821123
528.0,7165,646.893911
396.0,4791,651.659402
440.0,5675,657.327761
264.0,4058,687.238965
264.0,3470,690.689155
616.0,7845,698.540373
308.0,4623,703.156076
264.0,3373,706.517666
528.0,5483,711.977968
440.0,5707,717.684295
660.0,8491,726.183165
264.0,8039,758.421263
440.0,5937,764.425114
264.0,5763,770.142273
264.0,4073,774.18119
440.0,5917,780.108378
352.0,5187,785.26072
264.0,4343,789.609854
352.0,3781,817.37267
308.0,4147,821.572127
264.0,4215,825.803322
264.0,4119,829.993966
484.0,5229,835.328947
220.0,3565,838.876526
352.0,4593,843.562697
528.0,5587,849.184027
440.0,5103,854.33195
132.0,4615,884.368695
484.0,6719,891.090778
176.0,3428,894.568271
352.0,5058,899.67634
396.0,7839,907.615514
220.0,4641,912.310165
176.0,3403,915.717962
264.0,5583,921.371143
528.0,5094,955.691757
528.0,4743,960.466165
308.0,4685,965.208531
264.0,4299,969.522331
220.0,4563,974.116051
220.0,3927,978.084068
264.0,3387,981.536017
352.0,4057,985.660978
176.0,4403,990.128523
220.0,4224,1019.874715
308.0,4917,1024.834404
440.0,6063,1031.040504
352.0,4279,1035.390218
308.0,4765,1040.268146
352.0,5393,1045.803576
396.0,5361,1051.381404
396.0,6915,1058.571569
308.0,4809,1089.450338
484.0,6833,1096.350746
572.0,5833,1102.199443
264.0,3879,1106.112257
440.0,5803,1112.052568
396.0,5849,1117.982686
396.0,5839,1123.908921
440.0,6139,1155.910368
484.0,5711,1161.729629
708.0,7605,1169.443667
308.0,5365,1174.871128
308.0,5475,1180.447053
440.0,5427,1186.047211
308.0,4391,1190.488344
616.0,6533,1225.824657
88.0,4068,1230.036622
440.0,6941,1237.157267
308.0,4486,1241.762557
264.0,4609,1246.464602
440.0,3847,1250.378581
308.0,5676,1256.174069
308.0,4289,1260.503474
572.0,7087,1292.610284
484.0,6250,1299.030365
220.0,3725,1302.883558
396.0,5721,1308.767683
396.0,4987,1313.81429
484.0,7356,1321.348241
308.0,3953,1325.377911
352.0,6187,1356.40584
264.0,4611,1361.116416
132.0,3981,1365.227086
660.0,6767,1372.238302
440.0,5467,1377.853973
484.0,4637,1382.644408
440.0,6425,1389.218354
220.0,3724,1392.97384
264.0,4249,1423.795803
708.0,7893,1431.984445
352.0,5395,1437.636677
308.0,4697,1442.530785
660.0,8263,1451.202303
352.0,4765,1456.208828
352.0,5339,1461.808278
264.0,4479,1489.719126
528.0,6963,1496.924626
352.0,5819,1502.982144
572.0,6783,1510.067425
396.0,5131,1515.378399
176.0,5034,1520.566141
440.0,6683,1527.452017
352.0,5586,1561.95626
396.0,5117,1567.218986
176.0,4381,1571.719579
528.0,6453,1578.457383
396.0,5164,1583.810565
220.0,3723,1587.681928
572.0,6807,1594.729421
220.0,3775,1598.665819
352.0,5577,1631.043958
660.0,8171,1639.563055
440.0,4383,1644.050117
352.0,4961,1649.143206
264.0,5097,1654.527765
176.0,4349,1659.039585
396.0,4335,1663.504143
440.0,5301,1699.485239
308.0,4973,1704.638969
176.0,3973,1708.730038
264.0,3977,1712.844101
220.0,4315,1717.227157
708.0,7353,1724.86383
528.0,5342,1730.455701
528.0,5138,1735.842306
352.0,6123,1775.571949
352.0,4847,1780.602269
308.0,4070,1784.768426
132.0,3847,1788.779964
220.0,4839,1793.795921
396.0,5611,1799.619008
176.0,4237,1804.001884
132.0,3973,1808.15435
440.0,6331,1814.814347
176.0,3536,1852.210818
616.0,8895,1861.464674
660.0,6522,1868.358008
264.0,5835,1874.460423
308.0,5443,1880.23929
616.0,7801,1888.628883
528.0,5085,1927.033762
528.0,6987,1934.380567
484.0,6050,1940.548598
528.0,6869,1947.7468
264.0,3977,1951.958823
220.0,3703,1955.917584
572.0,8177,1964.61995
484.0,6442,2000.755096
220.0,4241,2005.190624
176.0,4391,2009.766588
660.0,8285,2018.669585
948.0,11603,2030.935167
660.0,8533,2081.108401
264.0,4247,2085.557956
264.0,4281,2090.019946
528.0,7757,2098.159234
484.0,5569,2104.088861
308.0,4783,2109.223423
616.0,7134,2116.803921
264.0,4039,2121.111664
440.0,5526,2167.063168
440.0,5171,2172.46895
440.0,6491,2179.238589
176.0,4032,2183.388034
528.0,5620,2189.284901
660.0,7391,2197.043517
396.0,6873,2204.221789
528.0,7749,2257.736349
616.0,11031,2269.681203
528.0,7395,2277.682244
396.0,6077,2284.303152
616.0,6415,2291.311818
352.0,4259,2341.35372
528.0,6291,2348.084935
948.0,11699,2360.797435
484.0,7269,2368.627236
440.0,5205,2374.190415
352.0,4869,2379.32881
572.0,7733,2421.627693
440.0,8423,2430.63607
308.0,6980,2438.241904
616.0,9441,2448.580392
264.0,5180,2454.254076
352.0,5473,2460.234443
396.0,8277,2517.720027
804.0,13404,2532.103731
308.0,5689,2538.137892
484.0,6801,2545.495567
440.0,7683,2593.11747
352.0,6395,2599.868786
264.0,4715,2604.80754
528.0,7641,2613.121044
220.0,5931,2619.732325
220.0,6025,2626.38299
616.0,7944,2635.094422
308.0,4965,2675.06462
352.0,6646,2682.259979
1188.0,10319,2693.574215
756.0,9765,2704.280584
616.0,6115,2710.839461
440.0,5898,2752.616363
176.0,3593,2756.533834
660.0,9425,2766.954398
440.0,5727,2773.227452
528.0,7813,2781.775805
352.0,5491,2787.659639
352.0,6643,2835.509503
708.0,8415,2844.661842
660.0,8099,2853.359109
484.0,8421,2862.490625
440.0,5908,2868.818527
528.0,7803,2877.155372
440.0,7639,2926.858479
756.0,7394,2934.903868
708.0,9849,2945.625269
396.0,7070,2953.130785
352.0,5407,2958.884905
900.0,13361,3023.476561
660.0,6703,3030.735887
484.0,5431,3036.56681
528.0,7933,3045.220845
308.0,7045,3052.929943
1044.0,10747,3122.371563
708.0,9618,3133.014361
756.0,10458,3144.608768
308.0,5501,3150.861798
352.0,5441,3157.076462
