#{"t_start": 1614638442.0319514, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,508,4.302404
1.0,713,4.600083
5.0,1394,5.181813
1.0,688,5.472196
2.0,911,5.851677
0.0,512,6.070988
1.0,628,6.335631
0.0,507,6.551378
0.0,514,6.768867
2.0,818,7.111594
2.0,836,7.466052
1.0,697,7.759674
0.0,536,7.983656
5.0,1382,8.564658
1.0,635,8.830943
0.0,523,9.049854
0.0,526,9.270166
2.0,910,9.651302
2.0,907,10.029419
0.0,540,10.254119
0.0,528,10.476049
2.0,816,10.818543
0.0,529,11.040692
3.0,1021,11.468024
1.0,732,11.775106
1.0,632,12.04192
2.0,806,12.378891
4.0,1223,12.887471
0.0,513,13.104258
0.0,531,13.32671
0.0,519,13.548779
2.0,911,13.92925
0.0,536,14.152875
0.0,521,14.371035
2.0,899,14.746677
4.0,1198,15.252285
3.0,950,15.648162
4.0,1202,16.153936
1.0,697,16.446546
4.0,1180,16.9409
0.0,536,17.166523
1.0,649,17.435773
0.0,511,17.652705
0.0,519,17.870637
4.0,1132,18.34192
0.0,519,18.560306
1.0,633,18.827598
1.0,616,19.090071
0.0,528,19.313192
1.0,614,19.572382
1.0,694,19.864491
1.0,715,20.164819
0.0,508,20.38112
1.0,701,20.676388
2.0,900,21.055111
0.0,524,21.27493
4.0,1186,21.768609
2.0,812,22.110677
0.0,508,22.32529
3.0,1051,26.200246
4.0,1281,26.737628
0.0,539,26.961227
2.0,795,27.297119
4.0,1160,27.780154
2.0,843,28.131773
1.0,621,28.393201
0.0,534,28.614764
1.0,641,28.881557
1.0,726,29.183249
3.0,1023,29.611891
0.0,532,29.834381
1.0,636,30.099649
3.0,1010,30.521953
3.0,998,30.939916
0.0,527,31.161096
1.0,728,31.464696
0.0,527,31.688123
1.0,632,31.954425
2.0,812,32.293733
2.0,812,32.633299
1.0,639,32.901331
0.0,520,33.119617
1.0,709,33.41504
1.0,716,33.714377
3.0,1090,34.169666
0.0,507,34.384827
0.0,533,34.60719
2.0,793,34.940645
6.0,1526,35.581574
2.0,793,35.915648
1.0,712,36.212803
0.0,519,36.429287
3.0,1104,36.887283
0.0,521,37.109204
0.0,521,37.328898
0.0,521,37.547332
0.0,523,37.764891
0.0,517,37.980679
0.0,512,38.19691
0.0,515,38.413912
0.0,535,38.635325
1.0,717,38.932527
0.0,508,39.146996
0.0,507,39.364072
0.0,515,39.582993
2.0,872,39.949424
1.0,614,40.208446
0.0,525,40.428979
2.0,838,40.777133
1.0,696,41.07087
0.0,525,41.29164
1.0,644,41.559178
2.0,747,41.871843
2.0,910,42.25107
1.0,701,42.544899
4.0,1306,43.089942
0.0,526,43.30841
0.0,533,43.529176
0.0,535,43.751962
0.0,539,43.975518
0.0,536,44.198883
0.0,526,44.416694
2.0,815,47.533996
1.0,728,47.8365
1.0,616,48.096866
0.0,521,48.313314
1.0,633,48.579846
0.0,515,48.79633
2.0,830,49.140579
3.0,1098,49.598872
3.0,1028,50.024183
1.0,632,50.289774
3.0,934,50.677436
0.0,529,50.897215
0.0,515,51.115868
1.0,635,51.382572
0.0,533,51.606919
3.0,1029,52.033509
0.0,540,52.256956
4.0,1202,52.755487
0.0,541,52.981806
0.0,540,53.205341
0.0,511,53.421022
1.0,633,53.68709
3.0,1042,54.118663
2.0,760,54.434854
0.0,524,54.653327
3.0,1025,55.082119
6.0,1618,55.754496
0.0,523,55.973907
2.0,890,56.34665
0.0,516,56.563601
1.0,702,56.859745
1.0,724,57.159964
2.0,828,57.504705
2.0,889,57.876155
2.0,916,58.256423
0.0,525,58.473681
0.0,533,58.696483
2.0,744,59.008846
1.0,621,59.27132
0.0,497,59.481031
0.0,535,59.701917
2.0,833,60.049259
1.0,731,60.352383
2.0,765,60.673017
3.0,933,61.062137
0.0,520,61.279962
