#{"t_start": 1614621403.8421674, "env_id": "CartPole-v1"}
r,l,t
17.0,17,0.052757
23.0,23,0.05693
11.0,11,0.060015
26.0,26,0.064393
74.0,74,0.079105
18.0,18,0.081743
13.0,13,0.085004
19.0,19,0.088709
12.0,12,0.090994
14.0,14,0.093273
13.0,13,0.095435
31.0,31,0.10236
14.0,14,0.104834
15.0,15,0.107166
24.0,24,0.112396
18.0,18,0.116059
26.0,26,0.120527
17.0,17,0.124116
13.0,13,0.126298
50.0,50,0.135708
37.0,37,0.143171
9.0,9,0.145041
44.0,44,0.153013
39.0,39,0.160506
14.0,14,0.163985
23.0,23,0.168102
15.0,15,0.170453
21.0,21,0.174374
27.0,27,0.180177
13.0,13,0.182346
14.0,14,0.185706
19.0,19,0.189455
24.0,24,0.193806
12.0,12,0.195918
27.0,27,0.201527
15.0,15,0.204923
16.0,16,0.207589
20.0,20,0.211434
11.0,11,0.21347
17.0,17,0.217075
27.0,27,0.222705
9.0,9,0.224553
17.0,17,0.227101
14.0,14,0.230441
14.0,14,0.232907
11.0,11,0.234926
12.0,12,0.23702
25.0,25,0.242323
53.0,53,0.736873
11.0,11,0.74057
14.0,14,0.746645
19.0,19,0.753485
20.0,20,0.760521
9.0,9,0.761635
26.0,26,0.77054
24.0,24,0.777578
12.0,12,0.782343
22.0,22,0.790127
24.0,24,0.798212
20.0,20,0.804834
48.0,48,1.293141
9.0,9,1.296286
14.0,14,1.300988
19.0,19,1.307684
20.0,20,1.313814
21.0,21,1.320583
13.0,13,1.326705
37.0,37,1.338385
20.0,20,1.34408
25.0,25,1.354109
17.0,17,1.359601
21.0,21,1.365733
19.0,19,1.371708
13.0,13,1.851184
18.0,18,1.858313
25.0,25,1.866311
11.0,11,1.870752
29.0,29,1.880394
14.0,14,1.886561
18.0,18,1.89189
15.0,15,1.897428
13.0,13,1.90114
36.0,36,1.914267
15.0,15,1.918437
22.0,22,1.926072
20.0,20,1.933132
15.0,15,2.400383
42.0,42,2.415094
19.0,19,2.422318
29.0,29,2.432536
10.0,10,2.435732
15.0,15,2.440605
22.0,22,2.449657
16.0,16,2.454888
32.0,32,2.465569
17.0,17,2.472135
25.0,25,2.482317
18.0,18,2.487538
11.0,11,2.953403
23.0,23,2.961768
28.0,28,2.972411
29.0,29,2.982651
14.0,14,2.98745
34.0,34,2.998331
12.0,12,3.0039
20.0,20,3.011346
70.0,70,3.03675
32.0,32,3.546645
24.0,24,3.556407
13.0,13,3.560771
20.0,20,3.567833
43.0,43,3.584172
15.0,15,3.590366
39.0,39,3.605805
30.0,30,3.616997
17.0,17,3.623919
79.0,79,4.163404
15.0,15,4.168046
44.0,44,4.186725
32.0,32,4.197496
29.0,29,4.211238
34.0,34,4.222631
24.0,24,4.232538
21.0,21,4.240615
17.0,17,4.247042
16.0,16,4.748574
47.0,47,4.767974
29.0,29,4.779414
107.0,107,4.824545
25.0,25,4.835025
128.0,128,5.383422
122.0,122,5.434157
16.0,16,5.440126
93.0,93,5.977394
41.0,41,5.993028
16.0,16,5.999026
66.0,66,6.028723
72.0,72,6.555589
136.0,136,6.614982
84.0,84,6.651309
33.0,33,6.66554
19.0,19,7.172921
106.0,106,7.219231
90.0,90,7.258792
25.0,25,7.268642
120.0,120,7.820825
17.0,17,7.828964
152.0,152,8.407981
97.0,97,8.454997
92.0,92,8.497949
14.0,14,8.50501
17.0,17,8.511161
76.0,76,9.057766
98.0,98,9.105218
21.0,21,9.114172
81.0,81,9.650818
99.0,99,9.70045
21.0,21,9.708678
19.0,19,9.718796
14.0,14,9.725379
92.0,92,9.76966
24.0,24,10.285249
19.0,19,10.294482
79.0,79,10.335835
19.0,19,10.345324
12.0,12,10.351152
24.0,24,10.362209
83.0,83,10.40282
12.0,12,10.91303
152.0,152,10.987034
96.0,96,11.03677
24.0,24,11.552555
16.0,16,11.559865
46.0,46,11.584383
87.0,87,11.627012
84.0,84,11.66853
15.0,15,12.183036
24.0,24,12.195406
29.0,29,12.210319
16.0,16,12.218506
14.0,14,12.224272
17.0,17,12.233477
16.0,16,12.241048
19.0,19,12.250488
14.0,14,12.258577
16.0,16,12.265572
11.0,11,12.271482
15.0,15,12.279886
10.0,10,12.28506
18.0,18,12.295552
21.0,21,12.307416
116.0,116,12.869541
20.0,20,12.880359
88.0,88,12.926849
94.0,94,13.47633
89.0,89,13.524674
14.0,14,13.532929
100.0,100,14.090807
78.0,78,14.133168
84.0,84,14.178209
17.0,17,14.187773
22.0,22,14.20008
92.0,92,14.753574
97.0,97,14.808495
13.0,13,14.815398
90.0,90,14.865561
103.0,103,15.440061
12.0,12,15.447738
111.0,111,15.510651
110.0,110,16.088809
131.0,131,16.163464
129.0,129,16.750529
96.0,96,16.804246
104.0,104,17.370202
158.0,158,17.460756
130.0,130,18.042139
17.0,17,18.052606
82.0,82,18.100722
85.0,85,18.151147
87.0,87,18.70769
102.0,102,18.767449
15.0,15,18.775412
105.0,105,19.342263
118.0,118,19.410668
121.0,121,19.986642
87.0,87,20.036599
83.0,83,20.0864
88.0,88,20.642647
114.0,114,20.711079
128.0,128,20.78585
84.0,84,21.339942
98.0,98,21.397838
90.0,90,21.959343
108.0,108,22.023488
97.0,97,22.078506
106.0,106,23.166534
168.0,168,23.264029
127.0,127,23.85366
114.0,114,23.920903
15.0,15,23.928879
150.0,150,24.521136
83.0,83,24.570966
110.0,110,25.141582
94.0,94,25.195796
102.0,102,25.761116
107.0,107,25.824517
111.0,111,25.889556
115.0,115,26.462493
172.0,172,27.070685
98.0,98,27.127759
99.0,99,27.183747
18.0,18,27.194529
101.0,101,27.758965
112.0,112,27.82461
107.0,107,28.391366
103.0,103,28.452245
104.0,104,28.51248
98.0,98,29.075475
106.0,106,29.136545
96.0,96,29.700838
100.0,100,29.760083
95.0,95,29.815297
96.0,96,30.389223
107.0,107,30.452066
121.0,121,31.038844
103.0,103,31.097978
98.0,98,31.155761
67.0,67,31.702461
72.0,72,31.744869
83.0,83,31.793133
110.0,110,32.36322
14.0,14,32.37144
139.0,139,32.451835
81.0,81,33.006747
83.0,83,33.054795
85.0,85,33.10395
93.0,93,33.664862
72.0,72,33.705761
179.0,179,34.313016
94.0,94,34.36665
93.0,93,34.420383
103.0,103,34.987161
106.0,106,35.048239
30.0,30,35.06556
110.0,110,35.635895
14.0,14,35.644978
12.0,12,35.651605
112.0,112,35.716155
120.0,120,36.293903
136.0,136,36.374215
144.0,144,36.969106
98.0,98,37.026831
108.0,108,37.608305
121.0,121,37.679513
124.0,124,38.26702
115.0,115,38.335201
119.0,119,38.405667
106.0,106,38.971186
102.0,102,39.03021
102.0,102,39.595543
88.0,88,39.646092
14.0,14,39.655215
99.0,99,39.71347
121.0,121,40.289801
132.0,132,40.366449
125.0,125,40.945984
127.0,127,41.018771
118.0,118,41.592932
127.0,127,41.667431
132.0,132,42.251668
128.0,128,42.325881
133.0,133,42.909662
144.0,144,42.993243
143.0,143,43.586768
144.0,144,44.177011
142.0,142,44.25896
140.0,140,44.860527
152.0,152,44.950957
148.0,148,45.558982
146.0,146,45.644931
149.0,149,46.241536
149.0,149,46.841163
149.0,149,46.927145
158.0,158,47.526583
120.0,120,47.595982
126.0,126,48.180832
130.0,130,48.255751
154.0,154,49.55768
178.0,178,50.165693
173.0,173,50.267656
143.0,143,50.86396
86.0,86,50.912724
92.0,92,51.478789
125.0,125,51.551929
137.0,137,52.156438
191.0,191,52.268591
177.0,177,52.892602
218.0,218,53.528851
149.0,149,53.615872
151.0,151,54.212703
116.0,116,54.282494
99.0,99,54.849606
91.0,91,54.903169
92.0,92,55.469123
118.0,118,55.53768
118.0,118,55.606584
114.0,114,56.183593
127.0,127,56.258324
97.0,97,56.833227
19.0,19,56.844016
98.0,98,56.90075
