#{"t_start": 1614641762.191786, "env_id": "EnduroNoFrameskip-v4"}
r,l,t
0.0,13312,9.907386
0.0,13312,16.116288
0.0,13312,22.321966
0.0,13312,88.496865
0.0,13312,94.692934
0.0,13312,100.88646
0.0,13312,167.041157
0.0,13312,173.23936
0.0,13312,179.440499
0.0,13312,245.919341
0.0,13312,252.103097
0.0,13312,258.29487
0.0,13312,325.066558
0.0,13312,331.254807
0.0,13312,337.451317
0.0,13312,404.448227
0.0,13312,410.641963
0.0,13312,416.847111
0.0,13312,484.161024
0.0,13312,490.360852
0.0,13312,496.557477
0.0,13312,564.205583
0.0,13312,570.418467
0.0,13312,576.635372
0.0,13312,645.20801
0.0,13312,651.7692
0.0,13312,658.117957
0.0,13312,728.251572
0.0,13312,734.562601
0.0,13312,740.887198
0.0,13312,815.057283
0.0,13312,826.983739
0.0,13312,838.942096
0.0,13312,913.831949
0.0,13312,925.694443
0.0,13312,937.519283
0.0,13312,1012.393921
0.0,13312,1024.337557
0.0,13312,1036.05883
0.0,13312,1111.446826
0.0,13312,1123.254745
0.0,13312,1135.091205
0.0,13312,1210.761758
0.0,13312,1222.847709
0.0,13312,1234.609552
0.0,13312,1310.567614
0.0,13312,1322.529554
0.0,13312,1334.42825
0.0,13312,1410.786534
0.0,13312,1422.884837
0.0,13312,1434.700523
0.0,13312,1511.284711
0.0,13312,1523.328195
0.0,13312,1535.313531
0.0,13312,1612.12337
0.0,13312,1624.154579
0.0,13312,1636.098414
0.0,13312,1713.307223
0.0,13312,1725.4083
0.0,13312,1737.430243
0.0,13312,1815.104614
0.0,13312,1827.133773
0.0,13312,1839.220084
0.0,13312,1917.025547
0.0,13312,1929.183738
0.0,13312,1941.228016
0.0,13312,2019.371417
0.0,13312,2031.563562
0.0,13312,2043.619925
0.0,13312,2122.072481
0.0,13312,2134.196659
0.0,13312,2146.38145
0.0,13312,2225.120887
0.0,13312,2237.255804
0.0,13312,2249.432843
0.0,13312,2328.542878
0.0,13312,2340.604568
0.0,13312,2352.800254
0.0,13312,2432.180615
0.0,13312,2444.437259
0.0,13312,2456.591911
0.0,13312,2536.599633
0.0,13312,2548.756671
0.0,13312,2561.066798
0.0,13312,2641.372423
0.0,13312,2653.713033
0.0,13312,2665.871772
0.0,13312,2746.260065
0.0,13312,2758.451454
0.0,13312,2770.76877
0.0,13312,2851.553583
0.0,13312,2863.941427
0.0,13312,2876.300682
0.0,13312,2957.409035
0.0,13312,2969.824101
0.0,13312,2982.317201
0.0,13312,3063.764344
0.0,13312,3076.074589
0.0,13312,3088.51404
0.0,13312,3170.075247
0.0,13312,3182.536505
0.0,13312,3194.979688
0.0,13312,3276.870396
0.0,13312,3289.24186
0.0,13312,3301.805251
0.0,13312,3384.110785
0.0,13312,3396.554768
0.0,13312,3409.066339
0.0,13312,3491.653131
0.0,13312,3504.133285
0.0,13312,3516.686844
0.0,13312,3599.442712
0.0,13312,3612.100988
0.0,13312,3624.526886
0.0,13312,3707.663719
0.0,13312,3720.11489
0.0,13312,3732.663872
0.0,13312,3816.154622
0.0,13312,3828.67025
0.0,13312,3841.26565
0.0,13312,3925.035287
0.0,13312,3937.587264
0.0,13312,3950.035493
0.0,13312,4033.737512
0.0,13312,4046.308788
0.0,13312,4058.935757
0.0,13312,4142.944262
0.0,13312,4155.513448
0.0,13312,4168.066797
0.0,13312,4252.27192
0.0,13312,4264.779804
0.0,13312,4277.337411
0.0,13312,4362.281895
0.0,13312,4375.010108
0.0,13312,4387.481922
0.0,13312,4472.496967
0.0,13312,4485.089596
0.0,13312,4497.728237
0.0,13312,4583.045942
0.0,13312,4595.682203
0.0,13312,4608.205294
0.0,13312,4693.603123
0.0,13312,4706.224931
0.0,13312,4718.960757
0.0,13312,4804.832361
0.0,13312,4817.493794
0.0,13312,4830.305234
0.0,13312,4916.319352
0.0,13312,4929.160962
0.0,13312,4941.827921
0.0,13312,5028.24371
0.0,13312,5040.94627
0.0,13312,5053.749969
0.0,13312,5140.508511
0.0,13312,5153.3036
0.0,13312,5166.016477
0.0,13312,5253.211093
0.0,13312,5266.053501
0.0,13312,5278.988954
0.0,13312,5366.296396
0.0,13312,5379.089606
0.0,13312,5391.914605
8.0,13312,5479.973387
0.0,13312,5492.819571
0.0,13312,5505.630872
0.0,13312,5593.672871
0.0,13312,5606.496924
0.0,13312,5619.438511
0.0,13312,5707.879821
0.0,13312,5720.799557
0.0,13312,5733.718701
0.0,13312,5822.589245
0.0,13312,5835.674727
0.0,13312,5848.592628
0.0,13312,5937.675801
8.0,13312,5950.577279
0.0,13312,5963.578177
0.0,13312,6052.943063
0.0,13312,6066.036272
1.0,13312,6079.047064
0.0,13312,6169.143114
3.0,13312,6182.412183
0.0,13312,6195.603179
1.0,13312,6285.818399
0.0,13312,6298.926586
0.0,13312,6312.09049
1.0,13312,6402.42363
0.0,13312,6415.532673
1.0,13312,6428.766603
3.0,13312,6519.623255
3.0,13312,6532.843513
4.0,13312,6545.992104
5.0,13312,6637.015073
7.0,13312,6650.225178
4.0,13312,6663.522239
8.0,13312,6755.095201
9.0,13312,6768.343417
11.0,13312,6781.594408
1.0,13312,6873.278579
2.0,13312,6886.637264
16.0,13312,6899.861217
0.0,13312,6992.072632
9.0,13312,7005.337919
0.0,13312,7018.565981
17.0,13312,7110.938877
2.0,13312,7124.174571
9.0,13312,7137.553229
13.0,13312,7230.418095
15.0,13312,7243.836095
0.0,13312,7257.110179
0.0,13312,7350.27036
5.0,13312,7363.681841
17.0,13312,7376.96569
4.0,13312,7470.388032
0.0,13312,7483.780111
1.0,13312,7497.210563
24.0,13312,7590.960495
0.0,13312,7604.379326
7.0,13312,7617.781223
16.0,13312,7711.922984
43.0,13312,7725.432459
10.0,13312,7738.779464
19.0,13312,7833.411159
35.0,13312,7847.004751
11.0,13312,7860.373551
69.0,13312,7955.159196
10.0,13312,7968.626559
19.0,13312,7982.114286
2.0,13312,8076.833963
0.0,13312,8090.483453
65.0,13312,8104.031817
32.0,13312,8199.146674
47.0,13312,8212.672986
44.0,13312,8226.191525
42.0,13312,8321.856931
51.0,13312,8335.704995
44.0,13312,8349.405933
0.0,13312,8445.145102
69.0,13312,8458.889746
96.0,13312,8472.561725
56.0,13312,8569.194579
62.0,13312,8582.98344
53.0,13312,8596.807369
118.0,13312,8693.550611
36.0,13312,8707.378372
64.0,13312,8721.061004
62.0,13312,8818.34077
65.0,13312,8832.157555
44.0,13312,8846.030219
19.0,13312,8943.410822
22.0,13312,8957.166386
120.0,13312,8970.965809
114.0,13312,9068.58094
71.0,13312,9082.491915
113.0,13312,9096.258686
107.0,13312,9194.660533
118.0,13312,9208.526239
85.0,13312,9222.30935
177.0,13312,9320.996735
115.0,13312,9334.978625
119.0,13312,9348.908214
102.0,13312,9448.04934
98.0,13312,9461.947964
131.0,13312,9475.91925
125.0,13312,9575.042343
142.0,13312,9589.094376
97.0,13312,9603.034016
89.0,13312,9702.210118
142.0,13312,9716.358488
150.0,13312,9730.410525
102.0,13312,9829.825563
122.0,13312,9843.916943
157.0,13312,9857.999877
110.0,13312,9957.671152
119.0,13312,9971.812442
135.0,13312,9985.91741
144.0,13312,10086.260336
147.0,13312,10100.385081
160.0,13312,10114.473086
136.0,13312,10215.24603
141.0,13312,10229.44703
102.0,13312,10243.789637
159.0,13312,10344.729471
153.0,13312,10358.963941
125.0,13312,10373.172604
122.0,13312,10483.632869
155.0,13312,10497.713732
122.0,13312,10511.900997
302.0,26624,10662.976236
298.0,26624,10840.64816
153.0,13312,10854.876763
156.0,13312,10869.144163
171.0,13312,10971.290376
180.0,13312,10985.529251
356.0,26624,11119.298048
383.0,26624,11147.777769
403.0,26624,11361.662786
337.0,26624,11548.838475
444.0,26624,11577.1655
325.0,26624,11764.812064
346.0,26624,11793.293953
192.0,13312,11984.13795
472.0,26624,12012.683796
421.0,26624,12226.570077
442.0,26624,12449.502685
359.0,26624,12478.011268
178.0,13312,12686.455807
148.0,13312,12700.674877
384.0,26624,12887.617217
485.0,26624,12916.043284
479.0,26624,13129.831207
365.0,26624,13325.698652
360.0,26624,13353.983753
436.0,26624,13567.723896
719.0,39936,13813.74335
481.0,26624,14009.711556
393.0,26624,14038.131657
459.0,26624,14242.963685
492.0,26624,14456.53056
474.0,26624,14485.115513
446.0,26624,14681.283434
441.0,26624,14859.933122
377.0,26624,14888.344518
450.0,26624,15102.140072
195.0,13312,15116.356431
386.0,26624,15321.124165
375.0,26624,15526.277214
425.0,26624,15554.671267
763.0,39936,15765.11174
444.0,26624,16015.291866
633.0,39936,16172.507988
464.0,26624,16412.094931
442.0,26624,16440.361834
651.0,39936,16677.093748
451.0,26624,16979.113269
717.0,39936,17250.827192
440.0,26624,17481.843362
368.0,26624,17510.206845
708.0,39936,17685.094598
752.0,39936,17913.237143
466.0,26624,18155.934272
411.0,26624,18380.197394
415.0,26624,18408.833847
499.0,26624,18632.735547
370.0,26624,18856.592244
653.0,39936,19130.603422
454.0,26624,19159.23621
475.0,26624,19374.863061
794.0,39936,19595.404561
399.0,26624,19801.334362
439.0,26624,19830.319258
752.0,39936,20069.486943
441.0,26624,20276.522655
960.0,53248,20556.258576
498.0,26624,20896.433084
420.0,26624,21137.639801
328.0,26624,21166.311352
710.0,39936,21457.894859
719.0,39936,21722.637619
421.0,26624,22043.777105
739.0,39936,22316.951548
787.0,39936,22617.19353
434.0,26624,22885.586744
903.0,53248,23182.412163
495.0,26624,23396.702837
385.0,26624,23425.34124
572.0,39936,23645.237629
430.0,26624,23903.635464
421.0,26624,24108.631352
365.0,26624,24137.252825
485.0,26624,24369.313063
417.0,26624,24601.04193
482.0,26624,24629.585326
694.0,39936,24858.28238
473.0,26624,25099.38175
463.0,26624,25340.413292
673.0,39936,25596.270035
495.0,26624,25625.051955
467.0,26624,25901.306061
492.0,26624,26203.94071
751.0,39936,26476.033125
697.0,39936,26712.570454
490.0,26624,26740.90151
689.0,39936,26987.039445
771.0,39936,27223.371169
678.0,39936,27380.417463
494.0,26624,27647.908368
653.0,39936,27894.274228
784.0,39936,28105.162368
431.0,26624,28354.672192
746.0,39936,28636.682809
661.0,39936,28946.061463
453.0,26624,28974.721196
625.0,39936,29229.966737
499.0,26624,29444.617758
792.0,39936,29762.023927
931.0,53248,30058.369918
684.0,39936,30287.068502
429.0,26624,30492.426144
560.0,39936,30782.976159
916.0,53248,31079.161322
1062.0,53248,31543.275012
462.0,26624,31571.902383
474.0,26624,31822.247751
494.0,26624,32089.928696
446.0,26624,32118.547625
370.0,26624,32438.798419
871.0,53248,32762.122969
791.0,39936,32989.913764
777.0,39936,33288.778673
576.0,39936,33543.465769
390.0,26624,33845.254743
751.0,39936,34065.253179
774.0,39936,34399.158259
774.0,39936,34636.604881
791.0,39936,34935.531291
490.0,26624,35157.984458
912.0,53248,35479.737142
796.0,39936,35787.293673
495.0,26624,36107.323871
744.0,39936,36414.981066
762.0,39936,36715.04306
444.0,26624,36743.480315
453.0,26624,37010.607076
360.0,26624,37251.394092
375.0,26624,37280.059989
381.0,26624,37486.090489
475.0,26624,37755.27929
966.0,53248,38060.486314
754.0,39936,38360.596794
704.0,39936,38642.340501
696.0,39936,38933.418789
417.0,26624,39218.996542
763.0,39936,39502.105067
751.0,39936,39785.756498
623.0,39936,40050.475689
181.0,13312,40064.807428
477.0,26624,40306.357558
458.0,26624,40335.148739
793.0,39936,40698.405336
763.0,39936,41069.490083
1003.0,53248,41685.693961
496.0,26624,41714.406771
192.0,13312,41870.497128
487.0,26624,41899.151719
710.0,39936,42207.982704
495.0,26624,42537.884342
498.0,26624,42770.638719
486.0,26624,42799.256461
606.0,39936,43019.164231
649.0,39936,43310.140637
746.0,39936,43521.263238
440.0,26624,43753.564869
795.0,39936,43974.377768
917.0,53248,44234.956942
434.0,26624,44422.583479
471.0,26624,44627.89445
737.0,39936,44758.595369
711.0,39936,45048.533707
973.0,53248,45301.36215
798.0,39936,45592.722091
492.0,26624,45789.724732
497.0,26624,45818.235937
425.0,26624,46041.827896
425.0,26624,46291.532505
485.0,26624,46319.946482
773.0,39936,46584.36517
700.0,39936,46884.095716
494.0,26624,47134.654903
717.0,39936,47416.694537
753.0,39936,47690.229593
496.0,26624,47878.618022
497.0,26624,47907.202358
478.0,26624,48068.691951
198.0,13312,48082.908357
437.0,26624,48297.212988
770.0,39936,48579.222465
789.0,39936,48799.517495
198.0,13312,48813.773272
491.0,26624,49001.863234
491.0,26624,49030.567058
443.0,26624,49192.053686
496.0,26624,49406.602232
787.0,39936,49626.741448
496.0,26624,49655.262806
477.0,26624,49923.211998
766.0,39936,50224.16983
666.0,39936,50499.174251
993.0,53248,50761.47429
468.0,26624,51055.718291
489.0,26624,51297.63017
784.0,39936,51571.495973
969.0,53248,51849.136243
481.0,26624,52098.56164
669.0,39936,52265.086681
798.0,39936,52600.034359
456.0,26624,52628.249381
464.0,26624,52904.322389
496.0,26624,53127.598549
665.0,39936,53427.186347
473.0,26624,53455.555429
692.0,39936,53756.376472
478.0,26624,53926.251913
490.0,26624,54184.632382
694.0,39936,54394.559798
495.0,26624,54422.823562
819.0,53248,54893.778519
481.0,26624,54921.863823
492.0,26624,55152.804814
1093.0,53248,55403.203245
461.0,26624,55589.951391
145.0,13312,55603.953454
490.0,26624,55887.762515
483.0,26624,56145.396195
484.0,26624,56173.596757
736.0,39936,56471.873264
765.0,39936,56717.984569
495.0,26624,56931.480521
430.0,26624,57145.592481
497.0,26624,57173.668152
491.0,26624,57378.051028
488.0,26624,57582.500283
489.0,26624,57610.60594
492.0,26624,57770.621427
672.0,39936,57953.566437
490.0,26624,58202.202729
189.0,13312,58216.236951
457.0,26624,58350.215778
191.0,13312,58364.23288
195.0,13312,58378.282429
193.0,13312,58524.474008
191.0,13312,58538.543394
470.0,26624,58734.546965
196.0,13312,58748.724235
198.0,13312,58762.848126
192.0,13312,58874.363291
194.0,13312,58888.630508
197.0,13312,58902.745053
197.0,13312,59031.721844
193.0,13312,59045.723562
458.0,26624,59197.109847
459.0,26624,59225.433284
479.0,26624,59385.999954
491.0,26624,59555.102841
445.0,26624,59583.191283
497.0,26624,59778.822122
195.0,13312,59792.951969
199.0,13312,59991.851826
191.0,13312,60005.871633
421.0,26624,60264.871448
733.0,39936,60511.594369
678.0,39936,60758.184722
791.0,39936,61013.165006
438.0,26624,61041.334164
674.0,39936,61325.075437
1010.0,53248,61934.859283
753.0,39936,62191.24813
487.0,26624,62219.982235
671.0,39936,62476.352563
762.0,39936,62740.565931
436.0,26624,62972.983531
718.0,39936,63219.466187
455.0,26624,63460.290883
495.0,26624,63488.846585
196.0,13312,63662.220599
195.0,13312,63676.427817
172.0,13312,63690.621763
193.0,13312,63802.004362
486.0,26624,63830.446573
195.0,13312,63942.309732
492.0,26624,63971.162154
197.0,13312,64100.754884
495.0,26624,64129.358066
197.0,13312,64248.831185
197.0,13312,64263.214727
389.0,26624,64468.034964
495.0,26624,64496.664683
489.0,26624,64675.285661
497.0,26624,64871.439323
497.0,26624,64900.039351
460.0,26624,65078.324301
492.0,26624,65309.776875
488.0,26624,65338.310162
634.0,39936,65565.557219
423.0,26624,65760.696545
190.0,13312,65774.901174
389.0,26624,65925.673687
491.0,26624,66120.219513
490.0,26624,66148.468007
198.0,13312,66311.415267
439.0,26624,66339.732786
424.0,26624,66517.083571
420.0,26624,66711.794358
479.0,26624,66740.044551
776.0,39936,66992.479745
490.0,26624,67187.073125
664.0,39936,67430.845303
484.0,26624,67616.543313
481.0,26624,67644.823178
499.0,26624,67909.983613
604.0,39936,68211.611732
771.0,39936,68438.925517
711.0,39936,68691.778957
475.0,26624,68878.188178
722.0,39936,69087.786643
791.0,39936,69323.576953
420.0,26624,69351.966203
496.0,26624,69511.799441
464.0,26624,69724.965161
762.0,39936,69952.280416
180.0,13312,69966.545571
746.0,39936,70211.685886
198.0,13312,70225.972112
795.0,39936,70479.753457
198.0,13312,70678.237557
196.0,13312,70692.287416
776.0,39936,70928.673264
756.0,39936,71163.971518
471.0,26624,71376.499984
189.0,13312,71390.771497
499.0,26624,71585.165017
487.0,26624,71613.71833
197.0,13312,71803.13332
496.0,26624,71831.794741
496.0,26624,71992.018202
487.0,26624,72195.966666
734.0,39936,72422.701397
198.0,13312,72437.094013
192.0,13312,72451.395748
496.0,26624,72673.078943
367.0,26624,72850.573839
195.0,13312,72864.709145
670.0,39936,73117.768836
495.0,26624,73357.080742
458.0,26624,73385.548436
790.0,39936,73649.035095
422.0,26624,73906.629384
498.0,26624,74181.604845
799.0,39936,74435.447523
754.0,39936,74688.97711
499.0,26624,74717.420564
198.0,13312,74924.983488
708.0,39936,75169.059691
722.0,39936,75475.849215
727.0,39936,75791.388527
764.0,39936,76017.640257
198.0,13312,76031.960335
411.0,26624,76261.976053
467.0,26624,76290.315289
497.0,26624,76573.552677
