#{"t_start": 1614712715.7030637, "env_id": "LunarLander-v2"}
r,l,t
-207.611729,77,0.379428
-210.76161,99,0.78293
-209.322604,104,1.228878
-185.652914,74,1.552008
-208.096404,108,2.008733
-108.489738,63,2.274263
-54.128618,80,2.610839
-68.660297,69,2.894679
-48.718401,73,3.204347
-234.389415,141,3.832732
-104.963496,57,4.093652
-105.992387,87,4.466064
-82.431883,70,4.786741
-77.767026,66,5.064182
-77.891272,72,5.384081
-118.925225,157,6.097569
-189.078216,120,6.635604
-107.712036,106,7.097066
-245.69391,83,7.470387
-133.20176,107,7.94624
-128.943078,100,8.386422
-102.504402,96,8.806518
17.188001,116,9.317779
-130.012067,98,9.735836
-75.989889,148,10.392088
-138.838589,60,10.654078
-58.189076,83,11.024284
-122.224986,104,11.481241
-97.704715,87,11.873132
-93.775377,80,12.226429
-80.498156,90,12.615134
-34.781788,140,13.240945
-64.564481,88,13.626166
-78.51075,158,14.333537
-109.245273,104,14.784014
-25.453838,64,15.059643
-98.833795,113,15.548649
-68.318896,135,16.141946
-30.141776,74,16.45863
-80.39206,89,16.840742
-72.560188,117,17.349415
-141.237112,136,17.938429
-95.127778,73,18.249054
-32.051612,106,18.702981
-100.751068,113,19.202733
-18.422042,172,19.960435
-108.897139,96,20.372146
-34.225426,92,20.768361
-32.558442,154,21.432413
-112.013796,91,21.831336
-83.958101,68,22.128319
-13.987508,110,22.593213
-31.855209,128,23.145429
-507.827027,997,28.460804
36.665828,149,29.12299
1.778235,145,29.773074
-6.318187,86,30.161082
-365.453894,717,34.285567
-113.168817,248,35.440555
-45.704269,98,35.865912
-116.034807,835,40.800564
-62.662268,1000,46.228595
-29.802052,1000,57.162337
15.458579,1000,62.956597
-22.091423,1000,68.547228
193.723897,876,73.391694
189.603299,577,76.792204
214.817025,386,78.762697
163.453208,744,82.717726
220.708968,831,87.476326
133.018982,1000,93.139772
216.202129,484,95.723248
214.805782,259,97.004486
259.393449,586,100.113348
23.21666,1000,105.587536
190.516842,542,108.409108
122.184754,1000,130.036277
181.004893,373,131.945752
88.923374,1000,137.180091
105.937668,1000,142.68996
96.213314,1000,148.03707
61.399745,1000,153.491417
218.082272,492,156.177911
-16.559341,295,157.666346
-58.276227,436,159.973764
212.131932,332,161.674639
45.007599,1000,167.959645
186.942414,852,172.661448
15.18671,228,173.766592
209.578471,915,179.565984
-28.419669,1000,193.266376
46.186751,1000,199.573563
-122.147471,351,201.370291
-54.476744,1000,207.407958
-52.261328,1000,213.342333
-135.57013,412,215.447397
157.988078,1000,220.953869
119.499066,1000,226.675455
