#{"t_start": 1614621403.842524, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,0.06803
-200.0,200,0.090652
-200.0,200,0.113165
-200.0,200,0.137519
-200.0,200,0.160299
-200.0,200,0.684226
-200.0,200,1.160911
-200.0,200,1.600335
-200.0,200,2.077014
-200.0,200,2.512876
-200.0,200,2.982476
-200.0,200,3.423648
-200.0,200,3.920201
-200.0,200,4.386433
-200.0,200,4.878232
-200.0,200,5.339068
-200.0,200,5.833742
-200.0,200,6.294075
-200.0,200,6.795161
-200.0,200,7.257054
-200.0,200,7.759619
-200.0,200,8.232867
-200.0,200,8.742379
-200.0,200,9.217156
-200.0,200,9.722585
-200.0,200,10.187706
-200.0,200,10.686553
-200.0,200,11.155139
-200.0,200,11.658906
-200.0,200,12.137307
-200.0,200,12.642294
-200.0,200,13.111938
-200.0,200,13.615307
-200.0,200,14.091243
-200.0,200,14.596669
-200.0,200,15.070156
-200.0,200,15.589686
-200.0,200,16.075307
-200.0,200,16.594713
-200.0,200,17.073815
-200.0,200,17.584621
-200.0,200,18.060847
-200.0,200,18.576741
-200.0,200,19.054961
-200.0,200,19.569942
-200.0,200,20.05146
-200.0,200,20.567778
-200.0,200,21.050364
-200.0,200,21.566829
-200.0,200,22.05741
-200.0,200,23.519282
-200.0,200,24.010867
-200.0,200,24.530511
-200.0,200,25.019069
-200.0,200,25.539324
-200.0,200,26.025388
-200.0,200,26.54363
-200.0,200,27.035805
-200.0,200,27.557478
-200.0,200,28.041772
-200.0,200,28.567345
-200.0,200,29.062613
-200.0,200,29.589894
-200.0,200,30.094264
-200.0,200,30.628
-200.0,200,31.130695
-200.0,200,31.663714
-200.0,200,32.162314
-200.0,200,32.691019
-200.0,200,33.186308
-200.0,200,33.720616
-200.0,200,34.212636
-200.0,200,34.745681
-200.0,200,35.242218
-200.0,200,35.768055
-200.0,200,36.272441
-200.0,200,36.814221
-200.0,200,37.315799
-200.0,200,37.86158
-200.0,200,38.373254
-200.0,200,38.909208
-200.0,200,39.414807
-200.0,200,39.952567
-200.0,200,40.453539
-200.0,200,40.995026
-200.0,200,41.504042
-200.0,200,42.048436
-200.0,200,42.557578
-200.0,200,43.096567
-200.0,200,43.607295
-200.0,200,44.150118
-200.0,200,44.663717
-200.0,200,45.217881
-200.0,200,45.737431
-200.0,200,46.282974
-200.0,200,46.795482
-200.0,200,47.338339
-200.0,200,47.844018
-200.0,200,48.38939
-200.0,200,48.897514
-200.0,200,50.344556
-200.0,200,50.856631
-200.0,200,51.407121
-200.0,200,51.928871
-200.0,200,52.484432
-200.0,200,53.00667
-200.0,200,53.558654
-200.0,200,54.074267
-200.0,200,54.625411
-200.0,200,55.140459
-200.0,200,55.689802
-200.0,200,56.208727
-141.0,141,56.593319
-200.0,200,57.149534
-200.0,200,57.66949
-200.0,200,58.224421
-200.0,200,58.747911
-200.0,200,59.312182
-200.0,200,59.839988
-200.0,200,60.405401
-200.0,200,60.93069
-200.0,200,61.492496
-200.0,200,62.017186
-200.0,200,62.577227
-200.0,200,63.098398
-200.0,200,63.654241
-200.0,200,64.179482
-200.0,200,64.737172
-200.0,200,65.260458
-200.0,200,65.819821
-200.0,200,66.344718
-200.0,200,66.916136
-200.0,200,67.453037
-200.0,200,68.018911
-200.0,200,68.548017
-200.0,200,69.114409
-200.0,200,69.644835
-200.0,200,70.210754
-200.0,200,70.743515
-200.0,200,71.308427
-200.0,200,71.841362
-200.0,200,72.407278
-200.0,200,72.937737
-200.0,200,73.506926
-200.0,200,74.039642
-200.0,200,74.604219
-200.0,200,75.134077
-200.0,200,75.700508
-200.0,200,76.216198
-200.0,200,76.768285
-200.0,200,78.203242
-200.0,200,78.771933
-200.0,200,79.300563
-200.0,200,79.866758
-200.0,200,80.395701
-200.0,200,80.959805
-200.0,200,81.491305
-200.0,200,82.057005
-132.0,132,82.4031
-200.0,200,82.961349
-200.0,200,83.484227
-200.0,200,84.042974
-200.0,200,84.564877
-200.0,200,85.122736
-200.0,200,85.646801
-200.0,200,86.20539
-200.0,200,86.732757
-200.0,200,87.292838
-200.0,200,87.822267
-200.0,200,88.388953
-200.0,200,88.920207
-200.0,200,89.484816
-200.0,200,90.008383
-200.0,200,90.566059
-200.0,200,91.088565
-200.0,200,91.647628
-200.0,200,92.174221
-200.0,200,92.735153
-200.0,200,93.25743
-200.0,200,93.815829
-162.0,162,94.251437
-200.0,200,94.777601
-200.0,200,95.34504
-200.0,200,95.876639
-200.0,200,96.445705
-200.0,200,96.975051
-200.0,200,97.537684
-183.0,183,98.019122
-200.0,200,98.577948
-200.0,200,99.103117
-200.0,200,99.661162
-200.0,200,100.185454
-200.0,200,100.748256
-139.0,139,101.100754
-175.0,175,101.579401
-200.0,200,102.144418
-200.0,200,102.677326
-200.0,200,103.246239
-200.0,200,103.771788
-200.0,200,104.330454
-200.0,200,104.855569
-200.0,200,106.32373
-200.0,200,106.850881
-189.0,189,107.370682
