#{"t_start": 1652910764.3405554, "env_id": "MsPacmanNoFrameskip-v4"}
r,l,t
220.0,1986,1.620832
270.0,2162,2.017163
260.0,1826,2.349519
200.0,2082,2.730335
200.0,1794,3.058246
160.0,1754,3.376674
240.0,1970,3.747487
220.0,1986,4.134466
160.0,2074,4.540015
210.0,1610,4.835101
240.0,1802,5.161112
430.0,3066,5.714054
390.0,2082,6.08656
270.0,1986,6.443195
220.0,1970,6.796746
110.0,1954,7.148816
310.0,2002,7.507763
220.0,2050,7.874781
540.0,2978,8.408609
200.0,2066,8.780156
200.0,1914,9.125598
200.0,2066,9.503086
220.0,2346,9.9414
280.0,2098,10.316924
140.0,1426,10.570055
210.0,2018,10.930216
140.0,1866,11.2619
220.0,1778,11.577888
160.0,1546,11.852996
220.0,1810,12.172596
250.0,2074,12.545835
300.0,1706,12.853279
260.0,2154,13.24384
210.0,1394,13.492945
280.0,2418,13.926196
160.0,1442,14.181794
260.0,1882,14.528911
200.0,1898,14.881541
180.0,2082,15.255924
310.0,2242,15.654783
210.0,1826,15.980479
210.0,1546,16.2544
140.0,1674,16.552915
260.0,1882,16.889543
110.0,1578,17.169339
300.0,2066,17.536901
250.0,2162,17.922002
230.0,2194,18.313668
240.0,1914,18.654222
200.0,1538,18.926877
220.0,1962,19.276651
270.0,1922,24.009742
150.0,1522,24.280131
130.0,1834,24.606824
290.0,2058,24.974805
450.0,3674,25.627246
300.0,1682,25.926148
400.0,2642,26.397331
210.0,1762,26.710601
240.0,2210,27.105086
580.0,2946,27.631208
310.0,2106,28.007153
220.0,1914,28.355026
290.0,1914,28.691009
300.0,2170,29.066583
220.0,1954,29.403059
190.0,1954,29.741145
220.0,2146,30.111927
220.0,2018,30.462098
150.0,1530,30.726416
200.0,1930,31.061391
310.0,2426,31.480213
440.0,2458,31.906905
160.0,1538,32.172421
270.0,1674,32.462419
200.0,2138,32.831398
240.0,1650,33.116207
320.0,2202,33.497159
160.0,1602,33.773639
150.0,1674,34.062094
160.0,1658,34.351713
80.0,1378,34.590856
310.0,2010,34.939656
360.0,2274,35.333363
160.0,1778,35.639989
290.0,1866,35.96128
360.0,2154,36.334159
170.0,1442,36.583482
250.0,2082,36.94562
220.0,1962,37.288036
170.0,1858,37.609243
240.0,1898,37.936806
200.0,1914,38.269619
650.0,2690,38.734433
360.0,2186,39.11454
180.0,1890,39.441826
230.0,1730,39.742991
230.0,1498,40.000881
140.0,1994,40.346805
130.0,1922,40.678902
240.0,1810,40.992806
350.0,2066,41.350062
230.0,1890,43.750323
520.0,3442,44.348788
260.0,2290,44.748009
210.0,1874,45.07391
260.0,1978,45.415951
300.0,2314,45.81807
200.0,1690,46.110931
270.0,2138,46.483319
230.0,1818,46.798532
270.0,2106,47.165241
270.0,2114,47.532064
850.0,2954,48.044432
180.0,1858,48.366125
270.0,1914,48.697836
230.0,2010,49.04704
310.0,1962,49.389395
360.0,2434,49.832204
320.0,2986,50.358126
340.0,2210,50.746458
200.0,1962,51.091557
220.0,1914,51.431103
270.0,2162,51.809198
240.0,1826,52.128886
260.0,1682,52.422947
230.0,1570,52.696688
140.0,1898,53.028383
190.0,1954,53.369516
200.0,1826,53.689589
320.0,2042,54.048276
180.0,1570,54.323318
240.0,2162,54.700657
300.0,1986,55.050007
330.0,2058,55.409557
250.0,1914,55.746763
250.0,1914,56.082684
350.0,2754,56.56684
220.0,1634,56.858098
250.0,1978,57.208662
180.0,2122,57.573122
210.0,2010,57.91806
230.0,1882,58.245717
260.0,2442,58.667037
230.0,2082,59.031187
260.0,1778,59.339649
160.0,1698,59.630446
250.0,2074,59.985167
190.0,1754,60.284645
170.0,1810,60.594769
170.0,2058,60.947373
170.0,2146,63.407799
200.0,1602,63.68164
150.0,1506,63.937353
250.0,2106,64.29816
330.0,2018,64.643722
290.0,2298,65.037125
330.0,2226,65.416283
160.0,1722,65.711304
510.0,2978,66.221964
250.0,2018,66.56682
250.0,1922,66.895382
170.0,1778,67.198117
180.0,1682,67.484105
270.0,1930,67.814553
230.0,2042,68.164335
220.0,1522,68.425774
120.0,1714,68.718137
160.0,1474,68.970525
210.0,1962,69.305171
200.0,2146,69.672432
270.0,2490,70.097136
280.0,1938,70.428018
260.0,2122,70.791037
240.0,2386,71.199244
130.0,2186,71.573436
270.0,2018,71.919719
250.0,1970,72.256454
200.0,2010,72.598793
200.0,1922,72.926217
270.0,2026,73.272467
350.0,2090,73.628884
200.0,1874,73.949762
80.0,1610,74.224329
220.0,2058,74.576212
190.0,2026,74.921388
270.0,2226,75.300805
280.0,1786,75.605144
300.0,1778,75.910323
240.0,1770,76.210975
230.0,2002,76.553154
270.0,1626,76.830095
220.0,1962,77.163815
210.0,1626,77.441917
200.0,2138,77.806612
270.0,1914,78.135059
270.0,2298,78.526312
300.0,1762,78.827671
670.0,2394,79.23424
210.0,2082,79.58993
210.0,1762,79.891127
700.0,3010,80.407485
180.0,1514,82.628543
350.0,3186,84.018573
220.0,1890,84.838802
250.0,2250,85.817039
200.0,1970,86.676489
280.0,2794,87.914415
290.0,1842,88.721486
210.0,1626,89.439444
150.0,1946,90.305545
290.0,1850,91.122525
980.0,3146,92.52321
250.0,1690,93.284979
240.0,2066,94.254393
250.0,1810,95.090925
350.0,2290,96.168955
250.0,2242,97.230437
240.0,1994,98.134687
290.0,1906,98.996213
140.0,1522,99.694534
160.0,1666,100.426799
520.0,2962,101.722607
270.0,1922,102.554737
200.0,1986,103.416754
300.0,2130,104.355534
180.0,1722,105.127157
230.0,1906,106.01548
200.0,1802,106.846934
260.0,2218,107.878291
320.0,1970,108.774974
180.0,1650,109.545612
220.0,2002,110.439158
340.0,2114,111.384629
240.0,2042,112.289944
280.0,2210,113.277774
290.0,2154,114.245724
620.0,2802,115.500731
380.0,2218,116.499252
190.0,1874,117.331958
