#{"t_start": 1614641279.4462729, "env_id": "PongNoFrameskip-v4"}
r,l,t
-21.0,3715,5.382725
-19.0,5075,7.416246
-20.0,3352,8.758056
-20.0,3607,10.199747
-20.0,3753,11.702824
-19.0,4257,13.40443
-20.0,3367,14.750524
-21.0,3784,16.26473
-20.0,3794,17.78598
-21.0,3168,19.057456
-19.0,4103,36.009844
-21.0,3852,37.544534
-20.0,3486,38.933519
-21.0,3056,40.151628
-19.0,4385,41.899645
-21.0,3056,43.115515
-19.0,4226,44.796022
-20.0,4420,46.55647
-20.0,4031,48.167294
-21.0,3243,49.458276
-21.0,3056,50.67489
-20.0,3988,66.935514
-20.0,3350,68.269928
-20.0,4401,70.023322
-20.0,3607,71.460388
-20.0,3685,72.928616
-21.0,3371,74.269892
-21.0,4243,75.958713
-21.0,3888,77.511958
-21.0,3726,78.999679
-20.0,4283,80.704671
-20.0,3849,96.467833
-21.0,3168,97.728589
-20.0,3547,99.141798
-21.0,3612,100.581547
-20.0,3685,102.047451
-21.0,3424,103.416283
-20.0,4038,105.024112
-21.0,3632,106.469528
-20.0,4395,108.218767
-19.0,4279,109.925741
-21.0,3708,111.404991
-21.0,3296,127.240096
-20.0,3870,128.78215
-20.0,3831,130.31029
-20.0,3594,131.744768
-21.0,3131,132.993478
-21.0,4085,134.624882
-21.0,3752,136.118987
-21.0,4204,137.792995
-20.0,3449,139.167163
-20.0,3912,140.726093
-21.0,3483,142.118625
-21.0,3243,159.411088
-19.0,4233,161.09951
-20.0,3593,162.532043
-20.0,3862,164.071177
-19.0,3988,165.658442
-21.0,3648,167.111159
-21.0,3056,168.330572
-21.0,3245,169.624993
-20.0,3962,171.2026
-21.0,3056,172.426517
-21.0,3648,173.882045
-20.0,3682,189.727535
-21.0,3544,191.143634
-21.0,3056,192.357883
-21.0,3528,193.765761
-20.0,4132,195.41247
-21.0,3056,196.631927
-21.0,3056,197.853154
-21.0,3296,199.16637
-21.0,3656,200.623338
-21.0,3414,201.983562
-19.0,4125,203.625652
-21.0,3056,204.847126
-21.0,3561,221.16517
-20.0,3677,222.62739
-18.0,4415,224.380255
-17.0,4370,226.118508
-20.0,3833,227.645245
-21.0,3056,228.860392
-21.0,3056,230.075439
-19.0,3918,231.634448
-20.0,3703,233.108318
-19.0,3680,234.571881
-21.0,3056,235.786823
-21.0,4028,251.990636
-20.0,4146,253.642616
-21.0,3210,254.923613
-21.0,3648,256.37543
-20.0,3596,257.810899
-21.0,3056,259.027306
-21.0,3168,260.285516
-21.0,3408,261.64188
-21.0,3168,262.905906
-18.0,4184,264.568162
-20.0,4041,266.176739
-21.0,3131,281.933019
-20.0,3750,283.425473
-20.0,3701,284.896088
-21.0,3861,286.430417
-19.0,3824,287.951098
-21.0,3412,289.306501
-21.0,3603,290.740401
-21.0,3648,292.192495
-17.0,4537,293.99713
-19.0,4185,295.660375
-21.0,3296,296.97447
-20.0,3512,314.161235
