#{"t_start": 1614641873.0581696, "env_id": "QbertNoFrameskip-v4"}
r,l,t
0.0,1159,4.309496
200.0,1577,4.954763
175.0,1335,5.499002
100.0,1314,6.038332
225.0,1409,6.616825
50.0,1212,7.109729
50.0,1209,7.605261
150.0,1689,8.290466
75.0,1239,8.791702
350.0,1844,9.553915
25.0,1163,10.024575
100.0,1304,10.556393
150.0,1428,11.146232
100.0,1258,11.660419
250.0,1338,12.211551
200.0,1485,12.825129
150.0,1553,13.45815
175.0,1539,14.087616
100.0,1504,14.701559
25.0,1198,15.190227
175.0,1299,15.722853
75.0,1374,16.283318
175.0,1482,16.887102
650.0,1893,17.665377
25.0,994,18.073897
200.0,1509,18.693592
75.0,1069,19.134877
150.0,1355,19.688254
50.0,1217,20.185322
75.0,1203,20.677213
100.0,1329,26.792531
100.0,1294,27.321057
175.0,1399,27.891993
450.0,1538,28.517246
25.0,1148,28.987465
200.0,1194,29.472387
150.0,1108,29.929021
225.0,1672,30.61394
100.0,1244,31.122675
50.0,1119,31.581009
250.0,1750,32.293752
50.0,1193,32.779662
0.0,1128,33.236026
75.0,1207,33.727919
125.0,1232,34.230222
25.0,1034,34.654168
150.0,1174,35.141697
300.0,1465,35.738953
675.0,1638,36.408901
225.0,1398,36.980375
0.0,1139,37.445702
225.0,1615,38.103074
100.0,1334,38.649399
100.0,1277,39.169983
400.0,1324,39.711413
150.0,1644,40.381884
550.0,1590,41.028123
0.0,1128,41.483844
75.0,1249,41.991905
75.0,1369,42.548822
0.0,1118,43.001586
550.0,1408,48.875521
0.0,1154,49.341748
175.0,1319,49.879854
25.0,1189,50.361231
450.0,1562,51.001033
25.0,1179,51.482884
75.0,1414,52.056906
50.0,1188,52.5424
225.0,1734,53.250237
225.0,1153,53.719451
250.0,1229,54.226403
0.0,1133,54.685035
50.0,1233,55.182852
75.0,1449,55.776226
200.0,1380,56.333881
100.0,1334,56.873811
175.0,1563,57.513313
100.0,1284,58.031607
75.0,1299,58.559574
250.0,1408,59.135306
175.0,1277,59.65093
75.0,1353,60.199334
100.0,1292,60.723466
150.0,1467,61.31797
325.0,1609,61.97337
25.0,1153,62.441172
275.0,1897,63.215465
50.0,1214,63.706764
600.0,1697,64.400277
300.0,1750,65.11778
300.0,1899,70.721044
100.0,1344,71.26771
75.0,1254,71.77726
50.0,1299,72.304958
300.0,1754,73.025946
350.0,2209,73.927987
75.0,1324,74.465437
75.0,1277,74.987599
200.0,1684,75.672363
400.0,1337,76.220336
75.0,1329,76.760815
75.0,1264,77.277338
100.0,1324,77.817399
250.0,1339,78.362628
125.0,1279,78.881997
25.0,978,79.284983
50.0,1269,79.801664
75.0,1263,80.313478
300.0,1797,81.050505
300.0,1924,81.835001
125.0,1048,82.261492
250.0,1538,82.891729
125.0,1333,83.435798
0.0,1149,83.900074
100.0,1053,84.333177
125.0,1489,84.939081
375.0,1109,85.393958
75.0,1262,85.907252
75.0,1199,86.39907
175.0,1309,86.931196
