#{"t_start": 1615214788.1121533, "env_id": "RoadRunnerNoFrameskip-v4"}
r,l,t
0.0,389,26.647804
0.0,321,26.767261
0.0,457,26.940857
0.0,1327,27.441597
0.0,433,27.606024
100.0,1845,28.308728
0.0,448,28.476564
0.0,532,28.680098
0.0,360,28.816678
0.0,480,29.003192
0.0,751,29.285078
0.0,1571,29.876872
0.0,365,30.015913
0.0,1067,30.422314
0.0,921,30.771468
0.0,675,31.030374
0.0,646,31.274817
0.0,320,31.398473
0.0,1283,31.880522
0.0,411,32.039138
0.0,697,32.305282
0.0,785,32.604581
0.0,589,32.828654
0.0,380,32.972715
0.0,499,33.162972
0.0,341,33.293473
0.0,628,33.534188
0.0,427,33.697571
0.0,1440,34.237758
0.0,319,34.357239
0.0,312,34.475104
0.0,450,34.642992
0.0,321,34.764881
0.0,752,35.047911
0.0,796,35.346285
100.0,1117,35.774735
0.0,453,35.948587
0.0,688,36.208939
100.0,1381,36.732349
0.0,1664,37.356161
0.0,591,37.581329
0.0,441,37.749422
0.0,511,37.949989
0.0,1020,38.336216
0.0,409,38.490979
0.0,369,38.630054
0.0,362,38.770005
0.0,432,38.935167
0.0,657,39.18218
0.0,671,39.43631
0.0,635,39.677254
0.0,616,39.908421
0.0,401,40.063056
0.0,523,40.259938
0.0,512,40.456645
0.0,468,40.634543
0.0,656,40.883414
0.0,491,41.067792
0.0,489,41.258168
0.0,341,41.387228
0.0,949,41.751295
0.0,397,41.90213
0.0,697,42.16225
0.0,337,42.288053
100.0,1628,42.901805
0.0,862,43.22737
0.0,532,43.434188
0.0,515,43.63514
0.0,408,43.79517
0.0,403,43.952695
0.0,426,44.117205
0.0,437,44.283638
100.0,1071,44.693102
0.0,541,44.900795
0.0,619,45.135547
0.0,882,45.474057
0.0,587,45.694338
0.0,435,45.858648
0.0,589,46.082703
0.0,658,46.334967
0.0,390,46.481745
0.0,549,46.690738
0.0,366,46.835281
0.0,355,46.970093
0.0,675,47.23119
0.0,334,47.363119
0.0,673,47.620666
0.0,769,47.920814
0.0,399,48.072784
0.0,618,48.307377
0.0,667,48.560748
0.0,1457,49.117418
0.0,658,49.370314
0.0,297,49.491472
0.0,360,49.628589
0.0,367,49.768469
0.0,961,50.129596
0.0,431,50.291116
0.0,761,50.576928
0.0,371,50.720958
0.0,661,50.980101
0.0,411,51.134909
0.0,441,51.304727
0.0,313,51.426857
0.0,1299,51.919372
0.0,1003,52.300267
0.0,716,52.570951
0.0,620,52.809065
0.0,481,52.990185
0.0,656,53.238327
0.0,336,53.367946
0.0,1152,53.80289
0.0,403,53.957925
0.0,899,54.297436
0.0,712,54.567943
0.0,820,54.878157
100.0,2131,55.69137
0.0,755,55.982663
0.0,323,56.106543
0.0,756,56.393085
0.0,642,56.6359
0.0,805,56.945142
0.0,847,57.266063
0.0,850,57.589969
0.0,305,57.708055
0.0,594,57.93343
0.0,626,58.170052
0.0,758,58.456955
0.0,939,58.81151
0.0,560,59.021617
0.0,1451,59.570339
0.0,456,59.74598
0.0,840,60.069753
0.0,654,60.323825
0.0,635,60.567116
0.0,1187,61.021189
0.0,339,61.147504
0.0,667,61.403251
0.0,1183,61.854055
0.0,704,62.126586
0.0,468,62.305507
0.0,325,62.432061
0.0,417,62.5939
0.0,1089,63.006985
0.0,685,63.270136
100.0,1301,63.769144
0.0,858,64.099795
0.0,500,64.291179
0.0,389,64.439064
100.0,1088,64.857055
0.0,924,65.205534
100.0,1226,65.667268
0.0,1314,66.162169
0.0,1729,66.816082
0.0,1249,67.29721
0.0,414,67.453658
100.0,1293,67.954531
0.0,610,68.185642
0.0,357,68.323831
300.0,1047,68.726247
0.0,735,69.008028
0.0,499,69.201605
0.0,345,69.337591
0.0,810,69.645749
100.0,788,69.94857
0.0,948,70.307216
0.0,873,70.6403
0.0,581,70.867023
0.0,345,70.997531
0.0,481,71.180202
0.0,550,71.389278
0.0,640,71.638253
0.0,527,71.83842
0.0,384,71.98634
0.0,369,72.125727
0.0,463,72.306729
100.0,1317,72.806909
0.0,984,73.180977
0.0,395,73.332719
0.0,768,73.624813
0.0,677,73.882827
0.0,608,74.115818
0.0,383,74.259597
0.0,421,74.421817
0.0,337,74.550739
0.0,434,74.716943
0.0,736,74.997651
0.0,852,75.322267
0.0,608,75.557967
0.0,305,75.680216
0.0,976,76.04991
0.0,624,76.28598
0.0,380,76.429324
0.0,433,76.59845
0.0,298,76.715543
0.0,929,77.06846
300.0,936,77.430862
0.0,496,77.617382
0.0,449,77.788129
0.0,889,78.124035
0.0,804,78.43181
0.0,593,78.655723
0.0,432,78.821992
0.0,533,79.021341
0.0,562,79.236887
0.0,315,79.355886
0.0,356,79.496222
0.0,956,79.86239
0.0,856,80.189695
0.0,396,80.338948
0.0,836,80.656952
0.0,766,80.949629
0.0,537,81.153029
0.0,860,81.483265
0.0,752,81.768796
0.0,544,81.976001
0.0,689,82.240863
0.0,448,82.41374
0.0,757,82.701545
0.0,479,82.884108
0.0,348,83.015959
0.0,707,83.283671
0.0,733,83.566523
0.0,1144,84.004393
0.0,478,84.186139
0.0,396,84.334613
100.0,753,84.623401
0.0,943,84.9816
0.0,517,85.179602
0.0,349,85.314504
0.0,824,85.62692
0.0,1083,86.033686
0.0,735,86.309479
0.0,383,86.456474
0.0,537,86.661487
0.0,1220,87.118669
0.0,824,87.429248
0.0,2026,88.198054
0.0,756,88.481892
0.0,560,88.697865
0.0,1105,89.116513
0.0,696,89.384056
0.0,1081,89.798788
0.0,397,89.948395
0.0,1278,90.443396
0.0,474,90.624212
0.0,509,90.81842
0.0,516,91.017981
0.0,568,91.239733
0.0,457,91.411907
0.0,387,91.558931
100.0,947,91.927362
0.0,373,92.069423
0.0,470,92.247051
0.0,502,92.43496
0.0,802,92.7356
0.0,844,93.057715
0.0,459,93.237895
0.0,856,93.571517
0.0,440,93.737885
0.0,453,93.908836
0.0,510,94.099128
0.0,945,94.454127
0.0,512,94.648509
100.0,852,94.972872
0.0,307,95.091416
0.0,494,95.279949
0.0,785,95.574806
0.0,793,95.875491
0.0,308,95.994008
0.0,590,96.218272
100.0,1100,96.632109
0.0,700,96.898688
0.0,640,97.145238
0.0,1035,97.538342
0.0,485,97.723833
0.0,640,97.969063
0.0,756,98.256722
0.0,1230,98.725394
0.0,715,98.995928
0.0,1037,99.390791
0.0,1006,99.77825
0.0,837,100.094835
0.0,459,100.269194
0.0,685,100.543526
0.0,533,100.745975
0.0,417,100.901608
100.0,929,101.25834
0.0,565,101.476446
0.0,948,101.838815
0.0,704,102.104386
0.0,1407,102.636779
0.0,305,102.755389
0.0,561,102.973444
0.0,321,103.097244
0.0,746,103.3848
0.0,334,103.519508
0.0,863,103.841686
0.0,462,104.017579
0.0,359,104.156668
0.0,719,104.43385
0.0,682,104.698623
0.0,399,104.848532
300.0,850,105.174222
0.0,927,105.528455
0.0,355,105.663695
0.0,438,105.836399
0.0,469,106.016774
0.0,477,106.195615
200.0,1899,106.926031
0.0,719,107.19564
0.0,492,107.37941
0.0,590,107.603705
0.0,1440,108.152953
0.0,674,111.393026
0.0,463,111.571065
0.0,513,111.768369
0.0,578,111.98926
0.0,384,112.137111
100.0,1215,112.597557
0.0,673,112.852446
0.0,1552,113.43855
100.0,1522,114.010241
0.0,796,114.308665
0.0,657,114.558603
0.0,803,114.861991
0.0,610,115.091336
0.0,685,115.353228
0.0,656,115.60256
0.0,411,115.75985
0.0,1191,116.204468
0.0,492,116.394458
0.0,569,116.609521
0.0,549,116.818435
0.0,864,117.146233
0.0,868,117.475844
0.0,1060,117.881063
0.0,569,118.099067
0.0,479,118.281073
0.0,581,118.501808
0.0,475,118.680651
100.0,976,119.047259
0.0,377,119.192145
0.0,835,119.517521
0.0,361,119.653251
100.0,1221,120.1185
0.0,465,120.296038
100.0,2096,121.085642
0.0,531,121.289078
0.0,698,121.55307
0.0,868,121.87875
0.0,329,122.004116
0.0,723,122.274664
0.0,607,122.50457
0.0,851,122.827651
0.0,433,122.990388
0.0,444,123.158729
0.0,1012,123.546357
100.0,1363,124.062407
0.0,852,124.387648
0.0,340,124.520591
0.0,1534,125.099922
0.0,337,125.229973
0.0,1053,125.626604
0.0,437,125.793769
0.0,1924,126.534946
0.0,528,126.734755
0.0,689,126.995752
0.0,473,127.173259
0.0,542,127.377935
0.0,1169,127.828278
0.0,719,128.100854
0.0,512,128.297085
100.0,881,128.634836
0.0,956,128.998589
0.0,440,129.162968
0.0,654,129.411604
0.0,561,129.62867
0.0,593,129.85877
0.0,722,130.133024
0.0,510,130.325536
100.0,1687,130.967311
0.0,964,131.333584
0.0,1045,131.728693
0.0,676,131.98671
0.0,357,132.121883
0.0,861,132.451598
1000.0,2112,133.253923
0.0,353,133.388652
0.0,441,133.557754
0.0,649,133.805871
200.0,2243,134.655935
0.0,415,134.811089
0.0,810,135.121948
400.0,1355,135.637323
0.0,489,135.822666
0.0,1337,136.332479
0.0,468,136.508619
0.0,483,136.69123
0.0,731,136.968606
0.0,625,137.20754
0.0,712,137.480211
0.0,803,137.782825
0.0,555,137.995061
100.0,1536,138.586189
0.0,992,138.967025
0.0,350,139.09806
0.0,479,139.280067
0.0,724,139.554844
0.0,1172,139.999731
0.0,297,140.116305
0.0,552,140.324048
0.0,612,140.556596
0.0,421,140.718381
0.0,417,140.876861
0.0,1109,141.291941
100.0,1503,141.862514
0.0,959,142.223923
100.0,1530,142.808924
0.0,397,142.959582
0.0,497,143.145913
0.0,1017,143.531289
0.0,401,143.681752
0.0,330,143.80743
0.0,609,144.038733
0.0,580,144.259596
0.0,478,144.444021
0.0,347,144.576717
0.0,442,144.747056
0.0,367,144.883374
0.0,673,145.138387
600.0,1594,145.742111
0.0,445,145.914605
0.0,655,146.16665
0.0,707,146.434725
0.0,611,146.664032
0.0,404,146.818232
0.0,500,147.005548
0.0,648,147.253581
0.0,340,147.380371
0.0,533,147.58263
0.0,671,147.833507
0.0,925,148.187245
0.0,630,148.429436
0.0,602,148.660671
0.0,345,148.792655
0.0,637,149.036305
0.0,514,149.229999
0.0,609,149.465713
0.0,694,149.727338
100.0,1417,150.269455
0.0,482,150.450994
0.0,621,150.68672
0.0,336,150.812154
0.0,644,151.058461
0.0,871,151.388207
100.0,1944,152.120054
100.0,1429,152.663628
0.0,504,152.856863
0.0,287,152.967496
0.0,499,153.158482
0.0,906,153.499683
0.0,325,153.623656
0.0,847,153.940938
0.0,750,154.22123
0.0,798,154.522739
100.0,896,154.863706
100.0,981,155.236201
0.0,1026,155.621839
0.0,328,155.745203
0.0,482,155.927913
0.0,429,156.089045
0.0,690,156.348255
0.0,771,156.639085
0.0,431,156.799769
0.0,729,157.075096
0.0,921,157.420074
0.0,473,157.596708
0.0,784,157.889365
0.0,648,158.13482
0.0,525,158.335824
0.0,423,158.495723
0.0,514,158.689402
0.0,1041,159.083273
0.0,689,159.345465
0.0,574,159.561436
0.0,393,159.710583
0.0,669,159.963908
0.0,789,160.265378
0.0,541,160.471447
0.0,812,160.778969
0.0,609,161.00763
0.0,1024,161.394029
0.0,645,161.638739
0.0,478,161.81766
0.0,594,162.042505
0.0,652,162.289213
0.0,691,162.550659
0.0,545,162.75795
0.0,675,163.013999
0.0,585,163.241052
0.0,593,163.463906
0.0,709,163.731697
0.0,815,164.043452
0.0,388,164.191252
0.0,330,164.317669
0.0,756,164.611248
0.0,311,164.730473
0.0,322,164.850818
0.0,528,165.049409
0.0,362,165.186528
0.0,660,165.435499
0.0,561,165.645698
0.0,867,165.971116
0.0,618,166.204087
0.0,560,166.415666
0.0,989,166.792448
0.0,657,167.044116
0.0,428,167.20578
0.0,495,167.397331
0.0,426,167.562263
0.0,348,167.69464
0.0,332,167.821008
0.0,401,167.974023
0.0,767,168.264637
0.0,977,168.63336
0.0,585,168.854922
0.0,600,169.08192
0.0,462,169.261515
0.0,555,169.474775
0.0,399,169.629
0.0,404,169.785336
0.0,322,169.907778
0.0,376,170.051969
0.0,625,170.288151
0.0,409,170.441597
300.0,2002,171.193731
0.0,1009,171.575134
0.0,316,171.694687
0.0,930,172.04652
0.0,586,172.265965
0.0,418,172.42248
0.0,427,172.583372
0.0,1055,172.982375
0.0,650,173.225305
0.0,593,173.450371
0.0,318,173.57202
0.0,329,173.699353
0.0,578,173.919996
0.0,807,174.223313
0.0,909,174.571789
0.0,845,174.888187
0.0,428,175.047458
0.0,523,175.249022
0.0,523,175.452901
0.0,336,175.577353
0.0,499,175.767641
0.0,514,175.96368
0.0,484,176.151254
0.0,946,176.505388
0.0,987,176.883471
0.0,601,177.113564
0.0,514,177.308967
0.0,1655,177.931551
100.0,1587,178.526891
0.0,387,178.674405
0.0,612,178.902738
0.0,481,179.083779
0.0,962,179.448273
0.0,512,179.642684
0.0,769,179.932308
0.0,866,180.26226
0.0,509,180.455035
0.0,841,180.77675
0.0,453,180.949433
0.0,655,181.197973
0.0,850,181.519885
0.0,664,181.767641
0.0,1002,182.149148
0.0,626,182.386232
0.0,502,182.578207
100.0,1445,183.126031
0.0,560,183.34055
0.0,576,183.559166
0.0,693,183.822809
600.0,2297,184.686789
0.0,686,184.94199
0.0,497,185.130856
0.0,556,185.340482
0.0,472,185.518715
0.0,655,185.765124
0.0,456,185.938377
0.0,570,186.153902
0.0,367,186.292337
0.0,420,186.450527
0.0,469,186.62875
0.0,420,186.785455
0.0,536,186.988902
0.0,969,187.348771
0.0,1064,187.745845
0.0,563,187.956963
0.0,605,188.183486
0.0,783,188.48005
0.0,419,188.639702
0.0,334,188.765932
0.0,332,188.892506
0.0,995,189.267555
0.0,416,189.424254
0.0,651,189.670007
0.0,706,189.934554
0.0,600,190.165232
0.0,641,190.410101
200.0,1323,190.913738
0.0,610,191.146432
0.0,320,191.26819
0.0,667,191.517789
0.0,321,191.638467
0.0,415,191.797795
100.0,915,192.143619
0.0,850,194.883491
0.0,446,195.383038
0.0,388,195.834193
100.0,1874,198.009991
0.0,786,198.922407
0.0,515,199.523221
0.0,1123,200.844715
0.0,791,201.772914
0.0,845,202.75816
0.0,903,203.808552
0.0,585,204.48931
200.0,1416,206.142215
0.0,1549,207.972214
0.0,434,208.471936
0.0,341,208.854432
100.0,944,209.963343
0.0,319,210.316911
0.0,657,211.084582
0.0,553,211.728637
0.0,1087,213.00097
0.0,817,213.942979
0.0,482,214.491455
0.0,1084,215.753757
0.0,915,216.820604
0.0,362,217.221944
0.0,623,217.952965
0.0,356,218.355826
100.0,1023,219.560328
0.0,485,220.117758
0.0,781,221.023363
0.0,521,221.611878
0.0,464,222.13133
0.0,701,222.946488
0.0,450,223.456153
0.0,916,224.526167
0.0,768,225.417186
0.0,491,225.985464
0.0,705,226.819887
0.0,957,227.948349
0.0,330,228.315203
0.0,392,228.769991
0.0,433,229.258956
0.0,799,230.179903
0.0,853,231.163185
0.0,765,232.048538
0.0,1553,233.865906
100.0,1573,235.727164
0.0,385,236.163798
0.0,798,237.091021
0.0,411,237.550137
0.0,549,238.191881
0.0,354,238.586757
0.0,561,239.232927
400.0,1603,241.087914
0.0,1410,242.716788
0.0,833,243.69295
0.0,537,244.303141
100.0,1251,245.787205
0.0,485,246.339932
0.0,1000,247.495585
0.0,654,248.26672
0.0,325,248.628389
0.0,1214,250.053892
0.0,760,250.924915
0.0,613,251.632173
0.0,544,252.260206
0.0,1204,253.655317
0.0,361,254.05901
100.0,961,255.196356
0.0,362,255.610945
0.0,341,256.006566
0.0,761,256.888778
100.0,1744,258.945039
0.0,565,259.599603
0.0,1027,260.807804
100.0,1669,262.770764
0.0,490,263.338017
0.0,466,263.873724
0.0,342,264.249581
0.0,665,265.016105
0.0,368,265.431096
