#{"t_start": 1615214788.0804117, "env_id": "SeaquestNoFrameskip-v4"}
r,l,t
80.0,2001,24.663274
0.0,1417,25.155152
0.0,1406,25.669431
40.0,1629,26.237412
180.0,3082,27.318987
60.0,1669,27.905196
60.0,1705,28.501175
20.0,1405,28.987589
40.0,1722,29.58309
80.0,1945,30.260923
180.0,2961,31.301058
100.0,2050,32.012754
80.0,2309,32.818298
120.0,1829,33.455266
320.0,3686,34.768759
20.0,1505,35.286239
20.0,1606,35.847087
0.0,1521,36.373609
40.0,1682,36.957187
120.0,2066,37.699259
20.0,1786,38.329559
100.0,2250,39.132523
40.0,1554,39.692019
40.0,1713,40.298133
60.0,1754,40.904151
100.0,2670,41.832551
100.0,2046,42.539148
40.0,2062,43.25287
220.0,3201,44.380363
60.0,1534,44.914148
20.0,1365,45.382081
20.0,1390,45.864119
0.0,1614,46.423883
60.0,1946,47.099669
140.0,2946,48.130211
40.0,1842,48.839549
200.0,3277,50.222705
20.0,1814,50.95002
220.0,3233,52.221454
40.0,1878,52.920066
20.0,1726,53.556063
160.0,2562,54.535906
140.0,2622,55.529418
20.0,1646,56.130769
80.0,1942,56.851458
120.0,2789,57.888451
120.0,2458,58.778976
120.0,2406,59.718685
120.0,2370,60.69131
160.0,2801,61.762715
120.0,2153,62.587179
60.0,1870,63.303778
60.0,1802,63.997347
40.0,1706,64.649138
100.0,2218,65.497084
40.0,1878,66.223714
40.0,1665,66.917289
80.0,2442,67.920859
0.0,1366,68.443371
200.0,3729,69.818294
100.0,2333,70.655831
60.0,1950,71.354959
20.0,2049,72.090127
200.0,3702,73.463483
40.0,1934,74.178401
120.0,3205,75.372961
20.0,1470,75.911248
140.0,2530,76.8158
100.0,2038,77.5319
60.0,1818,78.171676
40.0,1630,78.750923
60.0,1953,79.445104
20.0,1477,79.963435
80.0,2666,80.898994
20.0,1250,81.336892
120.0,2842,82.33941
0.0,1429,82.83766
60.0,2006,83.540858
100.0,2169,84.296185
40.0,1638,84.859325
20.0,1502,85.382418
0.0,1505,85.903768
0.0,1410,86.391781
120.0,2753,87.359382
80.0,2073,88.084069
80.0,1998,88.776407
20.0,2254,89.55844
200.0,2858,90.552237
20.0,1766,91.166097
60.0,1965,91.854232
40.0,1853,92.497533
80.0,2562,93.391294
140.0,2426,94.237831
100.0,2009,94.933285
140.0,3149,96.032895
160.0,2673,96.962323
80.0,1790,97.582204
180.0,2866,107.621618
40.0,1493,108.150007
260.0,4053,109.577753
200.0,3857,110.927825
140.0,2610,111.840678
0.0,1438,112.340703
60.0,1594,112.889611
100.0,1958,113.660744
40.0,2246,114.585424
120.0,2674,115.679441
40.0,1553,116.28895
80.0,2373,117.207119
180.0,3133,118.40947
60.0,1890,119.137565
120.0,2782,120.28678
60.0,1461,120.861541
80.0,1870,121.597109
20.0,1790,122.276055
160.0,2478,123.196332
20.0,1610,123.792027
0.0,1378,124.296167
60.0,2013,125.023528
60.0,1810,125.671317
180.0,2910,126.788763
20.0,1810,127.55208
60.0,1809,128.30443
0.0,1265,128.779683
40.0,1561,129.382608
80.0,2189,130.21053
80.0,2078,131.060776
80.0,1749,131.777404
40.0,1670,132.423779
60.0,1490,132.966687
120.0,2386,133.841759
20.0,1506,134.376409
80.0,2038,135.115003
120.0,2654,136.071129
140.0,2526,136.967304
180.0,2574,137.895556
