#{"t_start": 1614641279.4518118, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
125.0,2545,4.854639
120.0,2071,5.711647
165.0,2467,6.728065
245.0,3397,8.112938
45.0,1195,8.605247
120.0,2039,9.44555
110.0,1679,10.137007
110.0,2109,11.007945
50.0,1191,11.501357
290.0,2953,12.707301
105.0,2033,13.544258
45.0,1583,14.201073
195.0,3811,15.753158
135.0,2919,16.951615
460.0,3897,18.53768
140.0,2099,19.400551
140.0,1911,20.188815
395.0,3929,30.130122
100.0,1545,30.769814
180.0,1901,31.552658
370.0,3373,32.930926
70.0,1519,33.552521
110.0,2057,34.403758
135.0,1901,35.179631
135.0,1855,35.943179
180.0,2183,36.829334
600.0,3975,38.427933
180.0,2303,39.364951
300.0,2503,40.381461
240.0,4770,42.294007
155.0,1937,43.088181
50.0,1217,43.58657
90.0,2019,44.422248
110.0,2271,45.354897
265.0,2583,54.779572
225.0,2233,55.688472
105.0,1947,56.483709
330.0,4225,58.179545
80.0,1427,58.766622
135.0,2201,59.664712
55.0,1169,60.143521
460.0,3768,61.662273
260.0,2885,62.826378
160.0,2303,63.760693
160.0,2261,64.686406
390.0,2938,65.880561
225.0,2563,66.92418
135.0,1955,67.755447
30.0,1363,68.330884
120.0,2235,69.288351
80.0,1199,69.781948
80.0,1163,70.258273
55.0,1531,79.053393
60.0,1207,79.552546
15.0,1347,80.10448
210.0,2641,81.180897
210.0,1999,81.995598
425.0,2717,83.098449
70.0,1609,83.759505
210.0,2499,84.777416
75.0,1123,85.238951
150.0,1943,86.034542
60.0,1691,86.730498
205.0,2343,87.683357
155.0,1675,88.362921
225.0,2787,89.489145
210.0,2093,90.341812
135.0,1205,90.836686
140.0,1629,91.498615
20.0,1901,92.278764
60.0,1109,92.73434
90.0,1851,93.49276
80.0,1161,93.970037
135.0,1759,94.688615
125.0,2091,103.492696
180.0,1813,104.232212
45.0,1675,104.920485
380.0,2869,106.089707
110.0,1985,106.903524
140.0,2295,107.839287
240.0,2829,108.982198
200.0,2647,110.063776
30.0,1321,110.611444
180.0,1901,111.387598
75.0,1541,112.022281
135.0,1247,112.532431
210.0,4481,114.322594
40.0,1843,115.078384
80.0,1185,115.562622
210.0,2421,116.544657
15.0,1733,117.256366
135.0,1497,117.868666
485.0,3472,119.270279
65.0,2121,128.663227
180.0,1851,129.414847
30.0,1213,129.913981
155.0,2135,130.786393
260.0,3001,132.002009
120.0,1833,132.753012
35.0,1215,133.254838
385.0,3375,134.627453
5.0,1185,135.113891
105.0,1915,135.901156
110.0,1569,136.547292
155.0,2739,137.670595
240.0,3381,139.043694
80.0,1509,139.662621
155.0,1917,140.448523
160.0,1875,141.213033
300.0,3201,142.499796
125.0,1683,143.189898
110.0,1945,143.986825
105.0,1593,144.637501
820.0,3584,153.914996
15.0,1307,154.450515
70.0,1189,154.939798
460.0,3305,156.275298
515.0,4012,157.895665
120.0,2019,158.720232
145.0,1837,159.470279
150.0,1927,160.258957
140.0,1853,161.014937
70.0,1569,161.661802
65.0,1273,162.185099
105.0,1873,162.956018
120.0,2091,163.814345
110.0,1495,164.426151
225.0,3913,165.999168
105.0,1845,166.757906
155.0,2031,167.590636
120.0,2363,168.555528
90.0,1913,169.336554
70.0,1525,178.827288
90.0,1651,179.505266
80.0,1259,180.020411
90.0,1839,180.776368
50.0,1473,181.379296
80.0,1591,182.03417
45.0,1513,182.65245
105.0,1851,183.408114
80.0,2185,184.301717
45.0,1665,184.985383
180.0,2251,185.910607
290.0,3209,187.219581
110.0,1991,188.034244
45.0,1749,188.754921
55.0,1135,189.22028
110.0,1515,189.838169
105.0,2271,190.762706
125.0,2387,191.737145
80.0,1847,192.494424
240.0,2769,193.609765
100.0,1833,194.360948
210.0,2425,195.345106
130.0,1989,205.301939
180.0,1939,206.092714
135.0,1535,206.720889
110.0,2017,207.544738
105.0,1991,208.361147
135.0,2101,209.218924
85.0,2099,210.080819
80.0,1471,210.684949
410.0,3425,212.076069
65.0,1611,212.738333
150.0,3589,214.192539
150.0,2019,215.02255
135.0,2049,215.865499
85.0,1471,216.47369
185.0,3005,217.698491
90.0,1177,218.185363
65.0,1759,218.905728
265.0,3815,220.449037
170.0,2461,230.726724
75.0,1179,231.210132
180.0,2435,232.203894
20.0,1203,232.694302
90.0,1397,233.264571
215.0,3007,234.489018
75.0,1995,235.314476
45.0,1213,235.81777
55.0,1495,236.433355
50.0,1615,237.095932
155.0,2115,237.970368
335.0,2331,238.925241
210.0,1929,239.73547
60.0,1059,240.179265
15.0,1013,240.59636
90.0,1823,241.348301
120.0,2395,242.333625
170.0,2849,243.503346
80.0,2051,244.343255
180.0,1873,245.106327
160.0,2295,246.042185
75.0,1559,246.677886
135.0,1913,257.079663
275.0,2719,259.285222
75.0,1539,260.537319
110.0,1829,262.016944
245.0,2697,264.182873
135.0,1915,265.734383
60.0,1161,266.671744
50.0,1239,267.672307
120.0,2303,269.524457
60.0,1179,270.482048
80.0,1155,271.427059
95.0,1893,272.978327
100.0,1199,273.949379
120.0,1265,274.964137
115.0,2623,277.129575
140.0,2201,278.899186
105.0,2087,280.587193
225.0,2311,282.455719
105.0,1885,284.013577
180.0,1821,285.503883
155.0,1923,287.085549
100.0,1639,288.41179
120.0,2369,299.659931
60.0,1865,301.165249
100.0,1139,302.07653
360.0,3059,304.546877
130.0,2029,306.219798
20.0,1617,307.553736
80.0,2371,309.500779
55.0,1661,310.846818
155.0,2045,312.507044
480.0,2767,314.781096
100.0,1521,316.000707
80.0,1829,317.510874
165.0,1745,318.983589
260.0,3083,321.527261
400.0,3989,324.772999
40.0,1243,325.767663
200.0,3051,328.269112
105.0,2149,330.024191
135.0,1643,331.359385
255.0,2781,342.17893
165.0,2149,343.953657
120.0,1915,345.487274
45.0,1439,346.636109
310.0,3137,349.238601
165.0,2379,351.190968
125.0,2287,353.085777
115.0,2627,355.262569
20.0,1169,356.229984
105.0,1881,357.749474
120.0,2107,359.482231
55.0,1505,360.710208
