#{"t_start": 1615664131.8355322, "env_id": "FetchPickAndPlace-v1"}
r,l,t,is_success
-50.0,50,2.750931,0.0
-50.0,50,2.814714,0.0
-50.0,50,4.415051,0.0
-50.0,50,6.062576,0.0
-50.0,50,7.866268,0.0
-50.0,50,9.472663,0.0
-50.0,50,11.243356,0.0
-50.0,50,12.821763,0.0
-50.0,50,14.541852,0.0
-50.0,50,16.339237,0.0
-50.0,50,18.41177,0.0
-50.0,50,20.176951,0.0
-50.0,50,21.885896,0.0
-50.0,50,23.61182,0.0
0.0,50,25.27595,1.0
-50.0,50,26.83104,0.0
-50.0,50,28.609326,0.0
-50.0,50,30.367218,0.0
-50.0,50,32.045448,0.0
-50.0,50,33.778164,0.0
-50.0,50,35.435126,0.0
-50.0,50,37.13505,0.0
-50.0,50,38.901702,0.0
-50.0,50,40.642476,0.0
-50.0,50,42.371186,0.0
-50.0,50,44.109076,0.0
-50.0,50,45.849908,0.0
-50.0,50,47.601204,0.0
-50.0,50,49.350146,0.0
-50.0,50,51.094683,0.0
-50.0,50,52.691411,0.0
-50.0,50,54.463262,0.0
-50.0,50,56.216739,0.0
-50.0,50,57.946842,0.0
-50.0,50,59.671643,0.0
-50.0,50,61.431545,0.0
-50.0,50,63.179325,0.0
-50.0,50,64.91785,0.0
-50.0,50,66.670345,0.0
-50.0,50,68.419034,0.0
-50.0,50,70.175412,0.0
-50.0,50,71.928105,0.0
-50.0,50,73.670317,0.0
-50.0,50,75.423312,0.0
-50.0,50,77.162762,0.0
-50.0,50,78.853644,0.0
-50.0,50,80.542626,0.0
-50.0,50,82.280545,0.0
-50.0,50,84.039769,0.0
-50.0,50,86.269648,0.0
-50.0,50,88.081796,0.0
-50.0,50,89.826423,0.0
-50.0,50,91.573918,0.0
-50.0,50,93.318837,0.0
-50.0,50,95.063175,0.0
-50.0,50,96.802151,0.0
-50.0,50,98.56636,0.0
-50.0,50,100.288325,0.0
-50.0,50,101.973918,0.0
-50.0,50,103.72728,0.0
-50.0,50,105.543171,0.0
-28.0,50,107.223733,0.0
-50.0,50,108.999187,0.0
-50.0,50,110.560441,0.0
-50.0,50,112.045148,0.0
-50.0,50,113.503039,0.0
-50.0,50,114.979813,0.0
-50.0,50,116.669487,0.0
-50.0,50,118.31361,0.0
-50.0,50,120.058114,0.0
-50.0,50,121.781651,0.0
-50.0,50,123.666008,0.0
-50.0,50,125.354866,0.0
-50.0,50,127.075581,0.0
-50.0,50,128.759822,0.0
-50.0,50,130.434947,0.0
-50.0,50,132.022629,0.0
-50.0,50,133.54722,0.0
-50.0,50,135.218027,0.0
-50.0,50,136.652959,0.0
-50.0,50,138.334008,0.0
-50.0,50,139.930816,0.0
-50.0,50,141.50197,0.0
-50.0,50,143.248536,0.0
-50.0,50,144.9254,0.0
-50.0,50,146.6017,0.0
-50.0,50,148.340134,0.0
-50.0,50,150.087731,0.0
-50.0,50,151.839589,0.0
-50.0,50,153.466478,0.0
-50.0,50,155.019924,0.0
-50.0,50,156.614747,0.0
-34.0,50,158.297744,0.0
-50.0,50,159.90837,0.0
-50.0,50,161.577449,0.0
-50.0,50,163.20026,0.0
-50.0,50,164.842482,0.0
-50.0,50,166.436449,0.0
-50.0,50,168.108142,0.0
-50.0,50,169.605767,0.0
-50.0,50,171.298843,0.0
-50.0,50,173.185006,0.0
0.0,50,174.927572,1.0
-50.0,50,176.606445,0.0
-50.0,50,178.33424,0.0
-50.0,50,180.094051,0.0
-50.0,50,181.848773,0.0
-50.0,50,183.605041,0.0
-50.0,50,185.34872,0.0
-50.0,50,187.078341,0.0
-50.0,50,188.830106,0.0
-49.0,50,190.574822,0.0
-30.0,50,192.305169,0.0
-36.0,50,194.057039,0.0
-50.0,50,195.820081,0.0
-50.0,50,197.588267,0.0
-50.0,50,199.350195,0.0
-50.0,50,201.099506,0.0
-50.0,50,202.867514,0.0
-50.0,50,204.62063,0.0
-50.0,50,206.357898,0.0
-50.0,50,208.119878,0.0
-50.0,50,209.867036,0.0
-50.0,50,211.622224,0.0
-50.0,50,213.167937,0.0
-50.0,50,214.709312,0.0
-48.0,50,216.27347,0.0
-50.0,50,217.626367,0.0
-50.0,50,219.136281,0.0
-50.0,50,220.800887,0.0
-50.0,50,222.413455,0.0
-50.0,50,224.026903,0.0
-50.0,50,225.656848,0.0
-50.0,50,227.163652,0.0
-50.0,50,228.671219,0.0
-50.0,50,230.333919,0.0
-50.0,50,232.100034,0.0
-50.0,50,233.841821,0.0
-50.0,50,235.590524,0.0
-50.0,50,237.276366,0.0
-50.0,50,238.987341,0.0
-50.0,50,240.657152,0.0
-50.0,50,242.353963,0.0
-50.0,50,244.129347,0.0
-50.0,50,245.865347,0.0
-50.0,50,247.622679,0.0
-50.0,50,249.191466,0.0
-50.0,50,250.947086,0.0
-50.0,50,252.682542,0.0
-50.0,50,254.383016,0.0
-50.0,50,256.012236,0.0
-50.0,50,257.613388,0.0
-50.0,50,259.24808,0.0
-50.0,50,260.939987,0.0
-50.0,50,262.5346,0.0
-50.0,50,264.313464,0.0
-50.0,50,265.986469,0.0
-50.0,50,267.728912,0.0
-50.0,50,269.480631,0.0
-50.0,50,271.334217,0.0
-50.0,50,273.058246,0.0
-50.0,50,274.874416,0.0
-50.0,50,276.559956,0.0
-50.0,50,278.324517,0.0
-50.0,50,280.069022,0.0
-50.0,50,281.911601,0.0
-50.0,50,283.767724,0.0
-50.0,50,285.780612,0.0
-46.0,50,287.58933,0.0
-50.0,50,289.391126,0.0
-50.0,50,291.102715,0.0
-50.0,50,292.737408,0.0
-50.0,50,294.28503,0.0
-50.0,50,295.87702,0.0
-50.0,50,297.58964,0.0
-50.0,50,299.546334,0.0
-50.0,50,301.451156,0.0
-50.0,50,303.118423,0.0
-50.0,50,304.692677,0.0
-50.0,50,306.179479,0.0
-50.0,50,307.606189,0.0
-50.0,50,309.174356,0.0
-44.0,50,310.912514,1.0
-50.0,50,312.65492,0.0
-50.0,50,314.405823,0.0
-50.0,50,316.151313,0.0
-50.0,50,317.918778,0.0
-50.0,50,319.645006,0.0
-50.0,50,321.400888,0.0
-50.0,50,323.110229,0.0
-50.0,50,324.881919,0.0
-50.0,50,326.669794,0.0
-50.0,50,328.461636,0.0
-50.0,50,330.231178,0.0
-47.0,50,332.024862,0.0
-50.0,50,333.803638,0.0
-50.0,50,335.710657,0.0
0.0,50,337.476825,1.0
-48.0,50,339.263883,0.0
-50.0,50,341.065211,0.0
-50.0,50,344.039636,0.0
-50.0,50,345.781883,0.0
-50.0,50,347.519159,0.0
-50.0,50,349.330574,0.0
-50.0,50,350.750653,0.0
-50.0,50,352.350066,0.0
-50.0,50,354.113366,0.0
-50.0,50,355.889497,0.0
-48.0,50,357.540207,0.0
-50.0,50,359.196046,0.0
-50.0,50,360.465036,0.0
-50.0,50,362.228016,0.0
-50.0,50,363.766771,0.0
-50.0,50,365.294564,0.0
-50.0,50,366.742,0.0
-50.0,50,368.10934,0.0
-50.0,50,369.618324,0.0
-50.0,50,371.053988,0.0
-50.0,50,372.685942,0.0
-50.0,50,374.46362,0.0
-50.0,50,376.139632,0.0
-50.0,50,377.84919,0.0
-50.0,50,379.480698,0.0
-50.0,50,381.217374,0.0
-50.0,50,382.852056,0.0
-50.0,50,384.587001,0.0
-50.0,50,386.316772,0.0
-50.0,50,388.057992,0.0
-50.0,50,389.824399,0.0
-50.0,50,391.538004,0.0
-50.0,50,393.164734,0.0
-50.0,50,394.801925,0.0
-50.0,50,396.489767,0.0
-50.0,50,398.16344,0.0
-50.0,50,399.879566,0.0
-11.0,50,401.330886,1.0
-50.0,50,402.878762,0.0
-50.0,50,404.569806,0.0
-50.0,50,406.125258,0.0
-50.0,50,407.619724,0.0
-50.0,50,409.204981,0.0
-50.0,50,410.827722,0.0
-50.0,50,412.624715,0.0
-50.0,50,414.458531,0.0
-50.0,50,416.176069,0.0
-41.0,50,417.888932,0.0
-50.0,50,419.593642,0.0
-50.0,50,421.254864,0.0
-50.0,50,422.995685,0.0
-50.0,50,424.628509,0.0
-50.0,50,426.325784,0.0
-50.0,50,428.222971,0.0
-50.0,50,429.917526,0.0
-50.0,50,431.623015,0.0
-45.0,50,433.290343,0.0
-50.0,50,435.162266,0.0
-50.0,50,437.107406,0.0
-50.0,50,438.958208,0.0
-50.0,50,440.691717,0.0
-50.0,50,442.459942,0.0
-12.0,50,444.246235,1.0
0.0,50,445.98939,1.0
-50.0,50,447.747422,0.0
-50.0,50,449.495425,0.0
-50.0,50,451.138961,0.0
-50.0,50,452.786091,0.0
-50.0,50,454.526609,0.0
-50.0,50,456.210534,0.0
-50.0,50,457.93818,0.0
-50.0,50,459.654127,0.0
-50.0,50,461.105387,0.0
-50.0,50,462.583421,0.0
-50.0,50,464.319623,0.0
-50.0,50,466.173335,0.0
-50.0,50,467.740928,0.0
-50.0,50,469.561208,0.0
-50.0,50,471.409853,0.0
-50.0,50,473.065409,0.0
-50.0,50,474.810119,0.0
-50.0,50,476.552929,0.0
-50.0,50,478.477454,0.0
-50.0,50,480.214565,0.0
-50.0,50,481.960543,0.0
-50.0,50,483.735345,0.0
-50.0,50,485.632601,0.0
-50.0,50,487.527316,0.0
-50.0,50,489.268698,0.0
-50.0,50,491.609573,0.0
-50.0,50,493.766145,0.0
-50.0,50,495.541887,0.0
-50.0,50,497.21915,0.0
-50.0,50,498.91288,0.0
-50.0,50,500.636631,0.0
-50.0,50,502.401408,0.0
-50.0,50,504.087688,0.0
-50.0,50,505.78345,0.0
-50.0,50,507.366796,0.0
-50.0,50,508.985497,0.0
-50.0,50,510.649979,0.0
-50.0,50,512.24796,0.0
0.0,50,513.885514,1.0
-50.0,50,515.54275,0.0
-50.0,50,517.177274,0.0
-50.0,50,518.91108,0.0
