#{"t_start": 1615664131.843369, "env_id": "FetchPush-v1"}
r,l,t,is_success
-50.0,50,2.770625,0.0
-50.0,50,2.840699,0.0
-50.0,50,4.465969,0.0
-50.0,50,6.212763,0.0
-50.0,50,7.986109,0.0
-50.0,50,9.93929,0.0
0.0,50,11.682767,1.0
-50.0,50,13.573778,0.0
-50.0,50,15.330347,0.0
-50.0,50,17.302694,0.0
-50.0,50,19.017876,0.0
-50.0,50,20.737719,0.0
-50.0,50,22.50981,0.0
-50.0,50,24.508543,0.0
0.0,50,26.854212,1.0
-50.0,50,28.60818,0.0
-50.0,50,30.314188,0.0
-50.0,50,32.149872,0.0
-50.0,50,33.984111,0.0
-50.0,50,35.862688,0.0
-50.0,50,37.72206,0.0
-50.0,50,39.460262,0.0
-50.0,50,41.217086,0.0
-50.0,50,42.935403,0.0
-50.0,50,44.688819,0.0
-50.0,50,46.444505,0.0
-50.0,50,48.195203,0.0
-50.0,50,49.947645,0.0
-50.0,50,51.61047,0.0
-50.0,50,53.282294,0.0
-50.0,50,55.071047,0.0
-50.0,50,56.839705,0.0
-50.0,50,58.587977,0.0
-50.0,50,60.318111,0.0
-50.0,50,62.081168,0.0
-50.0,50,63.828022,0.0
-50.0,50,65.584138,0.0
-50.0,50,67.334423,0.0
-50.0,50,69.086048,0.0
-50.0,50,70.840776,0.0
-50.0,50,72.588895,0.0
-50.0,50,74.334962,0.0
-50.0,50,76.089992,0.0
-50.0,50,77.926121,0.0
-50.0,50,80.25898,0.0
-50.0,50,82.009287,0.0
-50.0,50,83.772736,0.0
-50.0,50,85.50057,0.0
-50.0,50,87.224465,0.0
-50.0,50,88.972655,0.0
-50.0,50,90.718832,0.0
-50.0,50,92.464657,0.0
-50.0,50,94.208463,0.0
-50.0,50,95.96066,0.0
-50.0,50,97.726094,0.0
-50.0,50,99.514435,0.0
-50.0,50,101.736189,0.0
-50.0,50,103.495779,0.0
-50.0,50,105.336401,0.0
-50.0,50,107.119487,0.0
-50.0,50,108.856035,0.0
-50.0,50,110.511634,0.0
0.0,50,112.138869,1.0
-50.0,50,113.977298,0.0
-50.0,50,115.816826,0.0
-50.0,50,117.609538,0.0
-50.0,50,119.390519,0.0
-50.0,50,121.166635,0.0
-50.0,50,122.921389,0.0
-50.0,50,124.675024,0.0
-50.0,50,126.423344,0.0
-50.0,50,128.249712,0.0
-50.0,50,130.030113,0.0
-50.0,50,131.839742,0.0
-50.0,50,133.74432,0.0
-50.0,50,135.747309,0.0
-50.0,50,137.729758,0.0
-50.0,50,139.541281,0.0
-50.0,50,141.405802,0.0
-50.0,50,143.16596,0.0
-50.0,50,144.969783,0.0
-50.0,50,146.819759,0.0
-50.0,50,148.686529,0.0
0.0,50,150.438195,1.0
-50.0,50,152.20396,0.0
-50.0,50,154.469799,0.0
-50.0,50,156.103949,0.0
-50.0,50,157.772616,0.0
-50.0,50,159.451936,0.0
-50.0,50,161.22826,0.0
-50.0,50,163.146286,0.0
-50.0,50,164.955671,0.0
-50.0,50,166.686969,0.0
-50.0,50,168.642378,0.0
-50.0,50,170.792167,0.0
-50.0,50,172.604817,0.0
-50.0,50,174.373639,0.0
0.0,50,176.449563,1.0
-50.0,50,178.24842,0.0
-50.0,50,180.006773,0.0
-50.0,50,181.762435,0.0
-50.0,50,183.517001,0.0
-50.0,50,185.287876,0.0
-50.0,50,187.058558,0.0
-50.0,50,188.814018,0.0
-50.0,50,190.555887,0.0
-50.0,50,192.269846,0.0
-50.0,50,194.023729,0.0
-50.0,50,195.774148,0.0
-50.0,50,197.517674,0.0
-50.0,50,199.271995,0.0
-50.0,50,201.023488,0.0
-50.0,50,202.761195,0.0
-50.0,50,204.51472,0.0
-50.0,50,206.266484,0.0
-50.0,50,208.040048,0.0
-50.0,50,209.803392,0.0
-50.0,50,211.558364,0.0
