#{"t_start": 1615664131.8159394, "env_id": "FetchReach-v1"}
r,l,t,is_success
-50.0,50,2.787148,0.0
-50.0,50,2.861593,0.0
-47.0,50,2.949651,0.0
-49.0,50,3.037063,0.0
-50.0,50,3.13167,0.0
-50.0,50,3.220473,0.0
-50.0,50,3.309364,0.0
-42.0,50,3.400889,0.0
-50.0,50,3.495299,0.0
-47.0,50,3.584794,0.0
-50.0,50,3.676506,0.0
-50.0,50,3.766872,0.0
-50.0,50,3.863277,0.0
-50.0,50,3.95354,0.0
-50.0,50,4.042988,0.0
-46.0,50,4.132382,0.0
-50.0,50,4.22122,0.0
-50.0,50,4.31329,0.0
-50.0,50,4.411392,0.0
-50.0,50,4.505217,0.0
-50.0,50,6.43503,0.0
-50.0,50,8.013065,0.0
-50.0,50,9.552143,0.0
-50.0,50,11.261266,0.0
-50.0,50,12.836346,0.0
-50.0,50,14.35518,0.0
-50.0,50,15.956355,0.0
-50.0,50,17.433594,0.0
-47.0,50,19.049429,0.0
-50.0,50,20.77246,0.0
-50.0,50,22.511021,0.0
-50.0,50,24.165277,0.0
-50.0,50,25.748827,0.0
-47.0,50,27.388553,0.0
-47.0,50,29.244578,0.0
-50.0,50,30.986808,0.0
-47.0,50,32.676027,0.0
-50.0,50,34.378106,0.0
-45.0,50,36.091586,0.0
-50.0,50,37.794607,0.0
-50.0,50,39.529455,0.0
-50.0,50,41.287045,0.0
-50.0,50,43.066483,0.0
-50.0,50,44.833864,0.0
-50.0,50,46.585661,0.0
-50.0,50,48.335997,0.0
-50.0,50,50.088476,0.0
-50.0,50,52.136642,0.0
-38.0,50,53.926101,0.0
-46.0,50,55.759677,0.0
-35.0,50,57.559271,0.0
-44.0,50,59.324111,0.0
-50.0,50,61.097697,0.0
-48.0,50,62.853971,0.0
-50.0,50,64.603408,0.0
-47.0,50,66.355213,0.0
-50.0,50,68.10507,0.0
-38.0,50,69.86043,0.0
-39.0,50,71.613344,0.0
-50.0,50,73.371926,0.0
-48.0,50,75.126582,1.0
-43.0,50,76.909667,0.0
-30.0,50,78.596312,0.0
-49.0,50,80.29628,0.0
-46.0,50,82.08269,0.0
-45.0,50,83.8935,0.0
-39.0,50,85.565594,0.0
-27.0,50,87.319774,1.0
-46.0,50,89.058581,1.0
-38.0,50,90.805084,0.0
-41.0,50,92.55076,0.0
-25.0,50,94.294964,1.0
-30.0,50,96.038878,1.0
-19.0,50,97.785449,1.0
-27.0,50,99.530594,1.0
-23.0,50,101.205265,0.0
-39.0,50,102.976718,0.0
-31.0,50,104.728551,0.0
-34.0,50,106.479361,0.0
-31.0,50,108.315522,0.0
-24.0,50,110.148834,1.0
-34.0,50,111.947588,0.0
-16.0,50,113.638245,1.0
-23.0,50,115.354656,1.0
-16.0,50,117.121923,1.0
-8.0,50,118.806704,0.0
-7.0,50,120.5878,1.0
-15.0,50,122.335407,1.0
-4.0,50,124.099419,1.0
-7.0,50,125.845067,1.0
-2.0,50,127.722414,1.0
-25.0,50,129.527183,1.0
0.0,50,131.351626,1.0
-6.0,50,133.193161,1.0
-3.0,50,135.021167,1.0
-5.0,50,136.59876,1.0
-8.0,50,138.331454,1.0
-8.0,50,140.00481,1.0
-4.0,50,141.755471,1.0
-3.0,50,143.653047,1.0
-4.0,50,145.57682,1.0
-4.0,50,147.278575,1.0
-1.0,50,149.096314,1.0
-4.0,50,150.86036,1.0
0.0,50,152.60385,1.0
-2.0,50,154.142384,1.0
-4.0,50,155.728234,1.0
-3.0,50,157.369402,1.0
-1.0,50,158.966461,1.0
0.0,50,160.65048,1.0
-3.0,50,162.329628,1.0
-3.0,50,164.008562,1.0
-4.0,50,165.715852,1.0
-9.0,50,167.36748,1.0
-3.0,50,168.973199,1.0
-6.0,50,170.548272,1.0
-3.0,50,172.010857,1.0
-2.0,50,173.626369,1.0
-2.0,50,175.199524,1.0
0.0,50,176.869955,1.0
0.0,50,178.592177,1.0
-3.0,50,180.341226,1.0
-1.0,50,182.095365,1.0
-3.0,50,183.851489,1.0
-2.0,50,185.630294,1.0
-4.0,50,187.391539,1.0
-3.0,50,189.171206,1.0
-1.0,50,190.937279,1.0
-1.0,50,192.672546,1.0
-3.0,50,194.426105,1.0
-2.0,50,196.161771,1.0
-1.0,50,197.916156,1.0
-4.0,50,199.662902,1.0
-2.0,50,201.414169,1.0
-2.0,50,203.180884,1.0
-2.0,50,204.948392,1.0
-2.0,50,206.742545,1.0
-3.0,50,208.505584,1.0
-3.0,50,210.266206,1.0
0.0,50,211.989164,1.0
-2.0,50,213.627451,1.0
-2.0,50,215.293141,1.0
0.0,50,216.82745,1.0
-2.0,50,218.589379,1.0
-3.0,50,220.329652,1.0
-2.0,50,222.171404,1.0
-1.0,50,224.045986,1.0
-3.0,50,225.863508,1.0
-3.0,50,227.408884,1.0
-3.0,50,229.032014,1.0
-3.0,50,231.060611,1.0
0.0,50,232.846977,1.0
-2.0,50,234.590916,1.0
-2.0,50,236.026496,1.0
0.0,50,237.687613,1.0
-3.0,50,239.396754,1.0
-2.0,50,241.045232,1.0
-1.0,50,242.770882,1.0
-4.0,50,244.531283,1.0
-1.0,50,246.217561,1.0
-3.0,50,247.890113,1.0
-1.0,50,249.495629,1.0
-1.0,50,251.253981,1.0
-2.0,50,253.00502,1.0
-2.0,50,254.79858,1.0
-2.0,50,256.376654,1.0
-3.0,50,257.927949,1.0
-1.0,50,259.482709,1.0
0.0,50,261.075796,1.0
-2.0,50,262.661275,1.0
-3.0,50,264.308034,1.0
-2.0,50,265.905362,1.0
-2.0,50,267.451667,1.0
-1.0,50,269.027791,1.0
-2.0,50,270.754569,1.0
-2.0,50,272.449853,1.0
-3.0,50,274.485888,1.0
-3.0,50,276.448538,1.0
-1.0,50,278.227784,1.0
-3.0,50,279.97282,1.0
-1.0,50,281.613233,1.0
-3.0,50,283.33137,1.0
-2.0,50,285.120337,1.0
-3.0,50,286.873983,1.0
-2.0,50,288.656091,1.0
-1.0,50,290.397112,1.0
-1.0,50,291.97251,1.0
-2.0,50,293.493896,1.0
0.0,50,295.057768,1.0
-2.0,50,296.621596,1.0
-2.0,50,298.404151,1.0
-1.0,50,300.123363,1.0
-2.0,50,301.826855,1.0
-1.0,50,303.609411,1.0
-1.0,50,305.367244,1.0
-1.0,50,306.859312,1.0
-1.0,50,308.621672,1.0
-1.0,50,310.435774,1.0
-2.0,50,312.253318,1.0
-2.0,50,314.026836,1.0
-1.0,50,317.10462,1.0
-2.0,50,318.840307,1.0
-2.0,50,320.575773,1.0
-1.0,50,322.312894,1.0
0.0,50,324.040958,1.0
-3.0,50,325.759854,1.0
-2.0,50,327.477616,1.0
-3.0,50,329.220129,1.0
-2.0,50,330.993415,1.0
-3.0,50,332.790812,1.0
-3.0,50,334.540781,1.0
-2.0,50,336.501,1.0
-2.0,50,338.356325,1.0
-2.0,50,340.156338,1.0
0.0,50,341.797098,1.0
-3.0,50,343.426578,1.0
-3.0,50,345.205136,1.0
-2.0,50,346.990663,1.0
0.0,50,348.779997,1.0
0.0,50,350.204601,1.0
-3.0,50,351.97234,1.0
0.0,50,353.722151,1.0
-3.0,50,355.498919,1.0
-2.0,50,357.232092,1.0
0.0,50,359.006845,1.0
-1.0,50,360.380133,1.0
-3.0,50,362.124784,1.0
-3.0,50,363.704902,1.0
-2.0,50,365.347975,1.0
-1.0,50,366.928057,1.0
-2.0,50,368.667785,1.0
-3.0,50,370.222612,1.0
0.0,50,371.989746,1.0
-2.0,50,373.725901,1.0
-2.0,50,375.672694,1.0
-1.0,50,377.445066,1.0
-1.0,50,379.28064,1.0
-1.0,50,380.997946,1.0
-2.0,50,382.744448,1.0
-2.0,50,384.5162,1.0
-1.0,50,386.282487,1.0
-1.0,50,388.069151,1.0
0.0,50,389.833581,1.0
-2.0,50,391.573133,1.0
-2.0,50,393.658189,1.0
-1.0,50,395.404622,1.0
-1.0,50,397.302715,1.0
0.0,50,399.331352,1.0
-3.0,50,400.908019,1.0
0.0,50,402.35854,1.0
-2.0,50,403.816293,1.0
-1.0,50,405.271411,1.0
0.0,50,406.692868,1.0
-1.0,50,408.140207,1.0
0.0,50,409.543892,1.0
-2.0,50,411.121701,1.0
-1.0,50,412.858794,1.0
-1.0,50,414.6218,1.0
-2.0,50,416.390078,1.0
-3.0,50,418.271372,1.0
-2.0,50,420.210297,1.0
-1.0,50,421.770871,1.0
-2.0,50,423.470339,1.0
-2.0,50,425.073938,1.0
-2.0,50,426.458068,1.0
-2.0,50,427.991744,1.0
-2.0,50,429.44278,1.0
0.0,50,430.980089,1.0
-2.0,50,432.709097,1.0
-2.0,50,434.247211,1.0
-1.0,50,435.774606,1.0
-2.0,50,437.395979,1.0
-3.0,50,439.117741,1.0
0.0,50,440.755897,1.0
-2.0,50,442.457057,1.0
-1.0,50,444.094999,1.0
-2.0,50,445.81894,1.0
-1.0,50,447.558285,1.0
0.0,50,449.181282,1.0
-2.0,50,450.770822,1.0
-2.0,50,452.332046,1.0
-2.0,50,453.976037,1.0
-2.0,50,455.727132,1.0
0.0,50,457.391461,1.0
-1.0,50,459.153743,1.0
0.0,50,460.734931,1.0
0.0,50,462.479406,1.0
-1.0,50,464.218878,1.0
-2.0,50,465.987356,1.0
-1.0,50,467.673522,1.0
-1.0,50,469.332853,1.0
-1.0,50,471.193313,1.0
-1.0,50,473.005386,1.0
-1.0,50,474.780204,1.0
-2.0,50,476.562409,1.0
-1.0,50,478.31025,1.0
-1.0,50,480.115122,1.0
-1.0,50,481.900725,1.0
-1.0,50,483.67666,1.0
-3.0,50,485.460811,1.0
-2.0,50,487.208742,1.0
-2.0,50,488.996393,1.0
-2.0,50,490.723439,1.0
-2.0,50,492.368468,1.0
-2.0,50,494.091573,1.0
-2.0,50,495.946496,1.0
-2.0,50,497.972534,1.0
-3.0,50,499.776287,1.0
-2.0,50,501.534987,1.0
0.0,50,503.354917,1.0
0.0,50,504.866578,1.0
0.0,50,506.333099,1.0
-2.0,50,507.809904,1.0
-1.0,50,509.664961,1.0
-2.0,50,511.289884,1.0
