#{"t_start": 1615664131.8339756, "env_id": "FetchSlide-v1"}
r,l,t,is_success
-50.0,50,2.742809,0.0
-50.0,50,2.815574,0.0
-50.0,50,4.43228,0.0
-50.0,50,6.169617,0.0
-50.0,50,7.978817,0.0
-50.0,50,9.728556,0.0
-50.0,50,11.472616,0.0
-50.0,50,13.397552,0.0
-50.0,50,15.185315,0.0
-50.0,50,16.888156,0.0
-50.0,50,18.593184,0.0
-50.0,50,20.44754,0.0
-19.0,50,22.191368,1.0
-50.0,50,23.957165,0.0
-50.0,50,25.654686,0.0
-50.0,50,27.504653,0.0
-50.0,50,29.32072,0.0
-50.0,50,31.083244,0.0
-50.0,50,32.809564,0.0
-50.0,50,34.541819,0.0
-50.0,50,36.278828,0.0
-50.0,50,38.054505,0.0
-50.0,50,39.804281,0.0
-50.0,50,41.585001,0.0
-50.0,50,43.35076,0.0
-50.0,50,45.107484,0.0
-50.0,50,46.858498,0.0
-50.0,50,48.609353,0.0
-50.0,50,50.362001,0.0
-50.0,50,52.439817,0.0
-50.0,50,54.183265,0.0
-50.0,50,55.954626,0.0
-50.0,50,57.717995,0.0
-50.0,50,59.50766,0.0
-50.0,50,61.272149,0.0
-50.0,50,63.024583,0.0
-50.0,50,64.771711,0.0
-50.0,50,66.523474,0.0
-50.0,50,68.272728,0.0
-50.0,50,70.029478,0.0
-50.0,50,71.780697,0.0
-50.0,50,73.556929,0.0
-50.0,50,75.3114,0.0
-50.0,50,77.07565,0.0
-50.0,50,78.685941,0.0
-50.0,50,80.354722,0.0
-50.0,50,82.107921,0.0
-50.0,50,83.90282,0.0
-50.0,50,85.598037,0.0
-50.0,50,87.28401,0.0
-50.0,50,89.032466,0.0
-50.0,50,90.778968,0.0
-50.0,50,92.524758,0.0
-50.0,50,94.268773,0.0
-50.0,50,96.016744,0.0
-50.0,50,97.753115,0.0
-50.0,50,99.487827,0.0
-50.0,50,101.066144,0.0
-50.0,50,102.757737,0.0
-50.0,50,104.466904,0.0
-50.0,50,106.335336,0.0
-50.0,50,108.292672,0.0
-50.0,50,110.446124,0.0
-50.0,50,113.08988,0.0
-50.0,50,115.208547,0.0
-50.0,50,116.981392,0.0
-50.0,50,118.783706,0.0
-50.0,50,120.551381,0.0
-50.0,50,122.308092,0.0
-50.0,50,124.0628,0.0
-50.0,50,125.829153,0.0
-50.0,50,127.579057,0.0
-50.0,50,129.381076,0.0
-50.0,50,131.187668,0.0
-50.0,50,132.99681,0.0
-50.0,50,134.810997,0.0
-50.0,50,136.566134,0.0
-50.0,50,138.36163,0.0
-50.0,50,140.187047,0.0
