#{"t_start": 1624256385.5432863, "env_id": "PandaPickAndPlace-v1"}
r,l,t
-50.0,50,1.708364
-50.0,50,1.782385
-50.0,50,2.97464
-50.0,50,4.178948
-50.0,50,5.412901
-15.0,50,6.561853
-50.0,50,7.748588
-50.0,50,8.941774
-50.0,50,10.141574
-50.0,50,11.344116
-50.0,50,12.557115
-50.0,50,13.785297
-50.0,50,15.009928
-50.0,50,16.240179
-50.0,50,17.467642
-50.0,50,18.653512
-50.0,50,19.869474
-50.0,50,21.086542
-50.0,50,22.264535
-49.0,50,23.377693
-50.0,50,24.527496
-50.0,50,25.664418
-50.0,50,26.79646
-50.0,50,27.990361
-50.0,50,29.205256
-50.0,50,30.419683
-50.0,50,31.642953
-50.0,50,32.813819
-50.0,50,33.976694
-50.0,50,35.193792
0.0,50,36.429819
-50.0,50,37.613576
-50.0,50,38.81611
-50.0,50,39.971319
-50.0,50,41.123901
-50.0,50,42.24242
-50.0,50,43.394802
-50.0,50,44.59937
-50.0,50,45.802968
-45.0,50,47.070589
-50.0,50,48.225372
-50.0,50,49.445703
-50.0,50,50.679469
-50.0,50,51.911182
-50.0,50,53.108733
-50.0,50,54.259898
-50.0,50,55.459151
-50.0,50,56.630503
-50.0,50,57.765855
-50.0,50,58.885607
-50.0,50,60.009205
0.0,50,61.242881
-50.0,50,62.484224
-50.0,50,63.676426
-50.0,50,64.871727
-50.0,50,66.086492
-50.0,50,67.27846
-50.0,50,68.466893
-50.0,50,69.686311
-50.0,50,70.913268
-50.0,50,72.141046
-50.0,50,73.382236
-50.0,50,74.557894
-50.0,50,75.676844
-50.0,50,76.857639
-50.0,50,78.055418
-50.0,50,79.286569
-50.0,50,80.487756
-50.0,50,81.713229
-50.0,50,82.877275
-50.0,50,84.043856
-50.0,50,85.260213
-50.0,50,86.438085
-50.0,50,87.5829
-50.0,50,88.802516
-50.0,50,90.004862
0.0,50,91.175622
-50.0,50,92.321962
-50.0,50,93.480566
-50.0,50,94.617008
-50.0,50,95.807174
-50.0,50,96.96054
-50.0,50,98.182873
-50.0,50,99.333838
-50.0,50,100.517516
-50.0,50,101.668185
-50.0,50,102.916935
-50.0,50,104.153388
-50.0,50,105.394885
-50.0,50,106.598132
-50.0,50,107.815185
-50.0,50,108.969369
-50.0,50,110.10917
-50.0,50,111.270331
-50.0,50,112.450288
-50.0,50,113.60471
-50.0,50,114.752383
-50.0,50,115.962209
-50.0,50,117.194594
-50.0,50,118.3601
-50.0,50,119.512606
-50.0,50,120.664396
-50.0,50,121.894668
-50.0,50,123.058624
0.0,50,124.213405
-50.0,50,125.468766
-50.0,50,126.666791
-50.0,50,127.832372
-50.0,50,129.024278
-50.0,50,130.241321
-50.0,50,131.419767
-50.0,50,132.5773
-50.0,50,133.739102
-50.0,50,135.007774
-50.0,50,136.200625
-50.0,50,137.42961
-50.0,50,138.676423
-50.0,50,139.911108
-50.0,50,141.177878
-50.0,50,142.480458
-50.0,50,143.665083
-50.0,50,144.905298
-11.0,50,146.089705
-50.0,50,147.293863
-50.0,50,148.520592
-50.0,50,149.744782
-50.0,50,150.991259
-50.0,50,152.204562
-48.0,50,153.433603
-50.0,50,154.697064
-50.0,50,155.909019
-50.0,50,157.203137
-50.0,50,158.423088
-50.0,50,159.66683
-50.0,50,160.823534
-50.0,50,162.034302
-50.0,50,163.224912
-50.0,50,164.385457
-50.0,50,165.628672
-50.0,50,166.845595
-50.0,50,168.097874
-50.0,50,169.324994
-50.0,50,170.576418
-50.0,50,171.810497
-50.0,50,173.093568
-50.0,50,174.35661
-50.0,50,175.639529
-50.0,50,176.843291
-50.0,50,178.070397
-50.0,50,179.234026
-50.0,50,180.418977
-50.0,50,181.564207
-50.0,50,182.767646
-50.0,50,184.003602
0.0,50,185.186989
-50.0,50,186.147791
-50.0,50,186.954574
-50.0,50,188.213601
-50.0,50,189.418526
-50.0,50,190.673769
-50.0,50,191.9787
-50.0,50,193.204698
-50.0,50,194.390352
-50.0,50,195.568551
0.0,50,196.683592
-50.0,50,197.853617
-50.0,50,199.018414
-50.0,50,200.253339
-50.0,50,201.457504
-50.0,50,202.642019
-50.0,50,203.899194
-50.0,50,205.115174
-50.0,50,206.339636
-45.0,50,207.528133
-50.0,50,208.723993
-50.0,50,209.902661
-50.0,50,211.05978
-50.0,50,212.241282
-50.0,50,213.3763
-50.0,50,214.544073
-50.0,50,215.695886
-50.0,50,216.944294
-50.0,50,218.164045
-50.0,50,219.414144
-50.0,50,220.617207
-39.0,50,221.83297
-50.0,50,223.089028
-50.0,50,224.341548
-50.0,50,225.610123
-50.0,50,226.882688
-50.0,50,228.022892
-50.0,50,229.223321
-50.0,50,230.373054
-50.0,50,231.582361
-50.0,50,232.735074
-50.0,50,233.878264
-50.0,50,235.082779
-50.0,50,236.313096
-50.0,50,237.563429
-50.0,50,238.841608
-50.0,50,240.902992
-50.0,50,242.065391
-50.0,50,243.30119
-50.0,50,244.552977
-50.0,50,245.757334
-50.0,50,246.944396
-50.0,50,248.085926
-50.0,50,249.198717
