#{"t_start": 1624205272.1197958, "env_id": "PandaPush-v1"}
r,l,t
-50.0,50,1.414646
-50.0,50,1.477813
-50.0,50,2.386638
-50.0,50,3.279008
-50.0,50,4.164086
-32.0,50,5.048017
-50.0,50,5.940754
-50.0,50,6.824694
-50.0,50,7.714238
0.0,50,8.605033
-50.0,50,9.500325
-50.0,50,10.419539
0.0,50,11.325208
-50.0,50,12.227731
-50.0,50,13.125855
0.0,50,14.001625
-47.0,50,14.883725
-50.0,50,15.753523
-50.0,50,16.633968
-50.0,50,17.519219
-50.0,50,18.417141
-50.0,50,19.290234
-50.0,50,20.164808
-50.0,50,21.053169
-50.0,50,21.95334
-50.0,50,22.837417
-50.0,50,23.742765
-50.0,50,24.641712
-50.0,50,25.541102
-50.0,50,26.438836
-50.0,50,27.323556
-50.0,50,28.221765
-50.0,50,29.135604
-50.0,50,30.036482
-50.0,50,30.92547
-50.0,50,31.819526
-50.0,50,32.739344
-50.0,50,33.658736
-50.0,50,34.568753
-50.0,50,35.474403
-50.0,50,36.370314
-50.0,50,37.26414
-50.0,50,38.1418
-50.0,50,39.022323
-50.0,50,39.906952
-50.0,50,40.806842
0.0,50,41.701056
-50.0,50,42.589698
-50.0,50,43.472007
0.0,50,44.391275
-50.0,50,45.306595
-50.0,50,46.272102
-50.0,50,47.178922
-50.0,50,48.07436
-50.0,50,48.974168
-50.0,50,49.875536
-50.0,50,50.77412
-50.0,50,51.664888
-50.0,50,52.59066
-50.0,50,53.497635
-50.0,50,54.40599
-50.0,50,55.312303
0.0,50,56.210459
-50.0,50,57.125625
-50.0,50,58.036045
-50.0,50,58.974488
-50.0,50,59.873811
-50.0,50,60.772317
-50.0,50,61.687187
-50.0,50,62.576474
-50.0,50,63.480524
-50.0,50,64.392611
-50.0,50,65.299115
-50.0,50,66.191832
-50.0,50,67.09584
-50.0,50,68.002754
-50.0,50,68.916861
-50.0,50,69.846247
-50.0,50,70.788268
-50.0,50,71.698444
-50.0,50,72.613296
-50.0,50,73.502966
-50.0,50,74.406473
-50.0,50,75.311789
0.0,50,76.22992
-50.0,50,77.12166
-50.0,50,78.024785
0.0,50,78.923574
-50.0,50,79.831251
-50.0,50,80.747996
-50.0,50,81.667378
0.0,50,82.583612
-50.0,50,83.502508
-50.0,50,84.421401
-50.0,50,85.339557
-50.0,50,86.242295
-50.0,50,87.150259
-50.0,50,88.053
-50.0,50,88.972745
-50.0,50,89.892728
-50.0,50,90.801259
-50.0,50,91.696042
-50.0,50,92.604969
-50.0,50,93.559294
0.0,50,94.478776
-50.0,50,95.434709
-50.0,50,96.362082
0.0,50,97.246532
-50.0,50,98.159881
-50.0,50,99.06351
-50.0,50,99.955959
-50.0,50,100.843594
-50.0,50,101.730289
-50.0,50,102.626563
-50.0,50,103.524523
0.0,50,104.406617
-50.0,50,105.328589
-50.0,50,106.283353
-50.0,50,107.21771
-50.0,50,108.205888
-50.0,50,109.158917
-50.0,50,110.263785
-50.0,50,111.545906
-50.0,50,112.776382
-50.0,50,114.007469
-50.0,50,115.254779
-50.0,50,116.483537
-50.0,50,117.744966
-50.0,50,118.986495
-50.0,50,120.290305
-50.0,50,121.635676
-50.0,50,122.943013
-50.0,50,124.281367
-50.0,50,125.543374
-50.0,50,126.778975
-50.0,50,128.021437
-50.0,50,129.25326
-50.0,50,130.480976
-50.0,50,131.731975
-50.0,50,132.962911
-50.0,50,134.249576
-50.0,50,135.493141
-50.0,50,136.751203
0.0,50,138.023102
-50.0,50,139.388033
-50.0,50,140.649493
0.0,50,141.920643
-50.0,50,143.169866
-50.0,50,144.42259
-50.0,50,145.673928
-50.0,50,146.914921
-50.0,50,148.147868
-50.0,50,149.377549
-50.0,50,150.611595
-50.0,50,151.868716
-50.0,50,153.130574
-50.0,50,154.410337
-50.0,50,155.799016
-50.0,50,157.064873
0.0,50,158.339565
-50.0,50,159.632825
-50.0,50,160.907376
-50.0,50,162.149359
-50.0,50,163.387871
-50.0,50,164.653941
-50.0,50,165.889956
-50.0,50,167.133659
-50.0,50,168.417694
-50.0,50,169.680863
-50.0,50,170.95441
-50.0,50,172.22194
-50.0,50,173.477922
0.0,50,174.738971
-50.0,50,176.035915
-50.0,50,177.290998
-50.0,50,178.53578
-50.0,50,179.768028
-50.0,50,181.022346
-50.0,50,182.264611
-50.0,50,183.510852
-50.0,50,184.750659
-50.0,50,185.997262
-50.0,50,187.244758
0.0,50,188.514488
-50.0,50,189.754102
0.0,50,191.007686
-50.0,50,192.250922
-50.0,50,193.498719
-50.0,50,194.763431
-50.0,50,195.995543
-50.0,50,197.227426
-50.0,50,198.507391
-50.0,50,199.771314
-50.0,50,201.027877
-50.0,50,202.296623
-50.0,50,203.547517
-50.0,50,204.80949
-50.0,50,206.073405
-50.0,50,207.454573
-50.0,50,208.789331
-50.0,50,210.766538
-50.0,50,212.015083
-50.0,50,213.270612
-50.0,50,214.51018
-50.0,50,215.762054
0.0,50,217.00998
-50.0,50,218.336203
-50.0,50,219.669944
-34.0,50,221.024729
-50.0,50,222.312232
-50.0,50,223.568358
-50.0,50,224.825755
-50.0,50,226.090366
-50.0,50,227.31906
-50.0,50,228.617053
-50.0,50,229.877405
-50.0,50,231.224598
0.0,50,232.517786
-9.0,50,233.793317
-50.0,50,235.053716
-50.0,50,236.327979
-50.0,50,237.607704
-50.0,50,238.905064
-50.0,50,240.179242
-50.0,50,241.484568
-50.0,50,242.729964
-50.0,50,243.979482
-47.0,50,245.23299
-50.0,50,246.505811
-50.0,50,247.747539
-50.0,50,249.025783
-50.0,50,250.289333
-50.0,50,251.582826
-50.0,50,252.86812
-50.0,50,254.121821
-50.0,50,255.435032
-50.0,50,256.684101
-50.0,50,257.927281
-50.0,50,259.200763
-50.0,50,260.487206
-50.0,50,261.778386
-50.0,50,263.033116
-50.0,50,264.310539
-50.0,50,265.60854
-50.0,50,266.890485
-50.0,50,268.14712
