#{"t_start": 1624437345.3721511, "env_id": "PandaReach-v1"}
r,l,t
-50.0,50,3.529243
-50.0,50,3.651406
-50.0,50,3.784528
-50.0,50,3.896997
-50.0,50,4.019458
-50.0,50,4.133776
-50.0,50,4.244396
-50.0,50,4.383366
-50.0,50,4.516829
-50.0,50,4.640876
-50.0,50,4.787914
-50.0,50,4.878502
-50.0,50,4.948363
-50.0,50,5.057653
-50.0,50,5.177673
-50.0,50,5.296909
-50.0,50,5.437705
-50.0,50,5.546255
-50.0,50,5.683239
-50.0,50,5.793808
-50.0,50,6.75103
-50.0,50,7.760866
-50.0,50,8.7019
-48.0,50,9.729861
-50.0,50,10.631206
-50.0,50,11.650144
-50.0,50,12.664371
-50.0,50,13.703651
-50.0,50,14.712142
-50.0,50,15.508878
-48.0,50,15.977412
-50.0,50,16.445651
-48.0,50,17.379183
-50.0,50,18.300094
-50.0,50,19.274298
-50.0,50,20.129674
-50.0,50,21.155408
-50.0,50,22.095261
-49.0,50,23.17401
-50.0,50,24.072637
-50.0,50,25.089492
-50.0,50,25.943308
-50.0,50,26.94422
-50.0,50,27.903432
-48.0,50,28.874804
-50.0,50,29.871562
-50.0,50,30.810643
-50.0,50,31.840603
-50.0,50,32.733593
-50.0,50,33.709452
-50.0,50,34.387185
-50.0,50,34.890374
-50.0,50,35.536432
-50.0,50,36.568139
-50.0,50,37.361223
-50.0,50,38.375073
-48.0,50,39.248213
-50.0,50,40.306288
-50.0,50,41.248434
-50.0,50,42.206828
-50.0,50,43.165631
-44.0,50,44.106017
-50.0,50,45.268352
-33.0,50,46.197545
-48.0,50,47.266748
-50.0,50,48.123714
-50.0,50,49.117211
-50.0,50,49.994614
-50.0,50,51.068546
-50.0,50,52.137449
-50.0,50,52.923051
-49.0,50,53.447497
-46.0,50,53.982548
-50.0,50,55.011859
-43.0,50,55.988434
-42.0,50,57.079384
-50.0,50,57.986182
-50.0,50,58.98089
-50.0,50,59.958316
-15.0,50,61.036697
-50.0,50,62.005597
-45.0,50,62.961142
-49.0,50,63.940235
-37.0,50,64.778821
-42.0,50,65.764318
-35.0,50,66.688727
-23.0,50,67.701098
-24.0,50,68.442252
-9.0,50,69.502809
-29.0,50,70.359967
-9.0,50,71.325711
-3.0,50,71.958894
-17.0,50,72.442309
-9.0,50,73.094958
-20.0,50,74.197042
-9.0,50,75.244305
-2.0,50,76.256264
-3.0,50,77.183851
-7.0,50,78.117982
-4.0,50,79.147206
-2.0,50,80.057457
-3.0,50,81.083878
-4.0,50,82.029175
-1.0,50,83.02014
-2.0,50,83.997643
-4.0,50,85.01873
-3.0,50,86.072569
-3.0,50,87.110307
-2.0,50,88.212903
-4.0,50,89.122459
-4.0,50,90.155677
-2.0,50,90.685828
-3.0,50,91.165912
-5.0,50,91.751567
0.0,50,92.892911
-2.0,50,93.884179
-3.0,50,94.939939
-3.0,50,95.870869
-3.0,50,96.791209
-2.0,50,98.088978
-1.0,50,98.985545
-2.0,50,99.966975
-4.0,50,100.805746
-3.0,50,101.838793
-3.0,50,102.760202
-3.0,50,103.78219
-4.0,50,104.79101
-1.0,50,105.689801
-2.0,50,106.766323
-2.0,50,107.64177
-2.0,50,108.69664
-3.0,50,109.412645
-1.0,50,109.893539
-2.0,50,110.396266
-2.0,50,111.420842
-3.0,50,112.3322
-1.0,50,113.48152
-2.0,50,114.436487
-3.0,50,115.428891
-1.0,50,116.279588
-3.0,50,117.349376
-2.0,50,118.201697
-3.0,50,119.202675
-3.0,50,120.237927
-3.0,50,121.185089
-2.0,50,122.364717
-2.0,50,123.307477
-3.0,50,124.375545
-2.0,50,125.37906
-2.0,50,126.284098
-2.0,50,127.26992
-1.0,50,128.134497
-2.0,50,128.65317
-3.0,50,129.136493
-2.0,50,130.045982
-3.0,50,131.0195
-2.0,50,132.151116
-2.0,50,133.147528
-2.0,50,134.219746
-2.0,50,135.136764
-2.0,50,136.251495
-3.0,50,137.338302
-1.0,50,138.325117
-4.0,50,139.377031
-3.0,50,140.326391
-3.0,50,141.383651
-1.0,50,142.303156
-2.0,50,143.31038
-1.0,50,144.247859
-3.0,50,145.289742
-1.0,50,146.331667
-2.0,50,147.135665
-3.0,50,147.651894
-3.0,50,148.163949
-2.0,50,149.21827
-3.0,50,150.140097
-1.0,50,151.210441
-1.0,50,152.150028
-3.0,50,153.325082
-3.0,50,154.286262
-2.0,50,155.275503
-2.0,50,156.407009
-2.0,50,157.241094
-3.0,50,158.312444
-3.0,50,159.157022
-2.0,50,160.189274
-2.0,50,161.142414
-2.0,50,162.19361
-2.0,50,163.256681
-1.0,50,164.185443
-2.0,50,165.345284
-3.0,50,166.031698
-3.0,50,166.513014
-2.0,50,167.044233
-1.0,50,168.096194
-1.0,50,169.044513
-2.0,50,170.219378
-2.0,50,171.198888
-2.0,50,172.132628
-2.0,50,173.083781
-2.0,50,174.910291
-2.0,50,175.827341
-1.0,50,176.886288
-2.0,50,177.848218
-2.0,50,178.883665
-2.0,50,179.809439
-2.0,50,180.810383
-2.0,50,181.830368
-2.0,50,182.794302
0.0,50,183.803976
-2.0,50,184.520143
-2.0,50,184.991674
-3.0,50,185.50332
-2.0,50,186.45271
-2.0,50,187.354743
-3.0,50,188.3918
-1.0,50,189.295249
-1.0,50,190.32445
-2.0,50,191.241002
-2.0,50,192.388391
0.0,50,193.411812
-1.0,50,194.372755
-2.0,50,195.346913
0.0,50,196.281608
-2.0,50,197.360954
-1.0,50,198.291302
-2.0,50,199.449817
-2.0,50,200.456432
-1.0,50,201.436435
-2.0,50,202.428275
-3.0,50,203.355782
-1.0,50,203.962302
-2.0,50,204.485808
-3.0,50,205.504503
-3.0,50,206.456629
-2.0,50,207.538185
0.0,50,208.454675
-3.0,50,209.56317
-2.0,50,210.413778
-1.0,50,211.446295
-3.0,50,212.441121
-1.0,50,213.388323
-2.0,50,214.526028
-1.0,50,215.450219
-1.0,50,216.566415
-2.0,50,217.435825
-2.0,50,218.440857
-3.0,50,219.417882
0.0,50,220.39208
-3.0,50,221.374281
0.0,50,222.282141
-2.0,50,222.81863
-2.0,50,223.318534
-2.0,50,224.214979
-1.0,50,225.140722
-3.0,50,226.104421
-1.0,50,227.033864
-3.0,50,228.051347
-1.0,50,229.003157
-2.0,50,230.057375
0.0,50,230.939379
-1.0,50,232.091501
-1.0,50,233.098722
-2.0,50,234.11958
-3.0,50,235.288509
-3.0,50,236.303488
-3.0,50,237.362802
-2.0,50,238.277094
0.0,50,239.278965
-2.0,50,240.276349
-2.0,50,241.145554
0.0,50,241.672426
-1.0,50,242.1773
-2.0,50,243.183017
-2.0,50,244.096562
-2.0,50,245.264658
-3.0,50,246.239047
-1.0,50,247.318802
-1.0,50,248.295429
-3.0,50,249.303364
-2.0,50,250.32505
-1.0,50,251.173274
-1.0,50,252.24065
-3.0,50,253.15643
-3.0,50,254.229429
-1.0,50,255.100971
-2.0,50,256.154501
-1.0,50,257.037044
-2.0,50,258.083275
-3.0,50,259.035245
-2.0,50,259.954445
-2.0,50,260.449933
-1.0,50,260.947598
-2.0,50,261.706443
-2.0,50,262.721138
-2.0,50,263.576161
-2.0,50,264.643824
-3.0,50,265.694219
-1.0,50,266.611342
-1.0,50,267.654363
-3.0,50,268.574576
-1.0,50,269.673118
-1.0,50,270.5443
-1.0,50,271.576477
-2.0,50,272.400276
0.0,50,273.420284
-1.0,50,274.368267
-2.0,50,275.350752
-3.0,50,276.514184
-2.0,50,277.495933
0.0,50,278.599357
-3.0,50,279.138067
-2.0,50,279.639115
-3.0,50,280.168557
-1.0,50,281.210123
-1.0,50,282.161179
-2.0,50,283.299775
-2.0,50,284.278219
-2.0,50,285.316912
-2.0,50,286.370367
-2.0,50,287.345732
-2.0,50,288.528896
0.0,50,289.504946
-3.0,50,290.615612
-2.0,50,291.572047
-3.0,50,292.538866
-1.0,50,293.567874
-2.0,50,294.384647
-2.0,50,295.41173
-2.0,50,296.344667
-2.0,50,297.357793
-2.0,50,298.002425
-2.0,50,298.504663
-2.0,50,299.070925
-3.0,50,300.175977
-1.0,50,301.212355
-2.0,50,302.398197
-1.0,50,303.397655
-2.0,50,304.350347
-1.0,50,305.362287
-3.0,50,306.255941
0.0,50,307.309207
-2.0,50,308.172229
-1.0,50,309.255609
0.0,50,310.225511
-2.0,50,311.219689
-2.0,50,312.10463
-3.0,50,313.095298
-2.0,50,314.243816
-3.0,50,315.183638
-2.0,50,316.33198
-1.0,50,316.976655
-2.0,50,317.51672
-3.0,50,318.211429
-2.0,50,319.358008
0.0,50,320.301695
-1.0,50,321.37076
-2.0,50,322.362201
-2.0,50,323.28146
-2.0,50,324.333813
-3.0,50,325.29866
-3.0,50,326.442689
-1.0,50,327.404055
-2.0,50,328.444596
-1.0,50,329.489764
-3.0,50,330.419199
-3.0,50,331.464009
-2.0,50,332.511076
-2.0,50,333.649214
-3.0,50,334.608565
-2.0,50,335.585807
-2.0,50,336.094209
0.0,50,336.605971
-3.0,50,337.467004
-2.0,50,338.469481
-2.0,50,339.390265
-2.0,50,340.342335
-2.0,50,341.402719
-3.0,50,342.370018
-3.0,50,343.428066
-3.0,50,344.275972
-3.0,50,345.325745
-2.0,50,346.235641
-1.0,50,347.266184
-2.0,50,348.209283
-1.0,50,349.117517
0.0,50,350.176123
0.0,50,351.209649
-1.0,50,352.370372
-2.0,50,353.365628
0.0,50,354.358579
-2.0,50,354.846949
-1.0,50,355.342894
-2.0,50,356.037844
-1.0,50,357.116494
-1.0,50,358.025525
-2.0,50,359.100981
0.0,50,360.076113
-2.0,50,361.018886
-2.0,50,362.14875
