#{"t_start": 1624256153.8038054, "env_id": "PandaSlide-v1"}
r,l,t
-50.0,50,1.418838
-50.0,50,1.479356
-50.0,50,2.384708
-50.0,50,3.275407
-50.0,50,4.181602
-50.0,50,5.04654
-50.0,50,5.925601
-50.0,50,6.811826
-50.0,50,7.697388
-45.0,50,8.59472
-50.0,50,9.497191
-50.0,50,10.39908
-50.0,50,11.303061
-50.0,50,12.197993
-50.0,50,13.097834
-50.0,50,13.983802
-50.0,50,14.85402
-50.0,50,15.723394
-50.0,50,16.600034
-50.0,50,17.483233
-50.0,50,18.360674
-50.0,50,19.230675
-50.0,50,20.112197
-50.0,50,21.005505
-50.0,50,21.906567
-50.0,50,22.811218
-50.0,50,23.697884
-50.0,50,24.595396
-50.0,50,25.486716
-50.0,50,26.360572
-50.0,50,27.251014
-47.0,50,28.16787
-50.0,50,29.054045
-50.0,50,29.952556
-50.0,50,30.839368
-50.0,50,31.726794
-50.0,50,32.616001
-50.0,50,33.520617
-50.0,50,34.423196
-50.0,50,35.324802
-50.0,50,36.203817
-50.0,50,37.080625
-50.0,50,37.966844
-50.0,50,38.848007
-50.0,50,39.722666
-50.0,50,40.591539
-50.0,50,41.458273
-50.0,50,42.354622
-50.0,50,43.258508
-50.0,50,44.159125
-50.0,50,45.067399
-50.0,50,45.985511
-50.0,50,46.90386
-50.0,50,47.797818
-50.0,50,48.678698
-50.0,50,49.566786
-50.0,50,50.446555
-50.0,50,51.345935
-50.0,50,52.256112
-50.0,50,53.149643
-50.0,50,54.04739
-50.0,50,54.954516
-50.0,50,55.851132
-50.0,50,56.770594
-50.0,50,57.67053
-50.0,50,58.559466
-50.0,50,59.443395
-50.0,50,60.306201
-50.0,50,61.17803
-50.0,50,62.048619
-50.0,50,62.919881
-50.0,50,63.78334
-50.0,50,64.663693
-50.0,50,65.541775
-50.0,50,66.428733
-50.0,50,67.31553
-50.0,50,68.231049
-50.0,50,69.144233
-50.0,50,70.06557
-50.0,50,70.977518
-50.0,50,71.8874
-50.0,50,72.792857
-50.0,50,73.698696
-50.0,50,74.630859
-50.0,50,75.528927
-50.0,50,76.41477
-50.0,50,77.309455
-50.0,50,78.202097
-50.0,50,79.111393
-50.0,50,80.013201
-50.0,50,80.928105
-50.0,50,81.863678
-50.0,50,82.773561
-50.0,50,83.664959
-50.0,50,84.570168
-50.0,50,85.474373
-50.0,50,86.396061
-50.0,50,87.300118
-50.0,50,88.201174
-50.0,50,89.087156
-50.0,50,89.983522
-50.0,50,90.87469
-50.0,50,91.768609
-50.0,50,92.68327
-49.0,50,93.593673
-50.0,50,94.491338
-50.0,50,95.404363
-50.0,50,96.307363
-50.0,50,97.204221
-50.0,50,98.111375
-50.0,50,99.007122
-50.0,50,99.905837
-50.0,50,100.797252
-50.0,50,101.694173
-50.0,50,102.586027
-50.0,50,103.523441
-50.0,50,104.438716
-46.0,50,105.356565
-50.0,50,106.287112
-50.0,50,107.258075
-50.0,50,108.18434
-50.0,50,109.091697
-50.0,50,109.98347
-50.0,50,110.873636
-50.0,50,111.776892
-50.0,50,112.663666
-50.0,50,113.580092
-50.0,50,114.481704
-50.0,50,115.384288
-50.0,50,116.289851
-50.0,50,117.205504
-50.0,50,118.162282
-50.0,50,119.110227
-50.0,50,120.032502
-50.0,50,120.930908
-50.0,50,121.835227
-50.0,50,122.745853
-50.0,50,123.635637
-50.0,50,124.525289
-50.0,50,125.434948
-50.0,50,126.34099
-50.0,50,127.234206
-50.0,50,128.154573
-50.0,50,129.096299
-50.0,50,130.035439
-50.0,50,130.967363
-50.0,50,131.888059
-50.0,50,132.820573
-50.0,50,133.714709
-50.0,50,134.634078
-50.0,50,135.540537
-50.0,50,136.435691
-50.0,50,137.324145
-50.0,50,138.213703
-50.0,50,139.100213
-50.0,50,140.025125
-50.0,50,140.949241
-50.0,50,141.944344
-50.0,50,142.888069
-50.0,50,143.830508
-50.0,50,144.756398
-50.0,50,145.694984
-50.0,50,146.597834
-50.0,50,147.506731
-50.0,50,148.411271
-50.0,50,149.313079
-50.0,50,150.221494
-50.0,50,151.13994
-50.0,50,152.037052
-50.0,50,152.940131
-50.0,50,153.84796
-50.0,50,154.787585
-50.0,50,155.734548
-50.0,50,156.677998
-50.0,50,157.612145
-50.0,50,158.513293
-50.0,50,159.424326
-50.0,50,160.329263
-50.0,50,161.244307
-50.0,50,162.138031
-50.0,50,163.042474
-50.0,50,163.941379
-50.0,50,164.862323
-50.0,50,165.769725
-50.0,50,166.699839
-50.0,50,167.643465
-50.0,50,168.592364
-50.0,50,169.514989
-50.0,50,170.428421
-50.0,50,171.344772
-50.0,50,172.262258
-50.0,50,173.1665
-50.0,50,174.069618
-50.0,50,174.984859
-50.0,50,175.886874
-50.0,50,176.782117
-50.0,50,177.676252
-50.0,50,178.606826
-50.0,50,179.549164
-50.0,50,180.510776
-50.0,50,181.886949
-50.0,50,182.799277
-50.0,50,183.689771
-50.0,50,184.581237
-50.0,50,185.507935
-50.0,50,186.412668
-50.0,50,187.342056
-50.0,50,188.280505
-50.0,50,189.270715
-50.0,50,190.193748
-50.0,50,191.099334
-50.0,50,191.999659
-50.0,50,192.913545
-50.0,50,193.825331
-50.0,50,194.734571
-50.0,50,195.638584
-50.0,50,196.55106
-50.0,50,197.45168
-50.0,50,198.364872
-50.0,50,199.287918
-50.0,50,200.23572
-50.0,50,201.191929
-50.0,50,202.118207
-50.0,50,203.021733
-50.0,50,203.928769
-50.0,50,204.850669
-50.0,50,205.757247
-50.0,50,206.691185
-50.0,50,207.617005
-50.0,50,208.536878
-50.0,50,209.442301
-50.0,50,210.357061
-50.0,50,211.267299
-50.0,50,212.223491
-50.0,50,213.157367
-50.0,50,214.140534
-50.0,50,215.063465
-50.0,50,215.96547
-50.0,50,216.892471
-50.0,50,217.804663
-50.0,50,218.717145
-50.0,50,219.641938
-50.0,50,220.539729
-50.0,50,221.430743
-50.0,50,222.332475
-50.0,50,223.245135
-50.0,50,224.190475
-50.0,50,225.123564
-50.0,50,226.082909
-50.0,50,227.015301
-50.0,50,227.936343
-50.0,50,228.836866
-50.0,50,229.764487
-50.0,50,230.779761
-50.0,50,231.723207
-50.0,50,232.699525
-50.0,50,233.747475
-50.0,50,234.988254
-50.0,50,236.258762
-50.0,50,237.522451
-50.0,50,238.803874
-50.0,50,240.069431
-50.0,50,241.360929
-50.0,50,242.609534
-50.0,50,243.858672
-50.0,50,245.084775
-50.0,50,246.32635
-50.0,50,247.576929
-50.0,50,248.816102
-43.0,50,250.077608
-50.0,50,251.342289
-50.0,50,252.583623
-50.0,50,253.894886
-50.0,50,255.262637
-50.0,50,256.597177
-50.0,50,257.917022
-50.0,50,259.215038
-50.0,50,260.482617
-50.0,50,261.709972
-50.0,50,262.95678
-50.0,50,264.24811
-50.0,50,265.547704
-50.0,50,266.789148
-50.0,50,268.023212
-50.0,50,269.306492
-50.0,50,270.558759
-50.0,50,271.868379
-50.0,50,273.234861
-50.0,50,274.578851
-50.0,50,275.875498
-41.0,50,277.187718
-50.0,50,278.449108
-50.0,50,279.772149
-50.0,50,281.013768
-50.0,50,282.248653
-50.0,50,283.481797
