#{"t_start": 1614679643.6623306, "env_id": "parking-v0"}
r,l,t,is_success
-44.931681,100,3.809969,False
-44.063921,100,6.692777,False
-55.753736,100,9.373477,False
-69.150766,100,12.053065,False
-73.450882,100,14.735389,False
-53.926891,100,17.414025,False
-63.332775,100,20.108043,False
-54.553275,100,22.792084,False
-62.3771,100,25.469981,False
-37.70657,100,28.149451,False
-60.493055,100,30.834566,False
-68.090406,100,33.513214,False
-49.18621,100,36.188754,False
-36.87266,100,38.876175,False
-59.858733,100,41.549681,False
-44.511008,100,44.22098,False
-47.429057,100,46.894583,False
-39.029534,100,49.634578,False
-47.781652,100,52.305377,False
-48.126046,100,54.972151,False
-30.383958,100,57.644171,False
-48.749403,100,60.345237,False
-64.125093,100,63.029176,False
-41.251945,100,65.719245,False
-65.191076,100,68.407799,False
-37.681998,100,71.111901,False
-36.816229,100,73.801256,False
-34.590178,100,76.488872,False
-22.078788,100,79.193944,False
-45.462607,100,81.895702,False
-52.634031,100,84.632572,False
-35.432602,100,87.318866,False
-33.745457,100,90.0098,False
-27.594197,100,92.699575,False
-25.344469,100,95.417644,False
-25.738937,100,98.141217,False
-52.96579,100,100.830836,False
-32.270703,100,103.522018,False
-8.059972,32,104.388348,True
-82.494934,100,107.082302,False
-21.30389,100,109.790406,False
-38.400121,100,112.494033,False
-88.649231,100,115.17994,False
-27.412841,100,117.875244,False
-49.869548,100,120.554363,False
-32.613808,100,123.226495,False
-99.253859,100,125.896061,False
-42.862589,100,128.56694,False
-37.776734,100,131.237322,False
-53.281266,100,133.917097,False
-40.349818,100,136.592936,False
-14.983386,57,138.121649,True
-31.009285,100,140.801166,False
-28.838746,100,143.474924,False
-36.893503,100,146.14287,False
-35.194944,100,148.819446,False
-31.548286,100,151.491127,False
-48.46366,100,154.161202,False
-40.305956,100,156.828602,False
-23.210482,100,159.549628,False
-14.44407,47,160.814372,True
-37.861585,100,163.483047,False
-30.517756,100,166.153988,False
-6.800181,25,166.832182,True
-18.160864,100,169.562439,False
-22.382002,100,172.304255,False
-27.091676,100,174.996071,False
-30.82174,100,177.674203,False
-53.061029,100,180.349072,False
-12.957166,40,181.426715,True
-48.151401,100,184.101384,False
-6.31295,39,185.160307,True
-25.297802,100,187.84786,False
-36.752761,100,190.532237,False
-48.739762,100,193.2282,False
-19.976713,100,196.002593,False
-24.067737,100,198.737856,False
-28.247116,100,201.450859,False
-20.83509,100,204.192189,False
-24.459507,100,206.932292,False
-12.128218,39,207.992888,True
-22.933394,100,210.723692,False
-19.224831,100,213.46582,False
-39.604745,100,216.159216,False
-39.948517,100,218.856753,False
-24.356537,100,221.586889,False
-36.17429,100,224.284428,False
-55.540563,100,226.978496,False
-50.837874,100,229.676072,False
-9.990324,26,230.382875,True
-28.097612,100,233.087097,False
-25.085037,100,235.839083,False
-40.997528,100,238.536788,False
-22.722535,100,241.277135,False
-19.118553,44,242.471482,True
-3.794404,14,242.855417,True
-20.789033,100,245.574268,False
-29.266383,100,248.297993,False
-3.788974,21,248.870678,True
-43.956365,100,251.580409,False
-14.997332,100,254.310647,False
-21.066706,100,257.055339,False
-7.516603,19,257.570362,True
-20.841515,100,260.322666,False
-9.268627,29,261.113313,True
-19.695083,100,263.859017,False
-3.634709,15,264.26779,True
-18.83293,100,267.008725,False
-32.644133,100,269.707606,False
-47.544598,100,281.319106,False
-13.520595,48,282.623099,True
-2.918675,15,283.03183,True
-47.625159,100,285.7282,False
-7.630944,25,286.414416,True
-8.213464,28,287.174396,True
-4.029795,16,287.610031,True
-6.901266,32,288.48729,True
-18.10254,100,291.226733,False
-26.0844,100,293.927524,False
-4.704264,15,294.340396,True
-24.799916,100,297.078522,False
-6.300158,17,297.54051,True
-45.138944,100,300.240695,False
-23.497535,100,302.96203,False
-19.994973,100,305.694592,False
-19.857369,100,308.434732,False
-11.023217,34,309.360412,True
-2.719011,13,309.717865,True
-24.923413,100,312.470074,False
-23.374193,100,315.219585,False
-24.167971,100,317.952726,False
-43.449595,100,320.664989,False
-24.125754,80,322.945042,True
-15.832093,82,325.196647,True
-4.337482,14,325.578812,True
-18.708114,44,326.776419,True
-20.6488,100,329.531606,False
-10.227484,32,330.464144,True
-43.708016,100,333.237714,False
-7.077731,28,333.999511,True
-6.176824,20,334.545197,True
-9.936756,41,335.663959,True
-26.381196,100,338.417379,False
-3.75667,16,338.853291,True
-19.03146,60,340.486862,True
-10.331337,38,341.523089,True
-27.251829,100,344.233701,False
-21.685172,63,345.941066,True
-6.434083,17,346.407154,True
-7.26529,25,347.089188,True
-13.067007,77,349.199027,True
-16.723527,100,351.944535,False
-20.217285,100,354.688969,False
-5.626081,19,355.208294,True
-19.027973,63,356.92246,True
-12.579512,33,357.828327,True
-7.154735,20,358.374592,True
-9.796742,34,359.299394,True
-6.777954,20,359.843506,True
-14.363759,48,361.151307,True
-3.749945,14,361.537967,True
-8.901099,33,362.508958,True
-15.887061,52,363.953845,True
-14.682063,81,366.168756,True
-2.853246,14,366.552417,True
-8.376333,19,367.071711,True
-25.244968,100,369.815263,False
-12.663441,63,371.651148,True
-3.37932,13,372.008483,True
-33.880915,100,374.724665,False
-17.226208,100,377.462969,False
-10.858084,26,378.173799,True
-6.23592,18,378.664046,True
-14.398096,91,381.166793,True
-13.756684,45,382.398715,True
-3.700732,15,382.810368,True
-16.187751,44,384.004918,True
-6.083924,24,384.660773,True
-6.8436,20,385.208593,True
-8.189083,27,385.947342,True
-6.301121,24,386.604111,True
-6.200706,21,387.178373,True
-8.475174,36,388.159361,True
-21.490822,100,390.891014,False
-3.015124,15,391.301823,True
-6.42342,19,391.820082,True
-3.392838,13,392.177938,True
-8.946803,22,392.776992,True
-6.353117,21,393.348315,True
-23.019267,100,396.098645,False
-17.723064,100,398.837374,False
-12.64199,69,400.726273,True
-19.718829,100,403.47877,False
-6.629343,25,404.160577,True
-4.174318,14,404.543082,True
-20.033501,100,407.317456,False
-2.840365,15,407.727567,True
-7.402483,18,408.21905,True
-3.491106,13,408.577891,True
-22.632579,100,411.339472,False
-6.606495,25,412.022706,True
-18.555052,52,413.437491,True
-15.113815,39,414.497694,True
-7.377207,24,415.156217,True
-24.352307,100,417.891969,False
-5.661461,17,418.355203,True
-5.360509,27,419.098682,True
-7.901437,24,419.752819,True
-5.017629,19,420.271584,True
-6.947074,19,420.791923,True
-9.422852,38,421.831268,True
-13.785236,43,422.997587,True
-10.812364,34,423.925717,True
-4.333524,19,424.445311,True
-4.237551,18,424.939318,True
-6.586067,22,425.543607,True
-6.283248,20,426.09004,True
-7.968226,21,426.663864,True
-22.023959,100,429.396608,False
-6.650992,19,429.918832,True
-20.424924,89,432.357706,True
-3.32228,13,432.715565,True
-10.328057,47,433.999128,True
-6.408845,24,434.75136,True
-9.270783,30,435.639899,True
-18.136536,100,438.400382,False
-6.223714,17,438.864371,True
-4.785697,17,439.333788,True
-22.040173,100,442.09711,False
-11.808431,65,443.881549,True
-2.626717,12,444.209591,True
-5.23297,17,444.677615,True
-2.559103,13,445.033984,True
