#{"t_start": 1614619328.3837402, "env_id": "Acrobot-v1"}
r,l,t
-500.0,500,4.014475
-403.0,404,9.699849
-377.0,378,15.910683
-230.0,231,16.706823
-178.0,179,18.958924
-138.0,139,21.078504
-185.0,186,25.311476
-329.0,330,29.680611
-110.0,111,30.019267
-167.0,168,35.504185
-102.0,103,35.818234
-135.0,136,37.944167
-119.0,120,38.312877
-113.0,114,40.31156
-97.0,98,41.327243
-93.0,94,41.612943
-88.0,89,43.554903
-88.0,89,43.823312
-96.0,97,44.163148
-115.0,116,46.205529
-70.0,71,47.109628
-119.0,120,49.200528
-103.0,104,49.515209
-85.0,86,49.775134
-84.0,85,51.69809
-77.0,78,51.93447
-79.0,80,52.178693
-78.0,79,54.718567
-122.0,123,55.093295
-89.0,90,55.367613
-84.0,85,57.287459
-90.0,91,57.565021
-82.0,83,57.81873
-68.0,69,59.688572
-76.0,77,60.58608
-87.0,88,60.85397
-80.0,81,62.768723
-82.0,83,63.021947
-74.0,75,63.25096
-104.0,105,65.22522
-92.0,93,65.509676
-104.0,105,68.046633
-77.0,78,68.381287
-84.0,85,68.64046
-143.0,144,70.74697
-102.0,103,71.061395
-79.0,80,71.305731
-99.0,100,73.278714
-110.0,111,74.301633
-85.0,86,76.190945
-105.0,106,76.549694
-158.0,159,78.697563
-106.0,107,79.030587
-83.0,84,79.995765
-93.0,94,81.945835
-88.0,89,82.221665
-117.0,118,84.175612
-90.0,91,84.525291
-70.0,71,84.742237
-82.0,83,84.99578
-81.0,82,87.580237
-77.0,78,87.818469
-90.0,91,88.09589
-61.0,62,89.947263
-74.0,75,90.175119
-88.0,89,90.445855
-65.0,66,92.314329
-89.0,90,92.592827
-93.0,94,93.520149
-96.0,97,95.481901
-85.0,86,95.744204
-90.0,91,96.022069
-87.0,88,97.958122
-157.0,158,98.4409
-68.0,69,100.315294
-73.0,74,101.230011
-89.0,90,101.503247
-98.0,99,103.474873
-87.0,88,103.744195
-92.0,93,104.028673
-61.0,62,105.862283
-85.0,86,106.134563
-97.0,98,107.093034
-86.0,87,109.027442
-60.0,61,109.213652
-77.0,78,109.451891
-79.0,80,111.276244
-70.0,71,111.574271
-97.0,98,111.874471
-79.0,80,112.119142
-223.0,224,115.119399
-79.0,80,117.252855
-78.0,79,117.492618
-117.0,118,117.850392
-91.0,92,119.79052
-77.0,78,120.669157
-75.0,76,120.900924
-86.0,87,122.825979
-106.0,107,123.150964
-88.0,89,124.99886
-73.0,74,125.309549
-75.0,76,125.542074
-79.0,80,125.786285
-78.0,79,128.422483
-81.0,82,128.673394
-74.0,75,128.902945
-88.0,89,130.837072
-78.0,79,131.079214
-81.0,82,131.330474
-71.0,72,133.189888
-77.0,78,134.142619
-80.0,81,134.469413
-158.0,159,136.616773
-78.0,79,136.857537
-78.0,79,137.098031
-87.0,88,139.034803
-76.0,77,139.270732
-86.0,87,140.223278
-151.0,152,142.369841
-108.0,109,142.707163
-69.0,70,144.575717
-71.0,72,144.795993
-87.0,88,145.064998
-77.0,78,146.967065
-87.0,88,147.90054
-74.0,75,148.128768
-76.0,77,150.005929
-91.0,92,150.302778
-92.0,93,150.586487
-85.0,86,152.510341
-84.0,85,152.769304
-77.0,78,153.629276
-89.0,90,155.558846
-84.0,85,155.819407
-181.0,182,158.046371
-87.0,88,158.315128
-70.0,71,158.53231
-78.0,79,160.437767
-89.0,90,161.341802
-77.0,78,161.57993
-84.0,85,163.495863
-71.0,72,163.726438
-80.0,81,163.975065
-70.0,71,164.193022
-78.0,79,166.096821
-78.0,79,167.004704
-72.0,73,167.227528
-77.0,78,169.125672
-69.0,70,169.340502
-80.0,81,169.589103
-78.0,79,171.467194
-81.0,82,171.743936
-83.0,84,172.000758
-70.0,71,173.796301
-78.0,79,174.744584
-74.0,75,174.974636
-146.0,147,177.090521
-72.0,73,177.318829
-92.0,93,177.607808
-90.0,91,179.551813
-101.0,102,180.700297
-72.0,73,180.923227
-77.0,78,182.828022
-83.0,84,183.086604
-77.0,78,183.326524
-75.0,76,185.217917
-79.0,80,185.469922
-70.0,71,185.689451
-103.0,104,188.382082
-83.0,84,188.650317
-79.0,80,188.896858
-99.0,100,190.865034
-63.0,64,191.06265
-69.0,70,191.278758
-69.0,70,191.494757
-117.0,118,194.32087
-96.0,97,194.619804
-86.0,87,196.541623
-76.0,77,196.78099
-89.0,90,197.057283
-85.0,86,198.97482
-85.0,86,199.252164
-79.0,80,199.498811
-75.0,76,202.108396
-76.0,77,202.401833
-73.0,74,202.627429
-78.0,79,202.867909
-63.0,64,204.730832
-81.0,82,204.984293
-70.0,71,205.204037
-70.0,71,207.039504
-77.0,78,207.949792
-77.0,78,208.189818
-89.0,90,210.052059
-85.0,86,210.388916
-81.0,82,210.642418
-79.0,80,212.461883
-76.0,77,212.794992
-78.0,79,213.036949
-102.0,103,215.591244
-79.0,80,215.923391
-82.0,83,216.177537
-93.0,94,218.039668
-77.0,78,218.361596
-87.0,88,218.631135
-90.0,91,220.484258
-84.0,85,221.61728
-77.0,78,221.858063
-93.0,94,223.729647
-77.0,78,224.045097
-86.0,87,224.310097
-71.0,72,224.530568
-85.0,86,226.455714
-83.0,84,227.505438
-86.0,87,227.772076
-71.0,72,229.645246
-78.0,79,229.888277
-88.0,89,230.162442
-87.0,88,232.0865
-72.0,73,232.311779
-85.0,86,232.577769
-83.0,84,235.113298
-86.0,87,235.378765
-93.0,94,235.665518
-69.0,70,237.534939
-86.0,87,237.80253
-130.0,131,239.828301
-78.0,79,240.153894
-83.0,84,241.027385
-81.0,82,241.277316
-77.0,78,243.15346
-85.0,86,243.417411
-77.0,78,243.656912
-77.0,78,245.531747
-69.0,70,245.744798
-86.0,87,246.009576
-85.0,86,248.524112
-81.0,82,248.772744
-85.0,86,249.032991
-84.0,85,250.928773
-78.0,79,251.17182
-78.0,79,251.414577
-169.0,170,254.325124
-155.0,156,256.436158
-78.0,79,256.732936
-86.0,87,256.999181
-79.0,80,258.790071
-99.0,100,259.180804
-74.0,75,259.40797
-94.0,95,261.919791
-79.0,80,262.205359
-90.0,91,262.483631
-79.0,80,264.29535
-80.0,81,264.600089
-85.0,86,264.861795
-81.0,82,266.659477
-73.0,74,267.579394
-70.0,71,267.796675
-88.0,89,268.065109
-63.0,64,269.880719
-81.0,82,270.127226
-75.0,76,270.356989
-78.0,79,272.20297
-90.0,91,272.485884
-91.0,92,273.404847
-260.0,261,275.813621
-87.0,88,277.702938
-84.0,85,277.961069
-68.0,69,278.17119
-77.0,78,280.00687
-76.0,77,280.945047
-80.0,81,281.188523
-77.0,78,282.963198
-64.0,65,283.244704
-85.0,86,283.505928
-198.0,199,285.731884
-72.0,73,286.695287
-67.0,68,286.900324
-71.0,72,288.741859
-133.0,134,289.14932
-77.0,78,290.949034
-76.0,77,291.2433
-71.0,72,291.460362
-82.0,83,291.710665
-64.0,65,294.363323
-72.0,73,294.584871
-79.0,80,294.827761
-69.0,70,296.628538
-78.0,79,296.903016
-69.0,70,297.114187
-70.0,71,297.328254
-63.0,64,299.146884
-80.0,81,299.995899
-76.0,77,300.227867
-69.0,70,302.023604
-76.0,77,302.293587
-76.0,77,302.528589
-103.0,104,304.436471
-78.0,79,304.706582
-104.0,105,305.026516
-106.0,107,307.596074
-70.0,71,307.808681
-70.0,71,308.021421
-105.0,106,309.958587
-81.0,82,310.205801
-77.0,78,310.441252
-92.0,93,312.342693
-63.0,64,313.182113
-89.0,90,313.454262
-85.0,86,315.336242
-82.0,83,315.595185
-68.0,69,315.806687
-91.0,92,317.671226
-87.0,88,317.982217
-89.0,90,318.858003
-64.0,65,320.591921
-91.0,92,320.954506
-89.0,90,321.226263
-86.0,87,323.077114
-80.0,81,323.36651
-99.0,100,323.671286
-87.0,88,325.558436
-72.0,73,326.37486
-79.0,80,326.61593
-87.0,88,328.457233
-76.0,77,328.740941
-74.0,75,328.969761
-95.0,96,330.813017
-83.0,84,331.144855
-63.0,64,331.341223
-87.0,88,332.262492
-78.0,79,334.131272
-79.0,80,334.374878
-63.0,64,334.570417
-93.0,94,336.473916
-71.0,72,336.692178
-74.0,75,336.918677
-84.0,85,339.452535
-84.0,85,339.709392
-76.0,77,339.942132
-94.0,95,341.832972
-63.0,64,342.04479
-97.0,98,342.345027
-74.0,75,344.121251
-76.0,77,344.433124
-88.0,89,345.324542
-71.0,72,345.543231
-71.0,72,347.385895
-71.0,72,347.607652
-78.0,79,347.849364
-89.0,90,349.744107
-62.0,63,349.935381
-71.0,72,350.154405
-62.0,63,350.345867
-82.0,83,352.786479
-61.0,62,352.975786
-71.0,72,353.196277
-82.0,83,355.0773
-64.0,65,355.274095
-113.0,114,355.619042
-71.0,72,357.44366
-98.0,99,358.323064
-63.0,64,358.514362
-88.0,89,360.369546
-82.0,83,360.64682
-80.0,81,360.890637
-78.0,79,362.682022
-109.0,110,363.083376
-115.0,116,364.068796
-74.0,75,365.921901
-93.0,94,366.207052
-80.0,81,366.452818
-80.0,81,368.32423
-81.0,82,368.569943
-65.0,66,368.76789
-79.0,80,370.618037
-61.0,62,371.447798
-120.0,121,371.81225
-75.0,76,373.665279
-74.0,75,373.896845
-96.0,97,374.188558
-64.0,65,375.938172
-74.0,75,376.229194
-63.0,64,376.421482
-76.0,77,377.311345
-69.0,70,379.145893
-77.0,78,379.3837
-76.0,77,379.618454
-70.0,71,381.390387
-63.0,64,381.648509
-70.0,71,381.862668
-79.0,80,382.103645
-77.0,78,384.486358
-71.0,72,384.70386
