#{"t_start": 1635497835.65445, "env_id": "Ant-v3"}
r,l,t
-23.496698,20,0.121613
-38.334079,38,0.18057
-84.428064,88,0.318615
-13.223898,24,0.355063
-58.286789,37,0.413507
-294.586124,155,0.655312
-55.454414,34,0.707145
-137.909004,86,0.839975
-28.061195,23,0.876373
-22.636626,20,0.90795
-17.210658,41,0.97192
-34.771464,52,1.052458
-44.573173,53,1.133905
-94.340588,113,1.307865
-25.320768,22,1.343102
-86.035132,65,1.444559
-45.634911,58,1.534074
-10.798645,18,1.562588
-7.365716,43,1.630639
-1080.923918,1000,3.110113
-64.400662,87,4.371991
-47.277589,35,4.42767
-225.299632,188,4.716346
-78.509774,71,4.824859
-79.83819,50,4.901823
31.778685,33,4.954001
-23.033344,27,4.995997
-43.381996,58,5.085104
-26.725505,55,5.169889
-228.411766,155,5.409204
-31.574636,27,5.450956
-24.514101,16,5.475752
-82.113807,58,5.563782
-40.104899,39,5.623657
-37.511884,57,5.711035
-39.025938,31,5.758765
-990.124258,1000,7.318277
3.69696,47,7.390221
-96.038304,92,8.609939
-30.415373,52,8.696266
-24.669946,18,8.726175
-3.918655,24,8.76638
-49.590443,38,8.831121
-20.427754,31,8.882545
-22.064327,47,8.960122
-13.887773,24,8.998722
-69.138399,94,9.147948
-59.396334,57,9.23922
-46.020828,53,9.323687
-23.53045,24,9.362828
-59.489288,35,9.420094
-19.489887,21,9.454236
-176.511529,133,9.666255
-225.013885,196,9.97619
-50.603988,55,10.06465
-6.684087,21,10.101028
-14.246756,16,10.127172
-51.286535,63,10.22649
-20.446767,22,10.262155
-28.944852,27,10.305895
-69.133247,47,10.37912
-33.524391,45,10.452445
-1046.832665,1000,13.182169
-94.102989,60,13.282015
-2.530285,13,13.303731
-1003.588773,1000,14.948492
-1004.810223,1000,17.672832
-1033.171839,1000,19.228435
-50.673414,30,19.274992
-29.094668,24,19.311978
-46.716175,125,19.501687
-18.433651,53,19.582991
-101.215482,114,19.759513
-36.469266,32,19.809089
-1078.702913,1000,39.33942
-0.626159,21,39.372405
-967.064861,1000,40.930727
-977.995614,1000,43.542757
-15.821426,9,43.55689
-95.854552,108,43.711895
-94.22817,112,43.876913
-28.118356,28,43.918236
-192.053754,98,44.060947
-48.347156,33,44.112613
-42.230292,51,44.190178
-48.665637,33,44.238874
-19.986249,18,44.265684
-34.605039,46,44.334063
-32.498552,16,44.357806
-85.928429,77,44.472331
-17.360266,73,44.575324
-86.662393,59,44.660806
-297.214907,232,45.001024
-18.225372,13,45.019666
-238.197639,191,45.294951
-34.16418,42,45.356666
-278.297006,258,45.722723
-77.068711,70,45.825203
-85.029983,90,46.996786
-1102.976369,1000,48.508499
-23.112727,14,48.530411
-29.385417,22,48.564214
